num_user	filter_user_criteria	num_item	filter_item_criteria	Lemmarization	filter_by_type	num_keyPhrases	freq_filter	Learning Rate	Lambda	Clicks	NDCG	Precision@10	R-Precision	Recall@10
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	TRUE	TRUE	100	300	1.00E-03	10	(4.9461322081575245, 0.009760970305811441)	(0.004610594008726256, 0.0009585766975849081)	(0.001160337552742616, 0.00020991118863179447)	(0.0017231347531980442, 0.000685060517524309)	(0.008623627017614358, 0.0017019097474267602)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	TRUE	FALSE	100	300	1.00E-03	10	(4.9483516483516485, 0.009550748634586461)	(0.00467230210272276, 0.0010132576129099344)	(0.0011166253101736973, 0.0002059648741223648)	(0.0021271163552269543, 0.0007819604057194799)	(0.00815187117030435, 0.0016562324700781033)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	TRUE	100	300	1.00E-03	10	(4.959818783760237, 0.008502886214391442)	(0.004267221468392564, 0.0010564113277327604)	(0.0008538072834988674, 0.00018034152408865405)	(0.002536190068861266, 0.0009310332536590802)	(0.006723911506974759, 0.0015334832030230242)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	10	(4.945341506129598, 0.009784793538733098)	(0.004658654196734636, 0.0009644939978675436)	(0.001243432574430823, 0.0002292624683655978)	(0.0017902689837891238, 0.0006784317267957952)	(0.008732976014061828, 0.0017132641242404009)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	50	300	1.00E-03	10	(4.933921326512612, 0.010720633374591008)	(0.005478726930011394, 0.0010667858728457462)	(0.001499382607161757, 0.00024659403228870355)	(0.0020394963418424346, 0.0007809479127051255)	(0.010012683852867306, 0.0018185851364413523)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	1	(4.421224899598394, 0.029981040587027823)	(0.01823155222223831, 0.00113307613065482)	(0.025301204819277112, 0.0017878509819980082)	(0.013768782974525325, 0.000898405569704009)	(0.019416014758805302, 0.0012103851708673027)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	10	(4.107139271011146, 0.0355715362430266)	(0.028856372487001312, 0.0013839617007289533)	(0.03905010543227232, 0.002130001384215202)	(0.023116793400142728, 0.0012192648816673844)	(0.033645755796762516, 0.0016052992297357648)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	100	(4.043092369477912, 0.03669156295619505)	(0.033057420859179995, 0.0015386079496084322)	(0.04144578313253012, 0.0021488963841457065)	(0.026534949297490652, 0.0013317228782241423)	(0.03794881906226403, 0.001772083705251256)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	1000	(4.039821231294567, 0.03691560510255356)	(0.03342489539045695, 0.0015468812148629935)	(0.04130762277794517, 0.0021437282591062314)	(0.028150087957522753, 0.0013922556676429913)	(0.03755393720771126, 0.001782043745622404)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	10000	(4.281662984535047, 0.033038588998300755)	(0.025103821152789238, 0.001404173884015135)	(0.03059851375778269, 0.0018918540230996852)	(0.01983373987624472, 0.0011321943483410485)	(0.025503903770951696, 0.001468657336295011)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	100000	(4.371901988351074, 0.030999338087701212)	(0.019533914384517487, 0.0011607838296075219)	(0.025527214300060254, 0.0017048200366770081)	(0.014828354518291132, 0.0009245801234010463)	(0.02111137016814751, 0.001260730192761661)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-03	100000	(4.371901988351074, 0.030999338087701212)	(0.019533914384517487, 0.0011607838296075219)	(0.025527214300060254, 0.0017048200366770081)	(0.014828354518291132, 0.0009245801234010463)	(0.02111137016814751, 0.001260730192761661)
10000	num_unique_words_in_reviews	8000	num_unique_words_in_reviews	FALSE	FALSE	100	300	1.00E-04	1000	(3.7972986543482627, 0.04004216663275058)	(0.045126983746463345, 0.0018611628069438839)	(0.04427595902791725, 0.001855843728012544)	(0.03237265644520333, 0.0014963179797629629)	(0.04881839521470189, 0.0020261774271531446)
