model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.3642,0.0497,0.0758,0.0449,0.0459,0.107
CE-NCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.2386,0.0599,0.0916,0.0481,0.0571,0.1177
CE-NCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.2328,0.0612,0.0927,0.0494,0.0566,0.1197
CE-NCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.2104,0.061,0.0933,0.0498,0.0575,0.121
CE-NCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.2146,0.0624,0.0942,0.0498,0.0591,0.1202
CE-NCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.2344,0.0608,0.092,0.0493,0.0573,0.1184
CE-NCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.2146,0.0616,0.094,0.0503,0.058,0.122
CE-NCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.2468,0.0607,0.0921,0.0488,0.0577,0.1195
CE-NCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.1939,0.062,0.0945,0.0504,0.0575,0.1232
CE-NCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.1964,0.0624,0.0942,0.0507,0.0585,0.1226
CE-NCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.2121,0.0614,0.093,0.0503,0.0582,0.1213
CE-NCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.1914,0.0634,0.0964,0.0514,0.0602,0.124
CE-NCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.2154,0.0616,0.0928,0.05,0.0551,0.1215
CE-NCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.1865,0.0643,0.0976,0.0514,0.0611,0.1256
CE-NCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.2179,0.0629,0.0952,0.0504,0.0592,0.1225
CE-NCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.2295,0.061,0.092,0.0492,0.0572,0.1197
CE-NCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.1939,0.0624,0.0948,0.051,0.0575,0.1242
CE-NCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.1964,0.0631,0.0966,0.0505,0.0606,0.1247
CE-NCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.1708,0.0631,0.0961,0.0516,0.0585,0.126
CE-NCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.203,0.0629,0.096,0.0512,0.0602,0.1255
CE-NCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.1683,0.0634,0.0972,0.0519,0.0593,0.1268
CE-NCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.2113,0.0631,0.0961,0.0508,0.0594,0.1235
CE-NCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.1956,0.0644,0.0975,0.0514,0.0617,0.1247
CE-NCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.1774,0.0639,0.0969,0.0519,0.0611,0.1257
CE-NCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.1947,0.0627,0.0962,0.0512,0.0604,0.1246
CE-NCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.2104,0.0627,0.0951,0.051,0.0603,0.1225
CE-NCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.2096,0.0641,0.0958,0.0514,0.0607,0.1226
