model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CE-NCF,100,1,128,128,0.001,10,0.0001,10,5,Adam,0.1659,0.331,0.1204,0.4463
CE-NCF,100,1,128,128,0.001,10,0.0001,20,5,Adam,0.1942,0.3782,0.1312,0.4833
CE-NCF,100,1,128,128,0.001,10,0.0001,30,5,Adam,0.219,0.4198,0.1427,0.5214
CE-NCF,100,1,128,128,0.001,10,0.0001,40,5,Adam,0.2354,0.448,0.1516,0.5508
CE-NCF,100,1,128,128,0.001,10,0.0001,50,5,Adam,0.2486,0.471,0.1591,0.5747
CE-NCF,100,1,128,128,0.001,10,0.0001,60,5,Adam,0.2604,0.491,0.166,0.5964
CE-NCF,100,1,128,128,0.001,10,0.0001,70,5,Adam,0.2665,0.5014,0.1699,0.6081
CE-NCF,100,1,128,128,0.001,10,0.0001,80,5,Adam,0.2704,0.5094,0.1733,0.6209
CE-NCF,100,1,128,128,0.001,10,0.0001,90,5,Adam,0.2742,0.5172,0.1772,0.6335
CE-NCF,100,1,128,128,0.001,10,0.0001,100,5,Adam,0.2763,0.5208,0.1784,0.6371
CE-NCF,100,1,128,128,0.001,10,0.0001,110,5,Adam,0.2788,0.5253,0.1798,0.6424
CE-NCF,100,1,128,128,0.001,10,0.0001,120,5,Adam,0.2811,0.5303,0.1818,0.6508
CE-NCF,100,1,128,128,0.001,10,0.0001,130,5,Adam,0.2837,0.5351,0.1835,0.6576
CE-NCF,100,1,128,128,0.001,10,0.0001,140,5,Adam,0.283,0.5336,0.1826,0.6533
CE-NCF,100,1,128,128,0.001,10,0.0001,150,5,Adam,0.2866,0.5399,0.1839,0.66
CE-NCF,100,1,128,128,0.001,10,0.0001,160,5,Adam,0.2871,0.5419,0.185,0.665
CE-NCF,100,1,128,128,0.001,10,0.0001,170,5,Adam,0.291,0.5489,0.187,0.6724
CE-NCF,100,1,128,128,0.001,10,0.0001,180,5,Adam,0.2897,0.5466,0.1862,0.6692
CE-NCF,100,1,128,128,0.001,10,0.0001,190,5,Adam,0.2903,0.5472,0.1857,0.6682
CE-NCF,100,1,128,128,0.001,10,0.0001,200,5,Adam,0.2924,0.5519,0.1881,0.6764
CE-NCF,100,1,128,128,0.001,10,0.0001,210,5,Adam,0.291,0.5498,0.1875,0.6743
CE-NCF,100,1,128,128,0.001,10,0.0001,220,5,Adam,0.2946,0.5551,0.1884,0.6779
CE-NCF,100,1,128,128,0.001,10,0.0001,230,5,Adam,0.2959,0.559,0.1901,0.6845
CE-NCF,100,1,128,128,0.001,10,0.0001,240,5,Adam,0.2937,0.5541,0.1882,0.6777
CE-NCF,100,1,128,128,0.001,10,0.0001,250,5,Adam,0.2981,0.5628,0.1909,0.6877
CE-NCF,100,1,128,128,0.001,10,0.0001,260,5,Adam,0.2982,0.5633,0.1909,0.6892
CE-NCF,100,1,128,128,0.001,10,0.0001,270,5,Adam,0.2992,0.5657,0.1924,0.6932
CE-NCF,100,1,128,128,0.001,10,0.0001,280,5,Adam,0.3001,0.5675,0.1927,0.6954
CE-NCF,100,1,128,128,0.001,10,0.0001,290,5,Adam,0.3018,0.5699,0.1934,0.6977
CE-NCF,100,1,128,128,0.001,10,0.0001,300,5,Adam,0.302,0.5704,0.1934,0.6989
E-NCF,100,1,128,128,0.0001,10,0.0001,10,5,Adam,0.3134,0.5925,0.1976,0.7162
E-NCF,100,1,128,128,0.0001,10,0.0001,20,5,Adam,0.3146,0.5945,0.2004,0.7233
