model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.2913, 0.003]","[0.2483, 0.0025]","[0.2187, 0.0021]","[0.3649, 0.004]","[0.1543, 0.0015]","[0.5512, 0.0043]","[0.5863, 0.0041]","[0.6068, 0.0039]","[0.4785, 0.0045]","[0.6502, 0.0035]","[0.1895, 0.002]","[0.1467, 0.0015]","[0.12, 0.0012]","[0.2751, 0.003]","[0.0724, 0.0007]","[0.6882, 0.0048]","[0.7836, 0.0043]","[0.846, 0.0038]","[0.5262, 0.0051]","[1.0, 0.0]"
E-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.2754, 0.0029]","[0.2342, 0.0024]","[0.2065, 0.0021]","[0.3486, 0.004]","[0.1472, 0.0014]","[0.5242, 0.0044]","[0.5599, 0.0043]","[0.5822, 0.0041]","[0.4555, 0.0047]","[0.6358, 0.0036]","[0.1764, 0.0019]","[0.1383, 0.0015]","[0.1146, 0.0012]","[0.2551, 0.0029]","[0.0724, 0.0007]","[0.6434, 0.005]","[0.7404, 0.0046]","[0.8088, 0.0041]","[0.4896, 0.0052]","[1.0, 0.0]"
E-NCF,100,1,128,128,5e-05,,0.001,100,5,"[0.2305, 0.0027]","[0.1991, 0.0023]","[0.1775, 0.0019]","[0.284, 0.0038]","[0.131, 0.0013]","[0.4419, 0.0043]","[0.4782, 0.0041]","[0.5037, 0.004]","[0.3735, 0.0045]","[0.5727, 0.0034]","[0.1565, 0.0018]","[0.125, 0.0014]","[0.106, 0.0012]","[0.2182, 0.0027]","[0.0724, 0.0007]","[0.574, 0.0052]","[0.6738, 0.0049]","[0.7521, 0.0046]","[0.4182, 0.0052]","[1.0, 0.0]"
E-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2937, 0.0029]","[0.2505, 0.0024]","[0.2207, 0.0021]","[0.3683, 0.0039]","[0.1556, 0.0015]","[0.5576, 0.0042]","[0.5946, 0.004]","[0.614, 0.0038]","[0.4836, 0.0045]","[0.655, 0.0034]","[0.191, 0.002]","[0.1489, 0.0015]","[0.1212, 0.0013]","[0.2771, 0.003]","[0.0724, 0.0007]","[0.6965, 0.0047]","[0.7969, 0.0042]","[0.8559, 0.0036]","[0.5303, 0.0051]","[1.0, 0.0]"
E-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.2672, 0.0029]","[0.2286, 0.0024]","[0.2023, 0.0021]","[0.3356, 0.004]","[0.1453, 0.0014]","[0.5068, 0.0044]","[0.546, 0.0042]","[0.5693, 0.004]","[0.436, 0.0046]","[0.6218, 0.0035]","[0.1743, 0.0019]","[0.1383, 0.0015]","[0.115, 0.0012]","[0.2493, 0.0029]","[0.0724, 0.0007]","[0.6343, 0.005]","[0.7422, 0.0046]","[0.8137, 0.0041]","[0.4737, 0.0052]","[1.0, 0.0]"
E-NCF,100,1,128,128,0.0001,,0.001,100,5,"[0.2384, 0.0028]","[0.207, 0.0023]","[0.185, 0.002]","[0.2924, 0.0038]","[0.1357, 0.0014]","[0.4566, 0.0043]","[0.4968, 0.0041]","[0.521, 0.004]","[0.3811, 0.0044]","[0.5815, 0.0034]","[0.1648, 0.0019]","[0.1324, 0.0015]","[0.1109, 0.0012]","[0.2244, 0.0028]","[0.0724, 0.0007]","[0.5968, 0.0051]","[0.7083, 0.0048]","[0.7824, 0.0043]","[0.4251, 0.0051]","[1.0, 0.0]"
E-NCF,100,1,128,128,0.001,,0.0001,100,5,"[0.2894, 0.0029]","[0.2488, 0.0024]","[0.2203, 0.0021]","[0.3601, 0.0039]","[0.1566, 0.0015]","[0.553, 0.004]","[0.5926, 0.0038]","[0.6142, 0.0036]","[0.4704, 0.0044]","[0.6493, 0.0033]","[0.1938, 0.002]","[0.1521, 0.0016]","[0.1247, 0.0013]","[0.2705, 0.0029]","[0.0724, 0.0007]","[0.7066, 0.0045]","[0.8138, 0.0039]","[0.8796, 0.0032]","[0.5205, 0.005]","[1.0, 0.0]"
E-NCF,100,1,128,128,0.001,,0.0005,100,5,"[0.2673, 0.0028]","[0.2306, 0.0023]","[0.2053, 0.002]","[0.332, 0.0038]","[0.1482, 0.0014]","[0.5114, 0.0041]","[0.5545, 0.0038]","[0.5811, 0.0036]","[0.4354, 0.0044]","[0.6225, 0.0033]","[0.1798, 0.0019]","[0.1443, 0.0015]","[0.1208, 0.0012]","[0.25, 0.0027]","[0.0724, 0.0007]","[0.6558, 0.0048]","[0.775, 0.0042]","[0.8569, 0.0035]","[0.4863, 0.0051]","[1.0, 0.0]"
E-NCF,100,1,128,128,0.001,,0.001,100,5,"[0.2577, 0.0028]","[0.2236, 0.0023]","[0.1996, 0.002]","[0.3168, 0.0039]","[0.1451, 0.0014]","[0.4953, 0.0041]","[0.5375, 0.0039]","[0.5634, 0.0037]","[0.4117, 0.0044]","[0.6086, 0.0034]","[0.1778, 0.0019]","[0.1424, 0.0015]","[0.1191, 0.0012]","[0.2404, 0.0028]","[0.0724, 0.0007]","[0.646, 0.0048]","[0.7623, 0.0043]","[0.8425, 0.0036]","[0.4548, 0.0051]","[1.0, 0.0]"
E-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.2941, 0.003]","[0.2492, 0.0025]","[0.2186, 0.0022]","[0.3716, 0.004]","[0.1535, 0.0015]","[0.5562, 0.0044]","[0.5881, 0.0042]","[0.6076, 0.004]","[0.4865, 0.0046]","[0.6558, 0.0036]","[0.1878, 0.002]","[0.1437, 0.0015]","[0.1173, 0.0012]","[0.2753, 0.003]","[0.0724, 0.0007]","[0.6813, 0.0049]","[0.7682, 0.0044]","[0.8277, 0.004]","[0.5268, 0.0052]","[1.0, 0.0]"
