model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.2958, 0.0029]","[0.2528, 0.0024]","[0.2229, 0.0021]","[0.3695, 0.0039]","[0.1572, 0.0015]","[0.5617, 0.0041]","[0.5988, 0.0039]","[0.6187, 0.0038]","[0.4846, 0.0044]","[0.6565, 0.0034]","[0.1942, 0.002]","[0.151, 0.0016]","[0.1231, 0.0013]","[0.2789, 0.003]","[0.0724, 0.0007]","[0.7068, 0.0047]","[0.8071, 0.0041]","[0.8678, 0.0035]","[0.5341, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.285, 0.0029]","[0.2444, 0.0024]","[0.2163, 0.0021]","[0.3569, 0.0039]","[0.1538, 0.0015]","[0.5434, 0.0041]","[0.5832, 0.0039]","[0.6051, 0.0038]","[0.4668, 0.0044]","[0.6446, 0.0034]","[0.1881, 0.002]","[0.1485, 0.0015]","[0.1223, 0.0013]","[0.2674, 0.0029]","[0.0724, 0.0007]","[0.6874, 0.0047]","[0.7956, 0.0041]","[0.8617, 0.0035]","[0.5148, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,5e-05,,0.001,100,5,"[0.2673, 0.0028]","[0.2305, 0.0024]","[0.2048, 0.0021]","[0.3303, 0.0038]","[0.1472, 0.0014]","[0.5131, 0.0042]","[0.5525, 0.004]","[0.575, 0.0039]","[0.4338, 0.0045]","[0.6218, 0.0034]","[0.1809, 0.002]","[0.1432, 0.0015]","[0.1183, 0.0012]","[0.2501, 0.0028]","[0.0724, 0.0007]","[0.6577, 0.0049]","[0.7652, 0.0044]","[0.8339, 0.0039]","[0.4792, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2967, 0.0029]","[0.2539, 0.0024]","[0.2241, 0.0021]","[0.3714, 0.0039]","[0.1581, 0.0015]","[0.564, 0.0041]","[0.6032, 0.0039]","[0.6235, 0.0037]","[0.4862, 0.0044]","[0.6589, 0.0034]","[0.1947, 0.002]","[0.1526, 0.0016]","[0.1243, 0.0013]","[0.2794, 0.003]","[0.0724, 0.0007]","[0.7093, 0.0046]","[0.8154, 0.004]","[0.8772, 0.0034]","[0.5341, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.2892, 0.0029]","[0.2477, 0.0024]","[0.2189, 0.0021]","[0.362, 0.0039]","[0.1554, 0.0015]","[0.5523, 0.0041]","[0.5909, 0.0039]","[0.6127, 0.0037]","[0.4738, 0.0045]","[0.651, 0.0034]","[0.1908, 0.002]","[0.1496, 0.0015]","[0.1229, 0.0013]","[0.2699, 0.0029]","[0.0724, 0.0007]","[0.6957, 0.0047]","[0.8005, 0.0041]","[0.8666, 0.0035]","[0.5194, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,0.0001,,0.001,100,5,"[0.277, 0.0028]","[0.2381, 0.0024]","[0.2112, 0.0021]","[0.3446, 0.0038]","[0.1512, 0.0014]","[0.5271, 0.0041]","[0.5671, 0.0039]","[0.5913, 0.0038]","[0.4516, 0.0044]","[0.6335, 0.0034]","[0.1844, 0.002]","[0.146, 0.0015]","[0.1212, 0.0013]","[0.2606, 0.0028]","[0.0724, 0.0007]","[0.6681, 0.0048]","[0.7771, 0.0043]","[0.8515, 0.0037]","[0.5, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,0.001,,0.0001,100,5,"[0.2943, 0.0029]","[0.2534, 0.0024]","[0.2246, 0.0021]","[0.3664, 0.0039]","[0.1592, 0.0015]","[0.5616, 0.004]","[0.6042, 0.0037]","[0.6262, 0.0035]","[0.4792, 0.0043]","[0.6558, 0.0033]","[0.1968, 0.002]","[0.1562, 0.0016]","[0.1276, 0.0013]","[0.2768, 0.0029]","[0.0724, 0.0007]","[0.7167, 0.0045]","[0.8314, 0.0038]","[0.8993, 0.003]","[0.5307, 0.005]","[1.0, 0.0]"
E-VNCF,100,1,128,128,0.001,,0.0005,100,5,"[0.285, 0.0029]","[0.2443, 0.0024]","[0.2166, 0.0021]","[0.3562, 0.0039]","[0.1545, 0.0014]","[0.5407, 0.0041]","[0.5834, 0.0038]","[0.6085, 0.0037]","[0.4667, 0.0044]","[0.6444, 0.0034]","[0.1878, 0.002]","[0.1489, 0.0015]","[0.1241, 0.0013]","[0.2687, 0.0028]","[0.0724, 0.0007]","[0.6814, 0.0047]","[0.8, 0.004]","[0.876, 0.0033]","[0.5165, 0.0051]","[1.0, 0.0]"
E-VNCF,100,1,128,128,0.001,,0.001,100,5,"[0.2751, 0.0028]","[0.2364, 0.0024]","[0.2098, 0.0021]","[0.3443, 0.0038]","[0.1504, 0.0014]","[0.5253, 0.0041]","[0.5653, 0.0039]","[0.5878, 0.0038]","[0.4461, 0.0044]","[0.632, 0.0034]","[0.1841, 0.002]","[0.1455, 0.0015]","[0.1202, 0.0013]","[0.2555, 0.0028]","[0.0724, 0.0007]","[0.666, 0.0048]","[0.7765, 0.0042]","[0.8448, 0.0037]","[0.4862, 0.005]","[1.0, 0.0]"
E-VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.3035, 0.003]","[0.2579, 0.0025]","[0.2264, 0.0022]","[0.3818, 0.004]","[0.1585, 0.0015]","[0.574, 0.0042]","[0.6079, 0.004]","[0.6263, 0.0039]","[0.5009, 0.0045]","[0.6667, 0.0035]","[0.1954, 0.002]","[0.1502, 0.0016]","[0.1217, 0.0013]","[0.2859, 0.003]","[0.0724, 0.0007]","[0.7096, 0.0047]","[0.8015, 0.0041]","[0.8572, 0.0036]","[0.5477, 0.0051]","[1.0, 0.0]"
E-VNCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.2777, 0.0029]","[0.2379, 0.0024]","[0.2103, 0.0021]","[0.3457, 0.0039]","[0.1499, 0.0014]","[0.529, 0.0042]","[0.5654, 0.004]","[0.587, 0.0039]","[0.4543, 0.0044]","[0.6336, 0.0034]","[0.1837, 0.002]","[0.1437, 0.0015]","[0.1183, 0.0012]","[0.2616, 0.0029]","[0.0724, 0.0007]","[0.6709, 0.0049]","[0.7694, 0.0044]","[0.8353, 0.0039]","[0.504, 0.0052]","[1.0, 0.0]"
E-VNCF,200,1,128,128,5e-05,,0.001,100,5,"[0.2739, 0.0028]","[0.2347, 0.0024]","[0.2079, 0.0021]","[0.343, 0.0039]","[0.149, 0.0014]","[0.5219, 0.0042]","[0.5608, 0.004]","[0.5847, 0.0038]","[0.4471, 0.0045]","[0.631, 0.0034]","[0.1805, 0.0019]","[0.1428, 0.0015]","[0.1187, 0.0012]","[0.2552, 0.0028]","[0.0724, 0.0007]","[0.6574, 0.0049]","[0.7636, 0.0044]","[0.8367, 0.0038]","[0.4892, 0.0051]","[1.0, 0.0]"
E-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.3014, 0.0029]","[0.2561, 0.0024]","[0.225, 0.0021]","[0.3797, 0.0039]","[0.1579, 0.0015]","[0.5722, 0.0041]","[0.6067, 0.0039]","[0.6256, 0.0038]","[0.4987, 0.0045]","[0.6656, 0.0034]","[0.1939, 0.002]","[0.1494, 0.0015]","[0.1215, 0.0012]","[0.2833, 0.003]","[0.0724, 0.0007]","[0.7105, 0.0046]","[0.804, 0.0041]","[0.8611, 0.0035]","[0.5466, 0.0051]","[1.0, 0.0]"
