model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.0863, 0.0017]","[0.0853, 0.0014]","[0.0842, 0.0013]","[0.0866, 0.0022]","[0.0801, 0.0009]","[0.1857, 0.003]","[0.2339, 0.0029]","[0.2748, 0.0028]","[0.1241, 0.0029]","[0.3924, 0.0023]","[0.0847, 0.0013]","[0.0822, 0.0011]","[0.0801, 0.0009]","[0.0881, 0.0018]","[0.0724, 0.0007]","[0.3083, 0.0049]","[0.4463, 0.0052]","[0.5768, 0.0051]","[0.1621, 0.0039]","[1.0, 0.0]"
NCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.0763, 0.0016]","[0.0762, 0.0014]","[0.076, 0.0012]","[0.0767, 0.0021]","[0.0752, 0.0009]","[0.1619, 0.0029]","[0.2072, 0.0029]","[0.2491, 0.0028]","[0.1064, 0.0027]","[0.3784, 0.0022]","[0.0759, 0.0013]","[0.0754, 0.0011]","[0.0755, 0.0009]","[0.077, 0.0018]","[0.0724, 0.0007]","[0.2651, 0.0046]","[0.3934, 0.0051]","[0.5268, 0.0052]","[0.1349, 0.0036]","[1.0, 0.0]"
NCF,100,1,128,128,5e-05,,0.001,100,5,"[0.0777, 0.0016]","[0.0776, 0.0014]","[0.0773, 0.0012]","[0.0781, 0.0022]","[0.0758, 0.0009]","[0.1661, 0.0029]","[0.2139, 0.0029]","[0.2542, 0.0028]","[0.1083, 0.0027]","[0.3806, 0.0022]","[0.0772, 0.0013]","[0.0772, 0.0011]","[0.0764, 0.0009]","[0.0778, 0.0018]","[0.0724, 0.0007]","[0.2749, 0.0047]","[0.4116, 0.0051]","[0.5391, 0.0052]","[0.1387, 0.0036]","[1.0, 0.0]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.076, 0.0016]","[0.0762, 0.0014]","[0.0763, 0.0012]","[0.0755, 0.0021]","[0.0755, 0.0009]","[0.1586, 0.0028]","[0.2061, 0.0028]","[0.248, 0.0028]","[0.1019, 0.0026]","[0.3761, 0.0022]","[0.0763, 0.0013]","[0.0766, 0.0011]","[0.0765, 0.001]","[0.0763, 0.0018]","[0.0724, 0.0007]","[0.2625, 0.0046]","[0.3976, 0.0051]","[0.5305, 0.0052]","[0.1293, 0.0035]","[1.0, 0.0]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.0899, 0.0017]","[0.086, 0.0014]","[0.0834, 0.0013]","[0.0964, 0.0024]","[0.0782, 0.0009]","[0.1851, 0.0031]","[0.2282, 0.0031]","[0.2656, 0.003]","[0.1308, 0.003]","[0.3942, 0.0024]","[0.0806, 0.0013]","[0.0771, 0.001]","[0.075, 0.0009]","[0.0891, 0.0018]","[0.0724, 0.0007]","[0.2887, 0.0047]","[0.4114, 0.0051]","[0.5294, 0.0052]","[0.1604, 0.0038]","[1.0, 0.0]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[0.0653, 0.0015]","[0.0662, 0.0013]","[0.0669, 0.0012]","[0.0638, 0.002]","[0.0689, 0.0009]","[0.1364, 0.0026]","[0.1785, 0.0027]","[0.2185, 0.0027]","[0.0856, 0.0024]","[0.3606, 0.0021]","[0.0676, 0.0012]","[0.0683, 0.001]","[0.0696, 0.0009]","[0.0653, 0.0017]","[0.0724, 0.0007]","[0.2265, 0.0043]","[0.3454, 0.0049]","[0.472, 0.0052]","[0.1085, 0.0032]","[1.0, 0.0]"
NCF,100,1,128,128,0.001,,0.0001,100,5,"[0.0591, 0.0014]","[0.0604, 0.0012]","[0.0616, 0.0011]","[0.0571, 0.0019]","[0.0655, 0.0009]","[0.1258, 0.0025]","[0.1674, 0.0026]","[0.2063, 0.0026]","[0.078, 0.0023]","[0.3543, 0.002]","[0.0618, 0.0012]","[0.064, 0.001]","[0.066, 0.0009]","[0.0584, 0.0015]","[0.0724, 0.0007]","[0.2114, 0.0043]","[0.3291, 0.0049]","[0.4517, 0.0052]","[0.1002, 0.0031]","[1.0, 0.0]"
NCF,100,1,128,128,0.001,,0.0005,100,5,"[0.0824, 0.0017]","[0.0811, 0.0014]","[0.0801, 0.0013]","[0.0842, 0.0023]","[0.0773, 0.0009]","[0.1736, 0.0029]","[0.219, 0.0029]","[0.2588, 0.0029]","[0.1157, 0.0028]","[0.3853, 0.0023]","[0.0797, 0.0013]","[0.0776, 0.0011]","[0.0766, 0.0009]","[0.0822, 0.0018]","[0.0724, 0.0007]","[0.2837, 0.0047]","[0.413, 0.0051]","[0.5387, 0.0051]","[0.1475, 0.0037]","[1.0, 0.0]"
NCF,100,1,128,128,0.001,,0.001,100,5,"[0.0758, 0.0016]","[0.0748, 0.0014]","[0.0742, 0.0012]","[0.0782, 0.0022]","[0.0734, 0.0009]","[0.1587, 0.0028]","[0.2028, 0.0029]","[0.2421, 0.0028]","[0.1059, 0.0027]","[0.3766, 0.0022]","[0.0729, 0.0012]","[0.0726, 0.001]","[0.0725, 0.0009]","[0.0751, 0.0017]","[0.0724, 0.0007]","[0.2567, 0.0045]","[0.3815, 0.005]","[0.5062, 0.0052]","[0.1321, 0.0035]","[1.0, 0.0]"
NCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.0642, 0.0014]","[0.0657, 0.0012]","[0.0668, 0.0011]","[0.0618, 0.0019]","[0.0693, 0.0009]","[0.1407, 0.0027]","[0.1854, 0.0027]","[0.2256, 0.0027]","[0.0889, 0.0025]","[0.364, 0.0021]","[0.0676, 0.0012]","[0.0694, 0.001]","[0.0704, 0.0009]","[0.0654, 0.0016]","[0.0724, 0.0007]","[0.2385, 0.0045]","[0.3651, 0.005]","[0.4926, 0.0052]","[0.1165, 0.0034]","[1.0, 0.0]"
