model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.0704, 0.0015]","[0.0708, 0.0013]","[0.0712, 0.0012]","[0.0701, 0.002]","[0.072, 0.0009]","[0.1489, 0.0027]","[0.1933, 0.0028]","[0.2338, 0.0028]","[0.0958, 0.0026]","[0.37, 0.0022]","[0.0713, 0.0012]","[0.0718, 0.001]","[0.0725, 0.0009]","[0.07, 0.0017]","[0.0724, 0.0007]","[0.244, 0.0044]","[0.37, 0.005]","[0.4976, 0.0052]","[0.1204, 0.0033]","[1.0, 0.0]"
VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.0842, 0.0017]","[0.0828, 0.0014]","[0.0816, 0.0013]","[0.0858, 0.0023]","[0.0779, 0.001]","[0.1782, 0.003]","[0.2246, 0.003]","[0.2638, 0.0029]","[0.1201, 0.0029]","[0.3883, 0.0023]","[0.0812, 0.0013]","[0.0791, 0.0011]","[0.0774, 0.001]","[0.0846, 0.0018]","[0.0724, 0.0007]","[0.2894, 0.0048]","[0.4217, 0.0052]","[0.5455, 0.0052]","[0.1531, 0.0038]","[1.0, 0.0]"
VNCF,100,1,128,128,5e-05,,0.001,100,5,"[0.0816, 0.0017]","[0.0803, 0.0014]","[0.0794, 0.0013]","[0.0846, 0.0023]","[0.0775, 0.001]","[0.1678, 0.0029]","[0.2144, 0.003]","[0.2554, 0.0029]","[0.1111, 0.0028]","[0.3839, 0.0023]","[0.0781, 0.0013]","[0.0773, 0.0011]","[0.0767, 0.001]","[0.0796, 0.0018]","[0.0724, 0.0007]","[0.2675, 0.0046]","[0.3998, 0.0051]","[0.5299, 0.0052]","[0.1346, 0.0035]","[1.0, 0.0]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.068, 0.0016]","[0.0678, 0.0013]","[0.0677, 0.0012]","[0.0684, 0.0021]","[0.0689, 0.0009]","[0.1395, 0.0027]","[0.1803, 0.0027]","[0.2184, 0.0027]","[0.0911, 0.0025]","[0.3631, 0.0021]","[0.0673, 0.0012]","[0.0672, 0.001]","[0.0679, 0.0009]","[0.0684, 0.0017]","[0.0724, 0.0007]","[0.2275, 0.0043]","[0.343, 0.0049]","[0.4638, 0.0052]","[0.1148, 0.0033]","[1.0, 0.0]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.0548, 0.0014]","[0.0578, 0.0012]","[0.0601, 0.0011]","[0.0506, 0.0017]","[0.0652, 0.0009]","[0.1199, 0.0024]","[0.1644, 0.0025]","[0.2057, 0.0025]","[0.0696, 0.0022]","[0.3503, 0.0019]","[0.0616, 0.0012]","[0.0652, 0.001]","[0.0678, 0.0009]","[0.0543, 0.0015]","[0.0724, 0.0007]","[0.2071, 0.0042]","[0.3337, 0.0049]","[0.4649, 0.0052]","[0.0896, 0.0029]","[1.0, 0.0]"
VNCF,100,1,128,128,0.0001,,0.001,100,5,"[0.103, 0.002]","[0.0968, 0.0016]","[0.0929, 0.0014]","[0.1164, 0.0027]","[0.0845, 0.001]","[0.2062, 0.0034]","[0.2524, 0.0034]","[0.291, 0.0033]","[0.1502, 0.0033]","[0.4123, 0.0027]","[0.0866, 0.0014]","[0.0831, 0.0011]","[0.08, 0.001]","[0.0971, 0.0019]","[0.0724, 0.0007]","[0.3029, 0.0048]","[0.4336, 0.0051]","[0.5561, 0.0051]","[0.1723, 0.0039]","[1.0, 0.0]"
VNCF,100,1,128,128,0.001,,0.0001,100,5,"[0.0654, 0.0014]","[0.0694, 0.0013]","[0.0716, 0.0011]","[0.0568, 0.0018]","[0.0736, 0.0009]","[0.1437, 0.0025]","[0.1946, 0.0025]","[0.2388, 0.0025]","[0.0829, 0.0022]","[0.3638, 0.0019]","[0.0761, 0.0013]","[0.0781, 0.0011]","[0.0782, 0.001]","[0.0685, 0.0017]","[0.0724, 0.0007]","[0.2547, 0.0045]","[0.4004, 0.0051]","[0.5423, 0.0052]","[0.1139, 0.0032]","[1.0, 0.0]"
VNCF,100,1,128,128,0.001,,0.0005,100,5,"[0.1109, 0.0021]","[0.1035, 0.0017]","[0.0983, 0.0015]","[0.1272, 0.0029]","[0.086, 0.001]","[0.2227, 0.0036]","[0.2713, 0.0035]","[0.3038, 0.0035]","[0.1633, 0.0035]","[0.4224, 0.0028]","[0.0912, 0.0014]","[0.0869, 0.0011]","[0.0802, 0.001]","[0.1016, 0.002]","[0.0724, 0.0007]","[0.322, 0.0049]","[0.4601, 0.0053]","[0.5628, 0.0052]","[0.1836, 0.0041]","[1.0, 0.0]"
VNCF,100,1,128,128,0.001,,0.001,100,5,"[0.0394, 0.0012]","[0.0434, 0.001]","[0.0472, 0.0009]","[0.0364, 0.0015]","[0.0574, 0.0008]","[0.0858, 0.0021]","[0.1322, 0.0022]","[0.1737, 0.0023]","[0.0479, 0.0018]","[0.3319, 0.0017]","[0.0461, 0.001]","[0.0558, 0.0009]","[0.0608, 0.0009]","[0.038, 0.0013]","[0.0724, 0.0007]","[0.1476, 0.0035]","[0.2812, 0.0046]","[0.4134, 0.0051]","[0.0599, 0.0024]","[1.0, 0.0]"
VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.0526, 0.0014]","[0.0532, 0.0012]","[0.0538, 0.0011]","[0.052, 0.0018]","[0.0584, 0.0008]","[0.106, 0.0023]","[0.1392, 0.0024]","[0.1719, 0.0025]","[0.0676, 0.0021]","[0.3396, 0.002]","[0.0539, 0.0011]","[0.0549, 0.001]","[0.0564, 0.0009]","[0.0528, 0.0015]","[0.0724, 0.0007]","[0.1712, 0.0038]","[0.2633, 0.0045]","[0.3661, 0.0049]","[0.0836, 0.0028]","[1.0, 0.0]"
