model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.6596, 0.0557]","[0.0484, 0.0025]","[0.0443, 0.0021]","[0.0413, 0.0018]","[0.0541, 0.0034]","[0.0312, 0.0011]","[0.1372, 0.0044]","[0.0395, 0.0017]","[0.0343, 0.0014]","[0.0307, 0.0011]","[0.0479, 0.0026]","[0.0204, 0.0006]","[0.0504, 0.0033]","[0.1167, 0.0056]","[0.1521, 0.0063]","[0.1797, 0.0067]","[0.0712, 0.0044]","[0.286, 0.008]"
CE-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.5263, 0.0556]","[0.0543, 0.0027]","[0.0496, 0.0022]","[0.046, 0.0019]","[0.0611, 0.0036]","[0.0344, 0.0012]","[0.1504, 0.0046]","[0.0443, 0.0019]","[0.038, 0.0014]","[0.0337, 0.0012]","[0.0533, 0.0027]","[0.022, 0.0007]","[0.058, 0.0036]","[0.1305, 0.006]","[0.1677, 0.0066]","[0.1971, 0.007]","[0.0812, 0.0047]","[0.3094, 0.0082]"
CE-NCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5052, 0.0561]","[0.0562, 0.0027]","[0.051, 0.0022]","[0.0472, 0.0019]","[0.0641, 0.0037]","[0.0351, 0.0012]","[0.1535, 0.0047]","[0.0445, 0.0018]","[0.0382, 0.0014]","[0.0343, 0.0012]","[0.0559, 0.0027]","[0.0226, 0.0007]","[0.0588, 0.0035]","[0.1332, 0.0059]","[0.1684, 0.0065]","[0.2006, 0.0071]","[0.0845, 0.0047]","[0.3138, 0.0083]"
CE-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6957, 0.0556]","[0.0484, 0.0025]","[0.0443, 0.0021]","[0.0411, 0.0018]","[0.054, 0.0034]","[0.0311, 0.0011]","[0.1367, 0.0044]","[0.0394, 0.0017]","[0.0342, 0.0014]","[0.0303, 0.0011]","[0.0484, 0.0026]","[0.0205, 0.0006]","[0.0508, 0.0033]","[0.1159, 0.0056]","[0.1502, 0.0063]","[0.176, 0.0067]","[0.0724, 0.0044]","[0.2862, 0.008]"
CE-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5218, 0.0556]","[0.0541, 0.0027]","[0.0494, 0.0022]","[0.0459, 0.0019]","[0.0617, 0.0036]","[0.0344, 0.0012]","[0.152, 0.0047]","[0.043, 0.0018]","[0.0378, 0.0014]","[0.0339, 0.0012]","[0.0536, 0.0027]","[0.0222, 0.0007]","[0.0571, 0.0035]","[0.1285, 0.0059]","[0.1667, 0.0066]","[0.197, 0.007]","[0.0823, 0.0047]","[0.3137, 0.0083]"
CE-NCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5195, 0.0556]","[0.0543, 0.0027]","[0.0495, 0.0022]","[0.0459, 0.0019]","[0.062, 0.0036]","[0.0345, 0.0012]","[0.1516, 0.0046]","[0.043, 0.0018]","[0.0376, 0.0014]","[0.0337, 0.0012]","[0.0537, 0.0027]","[0.0224, 0.0007]","[0.0569, 0.0035]","[0.1287, 0.0058]","[0.1647, 0.0065]","[0.1954, 0.0069]","[0.082, 0.0047]","[0.3124, 0.0082]"
CE-NCF,100,1,128,128,0.001,,0.0001,100,5,"[2.5783, 0.0555]","[0.053, 0.0026]","[0.0481, 0.0022]","[0.0445, 0.0019]","[0.0605, 0.0036]","[0.0333, 0.0012]","[0.1457, 0.0045]","[0.0423, 0.0018]","[0.036, 0.0014]","[0.0324, 0.0012]","[0.0517, 0.0027]","[0.0216, 0.0007]","[0.055, 0.0035]","[0.1238, 0.0057]","[0.1566, 0.0063]","[0.1859, 0.0068]","[0.0771, 0.0046]","[0.3006, 0.0081]"
CE-NCF,100,1,128,128,0.001,,0.0005,100,5,"[2.5554, 0.0552]","[0.0518, 0.0026]","[0.0474, 0.0021]","[0.0441, 0.0019]","[0.0581, 0.0035]","[0.0335, 0.0012]","[0.1482, 0.0045]","[0.0419, 0.0018]","[0.0369, 0.0014]","[0.0327, 0.0012]","[0.0512, 0.0026]","[0.0224, 0.0007]","[0.0533, 0.0033]","[0.1235, 0.0057]","[0.1625, 0.0065]","[0.1897, 0.0069]","[0.077, 0.0045]","[0.3117, 0.0081]"
CE-NCF,100,1,128,128,0.001,,0.001,100,5,"[2.5009, 0.0553]","[0.0513, 0.0026]","[0.0474, 0.0021]","[0.0445, 0.0019]","[0.0571, 0.0034]","[0.0344, 0.0012]","[0.1511, 0.0045]","[0.0426, 0.0018]","[0.0379, 0.0015]","[0.0342, 0.0012]","[0.051, 0.0026]","[0.0233, 0.0007]","[0.0542, 0.0034]","[0.1259, 0.0058]","[0.165, 0.0065]","[0.1953, 0.0069]","[0.0788, 0.0046]","[0.3203, 0.0083]"
CE-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.6992, 0.0556]","[0.0463, 0.0024]","[0.0425, 0.002]","[0.0394, 0.0017]","[0.0517, 0.0033]","[0.0295, 0.0011]","[0.1325, 0.0043]","[0.038, 0.0017]","[0.0327, 0.0013]","[0.0289, 0.001]","[0.0448, 0.0024]","[0.0192, 0.0006]","[0.0464, 0.0031]","[0.1153, 0.0055]","[0.1484, 0.0062]","[0.1739, 0.0067]","[0.0696, 0.0044]","[0.2803, 0.008]"
CE-NCF,200,1,128,128,5e-05,,0.0005,100,5,"[2.5572, 0.0558]","[0.053, 0.0026]","[0.0479, 0.0021]","[0.0443, 0.0018]","[0.0604, 0.0036]","[0.0331, 0.0011]","[0.1485, 0.0046]","[0.0421, 0.0017]","[0.0357, 0.0013]","[0.0322, 0.0011]","[0.0521, 0.0026]","[0.0213, 0.0006]","[0.0557, 0.0035]","[0.1301, 0.0059]","[0.1624, 0.0065]","[0.1932, 0.007]","[0.0817, 0.0047]","[0.3043, 0.0082]"
CE-NCF,200,1,128,128,5e-05,,0.001,100,5,"[2.51, 0.0557]","[0.0538, 0.0026]","[0.0491, 0.0022]","[0.0455, 0.0019]","[0.0608, 0.0036]","[0.0341, 0.0012]","[0.1506, 0.0046]","[0.0432, 0.0018]","[0.0374, 0.0014]","[0.0335, 0.0012]","[0.0538, 0.0027]","[0.022, 0.0007]","[0.0564, 0.0035]","[0.1316, 0.006]","[0.1678, 0.0066]","[0.1986, 0.0071]","[0.0841, 0.0048]","[0.3094, 0.0082]"
CE-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.6708, 0.0556]","[0.0466, 0.0024]","[0.0426, 0.002]","[0.0397, 0.0017]","[0.0523, 0.0033]","[0.0298, 0.0011]","[0.1347, 0.0043]","[0.0377, 0.0016]","[0.0329, 0.0013]","[0.0295, 0.0011]","[0.0467, 0.0025]","[0.0194, 0.0006]","[0.0484, 0.0032]","[0.1167, 0.0055]","[0.1511, 0.0063]","[0.1776, 0.0067]","[0.074, 0.0045]","[0.2843, 0.008]"
CE-NCF,200,1,128,128,0.0001,,0.0005,100,5,"[2.527, 0.0557]","[0.0525, 0.0026]","[0.048, 0.0021]","[0.0445, 0.0018]","[0.0588, 0.0035]","[0.0333, 0.0011]","[0.1487, 0.0046]","[0.0424, 0.0017]","[0.0368, 0.0013]","[0.0329, 0.0011]","[0.0525, 0.0027]","[0.0216, 0.0006]","[0.0551, 0.0035]","[0.1301, 0.0059]","[0.1675, 0.0066]","[0.1975, 0.007]","[0.082, 0.0047]","[0.3077, 0.0082]"
CE-NCF,200,1,128,128,0.0001,,0.001,100,5,"[2.5542, 0.0557]","[0.054, 0.0026]","[0.0491, 0.0022]","[0.0456, 0.0019]","[0.0608, 0.0036]","[0.0342, 0.0012]","[0.1495, 0.0046]","[0.0436, 0.0018]","[0.0374, 0.0014]","[0.0335, 0.0012]","[0.0538, 0.0027]","[0.0221, 0.0007]","[0.0576, 0.0035]","[0.1303, 0.0059]","[0.1651, 0.0065]","[0.1938, 0.007]","[0.0821, 0.0047]","[0.3074, 0.0082]"
CE-NCF,200,1,128,128,0.001,,0.0001,100,5,"[2.6058, 0.0557]","[0.0492, 0.0025]","[0.0449, 0.0021]","[0.0417, 0.0018]","[0.0556, 0.0034]","[0.0313, 0.0011]","[0.1392, 0.0044]","[0.0396, 0.0017]","[0.0344, 0.0013]","[0.0307, 0.0011]","[0.0487, 0.0025]","[0.0202, 0.0006]","[0.0509, 0.0033]","[0.1204, 0.0056]","[0.1555, 0.0063]","[0.1835, 0.0067]","[0.0761, 0.0045]","[0.2909, 0.008]"
CE-NCF,200,1,128,128,0.001,,0.0005,100,5,"[2.4838, 0.0552]","[0.0538, 0.0026]","[0.0491, 0.0022]","[0.0457, 0.0019]","[0.061, 0.0036]","[0.0345, 0.0012]","[0.1534, 0.0046]","[0.0428, 0.0018]","[0.0379, 0.0014]","[0.034, 0.0012]","[0.0536, 0.0027]","[0.0228, 0.0007]","[0.0577, 0.0035]","[0.1277, 0.0058]","[0.1668, 0.0065]","[0.1985, 0.007]","[0.0813, 0.0046]","[0.3201, 0.0082]"
CE-NCF,200,1,128,128,0.001,,0.001,100,5,"[2.5413, 0.055]","[0.0507, 0.0026]","[0.0464, 0.0021]","[0.0433, 0.0019]","[0.057, 0.0035]","[0.0332, 0.0012]","[0.1466, 0.0044]","[0.0412, 0.0018]","[0.0362, 0.0014]","[0.0326, 0.0012]","[0.0505, 0.0027]","[0.0226, 0.0007]","[0.0519, 0.0033]","[0.1215, 0.0057]","[0.1575, 0.0063]","[0.1877, 0.0068]","[0.0742, 0.0044]","[0.3128, 0.0082]"
