model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.4785, 0.0554]","[0.0569, 0.0028]","[0.0516, 0.0023]","[0.0478, 0.002]","[0.0653, 0.0038]","[0.0357, 0.0012]","[0.157, 0.0047]","[0.0449, 0.0018]","[0.0388, 0.0015]","[0.0347, 0.0012]","[0.056, 0.0028]","[0.0232, 0.0007]","[0.0597, 0.0036]","[0.1332, 0.006]","[0.1692, 0.0066]","[0.1993, 0.007]","[0.0857, 0.0049]","[0.3219, 0.0082]"
CE-VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.4416, 0.055]","[0.0541, 0.0026]","[0.0496, 0.0022]","[0.0463, 0.0019]","[0.061, 0.0036]","[0.0354, 0.0012]","[0.1569, 0.0046]","[0.0436, 0.0018]","[0.0386, 0.0014]","[0.035, 0.0012]","[0.0541, 0.0027]","[0.0237, 0.0007]","[0.0585, 0.0035]","[0.1307, 0.0059]","[0.1692, 0.0065]","[0.2017, 0.007]","[0.0829, 0.0047]","[0.3288, 0.0083]"
CE-VNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.4901, 0.0553]","[0.0535, 0.0026]","[0.0488, 0.0022]","[0.0454, 0.0019]","[0.0603, 0.0036]","[0.0346, 0.0012]","[0.1524, 0.0046]","[0.0433, 0.0018]","[0.0374, 0.0014]","[0.034, 0.0012]","[0.0533, 0.0027]","[0.0231, 0.0007]","[0.0569, 0.0035]","[0.1291, 0.0059]","[0.1637, 0.0065]","[0.1956, 0.0069]","[0.0815, 0.0047]","[0.3179, 0.0082]"
CE-VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.4871, 0.0555]","[0.0553, 0.0027]","[0.0504, 0.0022]","[0.0468, 0.0019]","[0.0626, 0.0036]","[0.0353, 0.0012]","[0.1532, 0.0046]","[0.0438, 0.0018]","[0.0387, 0.0015]","[0.0347, 0.0012]","[0.0558, 0.0028]","[0.023, 0.0007]","[0.0581, 0.0035]","[0.1283, 0.0058]","[0.168, 0.0066]","[0.1986, 0.007]","[0.0836, 0.0048]","[0.3167, 0.0082]"
CE-VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5202, 0.0552]","[0.053, 0.0026]","[0.0485, 0.0022]","[0.0451, 0.0019]","[0.0598, 0.0036]","[0.0342, 0.0012]","[0.1506, 0.0045]","[0.043, 0.0018]","[0.0373, 0.0014]","[0.0333, 0.0012]","[0.0525, 0.0027]","[0.0229, 0.0007]","[0.0549, 0.0035]","[0.1272, 0.0058]","[0.163, 0.0065]","[0.1909, 0.0069]","[0.0802, 0.0047]","[0.3154, 0.0082]"
CE-VNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5682, 0.055]","[0.0466, 0.0025]","[0.0433, 0.0021]","[0.0408, 0.0018]","[0.051, 0.0033]","[0.032, 0.0012]","[0.1406, 0.0042]","[0.0397, 0.0017]","[0.035, 0.0014]","[0.0322, 0.0012]","[0.0467, 0.0025]","[0.0223, 0.0007]","[0.0466, 0.0031]","[0.1151, 0.0055]","[0.1525, 0.0063]","[0.1857, 0.0068]","[0.0682, 0.0042]","[0.3082, 0.0081]"
CE-VNCF,100,1,128,128,0.001,,0.0001,100,5,"[2.838, 0.0545]","[0.0397, 0.0023]","[0.0371, 0.0019]","[0.0351, 0.0017]","[0.0436, 0.003]","[0.0279, 0.0011]","[0.1215, 0.0039]","[0.0336, 0.0016]","[0.0306, 0.0013]","[0.0279, 0.0011]","[0.0392, 0.0023]","[0.02, 0.0007]","[0.0402, 0.0028]","[0.0937, 0.0049]","[0.1268, 0.0057]","[0.1523, 0.0062]","[0.0565, 0.0039]","[0.27, 0.0078]"
CE-VNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.3282, 0.052]","[0.0256, 0.0018]","[0.0242, 0.0015]","[0.0231, 0.0014]","[0.0275, 0.0024]","[0.0191, 0.0009]","[0.0833, 0.0033]","[0.0227, 0.0013]","[0.0208, 0.0011]","[0.0193, 0.0009]","[0.0257, 0.0019]","[0.0145, 0.0006]","[0.0255, 0.0023]","[0.0624, 0.0041]","[0.0853, 0.0047]","[0.1043, 0.0052]","[0.0359, 0.0031]","[0.1918, 0.0068]"
CE-VNCF,100,1,128,128,0.001,,0.001,100,5,"[3.2915, 0.0525]","[0.0291, 0.002]","[0.0272, 0.0016]","[0.0256, 0.0014]","[0.032, 0.0026]","[0.0205, 0.0009]","[0.0893, 0.0035]","[0.0247, 0.0014]","[0.0223, 0.0011]","[0.0202, 0.001]","[0.0289, 0.002]","[0.0152, 0.0006]","[0.0295, 0.0025]","[0.0678, 0.0042]","[0.0902, 0.0048]","[0.1071, 0.0052]","[0.0401, 0.0033]","[0.2003, 0.007]"
CE-VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.5303, 0.0554]","[0.0514, 0.0026]","[0.0471, 0.0021]","[0.0439, 0.0018]","[0.0579, 0.0035]","[0.0332, 0.0011]","[0.1495, 0.0046]","[0.042, 0.0017]","[0.0367, 0.0014]","[0.0324, 0.0011]","[0.051, 0.0026]","[0.0219, 0.0006]","[0.0559, 0.0035]","[0.129, 0.0059]","[0.1666, 0.0066]","[0.1943, 0.007]","[0.0791, 0.0046]","[0.3131, 0.0083]"
