model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.6474, 0.0556]","[0.049, 0.0026]","[0.0448, 0.0021]","[0.0416, 0.0018]","[0.0552, 0.0035]","[0.0314, 0.0011]","[0.1384, 0.0044]","[0.0398, 0.0017]","[0.0342, 0.0013]","[0.0309, 0.0011]","[0.0484, 0.0026]","[0.0205, 0.0006]","[0.0501, 0.0033]","[0.1184, 0.0056]","[0.1507, 0.0063]","[0.1788, 0.0067]","[0.0714, 0.0044]","[0.2893, 0.008]"
E-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.5268, 0.0558]","[0.0534, 0.0026]","[0.0488, 0.0022]","[0.0453, 0.0019]","[0.0597, 0.0035]","[0.0342, 0.0012]","[0.1496, 0.0046]","[0.0436, 0.0018]","[0.0372, 0.0014]","[0.0335, 0.0012]","[0.0535, 0.0027]","[0.0221, 0.0007]","[0.0545, 0.0034]","[0.1299, 0.0058]","[0.1652, 0.0065]","[0.1951, 0.0069]","[0.0812, 0.0046]","[0.3115, 0.0082]"
E-NCF,100,1,128,128,5e-05,,0.001,100,5,"[2.555, 0.0558]","[0.0534, 0.0026]","[0.0489, 0.0022]","[0.0454, 0.0019]","[0.06, 0.0036]","[0.0341, 0.0012]","[0.1496, 0.0046]","[0.0437, 0.0018]","[0.0377, 0.0014]","[0.0336, 0.0012]","[0.0525, 0.0027]","[0.0221, 0.0007]","[0.0562, 0.0035]","[0.1298, 0.0059]","[0.1653, 0.0065]","[0.1945, 0.007]","[0.0805, 0.0047]","[0.3086, 0.0082]"
E-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6568, 0.0555]","[0.0497, 0.0026]","[0.0453, 0.0021]","[0.0421, 0.0019]","[0.0564, 0.0035]","[0.0317, 0.0012]","[0.1405, 0.0045]","[0.0401, 0.0017]","[0.0348, 0.0014]","[0.0311, 0.0011]","[0.0492, 0.0026]","[0.0209, 0.0007]","[0.0523, 0.0034]","[0.119, 0.0056]","[0.1532, 0.0063]","[0.181, 0.0068]","[0.074, 0.0044]","[0.2922, 0.008]"
E-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5512, 0.0557]","[0.0535, 0.0026]","[0.0488, 0.0022]","[0.0453, 0.0019]","[0.0602, 0.0036]","[0.034, 0.0012]","[0.1494, 0.0046]","[0.0432, 0.0018]","[0.0373, 0.0014]","[0.0335, 0.0012]","[0.0521, 0.0027]","[0.0222, 0.0007]","[0.0552, 0.0034]","[0.1292, 0.0059]","[0.1642, 0.0066]","[0.194, 0.007]","[0.0797, 0.0046]","[0.3081, 0.0082]"
E-NCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5192, 0.0556]","[0.0528, 0.0026]","[0.0485, 0.0022]","[0.0452, 0.0019]","[0.0597, 0.0035]","[0.0342, 0.0012]","[0.1494, 0.0046]","[0.0433, 0.0018]","[0.0378, 0.0014]","[0.0338, 0.0012]","[0.0522, 0.0027]","[0.0224, 0.0007]","[0.0543, 0.0034]","[0.1281, 0.0058]","[0.1658, 0.0065]","[0.1951, 0.0069]","[0.0792, 0.0046]","[0.3098, 0.0082]"
E-NCF,100,1,128,128,0.001,,0.0001,100,5,"[2.5985, 0.0554]","[0.0505, 0.0026]","[0.0461, 0.0021]","[0.0429, 0.0019]","[0.0569, 0.0035]","[0.0325, 0.0012]","[0.1429, 0.0044]","[0.0406, 0.0018]","[0.0355, 0.0014]","[0.032, 0.0012]","[0.0507, 0.0026]","[0.0215, 0.0007]","[0.0519, 0.0033]","[0.1198, 0.0056]","[0.1569, 0.0064]","[0.1869, 0.0069]","[0.0768, 0.0045]","[0.2998, 0.0081]"
E-NCF,100,1,128,128,0.001,,0.0005,100,5,"[2.53, 0.0551]","[0.0468, 0.0024]","[0.0443, 0.002]","[0.0419, 0.0018]","[0.0488, 0.0031]","[0.033, 0.0012]","[0.143, 0.0042]","[0.0423, 0.0018]","[0.0372, 0.0014]","[0.0334, 0.0012]","[0.0483, 0.0026]","[0.0229, 0.0007]","[0.047, 0.0031]","[0.1235, 0.0057]","[0.161, 0.0064]","[0.191, 0.0069]","[0.0714, 0.0043]","[0.3169, 0.0082]"
E-NCF,100,1,128,128,0.001,,0.001,100,5,"[2.5071, 0.0551]","[0.0509, 0.0026]","[0.0471, 0.0022]","[0.0442, 0.0019]","[0.0563, 0.0035]","[0.0341, 0.0012]","[0.1487, 0.0045]","[0.0425, 0.0018]","[0.0375, 0.0015]","[0.0342, 0.0012]","[0.0506, 0.0027]","[0.023, 0.0007]","[0.052, 0.0033]","[0.1232, 0.0057]","[0.162, 0.0065]","[0.1944, 0.007]","[0.0758, 0.0045]","[0.317, 0.0082]"
E-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.6973, 0.0556]","[0.0464, 0.0024]","[0.0423, 0.002]","[0.0393, 0.0017]","[0.0525, 0.0033]","[0.0294, 0.0011]","[0.1322, 0.0043]","[0.0372, 0.0016]","[0.0324, 0.0013]","[0.029, 0.001]","[0.0464, 0.0025]","[0.019, 0.0006]","[0.0484, 0.0032]","[0.113, 0.0055]","[0.1468, 0.0062]","[0.1749, 0.0067]","[0.0712, 0.0044]","[0.2792, 0.008]"
E-NCF,200,1,128,128,5e-05,,0.0005,100,5,"[2.575, 0.0556]","[0.0519, 0.0026]","[0.0471, 0.0021]","[0.0436, 0.0019]","[0.059, 0.0036]","[0.0325, 0.0011]","[0.1459, 0.0045]","[0.0413, 0.0017]","[0.0354, 0.0013]","[0.0315, 0.0011]","[0.0511, 0.0026]","[0.021, 0.0006]","[0.0544, 0.0035]","[0.1276, 0.0058]","[0.1622, 0.0065]","[0.1913, 0.007]","[0.0782, 0.0045]","[0.3029, 0.0082]"
E-NCF,200,1,128,128,5e-05,,0.001,100,5,"[2.5459, 0.0556]","[0.0532, 0.0026]","[0.0485, 0.0022]","[0.045, 0.0019]","[0.0601, 0.0036]","[0.0338, 0.0012]","[0.1486, 0.0046]","[0.0431, 0.0018]","[0.0368, 0.0014]","[0.0331, 0.0012]","[0.0522, 0.0027]","[0.022, 0.0007]","[0.0562, 0.0035]","[0.129, 0.0059]","[0.1617, 0.0065]","[0.1912, 0.007]","[0.0793, 0.0046]","[0.3071, 0.0081]"
E-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.6684, 0.0556]","[0.0478, 0.0025]","[0.0436, 0.002]","[0.0404, 0.0018]","[0.0536, 0.0033]","[0.0302, 0.0011]","[0.136, 0.0044]","[0.0384, 0.0017]","[0.0331, 0.0013]","[0.0294, 0.0011]","[0.0471, 0.0025]","[0.0194, 0.0006]","[0.0497, 0.0032]","[0.1177, 0.0056]","[0.1502, 0.0062]","[0.1773, 0.0067]","[0.0734, 0.0044]","[0.2861, 0.008]"
E-NCF,200,1,128,128,0.0001,,0.0005,100,5,"[2.5109, 0.0556]","[0.054, 0.0027]","[0.0491, 0.0022]","[0.0454, 0.0019]","[0.0616, 0.0036]","[0.0337, 0.0012]","[0.1512, 0.0046]","[0.0429, 0.0017]","[0.0371, 0.0014]","[0.033, 0.0011]","[0.0525, 0.0027]","[0.0215, 0.0006]","[0.057, 0.0035]","[0.1327, 0.0059]","[0.1704, 0.0066]","[0.1982, 0.007]","[0.0814, 0.0047]","[0.3104, 0.0082]"
E-NCF,200,1,128,128,0.0001,,0.001,100,5,"[2.5227, 0.0558]","[0.0549, 0.0027]","[0.05, 0.0022]","[0.0464, 0.0019]","[0.0623, 0.0036]","[0.0346, 0.0012]","[0.1519, 0.0046]","[0.0441, 0.0018]","[0.0381, 0.0014]","[0.034, 0.0012]","[0.0539, 0.0027]","[0.0223, 0.0007]","[0.0578, 0.0035]","[0.1322, 0.006]","[0.1673, 0.0066]","[0.1969, 0.007]","[0.0827, 0.0047]","[0.3114, 0.0082]"
