model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.6816, 0.0557]","[0.0483, 0.0025]","[0.0445, 0.0021]","[0.0415, 0.0018]","[0.0543, 0.0034]","[0.0313, 0.0011]","[0.1369, 0.0044]","[0.0395, 0.0017]","[0.035, 0.0014]","[0.031, 0.0011]","[0.0476, 0.0026]","[0.0204, 0.0006]","[0.0505, 0.0033]","[0.1163, 0.0056]","[0.1533, 0.0063]","[0.1793, 0.0067]","[0.0716, 0.0044]","[0.2861, 0.008]"
NCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.5074, 0.0555]","[0.0546, 0.0027]","[0.0499, 0.0022]","[0.0463, 0.0019]","[0.0617, 0.0036]","[0.0346, 0.0012]","[0.1528, 0.0046]","[0.0439, 0.0018]","[0.0382, 0.0014]","[0.034, 0.0012]","[0.0545, 0.0028]","[0.0225, 0.0007]","[0.0585, 0.0035]","[0.1318, 0.0059]","[0.1682, 0.0065]","[0.1972, 0.0069]","[0.0834, 0.0047]","[0.3159, 0.0082]"
NCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5243, 0.0559]","[0.0552, 0.0027]","[0.0502, 0.0022]","[0.0466, 0.0019]","[0.0623, 0.0036]","[0.0347, 0.0012]","[0.1505, 0.0046]","[0.0443, 0.0018]","[0.038, 0.0015]","[0.0343, 0.0012]","[0.0547, 0.0028]","[0.0222, 0.0007]","[0.0585, 0.0035]","[0.1299, 0.0058]","[0.1659, 0.0065]","[0.1982, 0.007]","[0.0834, 0.0048]","[0.3071, 0.0081]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6676, 0.0556]","[0.0506, 0.0026]","[0.046, 0.0022]","[0.0425, 0.0019]","[0.0575, 0.0035]","[0.0317, 0.0012]","[0.1401, 0.0045]","[0.0405, 0.0018]","[0.0344, 0.0014]","[0.0306, 0.0011]","[0.0502, 0.0027]","[0.0206, 0.0007]","[0.0543, 0.0034]","[0.1191, 0.0056]","[0.1499, 0.0062]","[0.1763, 0.0067]","[0.0753, 0.0045]","[0.2888, 0.008]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.4808, 0.0557]","[0.0556, 0.0027]","[0.0506, 0.0022]","[0.0469, 0.0019]","[0.0627, 0.0036]","[0.0351, 0.0012]","[0.1529, 0.0046]","[0.0447, 0.0018]","[0.0384, 0.0014]","[0.0344, 0.0012]","[0.0549, 0.0027]","[0.0224, 0.0007]","[0.0577, 0.0034]","[0.1321, 0.0058]","[0.1696, 0.0066]","[0.2002, 0.007]","[0.0827, 0.0047]","[0.3138, 0.0082]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5306, 0.0556]","[0.0539, 0.0027]","[0.0491, 0.0022]","[0.0455, 0.0019]","[0.0614, 0.0036]","[0.0343, 0.0012]","[0.1509, 0.0046]","[0.0429, 0.0018]","[0.0374, 0.0014]","[0.0334, 0.0012]","[0.0531, 0.0027]","[0.0225, 0.0007]","[0.0572, 0.0035]","[0.1279, 0.0058]","[0.1643, 0.0064]","[0.1938, 0.0069]","[0.0805, 0.0047]","[0.311, 0.0082]"
NCF,100,1,128,128,0.001,,0.0001,100,5,"[2.6034, 0.0554]","[0.0509, 0.0026]","[0.0465, 0.0021]","[0.0432, 0.0019]","[0.0573, 0.0035]","[0.0327, 0.0012]","[0.1433, 0.0044]","[0.0411, 0.0018]","[0.0357, 0.0014]","[0.0321, 0.0012]","[0.0506, 0.0026]","[0.0216, 0.0007]","[0.0531, 0.0033]","[0.1208, 0.0056]","[0.1553, 0.0063]","[0.1826, 0.0068]","[0.0764, 0.0045]","[0.2995, 0.008]"
NCF,100,1,128,128,0.001,,0.0005,100,5,"[2.5165, 0.0554]","[0.0522, 0.0026]","[0.048, 0.0021]","[0.0447, 0.0019]","[0.0585, 0.0035]","[0.0342, 0.0012]","[0.1505, 0.0045]","[0.0429, 0.0018]","[0.0374, 0.0014]","[0.0336, 0.0012]","[0.052, 0.0026]","[0.0227, 0.0007]","[0.0552, 0.0034]","[0.1275, 0.0058]","[0.1641, 0.0065]","[0.1946, 0.007]","[0.079, 0.0046]","[0.3164, 0.0083]"
NCF,100,1,128,128,0.001,,0.001,100,5,"[2.5022, 0.0554]","[0.0525, 0.0026]","[0.0483, 0.0022]","[0.0451, 0.0019]","[0.0586, 0.0035]","[0.0345, 0.0012]","[0.1514, 0.0045]","[0.0433, 0.0018]","[0.0377, 0.0014]","[0.0342, 0.0012]","[0.0514, 0.0026]","[0.0231, 0.0007]","[0.0555, 0.0034]","[0.1266, 0.0057]","[0.163, 0.0064]","[0.1955, 0.0069]","[0.0774, 0.0045]","[0.3205, 0.0083]"
NCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.6842, 0.0556]","[0.0478, 0.0025]","[0.0435, 0.002]","[0.0402, 0.0018]","[0.054, 0.0034]","[0.0299, 0.0011]","[0.1353, 0.0044]","[0.0387, 0.0017]","[0.0327, 0.0013]","[0.0292, 0.0011]","[0.0478, 0.0025]","[0.0192, 0.0006]","[0.0504, 0.0033]","[0.119, 0.0057]","[0.1491, 0.0063]","[0.1765, 0.0068]","[0.075, 0.0045]","[0.283, 0.008]"
