model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.4817, 0.0555]","[0.0547, 0.0027]","[0.05, 0.0022]","[0.0465, 0.0019]","[0.0612, 0.0036]","[0.0352, 0.0012]","[0.1543, 0.0046]","[0.0448, 0.0018]","[0.0384, 0.0015]","[0.0345, 0.0012]","[0.0545, 0.0027]","[0.0232, 0.0007]","[0.058, 0.0035]","[0.1326, 0.0059]","[0.1671, 0.0065]","[0.1986, 0.007]","[0.0828, 0.0047]","[0.3205, 0.0082]"
VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.4428, 0.0556]","[0.0564, 0.0027]","[0.0516, 0.0022]","[0.0479, 0.0019]","[0.0627, 0.0036]","[0.036, 0.0012]","[0.1571, 0.0046]","[0.0461, 0.0019]","[0.0395, 0.0015]","[0.0351, 0.0012]","[0.057, 0.0028]","[0.0235, 0.0007]","[0.0592, 0.0035]","[0.1363, 0.0059]","[0.1717, 0.0065]","[0.2014, 0.007]","[0.0864, 0.0048]","[0.3254, 0.0083]"
VNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5257, 0.0548]","[0.0511, 0.0026]","[0.0468, 0.0022]","[0.0437, 0.0019]","[0.058, 0.0036]","[0.0336, 0.0012]","[0.1484, 0.0045]","[0.0413, 0.0018]","[0.0365, 0.0014]","[0.0329, 0.0012]","[0.0495, 0.0026]","[0.0228, 0.0007]","[0.053, 0.0034]","[0.1213, 0.0057]","[0.1589, 0.0064]","[0.1884, 0.0068]","[0.0753, 0.0045]","[0.3143, 0.0081]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.476, 0.0556]","[0.056, 0.0027]","[0.051, 0.0022]","[0.0474, 0.0019]","[0.0635, 0.0037]","[0.0356, 0.0012]","[0.1553, 0.0047]","[0.0451, 0.0018]","[0.0386, 0.0014]","[0.0349, 0.0012]","[0.0551, 0.0027]","[0.023, 0.0007]","[0.0601, 0.0036]","[0.1335, 0.0059]","[0.1694, 0.0066]","[0.2001, 0.007]","[0.0836, 0.0048]","[0.3186, 0.0082]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5119, 0.0553]","[0.0504, 0.0025]","[0.0466, 0.0021]","[0.0438, 0.0018]","[0.056, 0.0034]","[0.0338, 0.0012]","[0.1482, 0.0044]","[0.0423, 0.0018]","[0.0373, 0.0014]","[0.0338, 0.0012]","[0.0502, 0.0026]","[0.023, 0.0007]","[0.0513, 0.0032]","[0.1248, 0.0058]","[0.1623, 0.0064]","[0.1937, 0.0069]","[0.0755, 0.0045]","[0.3156, 0.0081]"
VNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.64, 0.055]","[0.0447, 0.0024]","[0.0415, 0.002]","[0.0391, 0.0017]","[0.0492, 0.0032]","[0.0307, 0.0011]","[0.1357, 0.0042]","[0.0378, 0.0017]","[0.0336, 0.0013]","[0.0308, 0.0012]","[0.0452, 0.0025]","[0.0214, 0.0007]","[0.0454, 0.0031]","[0.113, 0.0055]","[0.1476, 0.0062]","[0.1769, 0.0067]","[0.0699, 0.0044]","[0.2946, 0.0079]"
VNCF,100,1,128,128,0.001,,0.0001,100,5,"[2.9389, 0.0545]","[0.0356, 0.0022]","[0.0336, 0.0018]","[0.0318, 0.0016]","[0.0383, 0.0029]","[0.0256, 0.001]","[0.1114, 0.0037]","[0.0314, 0.0016]","[0.0282, 0.0013]","[0.0258, 0.0011]","[0.0362, 0.0023]","[0.0187, 0.0007]","[0.0353, 0.0027]","[0.0878, 0.0047]","[0.1168, 0.0054]","[0.1427, 0.006]","[0.051, 0.0037]","[0.2511, 0.0076]"
VNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.1931, 0.0528]","[0.0278, 0.0019]","[0.0264, 0.0016]","[0.0254, 0.0014]","[0.0298, 0.0025]","[0.0212, 0.0009]","[0.0934, 0.0034]","[0.0249, 0.0014]","[0.0231, 0.0012]","[0.0218, 0.001]","[0.0273, 0.0019]","[0.0163, 0.0006]","[0.0277, 0.0023]","[0.0685, 0.0042]","[0.0935, 0.0049]","[0.1177, 0.0055]","[0.0387, 0.0032]","[0.2164, 0.0071]"
VNCF,100,1,128,128,0.001,,0.001,100,5,"[3.3181, 0.0523]","[0.0282, 0.002]","[0.0262, 0.0016]","[0.0247, 0.0014]","[0.0309, 0.0026]","[0.02, 0.0009]","[0.0873, 0.0034]","[0.024, 0.0014]","[0.0213, 0.0011]","[0.0196, 0.001]","[0.0281, 0.002]","[0.0149, 0.0006]","[0.0282, 0.0024]","[0.0652, 0.0042]","[0.0871, 0.0048]","[0.1058, 0.0053]","[0.0394, 0.0033]","[0.1978, 0.007]"
VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.5192, 0.0554]","[0.0526, 0.0026]","[0.0479, 0.0021]","[0.0444, 0.0018]","[0.0597, 0.0035]","[0.0333, 0.0011]","[0.1495, 0.0045]","[0.0419, 0.0017]","[0.0365, 0.0014]","[0.0324, 0.0011]","[0.0523, 0.0026]","[0.0217, 0.0006]","[0.0553, 0.0034]","[0.1293, 0.0059]","[0.1654, 0.0066]","[0.1945, 0.007]","[0.0815, 0.0047]","[0.312, 0.0082]"
