model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[3.3169, 0.0509]","[0.0259, 0.0018]","[0.0244, 0.0015]","[0.0233, 0.0013]","[0.028, 0.0024]","[0.0198, 0.0009]","[0.062, 0.0025]","[0.0229, 0.0013]","[0.0209, 0.001]","[0.0195, 0.0009]","[0.0255, 0.0018]","[0.0159, 0.0006]","[0.0231, 0.0017]","[0.0373, 0.003]","[0.0515, 0.0034]","[0.0653, 0.0039]","[0.0224, 0.0024]","[0.1289, 0.0053]"
CE-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[3.1206, 0.0525]","[0.0319, 0.002]","[0.0299, 0.0017]","[0.0285, 0.0015]","[0.0349, 0.0027]","[0.0235, 0.001]","[0.0736, 0.0028]","[0.0274, 0.0014]","[0.0251, 0.0011]","[0.0234, 0.001]","[0.0319, 0.0021]","[0.018, 0.0006]","[0.0286, 0.002]","[0.0481, 0.0035]","[0.0651, 0.004]","[0.08, 0.0044]","[0.028, 0.0027]","[0.1502, 0.0058]"
CE-NCF,100,1,128,128,5e-05,,0.001,100,5,"[3.118, 0.0522]","[0.0305, 0.0019]","[0.0289, 0.0016]","[0.0276, 0.0014]","[0.0329, 0.0025]","[0.0233, 0.001]","[0.073, 0.0027]","[0.0267, 0.0014]","[0.0246, 0.0011]","[0.0232, 0.001]","[0.0304, 0.002]","[0.0184, 0.0007]","[0.0283, 0.0019]","[0.0446, 0.0032]","[0.0618, 0.0038]","[0.0777, 0.0042]","[0.0266, 0.0026]","[0.1506, 0.0057]"
CE-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[3.282, 0.0514]","[0.0269, 0.0018]","[0.0255, 0.0015]","[0.0244, 0.0013]","[0.0292, 0.0024]","[0.0205, 0.0009]","[0.0635, 0.0025]","[0.0239, 0.0013]","[0.022, 0.0011]","[0.0205, 0.0009]","[0.0267, 0.0018]","[0.0161, 0.0006]","[0.0241, 0.0017]","[0.0403, 0.0032]","[0.056, 0.0037]","[0.0681, 0.004]","[0.023, 0.0023]","[0.131, 0.0054]"
CE-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[3.1023, 0.0526]","[0.032, 0.002]","[0.0301, 0.0016]","[0.0287, 0.0014]","[0.0344, 0.0026]","[0.0239, 0.001]","[0.0745, 0.0028]","[0.028, 0.0014]","[0.0255, 0.0012]","[0.0239, 0.001]","[0.032, 0.002]","[0.0185, 0.0007]","[0.0289, 0.002]","[0.047, 0.0033]","[0.0644, 0.0039]","[0.0804, 0.0043]","[0.0292, 0.0027]","[0.1503, 0.0057]"
CE-NCF,100,1,128,128,0.0001,,0.001,100,5,"[3.0527, 0.0522]","[0.0312, 0.0019]","[0.0297, 0.0016]","[0.0285, 0.0014]","[0.0331, 0.0026]","[0.0242, 0.001]","[0.0766, 0.0027]","[0.0279, 0.0014]","[0.026, 0.0012]","[0.0242, 0.001]","[0.0311, 0.002]","[0.0191, 0.0007]","[0.0288, 0.0019]","[0.0499, 0.0035]","[0.0687, 0.0041]","[0.0839, 0.0045]","[0.0291, 0.0028]","[0.16, 0.0059]"
CE-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[3.5288, 0.0492]","[0.0215, 0.0016]","[0.0202, 0.0013]","[0.0192, 0.0012]","[0.0235, 0.0022]","[0.0162, 0.0008]","[0.0504, 0.0023]","[0.0183, 0.0011]","[0.0168, 0.0009]","[0.0159, 0.0008]","[0.0215, 0.0017]","[0.0127, 0.0005]","[0.0183, 0.0015]","[0.0319, 0.0028]","[0.0434, 0.0033]","[0.0542, 0.0036]","[0.018, 0.0021]","[0.1036, 0.0048]"
CE-NCF,200,1,128,128,5e-05,,0.0005,100,5,"[3.2613, 0.0514]","[0.0263, 0.0018]","[0.0249, 0.0015]","[0.0237, 0.0013]","[0.0284, 0.0024]","[0.0201, 0.0009]","[0.0639, 0.0025]","[0.0236, 0.0013]","[0.0212, 0.001]","[0.0199, 0.0009]","[0.0262, 0.0018]","[0.0159, 0.0006]","[0.0233, 0.0017]","[0.0434, 0.0033]","[0.0564, 0.0037]","[0.0694, 0.0041]","[0.0251, 0.0026]","[0.1321, 0.0054]"
CE-NCF,200,1,128,128,5e-05,,0.001,100,5,"[3.0688, 0.0526]","[0.0318, 0.002]","[0.0303, 0.0016]","[0.0291, 0.0015]","[0.0339, 0.0026]","[0.0244, 0.001]","[0.076, 0.0027]","[0.0286, 0.0014]","[0.0264, 0.0012]","[0.0247, 0.001]","[0.0321, 0.0021]","[0.0192, 0.0007]","[0.0285, 0.0019]","[0.048, 0.0034]","[0.0674, 0.004]","[0.0851, 0.0045]","[0.0284, 0.0027]","[0.1569, 0.0057]"
CE-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[3.5045, 0.0494]","[0.0211, 0.0016]","[0.02, 0.0013]","[0.0192, 0.0011]","[0.023, 0.0022]","[0.0163, 0.0008]","[0.0515, 0.0023]","[0.0183, 0.0011]","[0.0173, 0.0009]","[0.0165, 0.0008]","[0.0212, 0.0017]","[0.0128, 0.0005]","[0.0203, 0.0017]","[0.031, 0.0027]","[0.0441, 0.0032]","[0.0552, 0.0036]","[0.0183, 0.0021]","[0.1056, 0.0048]"
