model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.7047, 0.053]","[0.0393, 0.0022]","[0.0376, 0.0018]","[0.0362, 0.0016]","[0.0415, 0.0028]","[0.031, 0.0011]","[0.099, 0.0031]","[0.0358, 0.0016]","[0.0334, 0.0014]","[0.0312, 0.0012]","[0.0397, 0.0023]","[0.0249, 0.0008]","[0.0375, 0.0023]","[0.0627, 0.0039]","[0.0875, 0.0045]","[0.1086, 0.005]","[0.0357, 0.003]","[0.2089, 0.0065]"
E-VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.6878, 0.0527]","[0.0388, 0.0022]","[0.0374, 0.0019]","[0.0363, 0.0017]","[0.0407, 0.0029]","[0.0318, 0.0012]","[0.1014, 0.003]","[0.0359, 0.0017]","[0.0338, 0.0014]","[0.0325, 0.0013]","[0.038, 0.0022]","[0.026, 0.0009]","[0.0348, 0.002]","[0.0643, 0.004]","[0.0889, 0.0046]","[0.1135, 0.0052]","[0.0337, 0.0029]","[0.2189, 0.0067]"
E-VNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.7002, 0.0527]","[0.0398, 0.0022]","[0.038, 0.0019]","[0.0366, 0.0017]","[0.0428, 0.003]","[0.0317, 0.0012]","[0.1018, 0.0032]","[0.0357, 0.0017]","[0.0335, 0.0014]","[0.0319, 0.0012]","[0.0394, 0.0023]","[0.0257, 0.0008]","[0.037, 0.0023]","[0.064, 0.004]","[0.0893, 0.0047]","[0.1125, 0.0052]","[0.0355, 0.003]","[0.2157, 0.0067]"
E-VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.7028, 0.0527]","[0.0388, 0.0022]","[0.0371, 0.0019]","[0.0359, 0.0017]","[0.0417, 0.0029]","[0.0312, 0.0012]","[0.0998, 0.003]","[0.0347, 0.0016]","[0.0329, 0.0014]","[0.0316, 0.0012]","[0.0388, 0.0023]","[0.0255, 0.0008]","[0.0353, 0.0021]","[0.0602, 0.0038]","[0.0847, 0.0045]","[0.1088, 0.005]","[0.0346, 0.003]","[0.2131, 0.0066]"
E-VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.7389, 0.0528]","[0.0387, 0.0022]","[0.0369, 0.0019]","[0.0355, 0.0017]","[0.0415, 0.0029]","[0.0309, 0.0012]","[0.0986, 0.003]","[0.0349, 0.0017]","[0.0323, 0.0014]","[0.0312, 0.0012]","[0.0376, 0.0023]","[0.0254, 0.0008]","[0.0357, 0.0022]","[0.0603, 0.0038]","[0.0831, 0.0044]","[0.105, 0.0049]","[0.0336, 0.0029]","[0.2106, 0.0066]"
E-VNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.7436, 0.0532]","[0.0405, 0.0022]","[0.0385, 0.0019]","[0.0369, 0.0017]","[0.0437, 0.003]","[0.0313, 0.0012]","[0.0977, 0.0031]","[0.036, 0.0017]","[0.0334, 0.0014]","[0.0312, 0.0012]","[0.04, 0.0023]","[0.0248, 0.0008]","[0.0358, 0.0022]","[0.0625, 0.0039]","[0.0858, 0.0045]","[0.1046, 0.0049]","[0.0351, 0.003]","[0.2034, 0.0064]"
E-VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.8237, 0.0529]","[0.0363, 0.0021]","[0.0344, 0.0018]","[0.033, 0.0015]","[0.0389, 0.0028]","[0.028, 0.001]","[0.092, 0.003]","[0.0323, 0.0015]","[0.0297, 0.0012]","[0.0281, 0.0011]","[0.0357, 0.0022]","[0.0223, 0.0007]","[0.0339, 0.0022]","[0.0598, 0.0039]","[0.0822, 0.0045]","[0.1027, 0.0049]","[0.0346, 0.003]","[0.1929, 0.0063]"
E-VNCF,200,1,128,128,5e-05,,0.0005,100,5,"[2.6986, 0.053]","[0.0402, 0.0022]","[0.0383, 0.0019]","[0.0369, 0.0017]","[0.0434, 0.003]","[0.0317, 0.0012]","[0.1015, 0.0032]","[0.0359, 0.0017]","[0.0338, 0.0014]","[0.0318, 0.0012]","[0.039, 0.0023]","[0.0254, 0.0008]","[0.0372, 0.0023]","[0.0659, 0.0041]","[0.0904, 0.0047]","[0.112, 0.0051]","[0.0358, 0.0031]","[0.2119, 0.0066]"
E-VNCF,200,1,128,128,5e-05,,0.001,100,5,"[2.8525, 0.0527]","[0.0354, 0.0021]","[0.0339, 0.0018]","[0.0327, 0.0016]","[0.0375, 0.0028]","[0.0285, 0.0011]","[0.0896, 0.0029]","[0.032, 0.0016]","[0.0303, 0.0013]","[0.0289, 0.0012]","[0.0348, 0.0022]","[0.0235, 0.0008]","[0.0315, 0.002]","[0.0551, 0.0037]","[0.0773, 0.0043]","[0.0987, 0.0049]","[0.0302, 0.0028]","[0.1915, 0.0063]"
E-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.7717, 0.0528]","[0.0384, 0.0022]","[0.0366, 0.0019]","[0.0352, 0.0017]","[0.0412, 0.0029]","[0.03, 0.0011]","[0.0949, 0.003]","[0.0343, 0.0016]","[0.0324, 0.0014]","[0.0304, 0.0012]","[0.0378, 0.0023]","[0.0237, 0.0008]","[0.0341, 0.0021]","[0.0598, 0.0038]","[0.0843, 0.0045]","[0.1054, 0.0049]","[0.0341, 0.003]","[0.2004, 0.0064]"
