model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,128,128,5e-05,,0.0001,100,5,"[3.2888, 0.0512]","[0.0257, 0.0017]","[0.0244, 0.0014]","[0.0234, 0.0013]","[0.0274, 0.0023]","[0.02, 0.0009]","[0.0628, 0.0024]","[0.023, 0.0013]","[0.0208, 0.001]","[0.0201, 0.0009]","[0.0251, 0.0018]","[0.016, 0.0006]","[0.0225, 0.0016]","[0.0394, 0.0031]","[0.0528, 0.0036]","[0.0684, 0.0041]","[0.0219, 0.0023]","[0.1324, 0.0054]"
NCF,100,1,128,128,5e-05,,0.0005,100,5,"[3.1925, 0.052]","[0.0291, 0.0018]","[0.0275, 0.0016]","[0.0263, 0.0014]","[0.0312, 0.0025]","[0.0221, 0.0009]","[0.0688, 0.0027]","[0.0258, 0.0013]","[0.0234, 0.0011]","[0.0221, 0.001]","[0.0288, 0.0019]","[0.0174, 0.0006]","[0.0267, 0.0019]","[0.0434, 0.0032]","[0.0584, 0.0037]","[0.0743, 0.0042]","[0.0256, 0.0026]","[0.1415, 0.0056]"
NCF,100,1,128,128,5e-05,,0.001,100,5,"[3.0913, 0.0524]","[0.0316, 0.002]","[0.03, 0.0017]","[0.0288, 0.0015]","[0.0342, 0.0027]","[0.0242, 0.001]","[0.0751, 0.0028]","[0.0281, 0.0015]","[0.0262, 0.0012]","[0.0243, 0.001]","[0.0309, 0.002]","[0.0188, 0.0007]","[0.028, 0.0019]","[0.0492, 0.0035]","[0.0669, 0.004]","[0.0827, 0.0044]","[0.0279, 0.0027]","[0.1547, 0.0058]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[3.3066, 0.0513]","[0.027, 0.0018]","[0.0254, 0.0015]","[0.0242, 0.0013]","[0.0292, 0.0024]","[0.0203, 0.0009]","[0.0623, 0.0025]","[0.0236, 0.0013]","[0.0216, 0.001]","[0.0201, 0.0009]","[0.0267, 0.0018]","[0.0158, 0.0006]","[0.0238, 0.0017]","[0.0381, 0.0029]","[0.0521, 0.0034]","[0.0651, 0.0038]","[0.0213, 0.0022]","[0.1278, 0.0053]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[3.189, 0.0519]","[0.0277, 0.0018]","[0.0263, 0.0015]","[0.0253, 0.0013]","[0.0295, 0.0024]","[0.0217, 0.0009]","[0.0688, 0.0027]","[0.0248, 0.0013]","[0.0229, 0.0011]","[0.0218, 0.0009]","[0.0276, 0.0019]","[0.0175, 0.0006]","[0.0261, 0.0019]","[0.0432, 0.0032]","[0.0591, 0.0038]","[0.0741, 0.0042]","[0.0241, 0.0024]","[0.1425, 0.0056]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[3.0805, 0.052]","[0.0304, 0.0019]","[0.0288, 0.0016]","[0.0276, 0.0014]","[0.0331, 0.0026]","[0.0236, 0.001]","[0.0746, 0.0027]","[0.0266, 0.0014]","[0.025, 0.0011]","[0.0236, 0.001]","[0.0299, 0.002]","[0.0189, 0.0007]","[0.0266, 0.0018]","[0.0464, 0.0034]","[0.064, 0.0039]","[0.0803, 0.0044]","[0.0269, 0.0027]","[0.1554, 0.0057]"
NCF,200,1,128,128,5e-05,,0.0001,100,5,"[3.5712, 0.0489]","[0.0214, 0.0016]","[0.02, 0.0013]","[0.019, 0.0012]","[0.0237, 0.0022]","[0.0158, 0.0008]","[0.0493, 0.0022]","[0.0179, 0.0011]","[0.0166, 0.0009]","[0.0156, 0.0008]","[0.0211, 0.0017]","[0.0124, 0.0005]","[0.0181, 0.0015]","[0.0303, 0.0026]","[0.0422, 0.0031]","[0.0523, 0.0035]","[0.018, 0.0021]","[0.1006, 0.0048]"
NCF,200,1,128,128,5e-05,,0.0005,100,5,"[3.2899, 0.0512]","[0.0268, 0.0018]","[0.0253, 0.0015]","[0.0241, 0.0013]","[0.0292, 0.0024]","[0.0203, 0.0009]","[0.0622, 0.0024]","[0.0234, 0.0013]","[0.0214, 0.001]","[0.0202, 0.0009]","[0.0269, 0.0019]","[0.0161, 0.0006]","[0.0227, 0.0016]","[0.0391, 0.003]","[0.0525, 0.0035]","[0.0661, 0.0039]","[0.0224, 0.0023]","[0.1283, 0.0053]"
NCF,200,1,128,128,5e-05,,0.001,100,5,"[3.0033, 0.0527]","[0.0319, 0.0019]","[0.0306, 0.0016]","[0.0295, 0.0015]","[0.0333, 0.0026]","[0.025, 0.001]","[0.0788, 0.0028]","[0.0291, 0.0015]","[0.0273, 0.0012]","[0.0256, 0.0011]","[0.0321, 0.0021]","[0.0196, 0.0007]","[0.0287, 0.002]","[0.0515, 0.0036]","[0.0727, 0.0042]","[0.0896, 0.0046]","[0.0294, 0.0027]","[0.1649, 0.006]"
NCF,200,1,128,128,0.0001,,0.0001,100,5,"[3.5295, 0.0494]","[0.0215, 0.0016]","[0.0203, 0.0013]","[0.0194, 0.0012]","[0.0233, 0.0022]","[0.0163, 0.0008]","[0.0506, 0.0023]","[0.0188, 0.0011]","[0.0175, 0.0009]","[0.0165, 0.0008]","[0.0209, 0.0016]","[0.0127, 0.0005]","[0.0186, 0.0016]","[0.0323, 0.0029]","[0.045, 0.0033]","[0.0554, 0.0036]","[0.0184, 0.0022]","[0.102, 0.0048]"
NCF,200,1,128,128,0.0001,,0.0005,100,5,"[3.219, 0.0513]","[0.0274, 0.0018]","[0.0259, 0.0015]","[0.0247, 0.0013]","[0.0291, 0.0024]","[0.0211, 0.0009]","[0.0686, 0.0027]","[0.0244, 0.0013]","[0.0221, 0.0011]","[0.0209, 0.0009]","[0.0275, 0.0019]","[0.0171, 0.0006]","[0.026, 0.0019]","[0.0445, 0.0034]","[0.0597, 0.0039]","[0.0744, 0.0043]","[0.0261, 0.0026]","[0.1429, 0.0056]"
NCF,200,1,128,128,0.0001,,0.001,100,5,"[2.8813, 0.053]","[0.0352, 0.002]","[0.0336, 0.0017]","[0.0323, 0.0015]","[0.0372, 0.0027]","[0.0276, 0.0011]","[0.0879, 0.0029]","[0.0318, 0.0015]","[0.0294, 0.0013]","[0.0278, 0.0011]","[0.0351, 0.0021]","[0.022, 0.0008]","[0.0317, 0.0021]","[0.0565, 0.0037]","[0.0771, 0.0043]","[0.097, 0.0047]","[0.0332, 0.003]","[0.1832, 0.0062]"
