model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.6937, 0.0529]","[0.0379, 0.0022]","[0.0366, 0.0018]","[0.0355, 0.0016]","[0.0399, 0.0028]","[0.031, 0.0011]","[0.0994, 0.003]","[0.0354, 0.0016]","[0.0333, 0.0013]","[0.0314, 0.0012]","[0.0374, 0.0022]","[0.0254, 0.0008]","[0.0341, 0.0021]","[0.0639, 0.004]","[0.0896, 0.0047]","[0.1118, 0.0051]","[0.0338, 0.0029]","[0.2126, 0.0065]"
VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.6391, 0.0531]","[0.0419, 0.0022]","[0.04, 0.0019]","[0.0385, 0.0017]","[0.0442, 0.0029]","[0.0329, 0.0012]","[0.1053, 0.0032]","[0.038, 0.0017]","[0.035, 0.0014]","[0.0332, 0.0013]","[0.0411, 0.0023]","[0.0265, 0.0009]","[0.0379, 0.0023]","[0.0693, 0.0041]","[0.0935, 0.0047]","[0.1159, 0.0052]","[0.0393, 0.0033]","[0.2224, 0.0067]"
VNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.6894, 0.0534]","[0.0417, 0.0023]","[0.0398, 0.0019]","[0.0383, 0.0017]","[0.0438, 0.003]","[0.0327, 0.0012]","[0.1027, 0.0032]","[0.0375, 0.0017]","[0.0351, 0.0014]","[0.0333, 0.0013]","[0.0424, 0.0024]","[0.0259, 0.0009]","[0.0386, 0.0023]","[0.0661, 0.004]","[0.0911, 0.0046]","[0.1129, 0.0051]","[0.0381, 0.0031]","[0.2143, 0.0066]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6901, 0.0532]","[0.0412, 0.0023]","[0.0393, 0.0019]","[0.0378, 0.0017]","[0.0437, 0.003]","[0.0322, 0.0012]","[0.1011, 0.0031]","[0.0368, 0.0017]","[0.0346, 0.0014]","[0.0326, 0.0012]","[0.041, 0.0024]","[0.0256, 0.0008]","[0.037, 0.0022]","[0.065, 0.004]","[0.0902, 0.0046]","[0.1116, 0.0051]","[0.0364, 0.003]","[0.2109, 0.0065]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.7168, 0.0533]","[0.0408, 0.0022]","[0.0391, 0.0019]","[0.0376, 0.0017]","[0.0433, 0.0029]","[0.0319, 0.0012]","[0.1003, 0.0031]","[0.037, 0.0017]","[0.0348, 0.0014]","[0.0319, 0.0012]","[0.041, 0.0023]","[0.0254, 0.0009]","[0.0379, 0.0023]","[0.0653, 0.004]","[0.0882, 0.0045]","[0.1072, 0.0049]","[0.0387, 0.0032]","[0.2068, 0.0064]"
VNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.7218, 0.0531]","[0.0385, 0.0022]","[0.0371, 0.0019]","[0.0359, 0.0017]","[0.0403, 0.0029]","[0.0312, 0.0012]","[0.0972, 0.003]","[0.0361, 0.0017]","[0.0332, 0.0014]","[0.0316, 0.0012]","[0.0383, 0.0023]","[0.0252, 0.0008]","[0.0353, 0.0022]","[0.0633, 0.0039]","[0.0869, 0.0046]","[0.1085, 0.0051]","[0.0332, 0.0029]","[0.2052, 0.0065]"
VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.8848, 0.0525]","[0.0349, 0.0021]","[0.033, 0.0017]","[0.0316, 0.0015]","[0.0384, 0.0028]","[0.0268, 0.001]","[0.0882, 0.003]","[0.0301, 0.0015]","[0.0285, 0.0012]","[0.0271, 0.0011]","[0.0348, 0.0021]","[0.0213, 0.0007]","[0.0318, 0.0022]","[0.0569, 0.0039]","[0.08, 0.0045]","[0.1003, 0.005]","[0.033, 0.003]","[0.1859, 0.0063]"
VNCF,200,1,128,128,5e-05,,0.0005,100,5,"[2.7147, 0.053]","[0.0387, 0.0022]","[0.0373, 0.0019]","[0.036, 0.0017]","[0.0402, 0.0028]","[0.0312, 0.0012]","[0.0994, 0.0031]","[0.0362, 0.0017]","[0.0335, 0.0014]","[0.0317, 0.0012]","[0.0385, 0.0023]","[0.0254, 0.0008]","[0.0358, 0.0022]","[0.0646, 0.0041]","[0.0875, 0.0046]","[0.1102, 0.0051]","[0.0351, 0.0031]","[0.2131, 0.0066]"
VNCF,200,1,128,128,5e-05,,0.001,100,5,"[2.8642, 0.0525]","[0.0358, 0.0021]","[0.034, 0.0018]","[0.0328, 0.0016]","[0.039, 0.0028]","[0.0285, 0.0011]","[0.0916, 0.003]","[0.0314, 0.0015]","[0.03, 0.0013]","[0.0284, 0.0012]","[0.035, 0.0021]","[0.0236, 0.0008]","[0.0325, 0.0021]","[0.0547, 0.0037]","[0.0764, 0.0043]","[0.0964, 0.0047]","[0.0324, 0.0029]","[0.1932, 0.0063]"
VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.7457, 0.053]","[0.038, 0.0022]","[0.0363, 0.0018]","[0.0349, 0.0016]","[0.0399, 0.0029]","[0.0299, 0.0011]","[0.0962, 0.003]","[0.0345, 0.0016]","[0.0319, 0.0013]","[0.0301, 0.0012]","[0.0381, 0.0023]","[0.0239, 0.0008]","[0.0338, 0.0021]","[0.0639, 0.004]","[0.0877, 0.0047]","[0.1077, 0.005]","[0.0349, 0.003]","[0.2051, 0.0065]"
