model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.6317,0.0386,0.0403,0.0366,0.0262,0.0498
NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.5356,0.045,0.0475,0.0401,0.0317,0.0548
NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.5773,0.0399,0.0427,0.0377,0.0261,0.0552
NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.5883,0.0426,0.0447,0.0374,0.0283,0.054
NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.6495,0.0396,0.0416,0.036,0.0263,0.0514
NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.5433,0.042,0.0453,0.0392,0.0279,0.0577
NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.5594,0.0423,0.0439,0.0388,0.0279,0.0537
NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5628,0.0435,0.0462,0.0391,0.0293,0.0564
NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.562,0.0438,0.0458,0.0389,0.0286,0.056
NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.6138,0.0413,0.0429,0.0367,0.0279,0.0505
NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.5518,0.0436,0.0457,0.0397,0.0286,0.0558
NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.6164,0.0417,0.044,0.0372,0.0267,0.054
NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.5824,0.0434,0.046,0.0392,0.0293,0.0556
NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.6113,0.0413,0.043,0.0373,0.0276,0.0517
NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.6019,0.0419,0.0437,0.0379,0.0275,0.053
NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.6351,0.0418,0.0429,0.037,0.0272,0.0509
NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.596,0.0423,0.0453,0.0384,0.029,0.054
NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.5628,0.0416,0.0439,0.039,0.0276,0.055
NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.5977,0.0434,0.0429,0.0377,0.0268,0.05
NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.5773,0.0432,0.045,0.0394,0.0286,0.0548
NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.6342,0.0405,0.0419,0.0367,0.027,0.0504
NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.6317,0.0415,0.0425,0.0378,0.0267,0.0515
NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.6019,0.0417,0.0432,0.0376,0.0283,0.0517
NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.63,0.0411,0.0426,0.0369,0.0265,0.0528
NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.6121,0.0422,0.0436,0.0379,0.0282,0.0521
NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.6181,0.0424,0.0432,0.038,0.028,0.0514
NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.596,0.0417,0.0439,0.0373,0.0277,0.0528
NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.6121,0.0424,0.0438,0.0385,0.0288,0.0531
