model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
E-NCF,200,1,128,128,0.0001,10,0.0001,10,5,Adam,0.4748,0.5083,0.3849,0.5159
E-NCF,200,1,128,128,0.0001,10,0.0001,20,5,Adam,0.4734,0.506,0.3823,0.5118
E-NCF,200,1,128,128,0.0001,10,0.0001,30,5,Adam,0.465,0.4958,0.3741,0.5005
E-NCF,200,1,128,128,0.0001,10,0.0001,40,5,Adam,0.4786,0.5108,0.3858,0.5162
E-NCF,200,1,128,128,0.0001,10,0.0001,50,5,Adam,0.48,0.5115,0.3863,0.5163
E-NCF,200,1,128,128,0.0001,10,0.0001,60,5,Adam,0.4753,0.5059,0.3818,0.5098
E-NCF,200,1,128,128,0.0001,10,0.0001,70,5,Adam,0.4813,0.5135,0.3882,0.5189
E-NCF,200,1,128,128,0.0001,10,0.0001,80,5,Adam,0.4771,0.5077,0.3834,0.5117
E-NCF,200,1,128,128,0.0001,10,0.0001,90,5,Adam,0.4844,0.5159,0.3904,0.5207
E-NCF,200,1,128,128,0.0001,10,0.0001,100,5,Adam,0.4872,0.5181,0.3917,0.5224
E-NCF,200,1,128,128,0.0001,10,0.0001,110,5,Adam,0.4927,0.5242,0.3957,0.5279
E-NCF,200,1,128,128,0.0001,10,0.0001,120,5,Adam,0.4898,0.5213,0.3942,0.5262
E-NCF,200,1,128,128,0.0001,10,0.0001,130,5,Adam,0.4905,0.5229,0.3955,0.5281
E-NCF,200,1,128,128,0.0001,10,0.0001,140,5,Adam,0.4915,0.524,0.3969,0.5298
E-NCF,200,1,128,128,0.0001,10,0.0001,150,5,Adam,0.4877,0.5193,0.3927,0.5242
E-NCF,200,1,128,128,0.0001,10,0.0001,160,5,Adam,0.4929,0.5246,0.396,0.5285
E-NCF,200,1,128,128,0.0001,10,0.0001,170,5,Adam,0.4926,0.5243,0.3965,0.5289
E-NCF,200,1,128,128,0.0001,10,0.0001,180,5,Adam,0.4894,0.52,0.3926,0.5235
E-NCF,200,1,128,128,0.0001,10,0.0001,190,5,Adam,0.4964,0.529,0.401,0.5344
E-NCF,200,1,128,128,0.0001,10,0.0001,200,5,Adam,0.4969,0.5291,0.4,0.5337
E-NCF,200,1,128,128,0.0001,10,0.0001,210,5,Adam,0.4947,0.5255,0.3968,0.529
