model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.2021, 0.0018]","[0.1896, 0.0015]","[0.1804, 0.0013]","[0.2211, 0.0024]","[0.1504, 0.0008]","[0.2207, 0.0017]","[0.2642, 0.0018]","[0.2991, 0.0018]","[0.1606, 0.0016]","[0.4428, 0.0016]","[0.1738, 0.0013]","[0.1593, 0.001]","[0.1487, 0.0009]","[0.2001, 0.0019]","[0.1179, 0.0005]","[0.2305, 0.0017]","[0.3151, 0.0019]","[0.3913, 0.002]","[0.1339, 0.0014]","[0.7645, 0.0017]"
CE-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.2264, 0.0019]","[0.2105, 0.0016]","[0.1988, 0.0014]","[0.2506, 0.0025]","[0.1611, 0.0009]","[0.246, 0.0018]","[0.2904, 0.0018]","[0.3261, 0.0018]","[0.1813, 0.0017]","[0.4668, 0.0017]","[0.1908, 0.0014]","[0.1718, 0.0011]","[0.1589, 0.0009]","[0.2227, 0.002]","[0.1207, 0.0005]","[0.2535, 0.0018]","[0.3396, 0.002]","[0.4171, 0.002]","[0.1498, 0.0014]","[0.7818, 0.0017]"
CE-NCF,100,1,128,128,5e-05,,0.001,100,5,"[0.2128, 0.0018]","[0.1985, 0.0015]","[0.1881, 0.0013]","[0.2352, 0.0024]","[0.155, 0.0008]","[0.2314, 0.0017]","[0.275, 0.0018]","[0.3105, 0.0018]","[0.1697, 0.0016]","[0.4544, 0.0016]","[0.1806, 0.0013]","[0.164, 0.001]","[0.1528, 0.0009]","[0.2092, 0.0019]","[0.1196, 0.0005]","[0.2392, 0.0017]","[0.3239, 0.0019]","[0.401, 0.002]","[0.1402, 0.0014]","[0.7748, 0.0016]"
CE-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2258, 0.0019]","[0.2093, 0.0016]","[0.1972, 0.0014]","[0.2522, 0.0026]","[0.1589, 0.0009]","[0.2446, 0.0018]","[0.2883, 0.0018]","[0.323, 0.0018]","[0.1814, 0.0017]","[0.4617, 0.0017]","[0.1881, 0.0014]","[0.1691, 0.0011]","[0.156, 0.0009]","[0.2208, 0.002]","[0.1188, 0.0005]","[0.2498, 0.0018]","[0.3349, 0.002]","[0.41, 0.002]","[0.1487, 0.0014]","[0.7701, 0.0017]"
CE-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.2334, 0.002]","[0.2169, 0.0016]","[0.2045, 0.0014]","[0.2588, 0.0026]","[0.1643, 0.0009]","[0.2525, 0.0018]","[0.2978, 0.0019]","[0.3334, 0.0019]","[0.1864, 0.0017]","[0.4727, 0.0017]","[0.1965, 0.0014]","[0.1762, 0.0011]","[0.1621, 0.0009]","[0.2302, 0.002]","[0.1214, 0.0005]","[0.2599, 0.0018]","[0.348, 0.002]","[0.425, 0.0021]","[0.154, 0.0015]","[0.7866, 0.0016]"
CE-NCF,100,1,128,128,0.0001,,0.001,100,5,"[0.2153, 0.0019]","[0.201, 0.0015]","[0.1906, 0.0014]","[0.2376, 0.0025]","[0.1567, 0.0009]","[0.2339, 0.0017]","[0.2783, 0.0018]","[0.3142, 0.0018]","[0.1712, 0.0016]","[0.4573, 0.0016]","[0.183, 0.0013]","[0.1664, 0.0011]","[0.1549, 0.0009]","[0.2118, 0.0019]","[0.12, 0.0005]","[0.2421, 0.0017]","[0.3284, 0.0019]","[0.4063, 0.002]","[0.1413, 0.0014]","[0.7778, 0.0016]"
CE-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.2422, 0.002]","[0.2232, 0.0017]","[0.2094, 0.0014]","[0.2716, 0.0026]","[0.1662, 0.0009]","[0.2606, 0.0019]","[0.3052, 0.0019]","[0.3403, 0.0019]","[0.1957, 0.0018]","[0.4781, 0.0017]","[0.1989, 0.0014]","[0.1771, 0.0011]","[0.1624, 0.0009]","[0.2387, 0.002]","[0.1211, 0.0005]","[0.2649, 0.0018]","[0.3518, 0.002]","[0.4279, 0.0021]","[0.1609, 0.0015]","[0.7844, 0.0017]"
CE-NCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.253, 0.002]","[0.2327, 0.0017]","[0.2181, 0.0015]","[0.2847, 0.0027]","[0.1717, 0.0009]","[0.2717, 0.0019]","[0.3175, 0.0019]","[0.3535, 0.0019]","[0.2048, 0.0018]","[0.4904, 0.0017]","[0.2069, 0.0014]","[0.1838, 0.0011]","[0.1682, 0.0009]","[0.2491, 0.0021]","[0.1229, 0.0005]","[0.275, 0.0019]","[0.3639, 0.002]","[0.4418, 0.0021]","[0.1677, 0.0015]","[0.7964, 0.0016]"
CE-NCF,200,1,128,128,5e-05,,0.001,100,5,"[0.2132, 0.0019]","[0.1998, 0.0016]","[0.1898, 0.0014]","[0.2333, 0.0025]","[0.1567, 0.0009]","[0.2328, 0.0018]","[0.2778, 0.0018]","[0.3136, 0.0018]","[0.1693, 0.0016]","[0.4568, 0.0016]","[0.1833, 0.0013]","[0.1671, 0.0011]","[0.1555, 0.0009]","[0.2105, 0.0019]","[0.1202, 0.0005]","[0.2426, 0.0018]","[0.3304, 0.002]","[0.4079, 0.002]","[0.1409, 0.0014]","[0.7799, 0.0016]"
CE-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.3632, 0.0023]","[0.3292, 0.002]","[0.3027, 0.0017]","[0.4097, 0.0029]","[0.2158, 0.0011]","[0.386, 0.0021]","[0.4353, 0.0021]","[0.4691, 0.0021]","[0.2959, 0.002]","[0.57, 0.002]","[0.291, 0.0017]","[0.2436, 0.0013]","[0.2114, 0.0011]","[0.3613, 0.0025]","[0.126, 0.0006]","[0.3882, 0.0022]","[0.4832, 0.0023]","[0.5557, 0.0023]","[0.2444, 0.0017]","[0.8131, 0.0018]"
