model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.3072, 0.0022]","[0.2805, 0.0018]","[0.2601, 0.0016]","[0.3452, 0.0028]","[0.1941, 0.001]","[0.329, 0.002]","[0.3769, 0.002]","[0.412, 0.002]","[0.2499, 0.0019]","[0.5327, 0.0018]","[0.2493, 0.0016]","[0.2141, 0.0012]","[0.1902, 0.001]","[0.3053, 0.0023]","[0.1253, 0.0006]","[0.3336, 0.002]","[0.4266, 0.0022]","[0.5022, 0.0022]","[0.2068, 0.0016]","[0.813, 0.0016]"
CE-VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.2891, 0.0023]","[0.2657, 0.002]","[0.2476, 0.0017]","[0.3203, 0.0029]","[0.1882, 0.0011]","[0.31, 0.0022]","[0.3576, 0.0022]","[0.3928, 0.0022]","[0.2328, 0.002]","[0.5207, 0.0019]","[0.2393, 0.0017]","[0.2071, 0.0013]","[0.185, 0.0011]","[0.2897, 0.0024]","[0.126, 0.0006]","[0.318, 0.0022]","[0.4104, 0.0024]","[0.487, 0.0024]","[0.1945, 0.0017]","[0.8174, 0.0017]"
CE-VNCF,100,1,128,128,5e-05,,0.001,100,5,"[0.2979, 0.0023]","[0.2714, 0.002]","[0.2511, 0.0017]","[0.3329, 0.0029]","[0.1875, 0.001]","[0.3178, 0.0022]","[0.3613, 0.0022]","[0.3945, 0.0022]","[0.2411, 0.002]","[0.5181, 0.0019]","[0.2422, 0.0017]","[0.2051, 0.0013]","[0.1817, 0.001]","[0.2974, 0.0024]","[0.1231, 0.0006]","[0.3227, 0.0022]","[0.407, 0.0023]","[0.4792, 0.0023]","[0.2002, 0.0017]","[0.7988, 0.0017]"
CE-VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.3841, 0.0024]","[0.3517, 0.002]","[0.325, 0.0018]","[0.4255, 0.003]","[0.2322, 0.0011]","[0.4138, 0.0021]","[0.4691, 0.0021]","[0.5056, 0.0021]","[0.3102, 0.0019]","[0.603, 0.0019]","[0.3188, 0.0018]","[0.2676, 0.0014]","[0.2315, 0.0012]","[0.3847, 0.0025]","[0.1325, 0.0006]","[0.4265, 0.0022]","[0.5337, 0.0023]","[0.6126, 0.0023]","[0.2604, 0.0018]","[0.859, 0.0017]"
CE-VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.3103, 0.0024]","[0.2862, 0.0021]","[0.2664, 0.0018]","[0.3396, 0.003]","[0.199, 0.0011]","[0.3358, 0.0023]","[0.3849, 0.0023]","[0.4189, 0.0023]","[0.2492, 0.002]","[0.5415, 0.002]","[0.2623, 0.0018]","[0.2239, 0.0014]","[0.1965, 0.0011]","[0.3122, 0.0025]","[0.1284, 0.0006]","[0.3486, 0.0023]","[0.4436, 0.0025]","[0.5175, 0.0025]","[0.2102, 0.0018]","[0.8342, 0.0016]"
CE-VNCF,100,1,128,128,0.0001,,0.001,100,5,"[0.2984, 0.0023]","[0.2758, 0.002]","[0.2574, 0.0017]","[0.329, 0.0029]","[0.1947, 0.001]","[0.3245, 0.0022]","[0.3738, 0.0022]","[0.4104, 0.0021]","[0.2391, 0.0019]","[0.5322, 0.0019]","[0.252, 0.0017]","[0.2173, 0.0013]","[0.1937, 0.0011]","[0.2959, 0.0024]","[0.1269, 0.0006]","[0.3368, 0.0022]","[0.4325, 0.0023]","[0.5117, 0.0023]","[0.1995, 0.0017]","[0.8257, 0.0016]"
CE-VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.3951, 0.0025]","[0.3621, 0.0021]","[0.3343, 0.0019]","[0.4344, 0.003]","[0.2371, 0.0012]","[0.4265, 0.0022]","[0.481, 0.0023]","[0.5165, 0.0023]","[0.3174, 0.002]","[0.6106, 0.0021]","[0.3308, 0.0019]","[0.2751, 0.0015]","[0.2366, 0.0012]","[0.3956, 0.0026]","[0.1333, 0.0006]","[0.4413, 0.0023]","[0.5464, 0.0024]","[0.6227, 0.0024]","[0.2669, 0.0018]","[0.8602, 0.0018]"
CE-VNCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.2622, 0.0024]","[0.2426, 0.0021]","[0.2264, 0.0019]","[0.2871, 0.003]","[0.1734, 0.0012]","[0.282, 0.0023]","[0.3244, 0.0024]","[0.3556, 0.0024]","[0.2074, 0.002]","[0.481, 0.0022]","[0.223, 0.0019]","[0.1914, 0.0014]","[0.1701, 0.0012]","[0.2628, 0.0025]","[0.1194, 0.0006]","[0.2931, 0.0024]","[0.3749, 0.0026]","[0.442, 0.0027]","[0.1738, 0.0017]","[0.7665, 0.0021]"
CE-VNCF,200,1,128,128,5e-05,,0.001,100,5,"[0.2649, 0.0023]","[0.247, 0.002]","[0.2322, 0.0018]","[0.2875, 0.0029]","[0.1799, 0.0011]","[0.2896, 0.0022]","[0.3379, 0.0023]","[0.3736, 0.0023]","[0.2112, 0.0019]","[0.4992, 0.002]","[0.2286, 0.0018]","[0.2004, 0.0014]","[0.1802, 0.0011]","[0.2655, 0.0024]","[0.1233, 0.0006]","[0.3051, 0.0023]","[0.3991, 0.0025]","[0.4767, 0.0026]","[0.1792, 0.0017]","[0.801, 0.0019]"
CE-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4001, 0.0024]","[0.3665, 0.0021]","[0.3389, 0.0019]","[0.4432, 0.003]","[0.2415, 0.0012]","[0.4307, 0.0022]","[0.4881, 0.0022]","[0.5263, 0.0022]","[0.3217, 0.002]","[0.621, 0.0021]","[0.3327, 0.0019]","[0.2793, 0.0015]","[0.2419, 0.0012]","[0.3997, 0.0025]","[0.1357, 0.0006]","[0.4439, 0.0023]","[0.5549, 0.0024]","[0.6371, 0.0024]","[0.2689, 0.0018]","[0.8745, 0.0019]"
