model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.4138, 0.0024]","[0.3764, 0.0021]","[0.3459, 0.0018]","[0.4623, 0.003]","[0.2425, 0.0012]","[0.4439, 0.0022]","[0.4985, 0.0022]","[0.5332, 0.0022]","[0.3361, 0.002]","[0.6253, 0.002]","[0.3378, 0.0019]","[0.2799, 0.0014]","[0.2394, 0.0012]","[0.4134, 0.0025]","[0.1336, 0.0006]","[0.4523, 0.0023]","[0.5577, 0.0023]","[0.6326, 0.0023]","[0.2793, 0.0018]","[0.8648, 0.0017]"
E-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.3918, 0.0025]","[0.355, 0.0021]","[0.3256, 0.0019]","[0.4391, 0.0031]","[0.2288, 0.0012]","[0.4161, 0.0022]","[0.4664, 0.0023]","[0.4994, 0.0023]","[0.318, 0.002]","[0.5952, 0.0021]","[0.3161, 0.0019]","[0.2611, 0.0015]","[0.2237, 0.0012]","[0.3928, 0.0026]","[0.1287, 0.0006]","[0.4203, 0.0023]","[0.5176, 0.0024]","[0.5887, 0.0024]","[0.2636, 0.0018]","[0.8327, 0.0019]"
E-NCF,100,1,128,128,5e-05,,0.001,100,5,"[0.3435, 0.0023]","[0.3154, 0.002]","[0.292, 0.0018]","[0.3795, 0.0029]","[0.2117, 0.0011]","[0.3699, 0.0021]","[0.4207, 0.0022]","[0.4546, 0.0022]","[0.2747, 0.0019]","[0.5603, 0.002]","[0.287, 0.0018]","[0.242, 0.0014]","[0.2099, 0.0011]","[0.3418, 0.0024]","[0.1271, 0.0006]","[0.3812, 0.0022]","[0.4795, 0.0024]","[0.5533, 0.0024]","[0.2287, 0.0017]","[0.8244, 0.0018]"
E-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.4264, 0.0024]","[0.3886, 0.002]","[0.3576, 0.0018]","[0.4758, 0.003]","[0.2504, 0.0011]","[0.4592, 0.0021]","[0.5174, 0.0021]","[0.5532, 0.0021]","[0.3463, 0.002]","[0.6441, 0.0019]","[0.3496, 0.0019]","[0.2909, 0.0014]","[0.2486, 0.0012]","[0.4242, 0.0025]","[0.1369, 0.0006]","[0.4695, 0.0022]","[0.5823, 0.0022]","[0.6594, 0.0022]","[0.2882, 0.0018]","[0.8881, 0.0015]"
E-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.3924, 0.0024]","[0.3573, 0.0021]","[0.3287, 0.0018]","[0.4369, 0.003]","[0.2326, 0.0012]","[0.4196, 0.0022]","[0.4719, 0.0022]","[0.506, 0.0022]","[0.3176, 0.002]","[0.6043, 0.002]","[0.3214, 0.0019]","[0.2668, 0.0015]","[0.229, 0.0012]","[0.3932, 0.0026]","[0.1318, 0.0006]","[0.4282, 0.0023]","[0.5288, 0.0024]","[0.6022, 0.0024]","[0.2652, 0.0018]","[0.8524, 0.0018]"
E-NCF,100,1,128,128,0.0001,,0.001,100,5,"[0.3363, 0.0023]","[0.3087, 0.002]","[0.2861, 0.0018]","[0.3718, 0.0029]","[0.2082, 0.0011]","[0.3606, 0.0022]","[0.4117, 0.0022]","[0.4458, 0.0022]","[0.2689, 0.0019]","[0.5509, 0.002]","[0.2802, 0.0018]","[0.2375, 0.0014]","[0.2069, 0.0011]","[0.3363, 0.0024]","[0.1257, 0.0006]","[0.3715, 0.0022]","[0.471, 0.0024]","[0.5448, 0.0024]","[0.2246, 0.0017]","[0.8137, 0.0019]"
E-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.4274, 0.0024]","[0.3863, 0.0021]","[0.3536, 0.0018]","[0.4808, 0.003]","[0.2451, 0.0011]","[0.4563, 0.0022]","[0.5095, 0.0022]","[0.5431, 0.0022]","[0.3506, 0.002]","[0.6325, 0.002]","[0.3424, 0.0019]","[0.2817, 0.0014]","[0.2399, 0.0012]","[0.4277, 0.0026]","[0.1328, 0.0006]","[0.4608, 0.0023]","[0.5632, 0.0023]","[0.6354, 0.0023]","[0.2915, 0.0018]","[0.8607, 0.0017]"
E-NCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.3794, 0.0024]","[0.3444, 0.0021]","[0.3162, 0.0018]","[0.4241, 0.003]","[0.2232, 0.0011]","[0.4043, 0.0022]","[0.4533, 0.0023]","[0.4855, 0.0023]","[0.3078, 0.002]","[0.5847, 0.002]","[0.3079, 0.0019]","[0.2545, 0.0014]","[0.2182, 0.0012]","[0.3805, 0.0026]","[0.1279, 0.0006]","[0.4106, 0.0023]","[0.5049, 0.0024]","[0.5744, 0.0024]","[0.2563, 0.0018]","[0.8284, 0.0018]"
E-NCF,200,1,128,128,5e-05,,0.001,100,5,"[0.3307, 0.0023]","[0.304, 0.002]","[0.2819, 0.0018]","[0.3645, 0.0029]","[0.2055, 0.0011]","[0.3567, 0.0021]","[0.407, 0.0022]","[0.4406, 0.0022]","[0.2649, 0.0019]","[0.5463, 0.002]","[0.2768, 0.0018]","[0.2346, 0.0014]","[0.2043, 0.0011]","[0.3306, 0.0024]","[0.1249, 0.0006]","[0.3693, 0.0023]","[0.4667, 0.0024]","[0.5395, 0.0024]","[0.2215, 0.0017]","[0.8105, 0.0019]"
E-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4535, 0.0024]","[0.4105, 0.0021]","[0.3755, 0.0018]","[0.5068, 0.003]","[0.2581, 0.0012]","[0.4858, 0.0022]","[0.5401, 0.0021]","[0.5732, 0.0021]","[0.3707, 0.002]","[0.6582, 0.0019]","[0.3674, 0.0019]","[0.2997, 0.0015]","[0.2532, 0.0012]","[0.4544, 0.0026]","[0.1363, 0.0006]","[0.4932, 0.0022]","[0.5976, 0.0023]","[0.6683, 0.0022]","[0.3094, 0.0018]","[0.8823, 0.0015]"
