model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.4162, 0.0023]","[0.382, 0.002]","[0.3534, 0.0017]","[0.4607, 0.0029]","[0.2515, 0.0011]","[0.4507, 0.002]","[0.5121, 0.002]","[0.5515, 0.0019]","[0.3344, 0.0019]","[0.6475, 0.0018]","[0.3475, 0.0018]","[0.2924, 0.0014]","[0.2525, 0.0011]","[0.4133, 0.0024]","[0.1404, 0.0006]","[0.4665, 0.0021]","[0.5858, 0.0022]","[0.6712, 0.0021]","[0.2789, 0.0017]","[0.9114, 0.0014]"
E-VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.3955, 0.0023]","[0.3627, 0.0019]","[0.336, 0.0017]","[0.4432, 0.0029]","[0.2413, 0.0011]","[0.4252, 0.002]","[0.4873, 0.002]","[0.5268, 0.0019]","[0.3169, 0.0018]","[0.6281, 0.0018]","[0.326, 0.0017]","[0.2785, 0.0014]","[0.2421, 0.0011]","[0.3886, 0.0023]","[0.1384, 0.0006]","[0.4351, 0.002]","[0.5561, 0.0021]","[0.6416, 0.0021]","[0.2604, 0.0016]","[0.8975, 0.0014]"
E-VNCF,100,1,128,128,5e-05,,0.001,100,5,"[0.3959, 0.0022]","[0.3623, 0.0019]","[0.3355, 0.0017]","[0.4446, 0.0029]","[0.2412, 0.0011]","[0.4256, 0.002]","[0.4871, 0.002]","[0.5266, 0.0019]","[0.3188, 0.0018]","[0.6303, 0.0017]","[0.3246, 0.0018]","[0.2773, 0.0014]","[0.2412, 0.0011]","[0.3892, 0.0023]","[0.1388, 0.0006]","[0.4347, 0.0021]","[0.5542, 0.0022]","[0.6395, 0.0021]","[0.2626, 0.0016]","[0.9019, 0.0013]"
E-VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.4117, 0.0023]","[0.3784, 0.002]","[0.3505, 0.0017]","[0.4554, 0.0029]","[0.2507, 0.0011]","[0.4459, 0.002]","[0.5078, 0.002]","[0.5481, 0.0019]","[0.3303, 0.0019]","[0.646, 0.0017]","[0.3449, 0.0018]","[0.2912, 0.0014]","[0.2523, 0.0011]","[0.4094, 0.0024]","[0.1411, 0.0006]","[0.4624, 0.0021]","[0.5828, 0.0021]","[0.67, 0.002]","[0.2758, 0.0017]","[0.915, 0.0013]"
E-VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.3975, 0.0022]","[0.3648, 0.0019]","[0.3383, 0.0017]","[0.4449, 0.0029]","[0.2437, 0.0011]","[0.428, 0.0019]","[0.4912, 0.0019]","[0.5321, 0.0019]","[0.3186, 0.0018]","[0.635, 0.0017]","[0.3282, 0.0017]","[0.2812, 0.0013]","[0.2452, 0.0011]","[0.3901, 0.0023]","[0.1402, 0.0006]","[0.438, 0.002]","[0.561, 0.0021]","[0.6498, 0.002]","[0.2621, 0.0016]","[0.9096, 0.0013]"
E-VNCF,100,1,128,128,0.0001,,0.001,100,5,"[0.3903, 0.0022]","[0.3578, 0.0019]","[0.3321, 0.0016]","[0.4403, 0.0028]","[0.2402, 0.001]","[0.4198, 0.0019]","[0.4842, 0.0019]","[0.5253, 0.0018]","[0.3129, 0.0018]","[0.629, 0.0017]","[0.3189, 0.0017]","[0.2763, 0.0013]","[0.2417, 0.0011]","[0.3792, 0.0023]","[0.1391, 0.0006]","[0.4279, 0.002]","[0.553, 0.0021]","[0.642, 0.002]","[0.2548, 0.0016]","[0.9034, 0.0013]"
E-VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.4152, 0.0024]","[0.3799, 0.002]","[0.3504, 0.0018]","[0.4595, 0.003]","[0.2475, 0.0011]","[0.4494, 0.0021]","[0.507, 0.0021]","[0.544, 0.0021]","[0.3357, 0.0019]","[0.6369, 0.0019]","[0.3452, 0.0019]","[0.2874, 0.0014]","[0.2468, 0.0012]","[0.4144, 0.0025]","[0.1369, 0.0006]","[0.4641, 0.0022]","[0.5761, 0.0023]","[0.6561, 0.0022]","[0.2816, 0.0018]","[0.8888, 0.0016]"
E-VNCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.4007, 0.0023]","[0.3679, 0.002]","[0.3405, 0.0017]","[0.4456, 0.0029]","[0.2433, 0.0011]","[0.4345, 0.002]","[0.4946, 0.002]","[0.5322, 0.002]","[0.3207, 0.0018]","[0.632, 0.0018]","[0.3343, 0.0018]","[0.2825, 0.0014]","[0.2436, 0.0011]","[0.3933, 0.0024]","[0.1384, 0.0006]","[0.4489, 0.0022]","[0.5657, 0.0022]","[0.6469, 0.0021]","[0.265, 0.0017]","[0.8984, 0.0014]"
E-VNCF,200,1,128,128,5e-05,,0.001,100,5,"[0.3972, 0.0022]","[0.3616, 0.0018]","[0.3347, 0.0016]","[0.4523, 0.0028]","[0.2418, 0.001]","[0.4223, 0.0019]","[0.4861, 0.0019]","[0.5275, 0.0018]","[0.3197, 0.0018]","[0.6364, 0.0016]","[0.317, 0.0016]","[0.2743, 0.0013]","[0.2403, 0.0011]","[0.3853, 0.0023]","[0.1404, 0.0006]","[0.4242, 0.0019]","[0.5487, 0.002]","[0.6383, 0.002]","[0.259, 0.0016]","[0.9134, 0.0011]"
E-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4092, 0.0023]","[0.3758, 0.002]","[0.3476, 0.0018]","[0.4521, 0.0029]","[0.2476, 0.0011]","[0.4437, 0.002]","[0.5035, 0.002]","[0.5416, 0.002]","[0.3286, 0.0019]","[0.6385, 0.0018]","[0.343, 0.0018]","[0.288, 0.0014]","[0.2481, 0.0011]","[0.4066, 0.0024]","[0.1389, 0.0006]","[0.4604, 0.0022]","[0.5765, 0.0022]","[0.659, 0.0021]","[0.275, 0.0017]","[0.9022, 0.0014]"
E-VNCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.3924, 0.0022]","[0.3598, 0.0019]","[0.3336, 0.0016]","[0.4392, 0.0028]","[0.2415, 0.001]","[0.4228, 0.0019]","[0.485, 0.0019]","[0.5262, 0.0018]","[0.3143, 0.0018]","[0.632, 0.0016]","[0.3234, 0.0017]","[0.2767, 0.0013]","[0.2421, 0.0011]","[0.3847, 0.0023]","[0.1402, 0.0006]","[0.4336, 0.002]","[0.5554, 0.0021]","[0.6447, 0.002]","[0.2583, 0.0016]","[0.9109, 0.0012]"
