model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.0966, 0.0012]","[0.0972, 0.001]","[0.0977, 0.0009]","[0.0957, 0.0016]","[0.0996, 0.0006]","[0.1102, 0.0011]","[0.1436, 0.0012]","[0.1738, 0.0012]","[0.0703, 0.001]","[0.3266, 0.0012]","[0.0978, 0.0009]","[0.0987, 0.0008]","[0.0996, 0.0007]","[0.0961, 0.0013]","[0.1021, 0.0005]","[0.1247, 0.0012]","[0.1896, 0.0015]","[0.255, 0.0017]","[0.0609, 0.0009]","[0.6563, 0.0018]"
VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.1119, 0.0013]","[0.1114, 0.0011]","[0.1108, 0.0009]","[0.1126, 0.0017]","[0.1085, 0.0006]","[0.127, 0.0012]","[0.1628, 0.0012]","[0.1938, 0.0013]","[0.0832, 0.0011]","[0.3472, 0.0013]","[0.1108, 0.001]","[0.1099, 0.0008]","[0.1087, 0.0007]","[0.1116, 0.0014]","[0.1058, 0.0005]","[0.1415, 0.0013]","[0.2106, 0.0015]","[0.2776, 0.0017]","[0.0716, 0.001]","[0.6803, 0.0018]"
VNCF,100,1,128,128,5e-05,,0.001,100,5,"[0.1, 0.0012]","[0.1021, 0.001]","[0.1031, 0.0009]","[0.094, 0.0015]","[0.1045, 0.0006]","[0.1156, 0.0011]","[0.1502, 0.0012]","[0.182, 0.0012]","[0.0726, 0.001]","[0.333, 0.0012]","[0.1064, 0.001]","[0.106, 0.0008]","[0.1063, 0.0007]","[0.105, 0.0014]","[0.1037, 0.0005]","[0.1349, 0.0013]","[0.2018, 0.0015]","[0.271, 0.0017]","[0.0663, 0.0009]","[0.6659, 0.0018]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.1, 0.0012]","[0.1009, 0.001]","[0.1014, 0.0009]","[0.0982, 0.0016]","[0.1026, 0.0006]","[0.1154, 0.0012]","[0.15, 0.0012]","[0.1806, 0.0012]","[0.0738, 0.001]","[0.3337, 0.0012]","[0.1025, 0.001]","[0.1031, 0.0008]","[0.1031, 0.0007]","[0.1009, 0.0013]","[0.1035, 0.0005]","[0.1316, 0.0013]","[0.199, 0.0015]","[0.2652, 0.0017]","[0.0649, 0.0009]","[0.6667, 0.0018]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.0784, 0.001]","[0.082, 0.0009]","[0.0841, 0.0008]","[0.0711, 0.0013]","[0.0898, 0.0006]","[0.0942, 0.001]","[0.1252, 0.0011]","[0.1528, 0.0011]","[0.0559, 0.0009]","[0.2984, 0.0012]","[0.088, 0.0009]","[0.0898, 0.0008]","[0.0907, 0.0007]","[0.0807, 0.0012]","[0.0955, 0.0005]","[0.1131, 0.0012]","[0.1732, 0.0015]","[0.2332, 0.0016]","[0.0515, 0.0009]","[0.6155, 0.0019]"
VNCF,100,1,128,128,0.0001,,0.001,100,5,"[0.0922, 0.0012]","[0.0941, 0.001]","[0.0954, 0.0009]","[0.0889, 0.0015]","[0.0976, 0.0006]","[0.1089, 0.0011]","[0.1419, 0.0012]","[0.1728, 0.0012]","[0.0673, 0.001]","[0.315, 0.0013]","[0.0974, 0.0009]","[0.0983, 0.0008]","[0.0998, 0.0007]","[0.0911, 0.0013]","[0.0979, 0.0005]","[0.1259, 0.0013]","[0.1895, 0.0015]","[0.2564, 0.0017]","[0.0589, 0.0009]","[0.6277, 0.0019]"
VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.1067, 0.0013]","[0.1063, 0.0011]","[0.106, 0.0009]","[0.1074, 0.0017]","[0.1051, 0.0006]","[0.1209, 0.0012]","[0.1555, 0.0012]","[0.1863, 0.0013]","[0.0787, 0.0011]","[0.339, 0.0013]","[0.1058, 0.001]","[0.1054, 0.0008]","[0.105, 0.0007]","[0.106, 0.0014]","[0.1041, 0.0005]","[0.1352, 0.0013]","[0.2023, 0.0015]","[0.2691, 0.0017]","[0.0676, 0.0009]","[0.6696, 0.0018]"
VNCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.1099, 0.0013]","[0.1093, 0.0011]","[0.1089, 0.0009]","[0.1105, 0.0017]","[0.108, 0.0006]","[0.1262, 0.0012]","[0.1611, 0.0013]","[0.1931, 0.0013]","[0.0827, 0.0011]","[0.3472, 0.0012]","[0.1089, 0.001]","[0.1076, 0.0008]","[0.1077, 0.0007]","[0.1099, 0.0014]","[0.1056, 0.0005]","[0.1419, 0.0013]","[0.2098, 0.0016]","[0.2792, 0.0017]","[0.0721, 0.001]","[0.682, 0.0017]"
VNCF,200,1,128,128,5e-05,,0.001,100,5,"[0.1121, 0.0013]","[0.1131, 0.0011]","[0.1129, 0.001]","[0.1134, 0.0018]","[0.1128, 0.0007]","[0.1302, 0.0013]","[0.1717, 0.0014]","[0.2003, 0.0014]","[0.084, 0.0012]","[0.3592, 0.0013]","[0.1118, 0.001]","[0.1161, 0.0009]","[0.1114, 0.0007]","[0.1077, 0.0014]","[0.1087, 0.0005]","[0.1446, 0.0013]","[0.2252, 0.0016]","[0.287, 0.0018]","[0.071, 0.001]","[0.7001, 0.0018]"
VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.0903, 0.0012]","[0.0917, 0.001]","[0.0928, 0.0009]","[0.0887, 0.0015]","[0.097, 0.0006]","[0.1036, 0.0011]","[0.1364, 0.0012]","[0.1663, 0.0012]","[0.0657, 0.001]","[0.3214, 0.0013]","[0.093, 0.0009]","[0.0952, 0.0008]","[0.0967, 0.0007]","[0.0905, 0.0013]","[0.1019, 0.0005]","[0.1174, 0.0012]","[0.1805, 0.0015]","[0.2453, 0.0017]","[0.0571, 0.0009]","[0.6525, 0.0019]"
VNCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.1161, 0.0013]","[0.1139, 0.0011]","[0.1124, 0.001]","[0.1248, 0.0018]","[0.1098, 0.0006]","[0.1303, 0.0012]","[0.1665, 0.0013]","[0.1981, 0.0013]","[0.087, 0.0011]","[0.3548, 0.0013]","[0.1088, 0.001]","[0.1088, 0.0008]","[0.108, 0.0007]","[0.1093, 0.0013]","[0.1068, 0.0005]","[0.14, 0.0013]","[0.2102, 0.0015]","[0.2792, 0.0017]","[0.0701, 0.0009]","[0.6893, 0.0018]"
VNCF,200,1,128,128,0.0001,,0.001,100,5,"[0.1501, 0.0015]","[0.1383, 0.0012]","[0.1307, 0.0011]","[0.1665, 0.0021]","[0.1146, 0.0007]","[0.1578, 0.0014]","[0.1917, 0.0014]","[0.2165, 0.0015]","[0.1224, 0.0014]","[0.3466, 0.0014]","[0.1204, 0.001]","[0.1145, 0.0008]","[0.1075, 0.0007]","[0.1527, 0.0016]","[0.0957, 0.0005]","[0.1563, 0.0013]","[0.2229, 0.0016]","[0.276, 0.0017]","[0.1013, 0.0012]","[0.6103, 0.0019]"
