model,rank,num_layers,batch_size,lambda,topK,learning_rate,epoch,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,100,1,1024,0.001,,0.0001,50,"[3.6176, 0.0327]","[0.0144, 0.0008]","[0.015, 0.0007]","[0.0149, 0.0006]","[0.0126, 0.001]","[0.0129, 0.0004]","[0.1086, 0.0027]","[0.0165, 0.0007]","[0.0155, 0.0006]","[0.0139, 0.0005]","[0.0156, 0.001]","[0.0098, 0.0002]","[0.0097, 0.0014]","[0.1199, 0.0054]","[0.1688, 0.0062]","[0.201, 0.0067]","[0.0544, 0.0038]","[0.3543, 0.0079]"
CNCF,100,1,1024,0.001,,0.0005,50,"[3.8014, 0.033]","[0.0144, 0.0008]","[0.0152, 0.0007]","[0.015, 0.0006]","[0.0108, 0.001]","[0.012, 0.0004]","[0.0868, 0.0026]","[0.019, 0.0008]","[0.0155, 0.0006]","[0.0137, 0.0005]","[0.0156, 0.001]","[0.0076, 0.0002]","[0.0098, 0.0014]","[0.1378, 0.0057]","[0.1647, 0.0061]","[0.1899, 0.0065]","[0.0522, 0.0036]","[0.2555, 0.0072]"
CNCF,100,1,1024,0.001,,0.001,50,"[3.6815, 0.034]","[0.0164, 0.0009]","[0.0174, 0.0008]","[0.0171, 0.0007]","[0.0128, 0.0011]","[0.0135, 0.0004]","[0.0978, 0.0028]","[0.0214, 0.0008]","[0.0181, 0.0006]","[0.0153, 0.0005]","[0.0157, 0.001]","[0.0087, 0.0002]","[0.0123, 0.0016]","[0.1519, 0.006]","[0.1895, 0.0065]","[0.2102, 0.0067]","[0.0509, 0.0036]","[0.2855, 0.0074]"
CNCF,100,1,1024,0.01,,0.0001,50,"[2.6801, 0.0337]","[0.0324, 0.0014]","[0.0306, 0.0011]","[0.0295, 0.0009]","[0.0346, 0.0019]","[0.0246, 0.0006]","[0.2038, 0.0036]","[0.0288, 0.0009]","[0.0269, 0.0007]","[0.0257, 0.0006]","[0.0329, 0.0014]","[0.0172, 0.0003]","[0.0379, 0.0029]","[0.2001, 0.0066]","[0.2793, 0.0074]","[0.3637, 0.008]","[0.1144, 0.0052]","[0.6127, 0.0081]"
CNCF,100,1,1024,0.01,,0.0005,50,"[2.5005, 0.033]","[0.035, 0.0014]","[0.0334, 0.0012]","[0.0325, 0.001]","[0.0386, 0.002]","[0.0272, 0.0006]","[0.2215, 0.0036]","[0.0306, 0.001]","[0.0299, 0.0008]","[0.0291, 0.0006]","[0.0337, 0.0015]","[0.019, 0.0003]","[0.0414, 0.003]","[0.2058, 0.0066]","[0.3071, 0.0076]","[0.4019, 0.0081]","[0.1106, 0.0051]","[0.6689, 0.0078]"
CNCF,100,1,1024,0.01,,0.001,50,"[2.1184, 0.0355]","[0.0686, 0.002]","[0.0605, 0.0016]","[0.0548, 0.0013]","[0.0804, 0.0028]","[0.0372, 0.0007]","[0.286, 0.0046]","[0.0505, 0.0012]","[0.0409, 0.0008]","[0.0358, 0.0007]","[0.0706, 0.002]","[0.0194, 0.0003]","[0.0792, 0.0042]","[0.3608, 0.008]","[0.4305, 0.0082]","[0.5093, 0.0083]","[0.2565, 0.0073]","[0.6848, 0.0077]"
CNCF,100,1,1024,0.1,,0.0001,50,"[2.0181, 0.0358]","[0.0789, 0.0021]","[0.0688, 0.0017]","[0.0617, 0.0014]","[0.0951, 0.0031]","[0.0402, 0.0008]","[0.3104, 0.0051]","[0.0555, 0.0012]","[0.0447, 0.0009]","[0.0375, 0.0007]","[0.0745, 0.0021]","[0.0193, 0.0003]","[0.1192, 0.0052]","[0.3946, 0.0081]","[0.4782, 0.0083]","[0.5331, 0.0083]","[0.2629, 0.0073]","[0.683, 0.0077]"
CNCF,100,1,1024,0.1,,0.0005,50,"[2.0319, 0.0355]","[0.0747, 0.0021]","[0.0659, 0.0016]","[0.0593, 0.0014]","[0.089, 0.003]","[0.0393, 0.0007]","[0.3015, 0.0049]","[0.0548, 0.0012]","[0.0441, 0.0008]","[0.0369, 0.0007]","[0.07, 0.002]","[0.0194, 0.0003]","[0.101, 0.0047]","[0.3912, 0.0081]","[0.4727, 0.0083]","[0.5242, 0.0083]","[0.2468, 0.0072]","[0.6878, 0.0076]"
CNCF,100,1,1024,0.1,,0.001,50,"[2.1878, 0.0356]","[0.0632, 0.0019]","[0.0567, 0.0015]","[0.0517, 0.0013]","[0.0736, 0.0027]","[0.0357, 0.0007]","[0.2732, 0.0044]","[0.0495, 0.0011]","[0.0403, 0.0008]","[0.0349, 0.0007]","[0.061, 0.0019]","[0.019, 0.0003]","[0.0717, 0.0039]","[0.3539, 0.0079]","[0.424, 0.0082]","[0.4932, 0.0083]","[0.2147, 0.0068]","[0.669, 0.0078]"
CNCF,100,1,1024,1.0,,0.0001,50,"[3.4689, 0.0365]","[0.0422, 0.0016]","[0.035, 0.0012]","[0.0302, 0.001]","[0.0536, 0.0023]","[0.0189, 0.0006]","[0.1566, 0.0043]","[0.0251, 0.0008]","[0.0181, 0.0006]","[0.0145, 0.0004]","[0.0431, 0.0015]","[0.0095, 0.0002]","[0.052, 0.0034]","[0.1875, 0.0065]","[0.2013, 0.0067]","[0.2103, 0.0068]","[0.1623, 0.0061]","[0.3523, 0.0079]"
