model,rank,num_layers,batch_size,lambda,topK,learning_rate,epoch,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
INCF,100,1,1024,0.001,,0.0001,50,"[3.483, 0.0339]","[0.0211, 0.0011]","[0.0201, 0.0009]","[0.0191, 0.0008]","[0.022, 0.0015]","[0.0152, 0.0004]","[0.1286, 0.0033]","[0.0195, 0.0008]","[0.0178, 0.0006]","[0.0156, 0.0005]","[0.0208, 0.0011]","[0.0107, 0.0002]","[0.025, 0.0025]","[0.1403, 0.0058]","[0.1929, 0.0066]","[0.2251, 0.007]","[0.074, 0.0044]","[0.3828, 0.008]"
INCF,100,1,1024,0.001,,0.0005,50,"[3.8228, 0.0333]","[0.017, 0.0009]","[0.017, 0.0007]","[0.0163, 0.0007]","[0.0144, 0.0011]","[0.0122, 0.0004]","[0.0901, 0.0029]","[0.019, 0.0007]","[0.0157, 0.0006]","[0.0132, 0.0005]","[0.0159, 0.001]","[0.0075, 0.0002]","[0.0139, 0.0017]","[0.143, 0.0059]","[0.1706, 0.0063]","[0.1845, 0.0064]","[0.0549, 0.0038]","[0.2468, 0.0071]"
INCF,100,1,1024,0.001,,0.001,50,"[3.5988, 0.0332]","[0.0128, 0.0008]","[0.0146, 0.0007]","[0.0151, 0.0006]","[0.0116, 0.0011]","[0.0133, 0.0004]","[0.1047, 0.0027]","[0.0172, 0.0007]","[0.0177, 0.0006]","[0.0158, 0.0005]","[0.0111, 0.0009]","[0.0096, 0.0002]","[0.01, 0.0014]","[0.1236, 0.0055]","[0.1871, 0.0065]","[0.2208, 0.0069]","[0.0344, 0.0029]","[0.3338, 0.0078]"
INCF,100,1,1024,0.01,,0.0001,50,"[2.6572, 0.0354]","[0.033, 0.0013]","[0.0325, 0.001]","[0.0315, 0.0009]","[0.0316, 0.0017]","[0.025, 0.0005]","[0.198, 0.0036]","[0.0333, 0.0009]","[0.0302, 0.0007]","[0.0271, 0.0006]","[0.0348, 0.0014]","[0.0163, 0.0003]","[0.0347, 0.0029]","[0.2392, 0.0071]","[0.3283, 0.0078]","[0.3925, 0.0081]","[0.126, 0.0055]","[0.5726, 0.0082]"
INCF,100,1,1024,0.01,,0.0005,50,"[2.4869, 0.0345]","[0.0446, 0.0016]","[0.041, 0.0013]","[0.0381, 0.0011]","[0.052, 0.0022]","[0.0289, 0.0006]","[0.2351, 0.0039]","[0.0353, 0.001]","[0.0316, 0.0008]","[0.0287, 0.0006]","[0.044, 0.0016]","[0.0186, 0.0003]","[0.0441, 0.003]","[0.2457, 0.0071]","[0.3342, 0.0078]","[0.4018, 0.0081]","[0.1596, 0.0061]","[0.6537, 0.0079]"
INCF,100,1,1024,0.01,,0.001,50,"[2.1332, 0.0361]","[0.0702, 0.0019]","[0.0618, 0.0015]","[0.0556, 0.0013]","[0.0799, 0.0028]","[0.0372, 0.0007]","[0.2851, 0.0047]","[0.0529, 0.0012]","[0.0412, 0.0008]","[0.0347, 0.0006]","[0.0715, 0.002]","[0.019, 0.0003]","[0.0907, 0.0045]","[0.3843, 0.0081]","[0.4405, 0.0082]","[0.4926, 0.0083]","[0.2543, 0.0073]","[0.6677, 0.0078]"
INCF,100,1,1024,0.1,,0.0001,50,"[2.0431, 0.0365]","[0.0787, 0.0021]","[0.0688, 0.0016]","[0.0613, 0.0014]","[0.0928, 0.003]","[0.0397, 0.0007]","[0.3025, 0.0049]","[0.0576, 0.0012]","[0.0439, 0.0008]","[0.0361, 0.0006]","[0.0797, 0.0021]","[0.0191, 0.0003]","[0.1022, 0.0048]","[0.4116, 0.0082]","[0.4719, 0.0083]","[0.5157, 0.0083]","[0.2887, 0.0075]","[0.6711, 0.0078]"
INCF,100,1,1024,0.1,,0.0005,50,"[2.0711, 0.0362]","[0.0734, 0.002]","[0.0646, 0.0016]","[0.0581, 0.0013]","[0.0846, 0.0028]","[0.0384, 0.0007]","[0.2898, 0.0046]","[0.0543, 0.0012]","[0.0433, 0.0008]","[0.0359, 0.0006]","[0.0758, 0.002]","[0.0191, 0.0003]","[0.074, 0.004]","[0.392, 0.0081]","[0.4635, 0.0082]","[0.5115, 0.0083]","[0.2793, 0.0075]","[0.6732, 0.0078]"
INCF,100,1,1024,0.1,,0.001,50,"[2.2259, 0.0358]","[0.0552, 0.0017]","[0.0516, 0.0014]","[0.0478, 0.0012]","[0.0561, 0.0023]","[0.0337, 0.0007]","[0.2539, 0.0041]","[0.0509, 0.0011]","[0.0405, 0.0008]","[0.034, 0.0006]","[0.0556, 0.0018]","[0.0185, 0.0003]","[0.0567, 0.0035]","[0.3703, 0.008]","[0.4342, 0.0082]","[0.4837, 0.0083]","[0.1921, 0.0065]","[0.6491, 0.0079]"
INCF,100,1,1024,1.0,,0.0001,50,"[3.4371, 0.0375]","[0.0409, 0.0016]","[0.0345, 0.0012]","[0.0305, 0.001]","[0.0541, 0.0023]","[0.0192, 0.0006]","[0.1519, 0.0044]","[0.0238, 0.0008]","[0.0208, 0.0006]","[0.0173, 0.0005]","[0.0391, 0.0014]","[0.0085, 0.0002]","[0.0541, 0.0035]","[0.1778, 0.0064]","[0.2366, 0.0071]","[0.2576, 0.0073]","[0.1511, 0.006]","[0.3119, 0.0077]"
