Falling Rank,type,model
24177,Unaffected,CVNCF
-106986,Unaffected,CVNCF
5354,Unaffected,CVNCF
11983,Unaffected,CVNCF
5637,Unaffected,CVNCF
-152663,Unaffected,CVNCF
-72256,Unaffected,CVNCF
-9343,Unaffected,CVNCF
-108647,Unaffected,CVNCF
-117869,Unaffected,CVNCF
-117638,Unaffected,CVNCF
21012,Unaffected,CVNCF
2618,Unaffected,CVNCF
62143,Unaffected,CVNCF
-133777,Unaffected,CVNCF
50975,Unaffected,CVNCF
31513,Unaffected,CVNCF
22733,Unaffected,CVNCF
41335,Unaffected,CVNCF
-276363,Unaffected,CVNCF
-19066,Unaffected,CVNCF
20594,Unaffected,CVNCF
-160209,Unaffected,CVNCF
65448,Unaffected,CVNCF
-1010,Unaffected,CVNCF
29796,Unaffected,CVNCF
61331,Unaffected,CVNCF
-148381,Unaffected,CVNCF
-75119,Unaffected,CVNCF
83141,Unaffected,CVNCF
-130528,Unaffected,CVNCF
93271,Unaffected,CVNCF
-228912,Unaffected,CVNCF
-6087,Unaffected,CVNCF
13904,Unaffected,CVNCF
-32371,Unaffected,CVNCF
-37252,Unaffected,CVNCF
-40322,Unaffected,CVNCF
-3303,Unaffected,CVNCF
24073,Unaffected,CVNCF
167636,Unaffected,CVNCF
-65832,Unaffected,CVNCF
-49475,Unaffected,CVNCF
82,Unaffected,CVNCF
-78198,Unaffected,CVNCF
-13532,Unaffected,CVNCF
26123,Unaffected,CVNCF
-47566,Unaffected,CVNCF
-273773,Unaffected,CVNCF
-22496,Unaffected,CVNCF
-88420,Unaffected,CVNCF
-40004,Unaffected,CVNCF
-88182,Unaffected,CVNCF
-18351,Unaffected,CVNCF
-5811,Unaffected,CVNCF
3484,Unaffected,CVNCF
50475,Unaffected,CVNCF
-186296,Unaffected,CVNCF
-117757,Unaffected,CVNCF
-170265,Unaffected,CVNCF
-26872,Unaffected,CVNCF
-42843,Unaffected,CVNCF
-56742,Unaffected,CVNCF
-129650,Unaffected,CVNCF
-46679,Unaffected,CVNCF
-1206,Unaffected,CVNCF
-126146,Unaffected,CVNCF
-32002,Unaffected,CVNCF
19138,Unaffected,CVNCF
-56158,Unaffected,CVNCF
-79286,Unaffected,CVNCF
34878,Unaffected,CVNCF
-127974,Unaffected,CVNCF
-14300,Unaffected,CVNCF
11524,Unaffected,CVNCF
-110930,Unaffected,CVNCF
63932,Unaffected,CVNCF
167445,Unaffected,CVNCF
61387,Unaffected,CVNCF
-206761,Unaffected,CVNCF
-32420,Unaffected,CVNCF
98018,Unaffected,CVNCF
-194709,Unaffected,CVNCF
-3504,Unaffected,CVNCF
82148,Unaffected,CVNCF
-125527,Unaffected,CVNCF
-1555,Unaffected,CVNCF
15705,Unaffected,CVNCF
6562,Unaffected,CVNCF
-35002,Unaffected,CVNCF
-33140,Unaffected,CVNCF
-3469,Unaffected,CVNCF
-136408,Unaffected,CVNCF
-1943,Unaffected,CVNCF
-44824,Unaffected,CVNCF
-35395,Unaffected,CVNCF
-4263,Unaffected,CVNCF
75016,Unaffected,CVNCF
11962,Unaffected,CVNCF
-107571,Unaffected,CVNCF
-102927,Unaffected,CVNCF
371,Unaffected,CVNCF
-124491,Unaffected,CVNCF
-32981,Unaffected,CVNCF
-82541,Unaffected,CVNCF
-266780,Unaffected,CVNCF
124601,Unaffected,CVNCF
55791,Unaffected,CVNCF
-64891,Unaffected,CVNCF
-27809,Unaffected,CVNCF
-28979,Unaffected,CVNCF
28006,Unaffected,CVNCF
-84734,Unaffected,CVNCF
-80,Unaffected,CVNCF
-32608,Unaffected,CVNCF
-195603,Unaffected,CVNCF
-74354,Unaffected,CVNCF
-94528,Unaffected,CVNCF
-140845,Unaffected,CVNCF
-83500,Unaffected,CVNCF
79640,Unaffected,CVNCF
-76082,Unaffected,CVNCF
-8571,Unaffected,CVNCF
-40485,Unaffected,CVNCF
12711,Unaffected,CVNCF
-11774,Unaffected,CVNCF
-133008,Unaffected,CVNCF
73407,Unaffected,CVNCF
-87438,Unaffected,CVNCF
53916,Unaffected,CVNCF
-177182,Unaffected,CVNCF
-66476,Unaffected,CVNCF
-140760,Unaffected,CVNCF
-33091,Unaffected,CVNCF
98582,Unaffected,CVNCF
-77475,Unaffected,CVNCF
-72,Unaffected,CVNCF
-208543,Unaffected,CVNCF
-10989,Unaffected,CVNCF
-50963,Unaffected,CVNCF
-14394,Unaffected,CVNCF
26798,Unaffected,CVNCF
44720,Unaffected,CVNCF
-73187,Unaffected,CVNCF
71803,Unaffected,CVNCF
-125994,Unaffected,CVNCF
-61257,Unaffected,CVNCF
-47769,Unaffected,CVNCF
55466,Unaffected,CVNCF
5669,Unaffected,CVNCF
-100006,Unaffected,CVNCF
-151381,Unaffected,CVNCF
-73937,Unaffected,CVNCF
67956,Unaffected,CVNCF
477,Unaffected,CVNCF
-54948,Unaffected,CVNCF
1493,Unaffected,CVNCF
-162307,Unaffected,CVNCF
4303,Unaffected,CVNCF
-165518,Unaffected,CVNCF
24474,Unaffected,CVNCF
40378,Unaffected,CVNCF
19138,Unaffected,CVNCF
-55897,Unaffected,CVNCF
-140110,Unaffected,CVNCF
-49388,Unaffected,CVNCF
55090,Unaffected,CVNCF
-38278,Unaffected,CVNCF
-48952,Unaffected,CVNCF
-66552,Unaffected,CVNCF
21189,Unaffected,CVNCF
-76914,Unaffected,CVNCF
157735,Unaffected,CVNCF
-59832,Unaffected,CVNCF
-42970,Unaffected,CVNCF
60857,Unaffected,CVNCF
44412,Unaffected,CVNCF
30891,Unaffected,CVNCF
-298394,Unaffected,CVNCF
874,Unaffected,CVNCF
40512,Unaffected,CVNCF
36655,Unaffected,CVNCF
-177427,Unaffected,CVNCF
-3938,Unaffected,CVNCF
-53766,Unaffected,CVNCF
259,Unaffected,CVNCF
110054,Unaffected,CVNCF
-117391,Unaffected,CVNCF
-38136,Unaffected,CVNCF
-306824,Unaffected,CVNCF
-13037,Unaffected,CVNCF
12,Unaffected,CVNCF
82166,Unaffected,CVNCF
26411,Unaffected,CVNCF
83653,Unaffected,CVNCF
83662,Unaffected,CVNCF
-2346,Unaffected,CVNCF
14165,Unaffected,CVNCF
4729,Unaffected,CVNCF
-152155,Unaffected,CVNCF
32221,Unaffected,CVNCF
6734,Unaffected,CVNCF
-151485,Unaffected,CVNCF
-274535,Unaffected,CVNCF
119826,Unaffected,CVNCF
-64642,Unaffected,CVNCF
-26589,Unaffected,CVNCF
-35587,Unaffected,CVNCF
-34957,Unaffected,CVNCF
45609,Unaffected,CVNCF
1483,Unaffected,CVNCF
-225924,Unaffected,CVNCF
-699,Unaffected,CVNCF
-6873,Unaffected,CVNCF
-17885,Unaffected,CVNCF
44194,Unaffected,CVNCF
-169661,Unaffected,CVNCF
-32254,Unaffected,CVNCF
-158993,Unaffected,CVNCF
162521,Unaffected,CVNCF
-30460,Unaffected,CVNCF
61091,Unaffected,CVNCF
-20051,Unaffected,CVNCF
-57335,Unaffected,CVNCF
42202,Unaffected,CVNCF
-64361,Unaffected,CVNCF
35394,Unaffected,CVNCF
-96321,Unaffected,CVNCF
-87139,Unaffected,CVNCF
24639,Unaffected,CVNCF
-69255,Unaffected,CVNCF
-129922,Unaffected,CVNCF
-37441,Unaffected,CVNCF
32487,Unaffected,CVNCF
-76887,Unaffected,CVNCF
-6496,Unaffected,CVNCF
75084,Unaffected,CVNCF
96472,Unaffected,CVNCF
-15663,Unaffected,CVNCF
-164225,Unaffected,CVNCF
-114703,Unaffected,CVNCF
31416,Unaffected,CVNCF
69012,Unaffected,CVNCF
-52003,Unaffected,CVNCF
29897,Unaffected,CVNCF
56306,Unaffected,CVNCF
-63353,Unaffected,CVNCF
-37196,Unaffected,CVNCF
11583,Unaffected,CVNCF
-84568,Unaffected,CVNCF
-51690,Unaffected,CVNCF
-126100,Unaffected,CVNCF
-90764,Unaffected,CVNCF
-64796,Unaffected,CVNCF
10990,Unaffected,CVNCF
27748,Unaffected,CVNCF
3357,Unaffected,CVNCF
-47886,Unaffected,CVNCF
29017,Unaffected,CVNCF
21239,Unaffected,CVNCF
12748,Unaffected,CVNCF
-13588,Unaffected,CVNCF
94625,Unaffected,CVNCF
66209,Unaffected,CVNCF
-88265,Unaffected,CVNCF
-63553,Unaffected,CVNCF
-39560,Unaffected,CVNCF
5781,Unaffected,CVNCF
111326,Unaffected,CVNCF
-216741,Unaffected,CVNCF
69378,Unaffected,CVNCF
26862,Unaffected,CVNCF
5355,Unaffected,CVNCF
-2882,Unaffected,CVNCF
56077,Unaffected,CVNCF
-461,Unaffected,CVNCF
-179576,Unaffected,CVNCF
25248,Unaffected,CVNCF
-16925,Unaffected,CVNCF
-59160,Unaffected,CVNCF
-4163,Unaffected,CVNCF
44662,Unaffected,CVNCF
6051,Unaffected,CVNCF
-148202,Unaffected,CVNCF
-141212,Unaffected,CVNCF
-155710,Unaffected,CVNCF
15031,Unaffected,CVNCF
1342,Unaffected,CVNCF
-212578,Unaffected,CVNCF
32413,Unaffected,CVNCF
-85880,Unaffected,CVNCF
165333,Unaffected,CVNCF
99289,Unaffected,CVNCF
-70734,Unaffected,CVNCF
-2125,Unaffected,CVNCF
-68128,Unaffected,CVNCF
-96061,Unaffected,CVNCF
31545,Unaffected,CVNCF
31417,Unaffected,CVNCF
76241,Unaffected,CVNCF
87940,Unaffected,CVNCF
-24029,Unaffected,CVNCF
-34315,Unaffected,CVNCF
-206316,Unaffected,CVNCF
74803,Unaffected,CVNCF
-56538,Unaffected,CVNCF
24636,Unaffected,CVNCF
-127172,Unaffected,CVNCF
-214862,Unaffected,CVNCF
31805,Unaffected,CVNCF
2370,Unaffected,CVNCF
111646,Unaffected,CVNCF
-22220,Unaffected,CVNCF
-59580,Unaffected,CVNCF
22198,Unaffected,CVNCF
-5829,Unaffected,CVNCF
-2890,Unaffected,CVNCF
-69231,Unaffected,CVNCF
-12406,Unaffected,CVNCF
-24935,Unaffected,CVNCF
-762,Unaffected,CVNCF
-17381,Unaffected,CVNCF
28927,Unaffected,CVNCF
9124,Unaffected,CVNCF
-21249,Unaffected,CVNCF
37810,Unaffected,CVNCF
40296,Unaffected,CVNCF
-1811,Unaffected,CVNCF
4935,Unaffected,CVNCF
-141352,Unaffected,CVNCF
-331738,Unaffected,CVNCF
-3383,Unaffected,CVNCF
29371,Unaffected,CVNCF
23440,Unaffected,CVNCF
39123,Unaffected,CVNCF
-7019,Unaffected,CVNCF
-7724,Unaffected,CVNCF
40950,Unaffected,CVNCF
-359,Unaffected,CVNCF
14967,Unaffected,CVNCF
