model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,3.3997,0.0494,0.0749,0.0443,0.0457,0.1045
CNCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,3.3179,0.058,0.088,0.0466,0.0537,0.1129
CNCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,3.2526,0.0574,0.0892,0.0477,0.0527,0.1183
CNCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,3.2295,0.0609,0.0921,0.0491,0.0575,0.1193
CNCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,3.2757,0.0583,0.0897,0.0476,0.0542,0.1169
CNCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,3.2939,0.0577,0.0879,0.047,0.0552,0.114
CNCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,3.2179,0.0604,0.0929,0.0492,0.0579,0.1219
CNCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,3.2352,0.0577,0.0893,0.0487,0.0549,0.1188
CNCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,3.1658,0.0633,0.0968,0.0515,0.0584,0.1263
CNCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,3.2071,0.0608,0.0932,0.05,0.0571,0.1213
CNCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,3.1799,0.0612,0.0943,0.0507,0.059,0.1236
CNCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,3.2526,0.0592,0.0903,0.0482,0.0564,0.1167
CNCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,3.2005,0.0603,0.0919,0.05,0.0554,0.1213
CNCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,3.1476,0.0635,0.0969,0.0521,0.0603,0.1262
CNCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,3.1418,0.0641,0.0982,0.0522,0.0616,0.1268
CNCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,3.16,0.0633,0.0967,0.052,0.0595,0.1257
CNCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,3.2179,0.0601,0.0918,0.0498,0.0568,0.1204
CNCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,3.1848,0.0626,0.0952,0.0507,0.0603,0.1226
CNCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,3.1914,0.0635,0.0974,0.0511,0.0606,0.1251
CNCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,3.1964,0.0622,0.0944,0.0501,0.0578,0.1217
CNCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,3.1509,0.0634,0.0976,0.0519,0.0612,0.1262
CNCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,3.2121,0.0615,0.0938,0.0498,0.0579,0.1215
CNCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,3.2262,0.0609,0.0927,0.0498,0.0575,0.1209
CNCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,3.198,0.0613,0.0936,0.0505,0.0579,0.1219
CNCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,3.1699,0.0634,0.0962,0.0513,0.0599,0.125
CNCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,3.2171,0.0616,0.0943,0.0504,0.0598,0.1225
CNCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,3.1906,0.0619,0.0948,0.0506,0.0593,0.1234
CNCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,3.1989,0.0617,0.0949,0.0509,0.0588,0.1232
CNCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,3.1956,0.063,0.0963,0.0509,0.0626,0.1233
CNCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,3.1865,0.063,0.0962,0.0512,0.0602,0.1241
VNCF,200,1,128,128,5e-05,10,0.0001,10,5,Adam,3.5493,0.0496,0.0707,0.0412,0.0449,0.0894
VNCF,200,1,128,128,5e-05,10,0.0001,20,5,Adam,3.2997,0.0589,0.0885,0.0476,0.0542,0.1146
VNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,3.227,0.0596,0.0918,0.0491,0.0562,0.1203
VNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,3.2195,0.0588,0.091,0.0493,0.0555,0.1216
VNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,3.2162,0.0601,0.0932,0.0494,0.0563,0.1229
VNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,3.1857,0.0601,0.094,0.0505,0.057,0.1249
