model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
INCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,0.3177,0.6034,0.2039,0.7363
INCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,0.3165,0.6004,0.2019,0.7309
INCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,0.3188,0.604,0.2024,0.7308
INCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,0.3143,0.5966,0.2001,0.7241
INCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,0.3201,0.6062,0.2035,0.734
INCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,0.3199,0.6048,0.2025,0.7304
INCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,0.3188,0.6046,0.2012,0.7292
INCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,0.3201,0.6055,0.2017,0.7297
INCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,0.3197,0.6044,0.2016,0.7278
INCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,0.3188,0.6023,0.2006,0.724
INCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,0.3206,0.6063,0.202,0.7285
INCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,0.3195,0.6048,0.2014,0.7272
INCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,0.3207,0.6053,0.2022,0.7281
INCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,0.3214,0.6072,0.2027,0.7305
INCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,0.3215,0.6087,0.2033,0.7343
INCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,0.3207,0.6059,0.2025,0.7282
INCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,0.3203,0.6064,0.2025,0.731
INCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,0.3201,0.6061,0.2019,0.7285
INCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,0.3196,0.6058,0.2023,0.7306
INCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,0.3205,0.6067,0.2023,0.7306
INCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,0.319,0.6038,0.2013,0.726
INCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,0.3201,0.6055,0.2018,0.7282
INCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,0.322,0.6084,0.2032,0.7318
INCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,0.3192,0.6032,0.2001,0.7232
INCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,0.3204,0.6057,0.2017,0.7265
INCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,0.3204,0.6055,0.2012,0.7267
INCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,0.3211,0.6064,0.2015,0.7265
INCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,0.323,0.6104,0.2035,0.732
INCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,0.3195,0.6051,0.2023,0.7299
INCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,0.3209,0.6064,0.202,0.7268
INCF,100,1,128,128,0.001,10,0.0005,310,5,Adam,0.32,0.6047,0.2009,0.7237
INCF,100,1,128,128,0.001,10,0.0005,320,5,Adam,0.3202,0.6067,0.2015,0.7296
INCF,100,1,128,128,0.001,10,0.0005,330,5,Adam,0.3221,0.6095,0.2032,0.7325
INCF,100,1,128,128,0.001,10,0.0005,340,5,Adam,0.3208,0.6069,0.2025,0.7288
INCF,100,1,128,128,0.001,10,0.0005,350,5,Adam,0.3209,0.6058,0.2013,0.7246
INCF,100,1,128,128,0.001,10,0.0005,360,5,Adam,0.3198,0.6043,0.2013,0.7256
INCF,100,1,128,128,0.001,10,0.0005,370,5,Adam,0.322,0.6092,0.2028,0.7311
INCF,100,1,128,128,0.001,10,0.0005,380,5,Adam,0.3207,0.606,0.2021,0.7275
INCF,100,1,128,128,0.001,10,0.0005,390,5,Adam,0.322,0.6071,0.2007,0.7252
INCF,100,1,128,128,0.001,10,0.0005,400,5,Adam,0.3201,0.6053,0.2013,0.7271
INCF,100,1,128,128,0.001,10,0.0005,410,5,Adam,0.3214,0.6061,0.2011,0.7238
INCF,100,1,128,128,0.001,10,0.0005,420,5,Adam,0.3213,0.6078,0.2025,0.7294
INCF,100,1,128,128,0.001,10,0.0005,430,5,Adam,0.3219,0.6098,0.2033,0.7347
INCF,100,1,128,128,0.001,10,0.0005,440,5,Adam,0.3198,0.6043,0.201,0.7249
INCF,100,1,128,128,0.001,10,0.0005,450,5,Adam,0.32,0.6052,0.2013,0.7272
INCF,100,1,128,128,0.001,10,0.0005,460,5,Adam,0.3214,0.6072,0.2027,0.7289
INCF,100,1,128,128,0.001,10,0.0005,470,5,Adam,0.3215,0.6084,0.2023,0.7315
INCF,100,1,128,128,0.001,10,0.0005,480,5,Adam,0.3198,0.604,0.2006,0.7236
INCF,100,1,128,128,0.001,10,0.0005,490,5,Adam,0.3212,0.6056,0.2013,0.725
INCF,100,1,128,128,0.001,10,0.0005,500,5,Adam,0.3203,0.6055,0.2011,0.7271
INCF,100,1,128,128,0.001,10,0.0005,510,5,Adam,0.3194,0.602,0.1998,0.7198
INCF,100,1,128,128,0.001,10,0.0005,520,5,Adam,0.3231,0.6107,0.2034,0.7335
INCF,100,1,128,128,0.001,10,0.0005,530,5,Adam,0.3194,0.604,0.2004,0.7248
INCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.3222,0.6102,0.2027,0.733
INCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3209,0.6062,0.2008,0.7257
INCF,100,1,128,128,0.001,10,0.0005,560,5,Adam,0.3218,0.6075,0.2022,0.7283
INCF,100,1,128,128,0.001,10,0.0005,570,5,Adam,0.3208,0.606,0.2004,0.7247
INCF,100,1,128,128,0.001,10,0.0005,580,5,Adam,0.3204,0.6049,0.2006,0.724
INCF,100,1,128,128,0.001,10,0.0005,590,5,Adam,0.3218,0.6079,0.2016,0.7287
INCF,100,1,128,128,0.001,10,0.0005,600,5,Adam,0.3212,0.6052,0.2012,0.7242
INCF,100,1,128,128,0.001,10,0.0005,610,5,Adam,0.3224,0.609,0.2028,0.7315
INCF,100,1,128,128,0.001,10,0.0005,620,5,Adam,0.3216,0.6082,0.2032,0.7319
INCF,100,1,128,128,0.001,10,0.0005,630,5,Adam,0.3211,0.6076,0.2026,0.731
INCF,100,1,128,128,0.001,10,0.0005,640,5,Adam,0.3217,0.6081,0.2021,0.729
INCF,100,1,128,128,0.001,10,0.0005,650,5,Adam,0.3183,0.6003,0.2,0.7173
INCF,100,1,128,128,0.001,10,0.0005,660,5,Adam,0.3212,0.6069,0.2018,0.7281
INCF,100,1,128,128,0.001,10,0.0005,670,5,Adam,0.3223,0.6092,0.203,0.7325
INCF,100,1,128,128,0.001,10,0.0005,680,5,Adam,0.323,0.61,0.2033,0.7333
INCF,100,1,128,128,0.001,10,0.0005,690,5,Adam,0.3219,0.6085,0.2019,0.7296
INCF,100,1,128,128,0.001,10,0.0005,700,5,Adam,0.3213,0.607,0.2018,0.728
INCF,100,1,128,128,0.001,10,0.0005,710,5,Adam,0.3202,0.6051,0.201,0.7244
INCF,100,1,128,128,0.001,10,0.0005,720,5,Adam,0.3188,0.6015,0.1999,0.7191
INCF,100,1,128,128,0.001,10,0.0005,730,5,Adam,0.3209,0.6055,0.2004,0.7242
INCF,100,1,128,128,0.001,10,0.0005,740,5,Adam,0.3224,0.6084,0.2023,0.7293
INCF,100,1,128,128,0.001,10,0.0005,750,5,Adam,0.3208,0.6059,0.2012,0.7254
INCF,100,1,128,128,0.001,10,0.0005,760,5,Adam,0.3214,0.6064,0.2011,0.7271
INCF,100,1,128,128,0.001,10,0.0005,770,5,Adam,0.3217,0.6073,0.2023,0.7274
INCF,100,1,128,128,0.001,10,0.0005,780,5,Adam,0.3209,0.606,0.2024,0.7277
INCF,100,1,128,128,0.001,10,0.0005,790,5,Adam,0.3216,0.6087,0.2028,0.7323
INCF,100,1,128,128,0.001,10,0.0005,800,5,Adam,0.3226,0.6093,0.2029,0.731
INCF,100,1,128,128,0.001,10,0.0005,810,5,Adam,0.3212,0.6059,0.2011,0.7247
INCF,100,1,128,128,0.001,10,0.0005,820,5,Adam,0.3214,0.6069,0.2021,0.728
INCF,100,1,128,128,0.001,10,0.0005,830,5,Adam,0.3201,0.6035,0.2015,0.7229
INCF,100,1,128,128,0.001,10,0.0005,840,5,Adam,0.3219,0.6077,0.2018,0.7271
INCF,100,1,128,128,0.001,10,0.0005,850,5,Adam,0.3219,0.6083,0.2022,0.7291
INCF,100,1,128,128,0.001,10,0.0005,860,5,Adam,0.3215,0.608,0.2019,0.7297
INCF,100,1,128,128,0.001,10,0.0005,870,5,Adam,0.3212,0.6066,0.2016,0.7272
INCF,100,1,128,128,0.001,10,0.0005,880,5,Adam,0.322,0.6077,0.2021,0.7288
INCF,100,1,128,128,0.001,10,0.0005,890,5,Adam,0.3222,0.6082,0.2025,0.7287
INCF,100,1,128,128,0.001,10,0.0005,900,5,Adam,0.3212,0.6056,0.2016,0.725
INCF,100,1,128,128,0.001,10,0.0005,910,5,Adam,0.3203,0.6048,0.2021,0.7262
INCF,100,1,128,128,0.001,10,0.0005,920,5,Adam,0.3225,0.6098,0.2036,0.7336
INCF,100,1,128,128,0.001,10,0.0005,930,5,Adam,0.3216,0.607,0.2027,0.7291
INCF,100,1,128,128,0.001,10,0.0005,940,5,Adam,0.3219,0.6066,0.2018,0.7255
INCF,100,1,128,128,0.001,10,0.0005,950,5,Adam,0.3197,0.6026,0.2012,0.7218
INCF,100,1,128,128,0.001,10,0.0005,960,5,Adam,0.3218,0.6092,0.2033,0.7333
INCF,100,1,128,128,0.001,10,0.0005,970,5,Adam,0.3228,0.6098,0.2032,0.7318
INCF,100,1,128,128,0.001,10,0.0005,980,5,Adam,0.3217,0.6063,0.2018,0.7254
INCF,100,1,128,128,0.001,10,0.0005,990,5,Adam,0.3208,0.6045,0.2017,0.7236
INCF,100,1,128,128,0.001,10,0.0005,1000,5,Adam,0.319,0.6005,0.1992,0.7158
CNCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,0.2468,0.4697,0.1566,0.5766
CNCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,0.2759,0.522,0.1725,0.6321
CNCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,0.2899,0.549,0.1823,0.6667
CNCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,0.293,0.5555,0.1851,0.6739
CNCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,0.2993,0.5669,0.1882,0.6827
CNCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,0.3022,0.5716,0.1903,0.6888
CNCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,0.3077,0.5828,0.1943,0.7041
CNCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,0.309,0.5856,0.1946,0.7068
CNCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,0.3118,0.5894,0.1959,0.7099
CNCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,0.3129,0.5906,0.1954,0.709
CNCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,0.3162,0.5997,0.1999,0.725
CNCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,0.3108,0.5871,0.196,0.7071
CNCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,0.3193,0.6027,0.1991,0.7212
CNCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,0.3207,0.6055,0.2005,0.7248
CNCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,0.3182,0.6009,0.2001,0.7233
CNCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,0.319,0.6024,0.2003,0.7236
CNCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,0.3202,0.604,0.2,0.7227
CNCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,0.3195,0.6023,0.1999,0.7205
CNCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,0.321,0.6065,0.2008,0.7272
CNCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,0.3231,0.6105,0.2035,0.7337
CNCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,0.3232,0.6108,0.2029,0.7332
CNCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,0.3218,0.6071,0.2008,0.7263
CNCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,0.324,0.6127,0.2042,0.7384
CNCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,0.3214,0.6064,0.2002,0.7253
CNCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,0.3216,0.6064,0.2013,0.7253
CNCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,0.32,0.6027,0.2,0.7212
CNCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,0.3227,0.6088,0.2014,0.7273
CNCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,0.3229,0.6096,0.2009,0.7283
CNCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,0.3229,0.6093,0.2007,0.7268
CNCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,0.3212,0.6039,0.1992,0.7183
CNCF,100,1,128,128,0.001,10,0.0005,310,5,Adam,0.3197,0.6035,0.2001,0.7229
CNCF,100,1,128,128,0.001,10,0.0005,320,5,Adam,0.3217,0.6064,0.2003,0.7216
CNCF,100,1,128,128,0.001,10,0.0005,330,5,Adam,0.3236,0.6071,0.1993,0.7183
CNCF,100,1,128,128,0.001,10,0.0005,340,5,Adam,0.319,0.6008,0.1976,0.713
CNCF,100,1,128,128,0.001,10,0.0005,350,5,Adam,0.3231,0.6089,0.2004,0.7252
CNCF,100,1,128,128,0.001,10,0.0005,360,5,Adam,0.3212,0.6053,0.2006,0.7228
CNCF,100,1,128,128,0.001,10,0.0005,370,5,Adam,0.3218,0.6056,0.2,0.7209
CNCF,100,1,128,128,0.001,10,0.0005,380,5,Adam,0.3244,0.6113,0.2015,0.7282
CNCF,100,1,128,128,0.001,10,0.0005,390,5,Adam,0.3242,0.6114,0.2014,0.7297
CNCF,100,1,128,128,0.001,10,0.0005,400,5,Adam,0.3222,0.6064,0.2001,0.7207
CNCF,100,1,128,128,0.001,10,0.0005,410,5,Adam,0.3244,0.6102,0.201,0.7247
CNCF,100,1,128,128,0.001,10,0.0005,420,5,Adam,0.325,0.612,0.2013,0.7272
CNCF,100,1,128,128,0.001,10,0.0005,430,5,Adam,0.3237,0.6106,0.2028,0.7297
CNCF,100,1,128,128,0.001,10,0.0005,440,5,Adam,0.321,0.6045,0.2005,0.7207
CNCF,100,1,128,128,0.001,10,0.0005,450,5,Adam,0.3234,0.6086,0.2021,0.7269
CNCF,100,1,128,128,0.001,10,0.0005,460,5,Adam,0.3192,0.5992,0.1976,0.71
CNCF,100,1,128,128,0.001,10,0.0005,470,5,Adam,0.3192,0.5993,0.1985,0.7147
CNCF,100,1,128,128,0.001,10,0.0005,480,5,Adam,0.3229,0.6077,0.2009,0.7221
CNCF,100,1,128,128,0.001,10,0.0005,490,5,Adam,0.3207,0.6008,0.1971,0.7099
CNCF,100,1,128,128,0.001,10,0.0005,500,5,Adam,0.3238,0.6089,0.2017,0.7262
CNCF,100,1,128,128,0.001,10,0.0005,510,5,Adam,0.3244,0.6085,0.2004,0.7211
CNCF,100,1,128,128,0.001,10,0.0005,520,5,Adam,0.3251,0.6118,0.2031,0.7299
CNCF,100,1,128,128,0.001,10,0.0005,530,5,Adam,0.3237,0.6075,0.2009,0.7224
CNCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.326,0.6125,0.2028,0.7275
CNCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3255,0.6126,0.203,0.729
CNCF,100,1,128,128,0.001,10,0.0005,560,5,Adam,0.3222,0.6061,0.2009,0.7238
CNCF,100,1,128,128,0.001,10,0.0005,570,5,Adam,0.3236,0.6077,0.202,0.7219
CNCF,100,1,128,128,0.001,10,0.0005,580,5,Adam,0.3263,0.6153,0.2031,0.7338
CNCF,100,1,128,128,0.001,10,0.0005,590,5,Adam,0.3222,0.6041,0.1979,0.7121
CNCF,100,1,128,128,0.001,10,0.0005,600,5,Adam,0.3236,0.6093,0.2028,0.7286
CNCF,100,1,128,128,0.001,10,0.0005,610,5,Adam,0.3198,0.6007,0.2,0.7177
CNCF,100,1,128,128,0.001,10,0.0005,620,5,Adam,0.3247,0.6113,0.203,0.7306
CNCF,100,1,128,128,0.001,10,0.0005,630,5,Adam,0.3184,0.5965,0.1979,0.7093
CNCF,100,1,128,128,0.001,10,0.0005,640,5,Adam,0.3217,0.6037,0.1993,0.7174
CNCF,100,1,128,128,0.001,10,0.0005,650,5,Adam,0.3235,0.608,0.2026,0.7262
CNCF,100,1,128,128,0.001,10,0.0005,660,5,Adam,0.3223,0.6081,0.2011,0.7256
CNCF,100,1,128,128,0.001,10,0.0005,670,5,Adam,0.3171,0.5957,0.1983,0.7117
CNCF,100,1,128,128,0.001,10,0.0005,680,5,Adam,0.327,0.6133,0.203,0.7287
CNCF,100,1,128,128,0.001,10,0.0005,690,5,Adam,0.3256,0.6117,0.2029,0.7282
CNCF,100,1,128,128,0.001,10,0.0005,700,5,Adam,0.3235,0.6072,0.2021,0.7229
CNCF,100,1,128,128,0.001,10,0.0005,710,5,Adam,0.3237,0.6092,0.203,0.728
CNCF,100,1,128,128,0.001,10,0.0005,720,5,Adam,0.3221,0.6032,0.1999,0.7144
CNCF,100,1,128,128,0.001,10,0.0005,730,5,Adam,0.3241,0.6082,0.2009,0.7224
CNCF,100,1,128,128,0.001,10,0.0005,740,5,Adam,0.3215,0.6017,0.1994,0.7135
CNCF,100,1,128,128,0.001,10,0.0005,750,5,Adam,0.3215,0.6025,0.1988,0.7138
CNCF,100,1,128,128,0.001,10,0.0005,760,5,Adam,0.3205,0.6007,0.1995,0.7135
CNCF,100,1,128,128,0.001,10,0.0005,770,5,Adam,0.3264,0.6124,0.2026,0.7271
CNCF,100,1,128,128,0.001,10,0.0005,780,5,Adam,0.3252,0.6099,0.2026,0.7239
CNCF,100,1,128,128,0.001,10,0.0005,790,5,Adam,0.3203,0.6,0.2006,0.7146
CNCF,100,1,128,128,0.001,10,0.0005,800,5,Adam,0.3244,0.6082,0.2021,0.7223
CNCF,100,1,128,128,0.001,10,0.0005,810,5,Adam,0.3245,0.6081,0.2024,0.7226
CNCF,100,1,128,128,0.001,10,0.0005,820,5,Adam,0.321,0.6002,0.1983,0.7092
CNCF,100,1,128,128,0.001,10,0.0005,830,5,Adam,0.3231,0.6076,0.2027,0.7253
CNCF,100,1,128,128,0.001,10,0.0005,840,5,Adam,0.3246,0.6082,0.2024,0.7223
CNCF,100,1,128,128,0.001,10,0.0005,850,5,Adam,0.3247,0.6097,0.2026,0.7243
CNCF,100,1,128,128,0.001,10,0.0005,860,5,Adam,0.3219,0.6032,0.2009,0.7155
CNCF,100,1,128,128,0.001,10,0.0005,870,5,Adam,0.325,0.6103,0.2028,0.725
CNCF,100,1,128,128,0.001,10,0.0005,880,5,Adam,0.3212,0.6013,0.1997,0.7111
CNCF,100,1,128,128,0.001,10,0.0005,890,5,Adam,0.3215,0.6018,0.2003,0.7136
CNCF,100,1,128,128,0.001,10,0.0005,900,5,Adam,0.3196,0.597,0.1989,0.7057
CNCF,100,1,128,128,0.001,10,0.0005,910,5,Adam,0.3212,0.6013,0.1998,0.7135
CNCF,100,1,128,128,0.001,10,0.0005,920,5,Adam,0.3216,0.602,0.2013,0.7183
CNCF,100,1,128,128,0.001,10,0.0005,930,5,Adam,0.3249,0.6074,0.2014,0.7172
