model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
INCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.29, 0.003]","[0.2479, 0.0025]","[0.2186, 0.0022]","[0.3616, 0.004]","[0.1543, 0.0015]","[0.5491, 0.0042]","[0.5852, 0.004]","[0.6045, 0.0039]","[0.4745, 0.0045]","[0.6472, 0.0035]","[0.1909, 0.002]","[0.1482, 0.0016]","[0.1205, 0.0013]","[0.2753, 0.003]","[0.0724, 0.0007]","[0.6911, 0.0048]","[0.7893, 0.0043]","[0.8482, 0.0038]","[0.5248, 0.0052]","[1.0, 0.0]"
INCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.2534, 0.0028]","[0.2176, 0.0023]","[0.1932, 0.002]","[0.3157, 0.0038]","[0.14, 0.0014]","[0.4821, 0.0043]","[0.5198, 0.0041]","[0.5431, 0.004]","[0.4123, 0.0045]","[0.6018, 0.0034]","[0.1684, 0.0019]","[0.1338, 0.0015]","[0.1117, 0.0012]","[0.2386, 0.0028]","[0.0724, 0.0007]","[0.6156, 0.0051]","[0.7192, 0.0047]","[0.7905, 0.0043]","[0.4576, 0.0052]","[1.0, 0.0]"
INCF,100,1,128,128,5e-05,,0.001,100,5,"[0.2325, 0.0027]","[0.2017, 0.0023]","[0.1802, 0.002]","[0.2858, 0.0038]","[0.1327, 0.0014]","[0.4466, 0.0042]","[0.4854, 0.0041]","[0.5103, 0.0039]","[0.3735, 0.0044]","[0.5752, 0.0034]","[0.1598, 0.0018]","[0.1285, 0.0014]","[0.1083, 0.0012]","[0.2184, 0.0027]","[0.0724, 0.0007]","[0.583, 0.0051]","[0.6901, 0.0048]","[0.7667, 0.0044]","[0.4165, 0.0051]","[1.0, 0.0]"
INCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2943, 0.0029]","[0.2514, 0.0025]","[0.2216, 0.0021]","[0.3674, 0.0039]","[0.1563, 0.0015]","[0.5583, 0.0042]","[0.5951, 0.004]","[0.615, 0.0038]","[0.4834, 0.0045]","[0.6544, 0.0034]","[0.1929, 0.002]","[0.15, 0.0016]","[0.1222, 0.0013]","[0.2787, 0.003]","[0.0724, 0.0007]","[0.7011, 0.0047]","[0.8005, 0.0042]","[0.8615, 0.0036]","[0.5343, 0.0051]","[1.0, 0.0]"
INCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.2608, 0.0029]","[0.2234, 0.0024]","[0.1978, 0.0021]","[0.3273, 0.0039]","[0.1425, 0.0014]","[0.4961, 0.0044]","[0.5344, 0.0042]","[0.5575, 0.0041]","[0.4257, 0.0046]","[0.6139, 0.0035]","[0.1708, 0.0019]","[0.1357, 0.0015]","[0.1129, 0.0012]","[0.243, 0.0029]","[0.0724, 0.0007]","[0.6225, 0.0051]","[0.7275, 0.0047]","[0.7988, 0.0042]","[0.4633, 0.0052]","[1.0, 0.0]"
INCF,100,1,128,128,0.0001,,0.001,100,5,"[0.2406, 0.0028]","[0.2073, 0.0023]","[0.1846, 0.002]","[0.2988, 0.0038]","[0.1351, 0.0014]","[0.4582, 0.0043]","[0.4967, 0.0042]","[0.5222, 0.004]","[0.3874, 0.0045]","[0.5857, 0.0035]","[0.1616, 0.0019]","[0.1293, 0.0014]","[0.1091, 0.0012]","[0.2245, 0.0028]","[0.0724, 0.0007]","[0.5858, 0.0052]","[0.6928, 0.0048]","[0.772, 0.0044]","[0.4255, 0.0051]","[1.0, 0.0]"
INCF,100,1,128,128,0.001,,0.0001,100,5,"[0.2876, 0.0029]","[0.2476, 0.0024]","[0.2196, 0.0021]","[0.3582, 0.0039]","[0.1563, 0.0015]","[0.5456, 0.004]","[0.5917, 0.0038]","[0.6134, 0.0036]","[0.4686, 0.0044]","[0.647, 0.0033]","[0.1905, 0.002]","[0.1532, 0.0016]","[0.1256, 0.0013]","[0.2711, 0.0029]","[0.0724, 0.0007]","[0.6921, 0.0046]","[0.818, 0.0039]","[0.8838, 0.0032]","[0.5198, 0.005]","[1.0, 0.0]"
INCF,100,1,128,128,0.001,,0.0005,100,5,"[0.2706, 0.0028]","[0.2331, 0.0023]","[0.2074, 0.002]","[0.3365, 0.0038]","[0.1491, 0.0014]","[0.5158, 0.0041]","[0.56, 0.0039]","[0.5841, 0.0037]","[0.4381, 0.0044]","[0.626, 0.0034]","[0.1813, 0.0019]","[0.1454, 0.0015]","[0.1207, 0.0012]","[0.2526, 0.0028]","[0.0724, 0.0007]","[0.6577, 0.0048]","[0.7808, 0.0042]","[0.8545, 0.0035]","[0.4827, 0.0051]","[1.0, 0.0]"
INCF,100,1,128,128,0.001,,0.001,100,5,"[0.2562, 0.0028]","[0.2218, 0.0023]","[0.1979, 0.002]","[0.3169, 0.0038]","[0.144, 0.0014]","[0.4933, 0.0042]","[0.5346, 0.004]","[0.5607, 0.0038]","[0.413, 0.0044]","[0.6089, 0.0034]","[0.1753, 0.0019]","[0.1403, 0.0015]","[0.1176, 0.0012]","[0.2375, 0.0027]","[0.0724, 0.0007]","[0.6367, 0.0049]","[0.7504, 0.0044]","[0.8311, 0.0038]","[0.4545, 0.0051]","[1.0, 0.0]"
INCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.2892, 0.003]","[0.245, 0.0024]","[0.215, 0.0021]","[0.3651, 0.004]","[0.1516, 0.0015]","[0.549, 0.0044]","[0.5803, 0.0042]","[0.6008, 0.0041]","[0.4809, 0.0046]","[0.6509, 0.0035]","[0.1845, 0.002]","[0.1414, 0.0015]","[0.1161, 0.0012]","[0.271, 0.003]","[0.0724, 0.0007]","[0.6748, 0.0049]","[0.7593, 0.0045]","[0.8216, 0.004]","[0.5238, 0.0052]","[1.0, 0.0]"
INCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.2486, 0.0029]","[0.2133, 0.0024]","[0.1894, 0.0021]","[0.3109, 0.004]","[0.1377, 0.0014]","[0.4719, 0.0045]","[0.5101, 0.0043]","[0.5351, 0.0041]","[0.403, 0.0047]","[0.5972, 0.0036]","[0.164, 0.0019]","[0.131, 0.0015]","[0.1102, 0.0012]","[0.2321, 0.0029]","[0.0724, 0.0007]","[0.5933, 0.0052]","[0.699, 0.0048]","[0.7759, 0.0044]","[0.4368, 0.0052]","[1.0, 0.0]"
INCF,200,1,128,128,5e-05,,0.001,100,5,"[0.2292, 0.0028]","[0.1978, 0.0023]","[0.1765, 0.002]","[0.2853, 0.0039]","[0.1305, 0.0014]","[0.4381, 0.0045]","[0.4771, 0.0043]","[0.5035, 0.0041]","[0.3695, 0.0046]","[0.5739, 0.0036]","[0.1538, 0.0019]","[0.1243, 0.0014]","[0.1058, 0.0012]","[0.2124, 0.0028]","[0.0724, 0.0007]","[0.5556, 0.0052]","[0.6641, 0.005]","[0.7459, 0.0046]","[0.3991, 0.0051]","[1.0, 0.0]"
INCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.2986, 0.003]","[0.2535, 0.0025]","[0.2227, 0.0021]","[0.3768, 0.004]","[0.1563, 0.0015]","[0.5655, 0.0042]","[0.6, 0.004]","[0.6192, 0.0039]","[0.4934, 0.0046]","[0.6619, 0.0035]","[0.1912, 0.002]","[0.1476, 0.0015]","[0.1201, 0.0012]","[0.2801, 0.003]","[0.0724, 0.0007]","[0.6984, 0.0047]","[0.7919, 0.0042]","[0.8502, 0.0037]","[0.537, 0.0051]","[1.0, 0.0]"
INCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.2418, 0.0028]","[0.209, 0.0023]","[0.1864, 0.002]","[0.2987, 0.0038]","[0.1364, 0.0014]","[0.4607, 0.0043]","[0.5003, 0.0042]","[0.5252, 0.004]","[0.3885, 0.0045]","[0.5863, 0.0035]","[0.1641, 0.0019]","[0.1319, 0.0015]","[0.111, 0.0012]","[0.227, 0.0028]","[0.0724, 0.0007]","[0.5934, 0.0052]","[0.7021, 0.0049]","[0.7787, 0.0044]","[0.4299, 0.0052]","[1.0, 0.0]"
INCF,200,1,128,128,0.0001,,0.001,100,5,"[0.2242, 0.0027]","[0.1953, 0.0022]","[0.1753, 0.0019]","[0.2741, 0.0037]","[0.1302, 0.0013]","[0.4331, 0.0043]","[0.4739, 0.0041]","[0.5005, 0.0039]","[0.3604, 0.0044]","[0.5657, 0.0034]","[0.1561, 0.0018]","[0.1271, 0.0014]","[0.108, 0.0012]","[0.2113, 0.0027]","[0.0724, 0.0007]","[0.5701, 0.0052]","[0.6833, 0.0049]","[0.7656, 0.0045]","[0.4045, 0.0051]","[1.0, 0.0]"
INCF,200,1,128,128,0.001,,0.0001,100,5,"[0.2798, 0.0029]","[0.2417, 0.0024]","[0.215, 0.0021]","[0.3481, 0.0039]","[0.1539, 0.0015]","[0.5337, 0.0041]","[0.5803, 0.0038]","[0.6034, 0.0036]","[0.4531, 0.0044]","[0.6387, 0.0034]","[0.1876, 0.002]","[0.1514, 0.0016]","[0.1248, 0.0013]","[0.2606, 0.0029]","[0.0724, 0.0007]","[0.6801, 0.0047]","[0.8076, 0.0039]","[0.8781, 0.0033]","[0.4987, 0.0051]","[1.0, 0.0]"
INCF,200,1,128,128,0.001,,0.0005,100,5,"[0.2618, 0.0028]","[0.2261, 0.0023]","[0.2014, 0.002]","[0.3241, 0.0038]","[0.1458, 0.0014]","[0.5019, 0.0041]","[0.5432, 0.0039]","[0.5687, 0.0038]","[0.4216, 0.0044]","[0.6151, 0.0034]","[0.1776, 0.0019]","[0.1416, 0.0015]","[0.1185, 0.0012]","[0.2432, 0.0028]","[0.0724, 0.0007]","[0.6457, 0.0048]","[0.7594, 0.0043]","[0.8377, 0.0037]","[0.4633, 0.0051]","[1.0, 0.0]"
INCF,200,1,128,128,0.001,,0.001,100,5,"[0.2546, 0.0028]","[0.2208, 0.0023]","[0.1975, 0.002]","[0.314, 0.0038]","[0.1442, 0.0014]","[0.4902, 0.0042]","[0.5329, 0.004]","[0.5616, 0.0038]","[0.4077, 0.0044]","[0.607, 0.0034]","[0.1754, 0.0019]","[0.1413, 0.0015]","[0.1195, 0.0013]","[0.234, 0.0027]","[0.0724, 0.0007]","[0.6331, 0.0049]","[0.751, 0.0044]","[0.8403, 0.0038]","[0.4468, 0.0051]","[1.0, 0.0]"
