model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.0675, 0.0016]","[0.0676, 0.0014]","[0.0679, 0.0013]","[0.0676, 0.0021]","[0.0697, 0.001]","[0.1329, 0.0026]","[0.175, 0.0027]","[0.2144, 0.0027]","[0.0848, 0.0024]","[0.3597, 0.0021]","[0.0675, 0.0013]","[0.068, 0.0011]","[0.0691, 0.001]","[0.0674, 0.0017]","[0.0724, 0.0007]","[0.2145, 0.0042]","[0.3336, 0.0049]","[0.4585, 0.0052]","[0.104, 0.0031]","[1.0, 0.0]"
NCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.0652, 0.0015]","[0.0654, 0.0013]","[0.0656, 0.0011]","[0.0648, 0.002]","[0.0669, 0.0009]","[0.1364, 0.0026]","[0.1763, 0.0027]","[0.213, 0.0027]","[0.0884, 0.0025]","[0.3599, 0.0021]","[0.0659, 0.0012]","[0.0658, 0.001]","[0.0663, 0.0009]","[0.0655, 0.0016]","[0.0724, 0.0007]","[0.2236, 0.0043]","[0.3369, 0.0049]","[0.4523, 0.0051]","[0.112, 0.0033]","[1.0, 0.0]"
NCF,100,1,128,128,5e-05,,0.001,100,5,"[0.0868, 0.0018]","[0.0852, 0.0015]","[0.0839, 0.0013]","[0.0894, 0.0023]","[0.08, 0.001]","[0.1816, 0.003]","[0.2287, 0.003]","[0.2692, 0.0029]","[0.1214, 0.0029]","[0.391, 0.0024]","[0.0833, 0.0013]","[0.0812, 0.0011]","[0.0794, 0.001]","[0.0863, 0.0019]","[0.0724, 0.0007]","[0.2934, 0.0048]","[0.4271, 0.0051]","[0.5556, 0.0052]","[0.1512, 0.0037]","[1.0, 0.0]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.0971, 0.0018]","[0.0919, 0.0015]","[0.0884, 0.0013]","[0.1061, 0.0025]","[0.081, 0.001]","[0.1993, 0.0032]","[0.2431, 0.0032]","[0.2791, 0.0031]","[0.1454, 0.0032]","[0.4045, 0.0025]","[0.0843, 0.0013]","[0.0799, 0.001]","[0.0765, 0.0009]","[0.0961, 0.0019]","[0.0724, 0.0007]","[0.3039, 0.0047]","[0.4285, 0.0051]","[0.5423, 0.0051]","[0.1778, 0.004]","[1.0, 0.0]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.0686, 0.0015]","[0.0691, 0.0013]","[0.0695, 0.0011]","[0.0674, 0.002]","[0.0707, 0.0009]","[0.1459, 0.0027]","[0.1893, 0.0027]","[0.2293, 0.0027]","[0.0934, 0.0025]","[0.3672, 0.0021]","[0.0699, 0.0012]","[0.0702, 0.001]","[0.071, 0.0009]","[0.0688, 0.0016]","[0.0724, 0.0007]","[0.2426, 0.0044]","[0.3659, 0.005]","[0.4926, 0.0052]","[0.1198, 0.0034]","[1.0, 0.0]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[0.0703, 0.0016]","[0.0697, 0.0014]","[0.0694, 0.0012]","[0.0717, 0.0021]","[0.0696, 0.0009]","[0.1402, 0.0027]","[0.1818, 0.0028]","[0.2189, 0.0027]","[0.0927, 0.0025]","[0.3639, 0.0022]","[0.0685, 0.0013]","[0.0685, 0.0011]","[0.0684, 0.0009]","[0.0702, 0.0017]","[0.0724, 0.0007]","[0.2232, 0.0042]","[0.3406, 0.0049]","[0.4579, 0.0051]","[0.1139, 0.0032]","[1.0, 0.0]"
NCF,100,1,128,128,0.001,,0.0001,100,5,"[0.0685, 0.0015]","[0.0699, 0.0013]","[0.0708, 0.0012]","[0.0666, 0.002]","[0.0721, 0.0009]","[0.1479, 0.0027]","[0.1947, 0.0028]","[0.236, 0.0027]","[0.0926, 0.0025]","[0.3689, 0.0021]","[0.0716, 0.0012]","[0.0733, 0.0011]","[0.0737, 0.001]","[0.0682, 0.0017]","[0.0724, 0.0007]","[0.2486, 0.0045]","[0.3816, 0.0051]","[0.5129, 0.0052]","[0.1191, 0.0034]","[1.0, 0.0]"
NCF,100,1,128,128,0.001,,0.0005,100,5,"[0.0723, 0.0016]","[0.0716, 0.0013]","[0.0713, 0.0012]","[0.0735, 0.0021]","[0.0716, 0.0009]","[0.1527, 0.0028]","[0.1945, 0.0029]","[0.2342, 0.0028]","[0.1024, 0.0027]","[0.3727, 0.0022]","[0.0706, 0.0012]","[0.0701, 0.001]","[0.0708, 0.0009]","[0.0725, 0.0017]","[0.0724, 0.0007]","[0.2464, 0.0045]","[0.3645, 0.005]","[0.4903, 0.0052]","[0.1292, 0.0035]","[1.0, 0.0]"
NCF,100,1,128,128,0.001,,0.001,100,5,"[0.0721, 0.0016]","[0.0725, 0.0014]","[0.0728, 0.0012]","[0.0718, 0.0021]","[0.073, 0.0009]","[0.151, 0.0027]","[0.1963, 0.0028]","[0.237, 0.0027]","[0.097, 0.0026]","[0.3709, 0.0022]","[0.0727, 0.0013]","[0.0735, 0.0011]","[0.0737, 0.001]","[0.0721, 0.0017]","[0.0724, 0.0007]","[0.249, 0.0045]","[0.3769, 0.005]","[0.5057, 0.0052]","[0.1227, 0.0034]","[1.0, 0.0]"
NCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.0634, 0.0015]","[0.0652, 0.0013]","[0.0666, 0.0011]","[0.0607, 0.0019]","[0.0696, 0.0009]","[0.1358, 0.0026]","[0.1812, 0.0026]","[0.2231, 0.0026]","[0.0823, 0.0023]","[0.361, 0.002]","[0.0674, 0.0012]","[0.0695, 0.001]","[0.0713, 0.0009]","[0.063, 0.0016]","[0.0724, 0.0007]","[0.2314, 0.0044]","[0.3604, 0.005]","[0.4936, 0.0052]","[0.1054, 0.0031]","[1.0, 0.0]"
