model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
INCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,0.3156,0.5979,0.1999,0.7238
INCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,0.3165,0.6,0.2023,0.7304
INCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,0.3135,0.5972,0.201,0.728
INCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,0.3174,0.6017,0.2019,0.7289
INCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,0.3155,0.5981,0.2003,0.7236
INCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,0.3141,0.5966,0.1996,0.7221
INCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,0.3171,0.6017,0.2001,0.7257
INCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,0.3171,0.6025,0.2017,0.7279
INCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,0.3171,0.6017,0.2017,0.7287
INCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,0.3164,0.5993,0.1997,0.7227
INCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,0.3188,0.605,0.2018,0.7305
INCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,0.3181,0.6016,0.2012,0.7262
INCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,0.319,0.6053,0.2016,0.729
INCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,0.3174,0.6026,0.2005,0.727
INCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,0.3188,0.6034,0.2006,0.7251
INCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,0.32,0.6065,0.2022,0.73
INCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,0.3209,0.6074,0.2021,0.7291
INCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,0.3194,0.605,0.2013,0.7266
INCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,0.3212,0.6072,0.2023,0.7292
INCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,0.3191,0.6036,0.201,0.7249
INCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,0.3182,0.602,0.1999,0.7227
INCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,0.3205,0.6064,0.2008,0.7273
INCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,0.3208,0.6075,0.2028,0.7319
INCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,0.3191,0.6036,0.2014,0.726
INCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,0.3209,0.6079,0.2026,0.7295
INCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,0.3222,0.6103,0.2033,0.734
INCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,0.3216,0.6094,0.2032,0.7334
INCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,0.3211,0.6065,0.2017,0.7258
INCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,0.3215,0.6091,0.2024,0.7316
INCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,0.3204,0.6065,0.2016,0.7281
INCF,100,1,128,128,0.001,10,0.0005,310,5,Adam,0.3193,0.6046,0.2023,0.7287
INCF,100,1,128,128,0.001,10,0.0005,320,5,Adam,0.3223,0.6087,0.2022,0.7313
INCF,100,1,128,128,0.001,10,0.0005,330,5,Adam,0.3216,0.6084,0.2035,0.7312
INCF,100,1,128,128,0.001,10,0.0005,340,5,Adam,0.321,0.6076,0.2025,0.731
INCF,100,1,128,128,0.001,10,0.0005,350,5,Adam,0.3204,0.6075,0.203,0.7315
INCF,100,1,128,128,0.001,10,0.0005,360,5,Adam,0.3188,0.6045,0.2011,0.7259
INCF,100,1,128,128,0.001,10,0.0005,370,5,Adam,0.3194,0.6038,0.2,0.7225
INCF,100,1,128,128,0.001,10,0.0005,380,5,Adam,0.3209,0.6074,0.202,0.7292
INCF,100,1,128,128,0.001,10,0.0005,390,5,Adam,0.321,0.6074,0.2024,0.7288
INCF,100,1,128,128,0.001,10,0.0005,400,5,Adam,0.3218,0.6099,0.2036,0.7354
INCF,100,1,128,128,0.001,10,0.0005,410,5,Adam,0.3181,0.6021,0.2005,0.723
INCF,100,1,128,128,0.001,10,0.0005,420,5,Adam,0.3203,0.6057,0.2021,0.7274
INCF,100,1,128,128,0.001,10,0.0005,430,5,Adam,0.3208,0.6068,0.203,0.7308
INCF,100,1,128,128,0.001,10,0.0005,440,5,Adam,0.3217,0.6084,0.2025,0.7297
INCF,100,1,128,128,0.001,10,0.0005,450,5,Adam,0.3218,0.6077,0.2018,0.7276
INCF,100,1,128,128,0.001,10,0.0005,460,5,Adam,0.321,0.6079,0.2026,0.7321
INCF,100,1,128,128,0.001,10,0.0005,470,5,Adam,0.3207,0.6067,0.2019,0.7284
INCF,100,1,128,128,0.001,10,0.0005,480,5,Adam,0.3208,0.6052,0.2019,0.7234
INCF,100,1,128,128,0.001,10,0.0005,490,5,Adam,0.321,0.608,0.2016,0.7293
INCF,100,1,128,128,0.001,10,0.0005,500,5,Adam,0.32,0.6063,0.2021,0.7291
INCF,100,1,128,128,0.001,10,0.0005,510,5,Adam,0.3219,0.608,0.2015,0.7274
INCF,100,1,128,128,0.001,10,0.0005,520,5,Adam,0.3211,0.6081,0.2029,0.7315
INCF,100,1,128,128,0.001,10,0.0005,530,5,Adam,0.3219,0.6094,0.2023,0.7306
INCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.3202,0.6045,0.2002,0.7212
INCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3207,0.6069,0.2018,0.7275
