model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CNCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,0.2661,0.5023,0.1687,0.612
CNCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,0.2934,0.5557,0.187,0.6784
CNCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,0.3053,0.577,0.1925,0.6971
CNCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,0.3084,0.5841,0.1949,0.7063
CNCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,0.3103,0.5876,0.1961,0.7094
CNCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,0.3144,0.5951,0.1978,0.7154
CNCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,0.3184,0.6029,0.201,0.7274
CNCF,100,1,128,128,0.001,10,0.0005,80,5,Adam,0.3195,0.6028,0.2004,0.723
CNCF,100,1,128,128,0.001,10,0.0005,90,5,Adam,0.3159,0.5981,0.1986,0.7193
CNCF,100,1,128,128,0.001,10,0.0005,100,5,Adam,0.3169,0.6003,0.1995,0.7221
CNCF,100,1,128,128,0.001,10,0.0005,110,5,Adam,0.3169,0.5983,0.1984,0.7176
CNCF,100,1,128,128,0.001,10,0.0005,120,5,Adam,0.3172,0.5985,0.1992,0.7181
CNCF,100,1,128,128,0.001,10,0.0005,130,5,Adam,0.3187,0.6035,0.2008,0.7267
CNCF,100,1,128,128,0.001,10,0.0005,140,5,Adam,0.3182,0.6006,0.2003,0.7211
CNCF,100,1,128,128,0.001,10,0.0005,150,5,Adam,0.3193,0.6049,0.2011,0.7273
CNCF,100,1,128,128,0.001,10,0.0005,160,5,Adam,0.3182,0.6005,0.1996,0.72
CNCF,100,1,128,128,0.001,10,0.0005,170,5,Adam,0.3199,0.6038,0.1998,0.7226
CNCF,100,1,128,128,0.001,10,0.0005,180,5,Adam,0.3194,0.6033,0.2016,0.7265
CNCF,100,1,128,128,0.001,10,0.0005,190,5,Adam,0.3193,0.6046,0.2017,0.7279
CNCF,100,1,128,128,0.001,10,0.0005,200,5,Adam,0.3199,0.6048,0.2006,0.7248
CNCF,100,1,128,128,0.001,10,0.0005,210,5,Adam,0.3195,0.6035,0.2004,0.7227
CNCF,100,1,128,128,0.001,10,0.0005,220,5,Adam,0.319,0.6014,0.1995,0.7184
CNCF,100,1,128,128,0.001,10,0.0005,230,5,Adam,0.3194,0.6023,0.2001,0.7211
CNCF,100,1,128,128,0.001,10,0.0005,240,5,Adam,0.3189,0.6034,0.201,0.7251
CNCF,100,1,128,128,0.001,10,0.0005,250,5,Adam,0.3204,0.6045,0.2002,0.7232
CNCF,100,1,128,128,0.001,10,0.0005,260,5,Adam,0.3213,0.6067,0.2015,0.7265
CNCF,100,1,128,128,0.001,10,0.0005,270,5,Adam,0.3189,0.6029,0.2007,0.7233
CNCF,100,1,128,128,0.001,10,0.0005,280,5,Adam,0.3208,0.6039,0.1998,0.7199
CNCF,100,1,128,128,0.001,10,0.0005,290,5,Adam,0.3202,0.6046,0.2008,0.7233
CNCF,100,1,128,128,0.001,10,0.0005,300,5,Adam,0.3206,0.6052,0.1998,0.7233
CNCF,100,1,128,128,0.001,10,0.0005,310,5,Adam,0.3202,0.605,0.2007,0.7245
CNCF,100,1,128,128,0.001,10,0.0005,320,5,Adam,0.3187,0.6015,0.1995,0.7204
CNCF,100,1,128,128,0.001,10,0.0005,330,5,Adam,0.3214,0.6059,0.2018,0.7272
CNCF,100,1,128,128,0.001,10,0.0005,340,5,Adam,0.319,0.6019,0.1998,0.721
CNCF,100,1,128,128,0.001,10,0.0005,350,5,Adam,0.3191,0.6032,0.2008,0.7255
CNCF,100,1,128,128,0.001,10,0.0005,360,5,Adam,0.3197,0.6026,0.2002,0.7212
CNCF,100,1,128,128,0.001,10,0.0005,370,5,Adam,0.3205,0.6043,0.2007,0.7226
CNCF,100,1,128,128,0.001,10,0.0005,380,5,Adam,0.3205,0.6046,0.2004,0.7218
CNCF,100,1,128,128,0.001,10,0.0005,390,5,Adam,0.3198,0.6032,0.2001,0.7222
CNCF,100,1,128,128,0.001,10,0.0005,400,5,Adam,0.3211,0.6055,0.2005,0.7232
CNCF,100,1,128,128,0.001,10,0.0005,410,5,Adam,0.3212,0.608,0.2023,0.7299
CNCF,100,1,128,128,0.001,10,0.0005,420,5,Adam,0.3203,0.6043,0.2009,0.7237
CNCF,100,1,128,128,0.001,10,0.0005,430,5,Adam,0.3202,0.6054,0.2016,0.7264
CNCF,100,1,128,128,0.001,10,0.0005,440,5,Adam,0.3201,0.605,0.2017,0.7261
CNCF,100,1,128,128,0.001,10,0.0005,450,5,Adam,0.3204,0.6051,0.2009,0.7234
CNCF,100,1,128,128,0.001,10,0.0005,460,5,Adam,0.3184,0.6013,0.1996,0.7195
CNCF,100,1,128,128,0.001,10,0.0005,470,5,Adam,0.3213,0.6064,0.2015,0.7261
CNCF,100,1,128,128,0.001,10,0.0005,480,5,Adam,0.3214,0.6061,0.2012,0.7239
CNCF,100,1,128,128,0.001,10,0.0005,490,5,Adam,0.3222,0.6093,0.2034,0.7328
CNCF,100,1,128,128,0.001,10,0.0005,500,5,Adam,0.3211,0.6068,0.2021,0.728
CNCF,100,1,128,128,0.001,10,0.0005,510,5,Adam,0.321,0.6063,0.2016,0.7274
CNCF,100,1,128,128,0.001,10,0.0005,520,5,Adam,0.319,0.6023,0.2006,0.7235
CNCF,100,1,128,128,0.001,10,0.0005,530,5,Adam,0.318,0.6011,0.1998,0.7201
CNCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.3195,0.6036,0.2007,0.7236
CNCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3208,0.6061,0.2012,0.7271
CNCF,100,1,128,128,0.001,10,0.0005,560,5,Adam,0.3197,0.6045,0.201,0.7253
