model,rank,alpha,lambda,iter,similarity,corruption,root,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,metric
CDAE,200,1,1e-05,300,Cosine,0.2,1.0,"[5, 10, 15, 20, 50]","[0.0113, 0.0013]","[0.0108, 0.0011]","[0.0105, 0.001]","[0.0115, 0.0016]","[0.0091, 0.0007]","[0.0313, 0.0018]","[0.0107, 0.001]","[0.0097, 0.0008]","[0.0094, 0.0007]","[0.0115, 0.0014]","[0.0073, 0.0004]","[0.009, 0.0011]","[0.0206, 0.0021]","[0.0277, 0.0024]","[0.0365, 0.0028]","[0.0108, 0.0015]","[0.0694, 0.0039]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
POP,1,1,1.0,1,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0094, 0.0011]","[0.0091, 0.001]","[0.0088, 0.0009]","[0.0096, 0.0014]","[0.0078, 0.0006]","[0.0277, 0.0017]","[0.0087, 0.0009]","[0.0083, 0.0007]","[0.0079, 0.0006]","[0.0099, 0.0013]","[0.0065, 0.0004]","[0.0078, 0.001]","[0.0164, 0.0019]","[0.025, 0.0024]","[0.0317, 0.0027]","[0.0088, 0.0014]","[0.0625, 0.0037]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
WRMF,200,100,100.0,10,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0808, 0.0033]","[0.0738, 0.0028]","[0.0684, 0.0024]","[0.0905, 0.0044]","[0.0509, 0.0016]","[0.1922, 0.005]","[0.0656, 0.0023]","[0.0561, 0.0019]","[0.0497, 0.0016]","[0.0814, 0.0034]","[0.0325, 0.001]","[0.083, 0.0039]","[0.1609, 0.0061]","[0.2021, 0.0067]","[0.2345, 0.0071]","[0.1035, 0.0049]","[0.3597, 0.0079]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
PLRec,200,1,1000.0,10,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0734, 0.0033]","[0.066, 0.0027]","[0.0606, 0.0024]","[0.0839, 0.0043]","[0.0441, 0.0016]","[0.1621, 0.0048]","[0.0574, 0.0023]","[0.0481, 0.0018]","[0.0424, 0.0015]","[0.0727, 0.0033]","[0.0273, 0.0009]","[0.0732, 0.0038]","[0.1354, 0.0057]","[0.1659, 0.0062]","[0.1931, 0.0065]","[0.0892, 0.0047]","[0.2938, 0.0076]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
VAE-CF,200,1,1e-05,300,Cosine,0.4,1.0,"[5, 10, 15, 20, 50]","[0.073, 0.0031]","[0.0665, 0.0026]","[0.0616, 0.0022]","[0.0831, 0.0042]","[0.046, 0.0014]","[0.1801, 0.0049]","[0.0585, 0.0021]","[0.0504, 0.0017]","[0.0447, 0.0014]","[0.0727, 0.0032]","[0.0299, 0.0009]","[0.0769, 0.0038]","[0.1475, 0.0058]","[0.1851, 0.0064]","[0.2152, 0.0068]","[0.0956, 0.0048]","[0.3414, 0.0078]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CML,200,1,0.1,30,Euclidean,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0294, 0.0021]","[0.0274, 0.0018]","[0.0258, 0.0016]","[0.0316, 0.0027]","[0.0199, 0.0011]","[0.067, 0.003]","[0.0253, 0.0016]","[0.0223, 0.0013]","[0.0199, 0.0011]","[0.0303, 0.0022]","[0.0136, 0.0007]","[0.0273, 0.0021]","[0.0528, 0.0035]","[0.0681, 0.004]","[0.0798, 0.0043]","[0.0313, 0.0026]","[0.1304, 0.0054]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
AutoRec,200,1,1e-05,300,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0154, 0.0015]","[0.0144, 0.0013]","[0.0137, 0.0011]","[0.0166, 0.002]","[0.0113, 0.0007]","[0.0387, 0.0021]","[0.0133, 0.0011]","[0.0121, 0.0009]","[0.0113, 0.0007]","[0.0152, 0.0015]","[0.0087, 0.0005]","[0.013, 0.0013]","[0.0252, 0.0023]","[0.0345, 0.0027]","[0.043, 0.003]","[0.0144, 0.0017]","[0.0807, 0.0042]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-PLRec,200,1,1000.0,10,Cosine,0.0,1.3,"[5, 10, 15, 20, 50]","[0.074, 0.0033]","[0.067, 0.0027]","[0.0617, 0.0024]","[0.0844, 0.0043]","[0.0449, 0.0015]","[0.1667, 0.0049]","[0.0583, 0.0023]","[0.0498, 0.0018]","[0.0436, 0.0015]","[0.0732, 0.0033]","[0.0275, 0.0009]","[0.0745, 0.0038]","[0.1398, 0.0057]","[0.1748, 0.0063]","[0.2015, 0.0066]","[0.0898, 0.0046]","[0.3043, 0.0076]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
PureSVD,200,1,1.0,10,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0678, 0.0031]","[0.061, 0.0026]","[0.0559, 0.0023]","[0.078, 0.0042]","[0.0403, 0.0014]","[0.1511, 0.0047]","[0.0523, 0.0021]","[0.0444, 0.0017]","[0.0389, 0.0014]","[0.0671, 0.0032]","[0.0243, 0.0008]","[0.0681, 0.0037]","[0.128, 0.0056]","[0.1588, 0.0061]","[0.1821, 0.0064]","[0.0846, 0.0046]","[0.2743, 0.0075]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
BPR,200,1,0.0001,30,Cosine,0.0,1.0,"[5, 10, 15, 20, 50]","[0.0625, 0.003]","[0.0566, 0.0025]","[0.0524, 0.0022]","[0.0719, 0.004]","[0.0399, 0.0014]","[0.1527, 0.0044]","[0.0489, 0.0021]","[0.0424, 0.0016]","[0.0384, 0.0014]","[0.0612, 0.003]","[0.027, 0.0009]","[0.0621, 0.0034]","[0.116, 0.0052]","[0.1479, 0.0058]","[0.1755, 0.0061]","[0.0751, 0.0042]","[0.2975, 0.0074]","['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
