model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.599, 0.0556]","[0.0524, 0.0027]","[0.0477, 0.0022]","[0.0441, 0.0019]","[0.0596, 0.0036]","[0.033, 0.0012]","[0.1451, 0.0046]","[0.0423, 0.0018]","[0.0357, 0.0014]","[0.0321, 0.0012]","[0.0518, 0.0027]","[0.0213, 0.0007]","[0.055, 0.0034]","[0.1248, 0.0057]","[0.1563, 0.0063]","[0.1858, 0.0068]","[0.0781, 0.0046]","[0.3003, 0.0081]"
CNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.4679, 0.0555]","[0.0554, 0.0027]","[0.0506, 0.0022]","[0.0469, 0.0019]","[0.0624, 0.0036]","[0.035, 0.0012]","[0.1545, 0.0046]","[0.0445, 0.0018]","[0.0385, 0.0014]","[0.0343, 0.0012]","[0.0551, 0.0027]","[0.0226, 0.0007]","[0.0581, 0.0035]","[0.1339, 0.0059]","[0.1717, 0.0066]","[0.2016, 0.007]","[0.0833, 0.0047]","[0.3192, 0.0082]"
CNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.479, 0.0556]","[0.0556, 0.0027]","[0.0507, 0.0022]","[0.047, 0.0019]","[0.0627, 0.0036]","[0.0352, 0.0012]","[0.1543, 0.0046]","[0.0448, 0.0018]","[0.0386, 0.0014]","[0.0344, 0.0012]","[0.0553, 0.0027]","[0.0229, 0.0007]","[0.0583, 0.0035]","[0.1327, 0.0058]","[0.1689, 0.0065]","[0.1991, 0.007]","[0.0824, 0.0046]","[0.3195, 0.0083]"
CNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.5534, 0.0557]","[0.0542, 0.0027]","[0.0491, 0.0022]","[0.0454, 0.0019]","[0.0617, 0.0036]","[0.0337, 0.0012]","[0.1494, 0.0046]","[0.0431, 0.0018]","[0.0368, 0.0014]","[0.0328, 0.0012]","[0.0532, 0.0027]","[0.0218, 0.0007]","[0.0579, 0.0036]","[0.1284, 0.0058]","[0.1621, 0.0064]","[0.1899, 0.0069]","[0.0815, 0.0047]","[0.3053, 0.0081]"
CNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.447, 0.0554]","[0.0575, 0.0027]","[0.052, 0.0023]","[0.048, 0.002]","[0.0655, 0.0037]","[0.0356, 0.0012]","[0.1578, 0.0047]","[0.0451, 0.0018]","[0.0388, 0.0014]","[0.0344, 0.0012]","[0.0567, 0.0028]","[0.0228, 0.0007]","[0.06, 0.0036]","[0.1365, 0.006]","[0.1737, 0.0067]","[0.2023, 0.007]","[0.0877, 0.0049]","[0.3229, 0.0082]"
CNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5102, 0.0555]","[0.0548, 0.0027]","[0.0499, 0.0022]","[0.0461, 0.0019]","[0.0623, 0.0036]","[0.0347, 0.0012]","[0.1525, 0.0046]","[0.0439, 0.0018]","[0.0377, 0.0014]","[0.0336, 0.0012]","[0.0544, 0.0027]","[0.0228, 0.0007]","[0.0565, 0.0034]","[0.1299, 0.0058]","[0.1649, 0.0065]","[0.1936, 0.0069]","[0.0814, 0.0046]","[0.3167, 0.0083]"
CNCF,100,1,128,128,0.001,,0.0001,100,5,"[2.4948, 0.0557]","[0.056, 0.0027]","[0.0507, 0.0022]","[0.0469, 0.0019]","[0.0638, 0.0037]","[0.0349, 0.0012]","[0.1528, 0.0046]","[0.0441, 0.0018]","[0.0378, 0.0014]","[0.0341, 0.0012]","[0.0557, 0.0028]","[0.0223, 0.0007]","[0.0593, 0.0035]","[0.1334, 0.006]","[0.1684, 0.0066]","[0.1977, 0.007]","[0.0853, 0.0048]","[0.3105, 0.0081]"
CNCF,100,1,128,128,0.001,,0.0005,100,5,"[2.4186, 0.055]","[0.0554, 0.0027]","[0.0506, 0.0022]","[0.0472, 0.0019]","[0.0626, 0.0036]","[0.0358, 0.0012]","[0.1581, 0.0046]","[0.0444, 0.0018]","[0.0391, 0.0014]","[0.0351, 0.0012]","[0.0542, 0.0027]","[0.0238, 0.0007]","[0.0583, 0.0035]","[0.1326, 0.0059]","[0.1724, 0.0066]","[0.2034, 0.007]","[0.0818, 0.0046]","[0.3324, 0.0083]"
CNCF,100,1,128,128,0.001,,0.001,100,5,"[2.4722, 0.0553]","[0.0521, 0.0026]","[0.0481, 0.0021]","[0.045, 0.0019]","[0.0575, 0.0034]","[0.0346, 0.0012]","[0.1515, 0.0044]","[0.044, 0.0018]","[0.0384, 0.0014]","[0.0341, 0.0012]","[0.0521, 0.0027]","[0.0236, 0.0007]","[0.0529, 0.0033]","[0.1299, 0.0058]","[0.1664, 0.0065]","[0.1961, 0.0069]","[0.0774, 0.0045]","[0.3255, 0.0083]"
CNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.6027, 0.0555]","[0.05, 0.0025]","[0.0453, 0.0021]","[0.0419, 0.0018]","[0.0566, 0.0035]","[0.0311, 0.0011]","[0.1416, 0.0045]","[0.0396, 0.0017]","[0.0341, 0.0013]","[0.0302, 0.0011]","[0.0498, 0.0026]","[0.02, 0.0006]","[0.0521, 0.0033]","[0.1236, 0.0057]","[0.1585, 0.0064]","[0.1848, 0.0069]","[0.0779, 0.0046]","[0.2954, 0.008]"
CNCF,200,1,128,128,5e-05,,0.0005,100,5,"[2.5021, 0.0555]","[0.0526, 0.0026]","[0.0479, 0.0021]","[0.0444, 0.0018]","[0.0595, 0.0035]","[0.0332, 0.0011]","[0.1496, 0.0046]","[0.0423, 0.0017]","[0.0364, 0.0013]","[0.0326, 0.0011]","[0.0518, 0.0026]","[0.0216, 0.0006]","[0.0556, 0.0035]","[0.1309, 0.0059]","[0.1653, 0.0065]","[0.1953, 0.0069]","[0.0822, 0.0047]","[0.3103, 0.0081]"
CNCF,200,1,128,128,5e-05,,0.001,100,5,"[2.4835, 0.0559]","[0.055, 0.0026]","[0.0503, 0.0022]","[0.0467, 0.0019]","[0.0621, 0.0036]","[0.0349, 0.0012]","[0.1542, 0.0046]","[0.0446, 0.0018]","[0.0386, 0.0014]","[0.0343, 0.0012]","[0.0549, 0.0027]","[0.0224, 0.0007]","[0.0589, 0.0036]","[0.1355, 0.0059]","[0.1738, 0.0066]","[0.2013, 0.007]","[0.0855, 0.0048]","[0.3159, 0.0082]"
CNCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.6053, 0.0555]","[0.0505, 0.0025]","[0.0458, 0.0021]","[0.0423, 0.0018]","[0.0574, 0.0035]","[0.0314, 0.0011]","[0.1428, 0.0045]","[0.0398, 0.0017]","[0.0343, 0.0013]","[0.0305, 0.0011]","[0.0504, 0.0026]","[0.02, 0.0006]","[0.0535, 0.0034]","[0.1225, 0.0057]","[0.1565, 0.0064]","[0.1862, 0.0069]","[0.0795, 0.0046]","[0.2966, 0.0081]"
CNCF,200,1,128,128,0.0001,,0.0005,100,5,"[2.478, 0.0556]","[0.0552, 0.0026]","[0.0502, 0.0022]","[0.0464, 0.0019]","[0.0629, 0.0036]","[0.0345, 0.0012]","[0.1547, 0.0047]","[0.0438, 0.0018]","[0.0378, 0.0014]","[0.0336, 0.0011]","[0.0538, 0.0027]","[0.0221, 0.0007]","[0.0608, 0.0036]","[0.1335, 0.0059]","[0.1702, 0.0066]","[0.2004, 0.007]","[0.0846, 0.0048]","[0.3175, 0.0083]"
CNCF,200,1,128,128,0.0001,,0.001,100,5,"[2.5072, 0.0559]","[0.0562, 0.0027]","[0.051, 0.0022]","[0.0471, 0.0019]","[0.0633, 0.0036]","[0.0351, 0.0012]","[0.1527, 0.0046]","[0.0451, 0.0019]","[0.038, 0.0014]","[0.0339, 0.0012]","[0.0557, 0.0027]","[0.0226, 0.0007]","[0.0577, 0.0035]","[0.1347, 0.006]","[0.1677, 0.0066]","[0.1975, 0.007]","[0.0841, 0.0047]","[0.3123, 0.0082]"
CNCF,200,1,128,128,0.001,,0.0001,100,5,"[2.5602, 0.0551]","[0.0517, 0.0026]","[0.0468, 0.0021]","[0.0433, 0.0018]","[0.0596, 0.0036]","[0.0326, 0.0011]","[0.1477, 0.0046]","[0.0402, 0.0017]","[0.0351, 0.0013]","[0.0317, 0.0011]","[0.0507, 0.0026]","[0.0215, 0.0006]","[0.0552, 0.0035]","[0.122, 0.0057]","[0.1577, 0.0064]","[0.1883, 0.0069]","[0.0784, 0.0046]","[0.3091, 0.0082]"
CNCF,200,1,128,128,0.001,,0.0005,100,5,"[2.4622, 0.0551]","[0.0512, 0.0026]","[0.0475, 0.0021]","[0.0445, 0.0019]","[0.0561, 0.0034]","[0.0343, 0.0012]","[0.1509, 0.0044]","[0.0437, 0.0018]","[0.0382, 0.0014]","[0.0341, 0.0012]","[0.0512, 0.0026]","[0.0235, 0.0007]","[0.0533, 0.0033]","[0.1282, 0.0057]","[0.1663, 0.0064]","[0.1948, 0.0069]","[0.0765, 0.0045]","[0.3251, 0.0082]"
CNCF,200,1,128,128,0.001,,0.001,100,5,"[2.7536, 0.0545]","[0.041, 0.0023]","[0.0381, 0.0019]","[0.0359, 0.0017]","[0.0457, 0.0031]","[0.0285, 0.0011]","[0.1263, 0.004]","[0.0344, 0.0016]","[0.031, 0.0013]","[0.0283, 0.0011]","[0.0393, 0.0023]","[0.0204, 0.0007]","[0.0415, 0.0029]","[0.0989, 0.0051]","[0.1324, 0.0058]","[0.1582, 0.0062]","[0.0573, 0.0039]","[0.2809, 0.0079]"
