model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
INCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.652, 0.0556]","[0.0495, 0.0026]","[0.0451, 0.0021]","[0.0418, 0.0018]","[0.0562, 0.0035]","[0.0316, 0.0011]","[0.1397, 0.0044]","[0.0397, 0.0017]","[0.0342, 0.0013]","[0.0309, 0.0011]","[0.0493, 0.0026]","[0.0207, 0.0006]","[0.0523, 0.0034]","[0.1187, 0.0056]","[0.1508, 0.0063]","[0.1797, 0.0067]","[0.0751, 0.0045]","[0.291, 0.008]"
INCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.5152, 0.0557]","[0.0541, 0.0026]","[0.0494, 0.0022]","[0.0459, 0.0019]","[0.0609, 0.0035]","[0.0343, 0.0012]","[0.1507, 0.0046]","[0.0439, 0.0018]","[0.0378, 0.0014]","[0.0336, 0.0012]","[0.0539, 0.0027]","[0.0222, 0.0007]","[0.0569, 0.0035]","[0.1313, 0.0059]","[0.1678, 0.0066]","[0.1954, 0.007]","[0.0823, 0.0047]","[0.3113, 0.0082]"
INCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5482, 0.0555]","[0.0544, 0.0027]","[0.0491, 0.0022]","[0.0453, 0.0019]","[0.063, 0.0037]","[0.0339, 0.0012]","[0.1502, 0.0046]","[0.0423, 0.0018]","[0.0364, 0.0014]","[0.0328, 0.0012]","[0.0533, 0.0027]","[0.0221, 0.0007]","[0.0581, 0.0036]","[0.1266, 0.0058]","[0.161, 0.0064]","[0.1908, 0.0069]","[0.0807, 0.0046]","[0.3082, 0.0081]"
INCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6616, 0.0557]","[0.0494, 0.0026]","[0.0453, 0.0021]","[0.0421, 0.0018]","[0.0557, 0.0034]","[0.0316, 0.0011]","[0.1386, 0.0044]","[0.0402, 0.0018]","[0.0348, 0.0014]","[0.031, 0.0011]","[0.0494, 0.0026]","[0.0206, 0.0006]","[0.0499, 0.0032]","[0.119, 0.0056]","[0.1528, 0.0063]","[0.1785, 0.0067]","[0.0748, 0.0045]","[0.2893, 0.008]"
INCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.4971, 0.0556]","[0.0554, 0.0027]","[0.0504, 0.0022]","[0.0467, 0.0019]","[0.0628, 0.0036]","[0.0348, 0.0012]","[0.1534, 0.0046]","[0.0443, 0.0018]","[0.0382, 0.0014]","[0.0338, 0.0012]","[0.0548, 0.0027]","[0.0226, 0.0007]","[0.0577, 0.0035]","[0.1323, 0.0059]","[0.1701, 0.0066]","[0.1977, 0.007]","[0.0831, 0.0047]","[0.3165, 0.0082]"
INCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5514, 0.0557]","[0.0531, 0.0026]","[0.0486, 0.0022]","[0.0452, 0.0019]","[0.0591, 0.0035]","[0.0341, 0.0012]","[0.1488, 0.0046]","[0.0435, 0.0018]","[0.0375, 0.0014]","[0.0335, 0.0012]","[0.0539, 0.0027]","[0.0222, 0.0007]","[0.0542, 0.0034]","[0.1292, 0.0059]","[0.1655, 0.0066]","[0.1924, 0.0069]","[0.0821, 0.0047]","[0.3093, 0.0082]"
INCF,100,1,128,128,0.001,,0.0001,100,5,"[2.6185, 0.0556]","[0.0514, 0.0026]","[0.047, 0.0022]","[0.0436, 0.0019]","[0.0577, 0.0035]","[0.0328, 0.0012]","[0.1431, 0.0045]","[0.0421, 0.0018]","[0.0362, 0.0014]","[0.0319, 0.0012]","[0.05, 0.0026]","[0.0214, 0.0007]","[0.0528, 0.0033]","[0.1221, 0.0057]","[0.1563, 0.0064]","[0.1826, 0.0068]","[0.0747, 0.0045]","[0.2982, 0.0081]"
INCF,100,1,128,128,0.001,,0.0005,100,5,"[2.4802, 0.0553]","[0.0547, 0.0026]","[0.0499, 0.0022]","[0.0463, 0.0019]","[0.0613, 0.0036]","[0.035, 0.0012]","[0.1542, 0.0046]","[0.0441, 0.0018]","[0.0382, 0.0014]","[0.0342, 0.0012]","[0.0543, 0.0027]","[0.023, 0.0007]","[0.0567, 0.0035]","[0.1305, 0.0059]","[0.167, 0.0066]","[0.1975, 0.007]","[0.0828, 0.0047]","[0.3224, 0.0083]"
INCF,100,1,128,128,0.001,,0.001,100,5,"[2.4826, 0.0552]","[0.0514, 0.0026]","[0.0475, 0.0021]","[0.0445, 0.0019]","[0.0572, 0.0035]","[0.0344, 0.0012]","[0.1505, 0.0045]","[0.0426, 0.0018]","[0.0379, 0.0014]","[0.0344, 0.0012]","[0.0512, 0.0026]","[0.0232, 0.0007]","[0.0532, 0.0034]","[0.1255, 0.0057]","[0.1659, 0.0065]","[0.1983, 0.007]","[0.0772, 0.0045]","[0.32, 0.0082]"
INCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.6884, 0.0558]","[0.0465, 0.0024]","[0.0425, 0.002]","[0.0395, 0.0017]","[0.0518, 0.0033]","[0.0296, 0.0011]","[0.1326, 0.0043]","[0.0385, 0.0017]","[0.0325, 0.0013]","[0.0291, 0.001]","[0.0463, 0.0025]","[0.019, 0.0006]","[0.0491, 0.0032]","[0.1164, 0.0056]","[0.1477, 0.0062]","[0.176, 0.0067]","[0.071, 0.0044]","[0.2796, 0.008]"
