model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.5102, 0.0555]","[0.0548, 0.0027]","[0.0499, 0.0022]","[0.0463, 0.0019]","[0.0616, 0.0036]","[0.0348, 0.0012]","[0.1515, 0.0046]","[0.0443, 0.0018]","[0.0379, 0.0015]","[0.0339, 0.0012]","[0.0544, 0.0027]","[0.0229, 0.0007]","[0.0574, 0.0035]","[0.1298, 0.0059]","[0.1627, 0.0065]","[0.1934, 0.007]","[0.0811, 0.0047]","[0.315, 0.0082]"
IVNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.5081, 0.0551]","[0.0512, 0.0026]","[0.0472, 0.0022]","[0.0441, 0.0019]","[0.0572, 0.0035]","[0.0339, 0.0012]","[0.149, 0.0045]","[0.0422, 0.0018]","[0.0371, 0.0014]","[0.0335, 0.0012]","[0.051, 0.0027]","[0.023, 0.0007]","[0.0531, 0.0034]","[0.1223, 0.0056]","[0.1599, 0.0064]","[0.192, 0.0069]","[0.075, 0.0044]","[0.3187, 0.0082]"
IVNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.6123, 0.0549]","[0.0465, 0.0024]","[0.0432, 0.002]","[0.0406, 0.0018]","[0.0506, 0.0033]","[0.0317, 0.0012]","[0.1395, 0.0043]","[0.0397, 0.0018]","[0.0348, 0.0014]","[0.0315, 0.0012]","[0.0462, 0.0025]","[0.0221, 0.0007]","[0.047, 0.0031]","[0.1157, 0.0055]","[0.1496, 0.0062]","[0.1785, 0.0067]","[0.0683, 0.0043]","[0.3049, 0.0081]"
IVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.5215, 0.0553]","[0.0536, 0.0027]","[0.0489, 0.0022]","[0.0455, 0.0019]","[0.0603, 0.0036]","[0.0345, 0.0012]","[0.1507, 0.0046]","[0.0432, 0.0018]","[0.0375, 0.0015]","[0.0339, 0.0012]","[0.0534, 0.0027]","[0.0229, 0.0007]","[0.057, 0.0035]","[0.1255, 0.0058]","[0.1595, 0.0064]","[0.1903, 0.0069]","[0.0794, 0.0046]","[0.3149, 0.0082]"
IVNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5783, 0.0552]","[0.0469, 0.0025]","[0.0438, 0.0021]","[0.0412, 0.0018]","[0.0511, 0.0033]","[0.0323, 0.0012]","[0.1402, 0.0042]","[0.0406, 0.0018]","[0.0356, 0.0014]","[0.0324, 0.0012]","[0.0467, 0.0026]","[0.0225, 0.0007]","[0.0474, 0.0031]","[0.117, 0.0055]","[0.1526, 0.0062]","[0.1848, 0.0067]","[0.0678, 0.0043]","[0.3072, 0.0081]"
IVNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.6802, 0.0551]","[0.0442, 0.0024]","[0.041, 0.002]","[0.0386, 0.0017]","[0.0482, 0.0032]","[0.0303, 0.0011]","[0.1321, 0.0041]","[0.0374, 0.0017]","[0.0333, 0.0013]","[0.0301, 0.0011]","[0.0446, 0.0025]","[0.0211, 0.0007]","[0.046, 0.0031]","[0.1076, 0.0053]","[0.1427, 0.006]","[0.1717, 0.0065]","[0.0653, 0.0042]","[0.2891, 0.0079]"
IVNCF,100,1,128,128,0.001,,0.0001,100,5,"[3.0412, 0.0537]","[0.0317, 0.002]","[0.03, 0.0017]","[0.0286, 0.0015]","[0.0336, 0.0026]","[0.0236, 0.001]","[0.1026, 0.0035]","[0.0285, 0.0015]","[0.0255, 0.0012]","[0.024, 0.001]","[0.0319, 0.0021]","[0.0177, 0.0006]","[0.0315, 0.0025]","[0.0779, 0.0045]","[0.1038, 0.0052]","[0.1308, 0.0058]","[0.0446, 0.0034]","[0.2362, 0.0074]"
IVNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.181, 0.0528]","[0.0281, 0.0019]","[0.0266, 0.0016]","[0.0255, 0.0014]","[0.0302, 0.0026]","[0.0213, 0.0009]","[0.0936, 0.0034]","[0.0249, 0.0014]","[0.0231, 0.0011]","[0.0217, 0.001]","[0.0284, 0.002]","[0.0162, 0.0006]","[0.0273, 0.0023]","[0.0681, 0.0042]","[0.096, 0.005]","[0.1189, 0.0056]","[0.0402, 0.0033]","[0.2164, 0.0071]"
IVNCF,100,1,128,128,0.001,,0.001,100,5,"[3.3835, 0.0519]","[0.0268, 0.0019]","[0.0251, 0.0016]","[0.0238, 0.0014]","[0.0296, 0.0026]","[0.0193, 0.0009]","[0.0825, 0.0034]","[0.0226, 0.0014]","[0.0209, 0.0011]","[0.0195, 0.001]","[0.0269, 0.002]","[0.0141, 0.0006]","[0.0281, 0.0024]","[0.061, 0.004]","[0.0833, 0.0047]","[0.1029, 0.0052]","[0.0373, 0.0031]","[0.1837, 0.0067]"
IVNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.44, 0.0554]","[0.0558, 0.0027]","[0.0507, 0.0022]","[0.047, 0.0019]","[0.063, 0.0036]","[0.0351, 0.0012]","[0.1567, 0.0046]","[0.0449, 0.0018]","[0.0382, 0.0014]","[0.034, 0.0012]","[0.0553, 0.0027]","[0.0227, 0.0007]","[0.0584, 0.0035]","[0.137, 0.006]","[0.1717, 0.0066]","[0.2011, 0.007]","[0.0867, 0.0048]","[0.3238, 0.0083]"
