model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.6626, 0.0555]","[0.0492, 0.0025]","[0.045, 0.0021]","[0.0417, 0.0018]","[0.0552, 0.0034]","[0.0315, 0.0011]","[0.1388, 0.0045]","[0.0399, 0.0017]","[0.0345, 0.0013]","[0.0306, 0.0011]","[0.0496, 0.0026]","[0.0206, 0.0007]","[0.0529, 0.0035]","[0.1182, 0.0056]","[0.1527, 0.0063]","[0.1783, 0.0068]","[0.0747, 0.0045]","[0.2914, 0.0081]"
NCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.5245, 0.0557]","[0.0536, 0.0026]","[0.0491, 0.0022]","[0.0456, 0.0019]","[0.0599, 0.0036]","[0.0342, 0.0012]","[0.1507, 0.0046]","[0.0439, 0.0018]","[0.0379, 0.0014]","[0.0334, 0.0012]","[0.0534, 0.0027]","[0.0222, 0.0007]","[0.0563, 0.0035]","[0.1312, 0.0058]","[0.1664, 0.0065]","[0.1939, 0.0069]","[0.0815, 0.0047]","[0.3115, 0.0082]"
NCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5418, 0.0559]","[0.0536, 0.0027]","[0.049, 0.0022]","[0.0454, 0.0019]","[0.0602, 0.0036]","[0.034, 0.0012]","[0.1483, 0.0045]","[0.0434, 0.0018]","[0.0375, 0.0014]","[0.0334, 0.0012]","[0.0533, 0.0027]","[0.0219, 0.0007]","[0.0554, 0.0034]","[0.1306, 0.0059]","[0.1673, 0.0066]","[0.1953, 0.007]","[0.0813, 0.0047]","[0.3052, 0.0081]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.653, 0.0557]","[0.0502, 0.0026]","[0.0459, 0.0021]","[0.0425, 0.0019]","[0.0567, 0.0035]","[0.0319, 0.0012]","[0.1401, 0.0045]","[0.0405, 0.0017]","[0.0352, 0.0014]","[0.0311, 0.0011]","[0.0504, 0.0027]","[0.0209, 0.0007]","[0.0532, 0.0034]","[0.1202, 0.0057]","[0.1535, 0.0063]","[0.179, 0.0067]","[0.0755, 0.0045]","[0.2917, 0.008]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.4695, 0.0555]","[0.0561, 0.0027]","[0.051, 0.0022]","[0.0473, 0.0019]","[0.0638, 0.0037]","[0.0352, 0.0012]","[0.1548, 0.0047]","[0.0446, 0.0018]","[0.0388, 0.0014]","[0.0345, 0.0012]","[0.0551, 0.0027]","[0.0227, 0.0007]","[0.0587, 0.0035]","[0.1321, 0.0059]","[0.1712, 0.0066]","[0.2021, 0.0071]","[0.0835, 0.0048]","[0.3182, 0.0082]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5331, 0.0556]","[0.0548, 0.0027]","[0.0498, 0.0023]","[0.0462, 0.002]","[0.0622, 0.0037]","[0.0346, 0.0012]","[0.1507, 0.0046]","[0.0439, 0.0018]","[0.0377, 0.0015]","[0.0337, 0.0012]","[0.0537, 0.0027]","[0.0225, 0.0007]","[0.0569, 0.0035]","[0.1284, 0.0058]","[0.1625, 0.0064]","[0.1926, 0.0069]","[0.0805, 0.0046]","[0.3107, 0.0082]"
NCF,100,1,128,128,0.001,,0.0001,100,5,"[2.6186, 0.0555]","[0.0503, 0.0026]","[0.0461, 0.0021]","[0.0428, 0.0018]","[0.0566, 0.0035]","[0.0325, 0.0012]","[0.1434, 0.0045]","[0.0408, 0.0018]","[0.0355, 0.0014]","[0.0317, 0.0012]","[0.0499, 0.0026]","[0.0215, 0.0007]","[0.0537, 0.0035]","[0.1219, 0.0057]","[0.1565, 0.0064]","[0.184, 0.0068]","[0.075, 0.0045]","[0.2986, 0.0081]"
NCF,100,1,128,128,0.001,,0.0005,100,5,"[2.5061, 0.0554]","[0.0524, 0.0026]","[0.0479, 0.0021]","[0.0447, 0.0019]","[0.0589, 0.0035]","[0.0341, 0.0012]","[0.1498, 0.0045]","[0.0425, 0.0018]","[0.0372, 0.0014]","[0.0335, 0.0012]","[0.0519, 0.0026]","[0.0227, 0.0007]","[0.0551, 0.0034]","[0.1266, 0.0058]","[0.1642, 0.0065]","[0.1952, 0.0069]","[0.0784, 0.0046]","[0.3145, 0.0082]"
NCF,100,1,128,128,0.001,,0.001,100,5,"[2.5285, 0.0551]","[0.05, 0.0025]","[0.0461, 0.0021]","[0.0433, 0.0018]","[0.0554, 0.0034]","[0.0336, 0.0012]","[0.1477, 0.0044]","[0.0418, 0.0018]","[0.0368, 0.0014]","[0.0334, 0.0012]","[0.0487, 0.0026]","[0.023, 0.0007]","[0.0516, 0.0033]","[0.1234, 0.0057]","[0.161, 0.0064]","[0.1919, 0.0069]","[0.0727, 0.0044]","[0.3167, 0.0082]"
NCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.7001, 0.0556]","[0.0467, 0.0025]","[0.0427, 0.002]","[0.0396, 0.0017]","[0.0529, 0.0033]","[0.0295, 0.0011]","[0.1328, 0.0043]","[0.0376, 0.0016]","[0.0327, 0.0013]","[0.029, 0.0011]","[0.0462, 0.0025]","[0.019, 0.0006]","[0.0484, 0.0032]","[0.1145, 0.0055]","[0.1496, 0.0063]","[0.1746, 0.0067]","[0.0714, 0.0044]","[0.2785, 0.0079]"
