model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.4591, 0.0553]","[0.0558, 0.0027]","[0.051, 0.0022]","[0.0473, 0.0019]","[0.063, 0.0036]","[0.0357, 0.0012]","[0.1561, 0.0046]","[0.0451, 0.0019]","[0.0389, 0.0015]","[0.0348, 0.0012]","[0.0555, 0.0028]","[0.0234, 0.0007]","[0.0599, 0.0036]","[0.1326, 0.0059]","[0.1693, 0.0065]","[0.1993, 0.007]","[0.0842, 0.0047]","[0.322, 0.0082]"
VNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.4933, 0.0551]","[0.0506, 0.0025]","[0.0469, 0.0021]","[0.0441, 0.0018]","[0.0565, 0.0034]","[0.0341, 0.0012]","[0.1507, 0.0045]","[0.0423, 0.0018]","[0.038, 0.0014]","[0.034, 0.0012]","[0.0503, 0.0026]","[0.0232, 0.0007]","[0.0541, 0.0034]","[0.1251, 0.0057]","[0.1647, 0.0065]","[0.1945, 0.0069]","[0.077, 0.0045]","[0.3204, 0.0082]"
VNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.489, 0.0553]","[0.0532, 0.0026]","[0.0487, 0.0022]","[0.0454, 0.0019]","[0.0599, 0.0036]","[0.0347, 0.0012]","[0.1519, 0.0045]","[0.0434, 0.0018]","[0.0376, 0.0014]","[0.0342, 0.0012]","[0.0531, 0.0027]","[0.0232, 0.0007]","[0.0553, 0.0034]","[0.127, 0.0058]","[0.1638, 0.0064]","[0.1972, 0.007]","[0.0798, 0.0046]","[0.3204, 0.0082]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.4969, 0.0557]","[0.0561, 0.0027]","[0.0509, 0.0022]","[0.0471, 0.002]","[0.0632, 0.0036]","[0.0353, 0.0012]","[0.1541, 0.0046]","[0.045, 0.0018]","[0.0383, 0.0014]","[0.0342, 0.0012]","[0.0559, 0.0028]","[0.0231, 0.0007]","[0.0604, 0.0036]","[0.1328, 0.0059]","[0.1659, 0.0065]","[0.1944, 0.0069]","[0.0855, 0.0048]","[0.3165, 0.0082]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.4963, 0.0554]","[0.0512, 0.0025]","[0.0471, 0.0021]","[0.0441, 0.0018]","[0.0568, 0.0034]","[0.0339, 0.0012]","[0.1488, 0.0044]","[0.0426, 0.0018]","[0.037, 0.0014]","[0.0337, 0.0012]","[0.0512, 0.0026]","[0.023, 0.0007]","[0.0536, 0.0033]","[0.1249, 0.0057]","[0.1615, 0.0064]","[0.1942, 0.0069]","[0.0767, 0.0045]","[0.317, 0.0082]"
VNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.655, 0.0552]","[0.0444, 0.0024]","[0.0413, 0.002]","[0.0388, 0.0017]","[0.049, 0.0033]","[0.0304, 0.0011]","[0.1343, 0.0042]","[0.0379, 0.0017]","[0.0333, 0.0013]","[0.0303, 0.0011]","[0.0425, 0.0024]","[0.0212, 0.0007]","[0.0443, 0.0031]","[0.1124, 0.0054]","[0.1451, 0.0061]","[0.1741, 0.0066]","[0.0636, 0.0042]","[0.2917, 0.008]"
VNCF,100,1,128,128,0.001,,0.0001,100,5,"[2.8293, 0.0547]","[0.0401, 0.0023]","[0.0373, 0.0019]","[0.0352, 0.0017]","[0.0444, 0.0031]","[0.0279, 0.0011]","[0.1215, 0.004]","[0.0338, 0.0016]","[0.0303, 0.0013]","[0.0279, 0.0011]","[0.0398, 0.0024]","[0.0198, 0.0007]","[0.0425, 0.003]","[0.0946, 0.005]","[0.1261, 0.0057]","[0.1543, 0.0062]","[0.0562, 0.0039]","[0.267, 0.0077]"
VNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.1428, 0.0533]","[0.0297, 0.0019]","[0.0281, 0.0016]","[0.0268, 0.0014]","[0.0318, 0.0026]","[0.0221, 0.001]","[0.0974, 0.0035]","[0.0264, 0.0014]","[0.024, 0.0012]","[0.0223, 0.001]","[0.0294, 0.002]","[0.0166, 0.0006]","[0.0306, 0.0025]","[0.075, 0.0045]","[0.1, 0.0052]","[0.1224, 0.0057]","[0.0431, 0.0034]","[0.2228, 0.0073]"
VNCF,100,1,128,128,0.001,,0.001,100,5,"[3.267, 0.0524]","[0.0256, 0.0018]","[0.0247, 0.0015]","[0.0238, 0.0014]","[0.0265, 0.0024]","[0.0201, 0.0009]","[0.0871, 0.0033]","[0.0239, 0.0014]","[0.0222, 0.0011]","[0.0208, 0.001]","[0.0257, 0.0019]","[0.0154, 0.0006]","[0.0271, 0.0024]","[0.064, 0.0041]","[0.0894, 0.0048]","[0.1113, 0.0054]","[0.0341, 0.0029]","[0.2039, 0.007]"
VNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.4853, 0.0554]","[0.0525, 0.0026]","[0.0481, 0.0021]","[0.0447, 0.0018]","[0.0588, 0.0035]","[0.0337, 0.0011]","[0.151, 0.0045]","[0.0431, 0.0018]","[0.037, 0.0014]","[0.0331, 0.0011]","[0.0518, 0.0026]","[0.022, 0.0006]","[0.0565, 0.0035]","[0.1306, 0.0059]","[0.1671, 0.0065]","[0.1974, 0.007]","[0.0809, 0.0047]","[0.3175, 0.0082]"
