model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.43, 0.0554]","[0.0573, 0.0027]","[0.0522, 0.0023]","[0.0483, 0.002]","[0.0651, 0.0037]","[0.0361, 0.0012]","[0.1576, 0.0046]","[0.0457, 0.0018]","[0.0392, 0.0014]","[0.0355, 0.0012]","[0.0566, 0.0028]","[0.0232, 0.0007]","[0.0601, 0.0036]","[0.1373, 0.0061]","[0.1724, 0.0066]","[0.2047, 0.0071]","[0.0878, 0.0049]","[0.3233, 0.0082]"
IVNCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.4722, 0.0553]","[0.0539, 0.0026]","[0.0494, 0.0022]","[0.0461, 0.0019]","[0.0607, 0.0036]","[0.0352, 0.0012]","[0.1545, 0.0045]","[0.0444, 0.0018]","[0.0385, 0.0015]","[0.0348, 0.0012]","[0.0538, 0.0027]","[0.0236, 0.0007]","[0.055, 0.0034]","[0.1295, 0.0058]","[0.1669, 0.0065]","[0.2003, 0.007]","[0.0816, 0.0047]","[0.3263, 0.0083]"
IVNCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5286, 0.0553]","[0.0499, 0.0025]","[0.0462, 0.0021]","[0.0433, 0.0019]","[0.0549, 0.0034]","[0.0336, 0.0012]","[0.146, 0.0043]","[0.042, 0.0018]","[0.0372, 0.0014]","[0.0334, 0.0012]","[0.05, 0.0026]","[0.0228, 0.0007]","[0.0509, 0.0032]","[0.1236, 0.0057]","[0.1612, 0.0064]","[0.1899, 0.0068]","[0.074, 0.0044]","[0.3134, 0.0081]"
IVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.4641, 0.0554]","[0.0564, 0.0027]","[0.0514, 0.0023]","[0.0477, 0.002]","[0.0642, 0.0037]","[0.0359, 0.0012]","[0.1571, 0.0047]","[0.045, 0.0019]","[0.0392, 0.0015]","[0.0352, 0.0012]","[0.0554, 0.0027]","[0.0235, 0.0007]","[0.0591, 0.0035]","[0.1329, 0.0059]","[0.1726, 0.0066]","[0.2028, 0.0071]","[0.0852, 0.0048]","[0.3219, 0.0082]"
IVNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5034, 0.055]","[0.0499, 0.0025]","[0.0462, 0.0021]","[0.0432, 0.0018]","[0.0557, 0.0035]","[0.0336, 0.0012]","[0.1489, 0.0045]","[0.0419, 0.0018]","[0.0366, 0.0014]","[0.0332, 0.0012]","[0.0492, 0.0026]","[0.023, 0.0007]","[0.0512, 0.0034]","[0.1259, 0.0058]","[0.1612, 0.0065]","[0.1923, 0.0069]","[0.0767, 0.0046]","[0.3164, 0.0081]"
IVNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.6085, 0.0551]","[0.0458, 0.0024]","[0.0427, 0.002]","[0.0402, 0.0018]","[0.0502, 0.0032]","[0.0315, 0.0011]","[0.1393, 0.0043]","[0.0392, 0.0017]","[0.0347, 0.0014]","[0.0315, 0.0012]","[0.0455, 0.0025]","[0.0221, 0.0007]","[0.0478, 0.0032]","[0.1155, 0.0055]","[0.1505, 0.0062]","[0.1796, 0.0067]","[0.0688, 0.0043]","[0.3012, 0.008]"
IVNCF,100,1,128,128,0.001,,0.0001,100,5,"[2.7377, 0.0548]","[0.044, 0.0024]","[0.0406, 0.002]","[0.0381, 0.0018]","[0.0491, 0.0033]","[0.0299, 0.0011]","[0.1303, 0.0042]","[0.0364, 0.0017]","[0.0323, 0.0013]","[0.0295, 0.0011]","[0.0435, 0.0025]","[0.021, 0.0007]","[0.0437, 0.003]","[0.1031, 0.0052]","[0.1361, 0.0059]","[0.1644, 0.0064]","[0.063, 0.0041]","[0.2817, 0.0079]"
IVNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.2313, 0.0529]","[0.0295, 0.002]","[0.0279, 0.0017]","[0.0264, 0.0015]","[0.032, 0.0026]","[0.0214, 0.001]","[0.0927, 0.0035]","[0.0259, 0.0015]","[0.0233, 0.0012]","[0.0213, 0.001]","[0.0291, 0.002]","[0.0158, 0.0006]","[0.03, 0.0025]","[0.0703, 0.0044]","[0.0939, 0.005]","[0.1134, 0.0055]","[0.0404, 0.0033]","[0.2097, 0.0071]"
IVNCF,100,1,128,128,0.001,,0.001,100,5,"[3.2959, 0.0522]","[0.0262, 0.0018]","[0.0249, 0.0015]","[0.0238, 0.0014]","[0.0276, 0.0024]","[0.0197, 0.0009]","[0.0847, 0.0032]","[0.0232, 0.0014]","[0.0216, 0.0011]","[0.0198, 0.0009]","[0.0271, 0.0019]","[0.015, 0.0006]","[0.025, 0.0022]","[0.0629, 0.0041]","[0.087, 0.0048]","[0.1053, 0.0052]","[0.0373, 0.0031]","[0.1963, 0.0068]"
IVNCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.5436, 0.0555]","[0.051, 0.0025]","[0.0466, 0.0021]","[0.0433, 0.0018]","[0.0579, 0.0035]","[0.0328, 0.0011]","[0.1482, 0.0045]","[0.0409, 0.0017]","[0.0358, 0.0013]","[0.0322, 0.0011]","[0.0498, 0.0026]","[0.0215, 0.0006]","[0.055, 0.0034]","[0.1254, 0.0057]","[0.1635, 0.0065]","[0.1931, 0.007]","[0.0783, 0.0046]","[0.311, 0.0083]"
