model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,128,128,5e-05,,0.0001,100,5,"[2.662, 0.0556]","[0.0487, 0.0025]","[0.0447, 0.0021]","[0.0416, 0.0018]","[0.0544, 0.0034]","[0.0314, 0.0011]","[0.1376, 0.0044]","[0.0398, 0.0017]","[0.0347, 0.0014]","[0.031, 0.0011]","[0.0492, 0.0026]","[0.0206, 0.0007]","[0.0522, 0.0034]","[0.1176, 0.0056]","[0.1531, 0.0063]","[0.1799, 0.0067]","[0.074, 0.0044]","[0.2877, 0.008]"
NCF,100,1,128,128,5e-05,,0.0005,100,5,"[2.518, 0.0556]","[0.0525, 0.0026]","[0.0483, 0.0022]","[0.0451, 0.0019]","[0.0585, 0.0035]","[0.0341, 0.0012]","[0.149, 0.0045]","[0.0436, 0.0018]","[0.0379, 0.0014]","[0.0339, 0.0012]","[0.0521, 0.0027]","[0.0222, 0.0007]","[0.0553, 0.0034]","[0.1294, 0.0058]","[0.1667, 0.0065]","[0.1955, 0.0069]","[0.0781, 0.0046]","[0.3129, 0.0082]"
NCF,100,1,128,128,5e-05,,0.001,100,5,"[2.5296, 0.0557]","[0.0533, 0.0026]","[0.0485, 0.0022]","[0.0451, 0.0019]","[0.0609, 0.0036]","[0.0339, 0.0012]","[0.1493, 0.0046]","[0.0424, 0.0018]","[0.037, 0.0014]","[0.0335, 0.0012]","[0.052, 0.0027]","[0.0221, 0.0007]","[0.0556, 0.0034]","[0.128, 0.0058]","[0.164, 0.0064]","[0.195, 0.0069]","[0.0798, 0.0046]","[0.307, 0.0082]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6714, 0.0554]","[0.0498, 0.0026]","[0.0455, 0.0021]","[0.0422, 0.0019]","[0.0564, 0.0035]","[0.0317, 0.0012]","[0.14, 0.0045]","[0.0402, 0.0018]","[0.0348, 0.0014]","[0.0309, 0.0012]","[0.0487, 0.0026]","[0.0207, 0.0007]","[0.0518, 0.0033]","[0.1191, 0.0057]","[0.152, 0.0064]","[0.1778, 0.0068]","[0.0736, 0.0045]","[0.2914, 0.008]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.5074, 0.0555]","[0.0541, 0.0027]","[0.0493, 0.0022]","[0.0458, 0.0019]","[0.061, 0.0036]","[0.0343, 0.0012]","[0.1506, 0.0046]","[0.0438, 0.0018]","[0.0377, 0.0014]","[0.0335, 0.0012]","[0.0535, 0.0027]","[0.0223, 0.0007]","[0.056, 0.0035]","[0.1306, 0.0059]","[0.1667, 0.0065]","[0.1961, 0.007]","[0.0811, 0.0047]","[0.3118, 0.0081]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[2.5446, 0.0559]","[0.0543, 0.0026]","[0.0496, 0.0022]","[0.046, 0.0019]","[0.061, 0.0036]","[0.0344, 0.0012]","[0.1494, 0.0046]","[0.044, 0.0018]","[0.0378, 0.0014]","[0.0339, 0.0012]","[0.0534, 0.0027]","[0.0222, 0.0007]","[0.0563, 0.0034]","[0.1292, 0.0058]","[0.1647, 0.0065]","[0.195, 0.007]","[0.0805, 0.0046]","[0.3065, 0.0081]"
NCF,100,1,128,128,0.001,,0.0001,100,5,"[2.5748, 0.0555]","[0.0518, 0.0026]","[0.0474, 0.0022]","[0.0441, 0.0019]","[0.0585, 0.0035]","[0.0332, 0.0012]","[0.1463, 0.0046]","[0.0416, 0.0018]","[0.0365, 0.0014]","[0.0326, 0.0012]","[0.051, 0.0027]","[0.0217, 0.0007]","[0.0544, 0.0034]","[0.1238, 0.0057]","[0.1608, 0.0064]","[0.1884, 0.0069]","[0.0777, 0.0046]","[0.3019, 0.0081]"
NCF,100,1,128,128,0.001,,0.0005,100,5,"[2.518, 0.0552]","[0.0513, 0.0026]","[0.0472, 0.0021]","[0.0442, 0.0019]","[0.0572, 0.0035]","[0.0338, 0.0012]","[0.1497, 0.0045]","[0.0425, 0.0018]","[0.0371, 0.0014]","[0.0336, 0.0012]","[0.0505, 0.0026]","[0.0227, 0.0007]","[0.0539, 0.0034]","[0.1261, 0.0058]","[0.1621, 0.0065]","[0.1944, 0.007]","[0.0772, 0.0046]","[0.3167, 0.0082]"
NCF,100,1,128,128,0.001,,0.001,100,5,"[2.5318, 0.0554]","[0.0503, 0.0026]","[0.0464, 0.0021]","[0.0435, 0.0019]","[0.0557, 0.0035]","[0.0336, 0.0012]","[0.1468, 0.0044]","[0.0422, 0.0018]","[0.0367, 0.0014]","[0.0334, 0.0012]","[0.049, 0.0026]","[0.0229, 0.0007]","[0.05, 0.0032]","[0.1236, 0.0057]","[0.1589, 0.0064]","[0.1903, 0.0068]","[0.0729, 0.0044]","[0.313, 0.0082]"
NCF,200,1,128,128,5e-05,,0.0001,100,5,"[2.683, 0.0556]","[0.0474, 0.0025]","[0.0433, 0.002]","[0.0401, 0.0017]","[0.0538, 0.0033]","[0.0299, 0.0011]","[0.1349, 0.0044]","[0.0381, 0.0016]","[0.0331, 0.0013]","[0.0291, 0.001]","[0.0471, 0.0025]","[0.0193, 0.0006]","[0.0499, 0.0032]","[0.1164, 0.0055]","[0.1505, 0.0062]","[0.1746, 0.0067]","[0.0728, 0.0044]","[0.2828, 0.008]"
NCF,200,1,128,128,5e-05,,0.0005,100,5,"[2.5585, 0.0557]","[0.0507, 0.0025]","[0.0464, 0.0021]","[0.0432, 0.0018]","[0.0574, 0.0035]","[0.0325, 0.0011]","[0.1452, 0.0045]","[0.0412, 0.0017]","[0.0358, 0.0013]","[0.0321, 0.0011]","[0.0503, 0.0026]","[0.021, 0.0006]","[0.0535, 0.0034]","[0.125, 0.0057]","[0.1604, 0.0064]","[0.1907, 0.0069]","[0.0779, 0.0045]","[0.304, 0.0082]"
NCF,200,1,128,128,5e-05,,0.001,100,5,"[2.5612, 0.0556]","[0.0526, 0.0026]","[0.0479, 0.0021]","[0.0445, 0.0019]","[0.0594, 0.0035]","[0.0334, 0.0012]","[0.1479, 0.0046]","[0.0421, 0.0018]","[0.0365, 0.0014]","[0.0328, 0.0012]","[0.0522, 0.0026]","[0.0218, 0.0007]","[0.0564, 0.0035]","[0.1256, 0.0057]","[0.1619, 0.0064]","[0.1924, 0.0069]","[0.0801, 0.0046]","[0.3067, 0.0082]"
NCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.6977, 0.0556]","[0.0477, 0.0025]","[0.0434, 0.002]","[0.0402, 0.0018]","[0.0534, 0.0033]","[0.0299, 0.0011]","[0.1344, 0.0044]","[0.0386, 0.0017]","[0.0329, 0.0013]","[0.0293, 0.0011]","[0.0478, 0.0025]","[0.0193, 0.0006]","[0.0497, 0.0033]","[0.1163, 0.0056]","[0.1485, 0.0063]","[0.1756, 0.0067]","[0.0739, 0.0045]","[0.2832, 0.008]"
NCF,200,1,128,128,0.0001,,0.0005,100,5,"[2.5484, 0.0557]","[0.0524, 0.0026]","[0.0475, 0.0021]","[0.0439, 0.0018]","[0.0598, 0.0035]","[0.0328, 0.0011]","[0.147, 0.0045]","[0.0415, 0.0017]","[0.0355, 0.0013]","[0.0318, 0.0011]","[0.0516, 0.0026]","[0.0212, 0.0006]","[0.0557, 0.0034]","[0.128, 0.0058]","[0.1619, 0.0064]","[0.1909, 0.0069]","[0.081, 0.0047]","[0.3036, 0.0081]"
NCF,200,1,128,128,0.0001,,0.001,100,5,"[2.5149, 0.0555]","[0.0537, 0.0027]","[0.0489, 0.0022]","[0.0453, 0.0019]","[0.0609, 0.0036]","[0.0343, 0.0012]","[0.1511, 0.0046]","[0.0428, 0.0018]","[0.0372, 0.0014]","[0.0335, 0.0012]","[0.0528, 0.0027]","[0.0224, 0.0007]","[0.0565, 0.0036]","[0.1293, 0.0058]","[0.1662, 0.0065]","[0.1959, 0.007]","[0.0812, 0.0047]","[0.3132, 0.0082]"
