model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,100,1,128,128,5e-05,,0.0001,100,10,"[4.4428, 0.0339]","[0.006, 0.0009]","[0.0057, 0.0007]","[0.0056, 0.0006]","[0.0066, 0.0012]","[0.0049, 0.0004]","[0.0258, 0.002]","[0.005, 0.0006]","[0.0051, 0.0005]","[0.0049, 0.0004]","[0.0057, 0.0009]","[0.004, 0.0003]","[0.007, 0.0014]","[0.0187, 0.0027]","[0.027, 0.0032]","[0.0338, 0.0035]","[0.0115, 0.0022]","[0.066, 0.0048]"
CNCF,100,1,128,128,5e-05,,0.0005,100,10,"[4.1964, 0.0399]","[0.0106, 0.0011]","[0.0097, 0.0009]","[0.0091, 0.0008]","[0.0119, 0.0015]","[0.0075, 0.0005]","[0.0391, 0.0024]","[0.0085, 0.0007]","[0.0077, 0.0006]","[0.0074, 0.0005]","[0.0105, 0.0011]","[0.0057, 0.0003]","[0.0115, 0.0017]","[0.0315, 0.0034]","[0.0407, 0.0038]","[0.0516, 0.0043]","[0.0204, 0.0027]","[0.0956, 0.0056]"
CNCF,100,1,128,128,5e-05,,0.001,100,10,"[3.8458, 0.0467]","[0.0202, 0.0016]","[0.0179, 0.0012]","[0.0164, 0.0011]","[0.0244, 0.0022]","[0.0121, 0.0006]","[0.0676, 0.0037]","[0.0143, 0.0009]","[0.0126, 0.0007]","[0.0114, 0.0006]","[0.0199, 0.0015]","[0.0079, 0.0003]","[0.0273, 0.003]","[0.0613, 0.0049]","[0.0764, 0.0053]","[0.0908, 0.0057]","[0.0442, 0.0042]","[0.1471, 0.007]"
CNCF,100,1,128,128,5e-05,,0.005,100,10,"[3.3261, 0.051]","[0.0242, 0.0016]","[0.0229, 0.0014]","[0.0218, 0.0012]","[0.0258, 0.0022]","[0.0177, 0.0008]","[0.0962, 0.0037]","[0.0216, 0.0012]","[0.0194, 0.0009]","[0.0178, 0.0008]","[0.0243, 0.0017]","[0.0129, 0.0005]","[0.0264, 0.0026]","[0.085, 0.0056]","[0.1141, 0.0064]","[0.1381, 0.0069]","[0.0484, 0.0043]","[0.2442, 0.0085]"
CNCF,100,1,128,128,0.0001,,0.0001,100,10,"[4.29, 0.0374]","[0.0081, 0.001]","[0.0076, 0.0008]","[0.0073, 0.0007]","[0.0091, 0.0014]","[0.0062, 0.0004]","[0.0349, 0.0023]","[0.0069, 0.0007]","[0.0066, 0.0005]","[0.0061, 0.0005]","[0.0076, 0.001]","[0.0051, 0.0003]","[0.009, 0.0016]","[0.0254, 0.0031]","[0.0364, 0.0036]","[0.0436, 0.004]","[0.0137, 0.0022]","[0.0922, 0.0056]"
CNCF,100,1,128,128,0.0001,,0.0005,100,10,"[4.0765, 0.042]","[0.0109, 0.0011]","[0.0104, 0.0009]","[0.01, 0.0008]","[0.0116, 0.0015]","[0.0085, 0.0005]","[0.0454, 0.0025]","[0.0099, 0.0008]","[0.0092, 0.0006]","[0.0084, 0.0005]","[0.011, 0.0012]","[0.0066, 0.0003]","[0.0118, 0.0017]","[0.037, 0.0037]","[0.0522, 0.0044]","[0.0633, 0.0048]","[0.0206, 0.0028]","[0.1189, 0.0063]"
CNCF,100,1,128,128,0.0001,,0.001,100,10,"[3.7704, 0.0476]","[0.0216, 0.0016]","[0.0192, 0.0013]","[0.0176, 0.0011]","[0.026, 0.0023]","[0.013, 0.0007]","[0.0741, 0.0039]","[0.0161, 0.001]","[0.0137, 0.0008]","[0.0125, 0.0006]","[0.0209, 0.0016]","[0.0085, 0.0004]","[0.0275, 0.0031]","[0.0704, 0.0053]","[0.0896, 0.0059]","[0.1042, 0.0063]","[0.0469, 0.0044]","[0.1628, 0.0074]"
CNCF,100,1,128,128,0.0001,,0.005,100,10,"[3.3515, 0.0505]","[0.0232, 0.0016]","[0.0218, 0.0014]","[0.0208, 0.0012]","[0.0252, 0.0022]","[0.0171, 0.0007]","[0.0944, 0.0036]","[0.0201, 0.0012]","[0.0185, 0.0009]","[0.0174, 0.0008]","[0.0235, 0.0017]","[0.0129, 0.0005]","[0.0223, 0.0023]","[0.0833, 0.0056]","[0.1126, 0.0064]","[0.1404, 0.007]","[0.0475, 0.0043]","[0.2451, 0.0086]"
CNCF,100,1,128,128,0.001,,0.0001,100,10,"[4.2221, 0.0388]","[0.0082, 0.001]","[0.0079, 0.0008]","[0.0076, 0.0007]","[0.0089, 0.0013]","[0.0066, 0.0004]","[0.038, 0.0024]","[0.0075, 0.0007]","[0.0072, 0.0006]","[0.0066, 0.0005]","[0.0082, 0.001]","[0.0056, 0.0003]","[0.0081, 0.0015]","[0.0316, 0.0036]","[0.0436, 0.0041]","[0.0514, 0.0044]","[0.0192, 0.0029]","[0.101, 0.0059]"
CNCF,100,1,128,128,0.001,,0.0005,100,10,"[3.4096, 0.051]","[0.0232, 0.0015]","[0.0218, 0.0013]","[0.0207, 0.0011]","[0.0242, 0.0021]","[0.0162, 0.0007]","[0.0893, 0.0037]","[0.0209, 0.0011]","[0.0182, 0.0009]","[0.0162, 0.0007]","[0.0246, 0.0017]","[0.0113, 0.0004]","[0.0244, 0.0026]","[0.0911, 0.0059]","[0.114, 0.0064]","[0.1352, 0.0069]","[0.0565, 0.0048]","[0.2191, 0.0082]"
