model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,100,1,128,128,5E-05,,0.001,100,5,"[2.6476, 0.0533]","[0.0428, 0.0023]","[0.0411, 0.002]","[0.0396, 0.0018]","[0.0451, 0.003]","[0.0337, 0.0012]","[0.1049, 0.0032]","[0.0392, 0.0018]","[0.0365, 0.0015]","[0.0341, 0.0013]","[0.0427, 0.0024]","[0.0265, 0.0009]","[0.0384, 0.0023]","[0.068, 0.0041]","[0.094, 0.0048]","[0.1167, 0.0052]","[0.039, 0.0032]","[0.2189, 0.0067]"
CVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6735, 0.0532]","[0.0427, 0.0023]","[0.0404, 0.002]","[0.0386, 0.0017]","[0.0462, 0.0031]","[0.0326, 0.0012]","[0.103, 0.0031]","[0.0375, 0.0017]","[0.0347, 0.0014]","[0.0326, 0.0012]","[0.0423, 0.0024]","[0.0258, 0.0008]","[0.0376, 0.0022]","[0.0655, 0.0039]","[0.0901, 0.0046]","[0.1121, 0.0051]","[0.0374, 0.003]","[0.2141, 0.0066]"
CVNCF,100,1,128,128,5E-05,,0.0005,100,5,"[2.6757, 0.0532]","[0.0407, 0.0022]","[0.039, 0.0019]","[0.0375, 0.0017]","[0.0425, 0.0029]","[0.0321, 0.0012]","[0.1025, 0.0031]","[0.0375, 0.0017]","[0.0345, 0.0014]","[0.0322, 0.0012]","[0.0416, 0.0024]","[0.026, 0.0009]","[0.0376, 0.0023]","[0.0671, 0.0041]","[0.0911, 0.0047]","[0.1132, 0.0052]","[0.0384, 0.0032]","[0.2169, 0.0066]"
CVNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.7066, 0.0533]","[0.0423, 0.0023]","[0.04, 0.0019]","[0.0383, 0.0017]","[0.0456, 0.003]","[0.0324, 0.0012]","[0.1019, 0.0031]","[0.0375, 0.0017]","[0.0344, 0.0014]","[0.0325, 0.0013]","[0.0418, 0.0023]","[0.0256, 0.0009]","[0.0372, 0.0022]","[0.0669, 0.004]","[0.0897, 0.0046]","[0.1112, 0.0051]","[0.0393, 0.0032]","[0.2107, 0.0066]"
CVNCF,200,1,128,128,5E-05,,0.0005,100,5,"[2.6764, 0.0529]","[0.0407, 0.0023]","[0.0387, 0.0019]","[0.0371, 0.0017]","[0.0439, 0.003]","[0.0317, 0.0012]","[0.1013, 0.0031]","[0.0361, 0.0017]","[0.0337, 0.0014]","[0.0315, 0.0012]","[0.0395, 0.0023]","[0.0256, 0.0008]","[0.0358, 0.0022]","[0.0651, 0.004]","[0.0906, 0.0046]","[0.1097, 0.005]","[0.0357, 0.003]","[0.2131, 0.0066]"
CVNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.7023, 0.0529]","[0.0398, 0.0022]","[0.0382, 0.0019]","[0.037, 0.0017]","[0.0417, 0.0028]","[0.0319, 0.0012]","[0.1009, 0.0031]","[0.0366, 0.0017]","[0.0344, 0.0014]","[0.0327, 0.0013]","[0.0395, 0.0023]","[0.0257, 0.0009]","[0.0361, 0.0022]","[0.0644, 0.004]","[0.0919, 0.0048]","[0.1131, 0.0052]","[0.0367, 0.0032]","[0.2141, 0.0066]"
CVNCF,100,1,128,128,5E-05,,0.0001,100,5,"[2.7049, 0.0534]","[0.0415, 0.0022]","[0.0393, 0.0019]","[0.0377, 0.0017]","[0.0443, 0.003]","[0.032, 0.0012]","[0.1002, 0.0031]","[0.0372, 0.0017]","[0.0341, 0.0014]","[0.0322, 0.0012]","[0.0417, 0.0023]","[0.0252, 0.0008]","[0.0372, 0.0023]","[0.0652, 0.0039]","[0.0893, 0.0046]","[0.1109, 0.005]","[0.0382, 0.0031]","[0.2064, 0.0064]"
CVNCF,200,1,128,128,0.0001,,0.001,100,5,"[2.7454, 0.0535]","[0.04, 0.0022]","[0.0381, 0.0019]","[0.0366, 0.0017]","[0.0424, 0.0029]","[0.0311, 0.0012]","[0.0971, 0.003]","[0.0364, 0.0017]","[0.0334, 0.0014]","[0.0314, 0.0012]","[0.0402, 0.0023]","[0.0246, 0.0008]","[0.0346, 0.0021]","[0.065, 0.004]","[0.0883, 0.0046]","[0.1093, 0.0051]","[0.0367, 0.0031]","[0.2019, 0.0064]"
CVNCF,200,1,128,128,5E-05,,0.001,100,5,"[2.7969, 0.0528]","[0.0393, 0.0022]","[0.0371, 0.0019]","[0.0356, 0.0017]","[0.0428, 0.003]","[0.0303, 0.0012]","[0.0963, 0.0031]","[0.0341, 0.0016]","[0.032, 0.0014]","[0.0304, 0.0012]","[0.039, 0.0023]","[0.0243, 0.0008]","[0.0352, 0.0022]","[0.0604, 0.0039]","[0.0839, 0.0045]","[0.1036, 0.005]","[0.0351, 0.0031]","[0.2022, 0.0064]"
CVNCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.7468, 0.0531]","[0.0367, 0.0021]","[0.0353, 0.0018]","[0.0343, 0.0016]","[0.0391, 0.0028]","[0.0297, 0.0011]","[0.0958, 0.003]","[0.0339, 0.0016]","[0.032, 0.0013]","[0.0305, 0.0012]","[0.0358, 0.0022]","[0.0242, 0.0008]","[0.0337, 0.0021]","[0.0616, 0.0039]","[0.086, 0.0045]","[0.1082, 0.005]","[0.033, 0.0029]","[0.2047, 0.0065]"
