model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
INCF,200,1,128,128,0.0001,,0.001,100,5,"[2.8445, 0.0533]","[0.0355, 0.0021]","[0.0342, 0.0018]","[0.0331, 0.0016]","[0.0372, 0.0028]","[0.0284, 0.0011]","[0.089, 0.0029]","[0.033, 0.0016]","[0.0307, 0.0013]","[0.0289, 0.0011]","[0.035, 0.0021]","[0.0227, 0.0008]","[0.0324, 0.0021]","[0.0593, 0.0038]","[0.0802, 0.0043]","[0.0992, 0.0048]","[0.0321, 0.0029]","[0.1859, 0.0062]"
INCF,200,1,128,128,5E-05,,0.001,100,5,"[3.0349, 0.0528]","[0.0322, 0.002]","[0.0306, 0.0016]","[0.0294, 0.0015]","[0.0346, 0.0026]","[0.0248, 0.001]","[0.0775, 0.0028]","[0.0287, 0.0014]","[0.0266, 0.0012]","[0.0252, 0.0011]","[0.0317, 0.002]","[0.0192, 0.0007]","[0.0291, 0.002]","[0.0513, 0.0036]","[0.0708, 0.0042]","[0.0883, 0.0046]","[0.0292, 0.0027]","[0.1589, 0.0058]"
INCF,100,1,128,128,0.0001,,0.001,100,5,"[3.0909, 0.0523]","[0.0311, 0.0019]","[0.0295, 0.0016]","[0.0283, 0.0014]","[0.0333, 0.0026]","[0.024, 0.001]","[0.0754, 0.0027]","[0.0279, 0.0014]","[0.0257, 0.0012]","[0.0243, 0.001]","[0.0307, 0.002]","[0.0192, 0.0007]","[0.0275, 0.0019]","[0.0494, 0.0035]","[0.0672, 0.0041]","[0.082, 0.0044]","[0.0279, 0.0027]","[0.1575, 0.0059]"
INCF,100,1,128,128,0.0001,,0.0005,100,5,"[3.1339, 0.052]","[0.0301, 0.0019]","[0.0284, 0.0016]","[0.0271, 0.0014]","[0.0324, 0.0026]","[0.0229, 0.0009]","[0.0721, 0.0026]","[0.0266, 0.0014]","[0.0242, 0.0011]","[0.0227, 0.001]","[0.0292, 0.002]","[0.018, 0.0006]","[0.026, 0.0018]","[0.0464, 0.0034]","[0.0633, 0.004]","[0.0791, 0.0044]","[0.0251, 0.0025]","[0.152, 0.0058]"
INCF,100,1,128,128,5E-05,,0.0005,100,5,"[3.1276, 0.0522]","[0.0303, 0.0019]","[0.0286, 0.0016]","[0.0273, 0.0014]","[0.0329, 0.0026]","[0.0229, 0.0009]","[0.0716, 0.0026]","[0.0267, 0.0014]","[0.0243, 0.0011]","[0.0227, 0.001]","[0.0303, 0.002]","[0.0181, 0.0006]","[0.0263, 0.0018]","[0.0458, 0.0032]","[0.0619, 0.0037]","[0.0771, 0.0042]","[0.0255, 0.0024]","[0.1491, 0.0057]"
INCF,100,1,128,128,5E-05,,0.001,100,5,"[3.2016, 0.0515]","[0.0279, 0.0018]","[0.0264, 0.0015]","[0.0254, 0.0014]","[0.0303, 0.0025]","[0.022, 0.0009]","[0.068, 0.0026]","[0.0244, 0.0013]","[0.0231, 0.0011]","[0.0219, 0.001]","[0.0269, 0.0018]","[0.0179, 0.0007]","[0.0246, 0.0017]","[0.0403, 0.0031]","[0.0566, 0.0036]","[0.0705, 0.004]","[0.0229, 0.0024]","[0.1408, 0.0055]"
INCF,200,1,128,128,0.0001,,0.0005,100,5,"[3.2607, 0.0514]","[0.0266, 0.0018]","[0.0253, 0.0015]","[0.0242, 0.0013]","[0.0284, 0.0024]","[0.0205, 0.0009]","[0.0651, 0.0026]","[0.024, 0.0013]","[0.0219, 0.0011]","[0.0204, 0.0009]","[0.0267, 0.0019]","[0.0164, 0.0006]","[0.025, 0.0019]","[0.0417, 0.0032]","[0.0555, 0.0036]","[0.0687, 0.004]","[0.0241, 0.0024]","[0.1353, 0.0055]"
INCF,100,1,128,128,0.0001,,0.0001,100,5,"[3.2951, 0.0512]","[0.0269, 0.0018]","[0.0253, 0.0015]","[0.0241, 0.0013]","[0.0293, 0.0024]","[0.0203, 0.0009]","[0.064, 0.0026]","[0.0231, 0.0013]","[0.0213, 0.001]","[0.02, 0.0009]","[0.0268, 0.0018]","[0.016, 0.0006]","[0.0246, 0.0018]","[0.0398, 0.0031]","[0.0544, 0.0036]","[0.0689, 0.0041]","[0.0234, 0.0024]","[0.1316, 0.0054]"
INCF,100,1,128,128,5E-05,,0.0001,100,5,"[3.3658, 0.0507]","[0.0262, 0.0018]","[0.0244, 0.0015]","[0.0232, 0.0013]","[0.0287, 0.0024]","[0.0194, 0.0009]","[0.0606, 0.0025]","[0.0221, 0.0012]","[0.0202, 0.001]","[0.0191, 0.0009]","[0.0262, 0.0018]","[0.0154, 0.0006]","[0.024, 0.0018]","[0.0378, 0.003]","[0.0505, 0.0034]","[0.0635, 0.0039]","[0.0224, 0.0023]","[0.1246, 0.0053]"
INCF,200,1,128,128,5E-05,,0.0005,100,5,"[3.4058, 0.0504]","[0.0238, 0.0017]","[0.0225, 0.0014]","[0.0215, 0.0012]","[0.0261, 0.0023]","[0.0183, 0.0008]","[0.0571, 0.0024]","[0.0207, 0.0012]","[0.0193, 0.001]","[0.0181, 0.0008]","[0.0238, 0.0017]","[0.0146, 0.0006]","[0.0214, 0.0016]","[0.0358, 0.0029]","[0.048, 0.0033]","[0.0599, 0.0037]","[0.0209, 0.0023]","[0.1173, 0.0051]"
INCF,200,1,128,128,0.0001,,0.0001,100,5,"[3.4712, 0.0497]","[0.0212, 0.0016]","[0.0203, 0.0013]","[0.0195, 0.0011]","[0.0223, 0.0021]","[0.0166, 0.0008]","[0.0523, 0.0023]","[0.0197, 0.0012]","[0.0178, 0.0009]","[0.0167, 0.0008]","[0.0206, 0.0016]","[0.0132, 0.0005]","[0.0199, 0.0016]","[0.0345, 0.0029]","[0.0449, 0.0032]","[0.0556, 0.0036]","[0.0178, 0.0021]","[0.1084, 0.0049]"
INCF,200,1,128,128,5E-05,,0.0001,100,5,"[3.5792, 0.049]","[0.0209, 0.0016]","[0.0197, 0.0013]","[0.0188, 0.0012]","[0.023, 0.0022]","[0.0156, 0.0008]","[0.0492, 0.0023]","[0.0179, 0.0011]","[0.0168, 0.0009]","[0.0157, 0.0008]","[0.0205, 0.0016]","[0.0123, 0.0005]","[0.0189, 0.0016]","[0.0313, 0.0027]","[0.043, 0.0032]","[0.0535, 0.0036]","[0.0178, 0.0021]","[0.0985, 0.0046]"
