model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,100,1,128,128,0.0001,,0.005,100,10,"[3.2204, 0.0517]","[0.0301, 0.0019]","[0.0271, 0.0015]","[0.0251, 0.0013]","[0.0355, 0.0027]","[0.0194, 0.0008]","[0.1093, 0.0042]","[0.0233, 0.0012]","[0.0198, 0.0009]","[0.0187, 0.0008]","[0.0297, 0.0019]","[0.0134, 0.0005]","[0.0358, 0.0033]","[0.0987, 0.0061]","[0.1222, 0.0066]","[0.1526, 0.0072]","[0.0634, 0.005]","[0.2597, 0.0087]"
IVNCF,200,1,128,128,0.0001,,0.005,100,10,"[3.26, 0.0514]","[0.0284, 0.0019]","[0.026, 0.0015]","[0.0244, 0.0013]","[0.0334, 0.0026]","[0.0188, 0.0008]","[0.1064, 0.0042]","[0.0223, 0.0012]","[0.0202, 0.0009]","[0.0188, 0.0008]","[0.0267, 0.0018]","[0.0131, 0.0004]","[0.0338, 0.0033]","[0.0911, 0.0058]","[0.1253, 0.0067]","[0.1523, 0.0072]","[0.0577, 0.0048]","[0.254, 0.0086]"
IVNCF,100,1,128,128,0.001,,0.005,100,10,"[3.2178, 0.0514]","[0.0276, 0.0018]","[0.0254, 0.0015]","[0.0239, 0.0013]","[0.0316, 0.0026]","[0.0189, 0.0008]","[0.1071, 0.0041]","[0.0222, 0.0012]","[0.0201, 0.0009]","[0.019, 0.0008]","[0.0274, 0.0018]","[0.0135, 0.0005]","[0.0329, 0.0032]","[0.0915, 0.0059]","[0.1253, 0.0067]","[0.154, 0.0072]","[0.0588, 0.0048]","[0.2624, 0.0087]"
IVNCF,100,1,128,128,0.01,,0.005,100,10,"[3.2296, 0.0513]","[0.0291, 0.0019]","[0.0264, 0.0015]","[0.0245, 0.0013]","[0.0328, 0.0027]","[0.0192, 0.0008]","[0.108, 0.0042]","[0.0228, 0.0012]","[0.02, 0.0009]","[0.0186, 0.0008]","[0.0272, 0.0018]","[0.0134, 0.0004]","[0.0347, 0.0034]","[0.0945, 0.0059]","[0.1199, 0.0065]","[0.1499, 0.0072]","[0.0563, 0.0047]","[0.2613, 0.0087]"
IVNCF,200,1,128,128,0.001,,0.005,100,10,"[3.2218, 0.0517]","[0.0282, 0.0018]","[0.0261, 0.0015]","[0.0244, 0.0013]","[0.0308, 0.0024]","[0.019, 0.0008]","[0.1051, 0.0039]","[0.0239, 0.0012]","[0.0207, 0.001]","[0.0186, 0.0008]","[0.0283, 0.0018]","[0.0136, 0.0005]","[0.0288, 0.0028]","[0.101, 0.0061]","[0.1265, 0.0068]","[0.1506, 0.0072]","[0.0606, 0.0048]","[0.2623, 0.0087]"
IVNCF,200,1,128,128,0.01,,0.005,100,10,"[3.21, 0.0515]","[0.0281, 0.0018]","[0.0261, 0.0015]","[0.0244, 0.0013]","[0.0316, 0.0025]","[0.0192, 0.0008]","[0.1072, 0.004]","[0.0231, 0.0012]","[0.0209, 0.0009]","[0.0188, 0.0008]","[0.027, 0.0018]","[0.0136, 0.0005]","[0.0293, 0.0028]","[0.0972, 0.006]","[0.1292, 0.0068]","[0.1532, 0.0073]","[0.0588, 0.0048]","[0.2663, 0.0088]"
IVNCF,100,1,128,128,0.0001,,0.001,100,10,"[3.188, 0.0507]","[0.0222, 0.0015]","[0.0216, 0.0013]","[0.021, 0.0011]","[0.0229, 0.0021]","[0.0182, 0.0007]","[0.1029, 0.0036]","[0.0211, 0.0012]","[0.02, 0.0009]","[0.0187, 0.0008]","[0.0231, 0.0017]","[0.0143, 0.0005]","[0.0229, 0.0025]","[0.0846, 0.0055]","[0.1182, 0.0064]","[0.1468, 0.0071]","[0.0481, 0.0043]","[0.2782, 0.0089]"
IVNCF,100,1,128,128,0.001,,0.001,100,10,"[3.2317, 0.0509]","[0.0265, 0.0017]","[0.0246, 0.0014]","[0.0232, 0.0012]","[0.0295, 0.0024]","[0.0186, 0.0008]","[0.1063, 0.004]","[0.0226, 0.0012]","[0.02, 0.0009]","[0.0183, 0.0008]","[0.026, 0.0018]","[0.0137, 0.0005]","[0.0319, 0.0031]","[0.0948, 0.006]","[0.1237, 0.0067]","[0.1469, 0.0071]","[0.0563, 0.0047]","[0.2671, 0.0087]"
IVNCF,100,1,128,128,0.01,,0.001,100,10,"[3.2187, 0.0513]","[0.0258, 0.0017]","[0.0242, 0.0014]","[0.023, 0.0012]","[0.0278, 0.0022]","[0.0187, 0.0008]","[0.1024, 0.0037]","[0.0221, 0.0012]","[0.0204, 0.0009]","[0.0187, 0.0008]","[0.0255, 0.0018]","[0.0136, 0.0005]","[0.0246, 0.0024]","[0.0916, 0.0059]","[0.128, 0.0068]","[0.1527, 0.0073]","[0.0519, 0.0045]","[0.2633, 0.0088]"
IVNCF,200,1,128,128,0.0001,,0.001,100,10,"[3.2499, 0.0502]","[0.0247, 0.0017]","[0.0231, 0.0014]","[0.0218, 0.0012]","[0.0275, 0.0023]","[0.0181, 0.0008]","[0.1037, 0.0038]","[0.0207, 0.0012]","[0.019, 0.0009]","[0.0174, 0.0008]","[0.0248, 0.0017]","[0.0138, 0.0005]","[0.0267, 0.0027]","[0.0854, 0.0057]","[0.118, 0.0066]","[0.1422, 0.0071]","[0.0511, 0.0044]","[0.2737, 0.0089]"
