model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,200,1,128,128,0.0001,,0.001,100,5,"[2.9099, 0.0529]","[0.034, 0.002]","[0.0325, 0.0017]","[0.0313, 0.0015]","[0.0361, 0.0027]","[0.0269, 0.001]","[0.0866, 0.003]","[0.031, 0.0015]","[0.0286, 0.0013]","[0.0272, 0.0011]","[0.0333, 0.0021]","[0.0216, 0.0008]","[0.0323, 0.0022]","[0.0562, 0.0037]","[0.078, 0.0044]","[0.0962, 0.0048]","[0.0318, 0.0029]","[0.1802, 0.0062]"
NCF,100,1,128,128,0.0001,,0.001,100,5,"[3.082, 0.0524]","[0.0304, 0.0019]","[0.029, 0.0016]","[0.0278, 0.0014]","[0.0324, 0.0025]","[0.0237, 0.001]","[0.0746, 0.0028]","[0.0276, 0.0014]","[0.0254, 0.0011]","[0.0237, 0.001]","[0.0302, 0.002]","[0.0189, 0.0007]","[0.0293, 0.002]","[0.0474, 0.0034]","[0.0646, 0.0039]","[0.0815, 0.0044]","[0.0261, 0.0025]","[0.1536, 0.0058]"
NCF,100,1,128,128,5E-05,,0.001,100,5,"[3.1028, 0.0521]","[0.0303, 0.0019]","[0.0286, 0.0016]","[0.0274, 0.0014]","[0.0331, 0.0026]","[0.0233, 0.0009]","[0.0737, 0.0027]","[0.0262, 0.0014]","[0.0246, 0.0011]","[0.0232, 0.001]","[0.0302, 0.002]","[0.0185, 0.0007]","[0.0276, 0.0019]","[0.0451, 0.0033]","[0.0632, 0.0039]","[0.0789, 0.0043]","[0.0264, 0.0026]","[0.1524, 0.0057]"
NCF,200,1,128,128,5E-05,,0.001,100,5,"[3.0857, 0.0523]","[0.03, 0.0019]","[0.0286, 0.0016]","[0.0276, 0.0014]","[0.0315, 0.0025]","[0.0236, 0.001]","[0.0737, 0.0026]","[0.0271, 0.0014]","[0.0255, 0.0012]","[0.024, 0.001]","[0.0297, 0.002]","[0.019, 0.0007]","[0.026, 0.0017]","[0.0476, 0.0034]","[0.0666, 0.004]","[0.0824, 0.0044]","[0.0252, 0.0024]","[0.154, 0.0057]"
NCF,100,1,128,128,5E-05,,0.0005,100,5,"[3.1703, 0.0519]","[0.0293, 0.0019]","[0.0277, 0.0016]","[0.0265, 0.0014]","[0.0318, 0.0025]","[0.0223, 0.0009]","[0.0707, 0.0027]","[0.0258, 0.0013]","[0.0238, 0.0011]","[0.0222, 0.001]","[0.0291, 0.0019]","[0.0175, 0.0006]","[0.0259, 0.0018]","[0.0453, 0.0033]","[0.0616, 0.0039]","[0.0759, 0.0043]","[0.0267, 0.0026]","[0.1481, 0.0058]"
NCF,100,1,128,128,0.0001,,0.0005,100,5,"[3.1661, 0.0521]","[0.0306, 0.0019]","[0.0287, 0.0016]","[0.0272, 0.0014]","[0.0333, 0.0026]","[0.0225, 0.0009]","[0.0702, 0.0026]","[0.0264, 0.0014]","[0.024, 0.0011]","[0.0222, 0.001]","[0.0302, 0.002]","[0.0176, 0.0006]","[0.0258, 0.0019]","[0.0466, 0.0034]","[0.063, 0.0039]","[0.0765, 0.0042]","[0.0265, 0.0026]","[0.1432, 0.0056]"
NCF,200,1,128,128,0.0001,,0.0005,100,5,"[3.2195, 0.0516]","[0.0272, 0.0018]","[0.0258, 0.0015]","[0.0247, 0.0013]","[0.0293, 0.0024]","[0.021, 0.0009]","[0.0671, 0.0026]","[0.024, 0.0013]","[0.0221, 0.0011]","[0.0211, 0.0009]","[0.0277, 0.0019]","[0.0167, 0.0006]","[0.0254, 0.0019]","[0.0433, 0.0033]","[0.0596, 0.0039]","[0.0743, 0.0042]","[0.0262, 0.0027]","[0.1386, 0.0055]"
NCF,100,1,128,128,0.0001,,0.0001,100,5,"[3.2618, 0.0514]","[0.027, 0.0018]","[0.0256, 0.0015]","[0.0245, 0.0013]","[0.0293, 0.0024]","[0.0206, 0.0009]","[0.0653, 0.0025]","[0.0238, 0.0013]","[0.0219, 0.001]","[0.0205, 0.0009]","[0.0265, 0.0018]","[0.0164, 0.0006]","[0.0245, 0.0017]","[0.0408, 0.0032]","[0.0554, 0.0036]","[0.0693, 0.004]","[0.0244, 0.0025]","[0.1377, 0.0056]"
NCF,100,1,128,128,5E-05,,0.0001,100,5,"[3.2806, 0.0512]","[0.0269, 0.0018]","[0.0253, 0.0015]","[0.0241, 0.0013]","[0.0293, 0.0024]","[0.0204, 0.0009]","[0.0642, 0.0025]","[0.0234, 0.0013]","[0.0214, 0.001]","[0.0199, 0.0009]","[0.0269, 0.0019]","[0.0163, 0.0006]","[0.0236, 0.0017]","[0.0403, 0.0031]","[0.0571, 0.0037]","[0.0695, 0.0041]","[0.0226, 0.0023]","[0.1324, 0.0054]"
NCF,200,1,128,128,5E-05,,0.0005,100,5,"[3.3099, 0.0513]","[0.0278, 0.0018]","[0.0259, 0.0015]","[0.0246, 0.0013]","[0.0308, 0.0025]","[0.0202, 0.0009]","[0.0627, 0.0026]","[0.0234, 0.0013]","[0.0215, 0.0011]","[0.02, 0.0009]","[0.0273, 0.0019]","[0.0155, 0.0006]","[0.0246, 0.0018]","[0.0399, 0.0031]","[0.0541, 0.0035]","[0.0663, 0.0039]","[0.0244, 0.0024]","[0.1253, 0.0053]"
