model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5E-05,,0.001,100,5,"[2.6497, 0.0533]","[0.0435, 0.0023]","[0.0412, 0.002]","[0.0394, 0.0018]","[0.047, 0.0031]","[0.0332, 0.0012]","[0.1045, 0.0032]","[0.0387, 0.0017]","[0.0354, 0.0014]","[0.0333, 0.0013]","[0.0434, 0.0024]","[0.0261, 0.0009]","[0.0381, 0.0023]","[0.0697, 0.0042]","[0.0931, 0.0048]","[0.1147, 0.0052]","[0.0398, 0.0032]","[0.2158, 0.0066]"
VNCF,100,1,128,128,5E-05,,0.0005,100,5,"[2.6602, 0.0524]","[0.0398, 0.0022]","[0.0383, 0.0019]","[0.037, 0.0017]","[0.0421, 0.0029]","[0.0324, 0.0012]","[0.1036, 0.0031]","[0.0361, 0.0017]","[0.0342, 0.0014]","[0.0325, 0.0013]","[0.0401, 0.0024]","[0.0266, 0.0009]","[0.0358, 0.0021]","[0.0643, 0.004]","[0.0918, 0.0047]","[0.1138, 0.0052]","[0.0361, 0.0031]","[0.2232, 0.0067]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[2.689, 0.0532]","[0.0407, 0.0022]","[0.0389, 0.0019]","[0.0374, 0.0017]","[0.0434, 0.003]","[0.032, 0.0012]","[0.1011, 0.0031]","[0.0368, 0.0017]","[0.0341, 0.0014]","[0.0322, 0.0012]","[0.0402, 0.0023]","[0.0259, 0.0009]","[0.0362, 0.0022]","[0.0656, 0.0041]","[0.0908, 0.0047]","[0.1131, 0.0052]","[0.0358, 0.003]","[0.2126, 0.0066]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[2.6944, 0.0531]","[0.0399, 0.0022]","[0.0382, 0.0019]","[0.037, 0.0017]","[0.0424, 0.0029]","[0.0316, 0.0012]","[0.0998, 0.0031]","[0.0364, 0.0017]","[0.034, 0.0014]","[0.0323, 0.0012]","[0.0392, 0.0023]","[0.0252, 0.0008]","[0.0375, 0.0023]","[0.0632, 0.0039]","[0.0897, 0.0046]","[0.113, 0.0052]","[0.0345, 0.0029]","[0.2096, 0.0065]"
VNCF,100,1,128,128,5E-05,,0.0001,100,5,"[2.707, 0.0531]","[0.0392, 0.0022]","[0.0373, 0.0018]","[0.036, 0.0016]","[0.0414, 0.0028]","[0.031, 0.0011]","[0.0993, 0.0031]","[0.0352, 0.0016]","[0.0327, 0.0013]","[0.0312, 0.0012]","[0.0407, 0.0023]","[0.0252, 0.0008]","[0.0354, 0.0022]","[0.0639, 0.004]","[0.0862, 0.0045]","[0.109, 0.005]","[0.0372, 0.0031]","[0.2094, 0.0065]"
VNCF,100,1,128,128,0.0001,,0.001,100,5,"[2.7419, 0.0528]","[0.0392, 0.0022]","[0.0372, 0.0018]","[0.0358, 0.0016]","[0.042, 0.0029]","[0.0308, 0.0012]","[0.0972, 0.003]","[0.0347, 0.0016]","[0.0324, 0.0014]","[0.0308, 0.0012]","[0.0392, 0.0023]","[0.0247, 0.0008]","[0.0356, 0.0022]","[0.0592, 0.0038]","[0.0825, 0.0044]","[0.1056, 0.0049]","[0.0348, 0.0029]","[0.2055, 0.0065]"
VNCF,200,1,128,128,5E-05,,0.0005,100,5,"[2.759, 0.0527]","[0.0379, 0.0022]","[0.0363, 0.0018]","[0.0352, 0.0016]","[0.0401, 0.0028]","[0.0306, 0.0012]","[0.0968, 0.0029]","[0.0345, 0.0017]","[0.0324, 0.0014]","[0.0312, 0.0012]","[0.0376, 0.0023]","[0.0251, 0.0008]","[0.0339, 0.002]","[0.0604, 0.0039]","[0.084, 0.0045]","[0.1063, 0.005]","[0.0333, 0.0029]","[0.2078, 0.0066]"
VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[2.7716, 0.0528]","[0.0381, 0.0022]","[0.0362, 0.0018]","[0.0348, 0.0016]","[0.0409, 0.0029]","[0.0296, 0.0011]","[0.0951, 0.0031]","[0.034, 0.0016]","[0.0316, 0.0013]","[0.0296, 0.0012]","[0.0377, 0.0023]","[0.0237, 0.0008]","[0.0339, 0.0022]","[0.06, 0.0038]","[0.0833, 0.0044]","[0.1032, 0.0049]","[0.0336, 0.0029]","[0.201, 0.0064]"
VNCF,200,1,128,128,5E-05,,0.001,100,5,"[2.7848, 0.053]","[0.0367, 0.0021]","[0.0354, 0.0018]","[0.0343, 0.0016]","[0.0383, 0.0028]","[0.0301, 0.0011]","[0.0951, 0.003]","[0.0341, 0.0016]","[0.0321, 0.0014]","[0.0304, 0.0012]","[0.0361, 0.0022]","[0.0247, 0.0009]","[0.0352, 0.0022]","[0.0597, 0.0038]","[0.0836, 0.0044]","[0.1048, 0.0049]","[0.032, 0.0028]","[0.2011, 0.0064]"
VNCF,200,1,128,128,0.0001,,0.0005,100,5,"[2.8239, 0.0528]","[0.0379, 0.0022]","[0.0361, 0.0018]","[0.0348, 0.0017]","[0.0403, 0.0028]","[0.0299, 0.0012]","[0.0941, 0.003]","[0.034, 0.0016]","[0.0319, 0.0014]","[0.03, 0.0012]","[0.0377, 0.0022]","[0.0243, 0.0008]","[0.0336, 0.0022]","[0.0592, 0.0038]","[0.0826, 0.0045]","[0.1017, 0.0049]","[0.0342, 0.003]","[0.198, 0.0064]"
