model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
INCF,100,1,128,128,0.01,10,0.0001,10,10,Adam,0.4354,0.4745,0.3614,0.4941
INCF,100,1,128,128,0.01,10,0.0001,20,10,Adam,0.4251,0.4642,0.3556,0.4859
INCF,100,1,128,128,0.01,10,0.0001,30,10,Adam,0.4154,0.4546,0.3498,0.478
INCF,100,1,128,128,0.01,10,0.0001,40,10,Adam,0.413,0.4538,0.3512,0.4799
INCF,100,1,128,128,0.01,10,0.0001,50,10,Adam,0.4101,0.4527,0.3512,0.4797
INCF,100,1,128,128,0.01,10,0.0001,60,10,Adam,0.4128,0.4528,0.3493,0.4777
INCF,100,1,128,128,0.01,10,0.0001,70,10,Adam,0.4142,0.4543,0.3507,0.4791
INCF,100,1,128,128,0.01,10,0.0001,80,10,Adam,0.4133,0.4534,0.3504,0.4788
INCF,100,1,128,128,0.01,10,0.0001,90,10,Adam,0.4137,0.4546,0.3519,0.4808
INCF,100,1,128,128,0.01,10,0.0001,100,10,Adam,0.4169,0.4566,0.3512,0.4805
INCF,100,1,128,128,0.01,10,0.0001,110,10,Adam,0.4148,0.4553,0.3523,0.4808
INCF,100,1,128,128,0.01,10,0.0001,120,10,Adam,0.4158,0.4564,0.3524,0.4813
INCF,100,1,128,128,0.01,10,0.0001,130,10,Adam,0.4138,0.4545,0.3513,0.4799
INCF,100,1,128,128,0.01,10,0.0001,140,10,Adam,0.4166,0.456,0.3512,0.4802
INCF,100,1,128,128,0.01,10,0.0001,150,10,Adam,0.4166,0.4576,0.3538,0.4837
INCF,100,1,128,128,0.01,10,0.0001,160,10,Adam,0.4142,0.4567,0.3537,0.4837
INCF,100,1,128,128,0.01,10,0.0001,170,10,Adam,0.4155,0.4563,0.3526,0.4826
INCF,100,1,128,128,0.01,10,0.0001,180,10,Adam,0.4157,0.4552,0.3502,0.4794
INCF,100,1,128,128,0.01,10,0.0001,190,10,Adam,0.4153,0.4554,0.3513,0.4806
INCF,100,1,128,128,0.01,10,0.0001,200,10,Adam,0.4168,0.4576,0.3532,0.4833
INCF,100,1,128,128,0.01,10,0.0001,210,10,Adam,0.4155,0.4571,0.3537,0.4842
INCF,100,1,128,128,0.01,10,0.0001,220,10,Adam,0.4156,0.4565,0.3523,0.4825
INCF,100,1,128,128,0.01,10,0.0001,230,10,Adam,0.4167,0.4586,0.3546,0.4849
INCF,100,1,128,128,0.01,10,0.0001,240,10,Adam,0.4176,0.4583,0.3537,0.4836
INCF,100,1,128,128,0.01,10,0.0001,250,10,Adam,0.4145,0.4557,0.3521,0.4814
INCF,100,1,128,128,0.01,10,0.0001,260,10,Adam,0.419,0.458,0.3516,0.4818
INCF,100,1,128,128,0.01,10,0.0001,270,10,Adam,0.4163,0.4578,0.3543,0.4838
INCF,100,1,128,128,0.01,10,0.0001,280,10,Adam,0.4158,0.455,0.3503,0.4796
INCF,100,1,128,128,0.01,10,0.0001,290,10,Adam,0.4157,0.456,0.3517,0.481
INCF,100,1,128,128,0.01,10,0.0001,300,10,Adam,0.4149,0.4565,0.3535,0.4832
INCF,100,1,128,128,0.01,10,0.0001,310,10,Adam,0.4171,0.4566,0.3516,0.4811
INCF,100,1,128,128,0.01,10,0.0001,320,10,Adam,0.4164,0.4573,0.3533,0.4829
INCF,100,1,128,128,0.01,10,0.0001,330,10,Adam,0.4162,0.4567,0.3523,0.4824
INCF,100,1,128,128,0.01,10,0.0001,340,10,Adam,0.4142,0.4562,0.3531,0.4833
INCF,100,1,128,128,0.01,10,0.0001,350,10,Adam,0.4152,0.456,0.3519,0.4815
INCF,100,1,128,128,0.01,10,0.0001,360,10,Adam,0.4153,0.4562,0.3523,0.4823
INCF,100,1,128,128,0.01,10,0.0001,370,10,Adam,0.4145,0.4548,0.3509,0.4801
INCF,100,1,128,128,0.01,10,0.0001,380,10,Adam,0.4155,0.4559,0.3517,0.4814
INCF,100,1,128,128,0.01,10,0.0001,390,10,Adam,0.4163,0.4576,0.3532,0.4832
INCF,100,1,128,128,0.01,10,0.0001,400,10,Adam,0.4144,0.456,0.3526,0.4819
INCF,100,1,128,128,0.01,10,0.0001,410,10,Adam,0.4152,0.4555,0.3514,0.4806
INCF,100,1,128,128,0.01,10,0.0001,420,10,Adam,0.4146,0.4553,0.3512,0.4804
INCF,100,1,128,128,0.01,10,0.0001,430,10,Adam,0.4152,0.4563,0.3525,0.4824
INCF,100,1,128,128,0.01,10,0.0001,440,10,Adam,0.4144,0.4555,0.352,0.4814
INCF,100,1,128,128,0.01,10,0.0001,450,10,Adam,0.4168,0.4571,0.3519,0.4819
INCF,100,1,128,128,0.01,10,0.0001,460,10,Adam,0.4139,0.4549,0.351,0.4801
INCF,100,1,128,128,0.01,10,0.0001,470,10,Adam,0.4155,0.4561,0.3519,0.4816
INCF,100,1,128,128,0.01,10,0.0001,480,10,Adam,0.4146,0.455,0.3504,0.4802
INCF,100,1,128,128,0.01,10,0.0001,490,10,Adam,0.4154,0.456,0.3518,0.4808
INCF,100,1,128,128,0.01,10,0.0001,500,10,Adam,0.4169,0.4565,0.3515,0.4803
INCF,100,1,128,128,0.01,10,0.0001,510,10,Adam,0.4152,0.4548,0.3504,0.4792
INCF,100,1,128,128,0.01,10,0.0001,520,10,Adam,0.4144,0.4555,0.3516,0.4813
INCF,100,1,128,128,0.01,10,0.0001,530,10,Adam,0.4158,0.4559,0.3509,0.4807
INCF,100,1,128,128,0.01,10,0.0001,540,10,Adam,0.4137,0.4553,0.3522,0.4812
INCF,100,1,128,128,0.01,10,0.0001,550,10,Adam,0.4158,0.4572,0.3536,0.4832
INCF,100,1,128,128,0.01,10,0.0001,560,10,Adam,0.4148,0.456,0.3524,0.4822
INCF,100,1,128,128,0.01,10,0.0001,570,10,Adam,0.4171,0.4559,0.3497,0.4792
INCF,100,1,128,128,0.01,10,0.0001,580,10,Adam,0.4149,0.4559,0.3518,0.4818
INCF,100,1,128,128,0.01,10,0.0001,590,10,Adam,0.4157,0.4557,0.3507,0.481
INCF,100,1,128,128,0.01,10,0.0001,600,10,Adam,0.4148,0.4561,0.3521,0.4817
INCF,100,1,128,128,0.01,10,0.0001,610,10,Adam,0.4157,0.4568,0.3522,0.4824
