model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
IVNCF,100,1,128,128,5e-05,10,0.0005,10,5,Adam,0.4542,0.4904,0.3771,0.5055
IVNCF,100,1,128,128,5e-05,10,0.0005,20,5,Adam,0.453,0.4887,0.3764,0.5044
IVNCF,100,1,128,128,5e-05,10,0.0005,30,5,Adam,0.4544,0.4901,0.3783,0.5064
IVNCF,100,1,128,128,5e-05,10,0.0005,40,5,Adam,0.4554,0.4913,0.3781,0.5072
IVNCF,100,1,128,128,5e-05,10,0.0005,50,5,Adam,0.454,0.4896,0.3773,0.505
IVNCF,100,1,128,128,5e-05,10,0.0005,60,5,Adam,0.4541,0.4903,0.3773,0.5063
IVNCF,100,1,128,128,5e-05,10,0.0005,70,5,Adam,0.4558,0.4911,0.3784,0.5063
IVNCF,100,1,128,128,5e-05,10,0.0005,80,5,Adam,0.4533,0.4884,0.3768,0.5039
IVNCF,100,1,128,128,5e-05,10,0.0005,90,5,Adam,0.4509,0.4853,0.3738,0.4999
IVNCF,100,1,128,128,5e-05,10,0.0005,100,5,Adam,0.4528,0.4875,0.3762,0.5031
IVNCF,100,1,128,128,5e-05,10,0.0005,110,5,Adam,0.455,0.4898,0.3771,0.5048
IVNCF,100,1,128,128,5e-05,10,0.0005,120,5,Adam,0.4531,0.4881,0.3768,0.504
IVNCF,100,1,128,128,5e-05,10,0.0005,130,5,Adam,0.4505,0.4847,0.3729,0.499
IVNCF,100,1,128,128,5e-05,10,0.0005,140,5,Adam,0.4547,0.4896,0.3777,0.5052
IVNCF,100,1,128,128,5e-05,10,0.0005,150,5,Adam,0.4513,0.4856,0.3747,0.5004
IVNCF,100,1,128,128,5e-05,10,0.0005,160,5,Adam,0.4516,0.486,0.375,0.5011
IVNCF,100,1,128,128,5e-05,10,0.0005,170,5,Adam,0.4533,0.4872,0.3758,0.5015
IVNCF,100,1,128,128,5e-05,10,0.0005,180,5,Adam,0.4519,0.4863,0.3754,0.5015
IVNCF,100,1,128,128,5e-05,10,0.0005,190,5,Adam,0.4515,0.4854,0.3744,0.5001
IVNCF,100,1,128,128,5e-05,10,0.0005,200,5,Adam,0.4537,0.4885,0.3765,0.5036
IVNCF,100,1,128,128,5e-05,10,0.0005,210,5,Adam,0.4515,0.4856,0.3749,0.501
IVNCF,100,1,128,128,5e-05,10,0.0005,220,5,Adam,0.4507,0.4847,0.3741,0.4997
IVNCF,100,1,128,128,5e-05,10,0.0005,230,5,Adam,0.4523,0.487,0.3759,0.5025
IVNCF,100,1,128,128,5e-05,10,0.0005,240,5,Adam,0.4507,0.4849,0.3742,0.4995
IVNCF,100,1,128,128,5e-05,10,0.0005,250,5,Adam,0.4541,0.4886,0.3769,0.5037
IVNCF,100,1,128,128,5e-05,10,0.0005,260,5,Adam,0.4518,0.4863,0.3752,0.5011
IVNCF,100,1,128,128,5e-05,10,0.0005,270,5,Adam,0.4526,0.4858,0.3748,0.5
IVNCF,100,1,128,128,5e-05,10,0.0005,280,5,Adam,0.4512,0.4846,0.3739,0.4992
IVNCF,100,1,128,128,5e-05,10,0.0005,290,5,Adam,0.4557,0.4902,0.3783,0.5053
IVNCF,100,1,128,128,5e-05,10,0.0005,300,5,Adam,0.4532,0.487,0.3753,0.5013
CNCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,0.3131,0.3341,0.2505,0.3356
CNCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,0.3314,0.3532,0.2651,0.355
CNCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,0.3294,0.3509,0.2643,0.3533
CNCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,0.3288,0.3505,0.2644,0.3528
CNCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,0.3374,0.3594,0.271,0.3615
CNCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,0.3384,0.3607,0.2715,0.3624
CNCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,0.3363,0.358,0.2704,0.3597
CNCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,0.337,0.3592,0.2712,0.3614
CNCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,0.3371,0.3592,0.2718,0.3615
CNCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,0.3401,0.3613,0.2722,0.3617
CNCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,0.3346,0.3564,0.2695,0.3581
CNCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,0.342,0.3635,0.2738,0.3641
CNCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,0.3482,0.3702,0.279,0.3712
CNCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,0.3393,0.3609,0.2726,0.3623
CNCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,0.3485,0.3703,0.2791,0.3705
CNCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,0.3425,0.3636,0.2737,0.3638
CNCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,0.3452,0.367,0.277,0.3677
CNCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,0.3439,0.3646,0.2748,0.3643
CNCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,0.3477,0.3695,0.279,0.3702
CNCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,0.3469,0.3684,0.2789,0.3693
CNCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,0.3468,0.3679,0.2777,0.3679
CNCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,0.344,0.3647,0.2749,0.3641
CNCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,0.3478,0.3688,0.2785,0.3689
CNCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,0.3468,0.3678,0.278,0.3681
CNCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,0.3479,0.3695,0.2796,0.3707
CNCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,0.3463,0.367,0.2775,0.3672
CNCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,0.3508,0.3716,0.281,0.3717
CNCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,0.3455,0.3662,0.277,0.3664
CNCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,0.3439,0.3645,0.2755,0.3649
CNCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,0.3455,0.3659,0.2773,0.3663
INCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,0.4681,0.5,0.3807,0.5085
INCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,0.4615,0.4925,0.3759,0.5008
INCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,0.4693,0.5012,0.3828,0.5103
INCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,0.4743,0.5055,0.3867,0.5146
INCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,0.4748,0.5054,0.3859,0.513
INCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,0.4788,0.5099,0.3894,0.5179
INCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,0.4734,0.5044,0.3853,0.5125
INCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,0.4739,0.5043,0.3851,0.5116
INCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,0.4808,0.513,0.3924,0.5221
INCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,0.4708,0.4993,0.3814,0.505
INCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,0.4788,0.5094,0.3891,0.5165
INCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,0.4727,0.5023,0.3842,0.5096
INCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,0.48,0.5098,0.3902,0.5165
INCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,0.4818,0.5124,0.3921,0.5194
INCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,0.4726,0.501,0.3834,0.5064
INCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,0.4695,0.498,0.3831,0.5052
INCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,0.4807,0.5105,0.3916,0.5178
