model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
IVNCF,200,1,128,128,5e-05,10,0.0001,10,1,Adam,0.4767,0.5138,0.395,0.5295
IVNCF,200,1,128,128,5e-05,10,0.0001,20,1,Adam,0.4824,0.5194,0.3972,0.5328
IVNCF,200,1,128,128,5e-05,10,0.0001,30,1,Adam,0.4781,0.5138,0.3916,0.5252
IVNCF,200,1,128,128,5e-05,10,0.0001,40,1,Adam,0.4782,0.5126,0.3901,0.5229
IVNCF,200,1,128,128,5e-05,10,0.0001,50,1,Adam,0.4798,0.5153,0.3921,0.5263
IVNCF,200,1,128,128,5e-05,10,0.0001,60,1,Adam,0.48,0.5158,0.3926,0.5272
IVNCF,200,1,128,128,5e-05,10,0.0001,70,1,Adam,0.4804,0.5159,0.3928,0.5267
IVNCF,200,1,128,128,5e-05,10,0.0001,80,1,Adam,0.476,0.5104,0.3881,0.5203
IVNCF,200,1,128,128,5e-05,10,0.0001,90,1,Adam,0.4811,0.5152,0.3916,0.5245
IVNCF,200,1,128,128,5e-05,10,0.0001,100,1,Adam,0.4769,0.5107,0.3883,0.5197
IVNCF,200,1,128,128,5e-05,10,0.0001,110,1,Adam,0.4771,0.5107,0.3875,0.519
IVNCF,200,1,128,128,5e-05,10,0.0001,120,1,Adam,0.4782,0.513,0.3899,0.5226
IVNCF,200,1,128,128,5e-05,10,0.0001,130,1,Adam,0.4804,0.5148,0.3908,0.5238
IVNCF,200,1,128,128,5e-05,10,0.0001,140,1,Adam,0.4815,0.5158,0.3916,0.5251
IVNCF,200,1,128,128,5e-05,10,0.0001,150,1,Adam,0.4803,0.5144,0.3903,0.5232
IVNCF,200,1,128,128,5e-05,10,0.0001,160,1,Adam,0.4801,0.5145,0.3909,0.5234
IVNCF,200,1,128,128,5e-05,10,0.0001,170,1,Adam,0.4809,0.5143,0.3903,0.5226
IVNCF,200,1,128,128,5e-05,10,0.0001,180,1,Adam,0.4847,0.519,0.3942,0.5278
IVNCF,200,1,128,128,5e-05,10,0.0001,190,1,Adam,0.481,0.5149,0.3913,0.5235
IVNCF,200,1,128,128,5e-05,10,0.0001,200,1,Adam,0.481,0.5151,0.3913,0.5238
IVNCF,200,1,128,128,5e-05,10,0.0001,210,1,Adam,0.4794,0.5126,0.3889,0.5204
IVNCF,200,1,128,128,5e-05,10,0.0001,220,1,Adam,0.4834,0.5173,0.3927,0.5255
IVNCF,200,1,128,128,5e-05,10,0.0001,230,1,Adam,0.4796,0.5124,0.3896,0.5205
IVNCF,200,1,128,128,5e-05,10,0.0001,240,1,Adam,0.4845,0.5186,0.3946,0.5278
IVNCF,200,1,128,128,5e-05,10,0.0001,250,1,Adam,0.4824,0.5166,0.3922,0.5252
IVNCF,200,1,128,128,5e-05,10,0.0001,260,1,Adam,0.4791,0.513,0.3898,0.5215
IVNCF,200,1,128,128,5e-05,10,0.0001,270,1,Adam,0.4811,0.5146,0.3907,0.5224
IVNCF,200,1,128,128,5e-05,10,0.0001,280,1,Adam,0.4835,0.5169,0.3933,0.5255
IVNCF,200,1,128,128,5e-05,10,0.0001,290,1,Adam,0.4845,0.5192,0.3951,0.5288
IVNCF,200,1,128,128,5e-05,10,0.0001,300,1,Adam,0.4817,0.5148,0.3915,0.5229
CNCF,200,1,128,128,0.0001,10,0.0005,10,1,Adam,0.2798,0.298,0.225,0.2995
CNCF,200,1,128,128,0.0001,10,0.0005,20,1,Adam,0.3116,0.3306,0.2466,0.3297
CNCF,200,1,128,128,0.0001,10,0.0005,30,1,Adam,0.31,0.3275,0.2449,0.3258
CNCF,200,1,128,128,0.0001,10,0.0005,40,1,Adam,0.3254,0.344,0.2568,0.3422
CNCF,200,1,128,128,0.0001,10,0.0005,50,1,Adam,0.3355,0.3533,0.2633,0.3498
CNCF,200,1,128,128,0.0001,10,0.0005,60,1,Adam,0.3329,0.3514,0.2621,0.3486
CNCF,200,1,128,128,0.0001,10,0.0005,70,1,Adam,0.3364,0.3549,0.2644,0.3515
CNCF,200,1,128,128,0.0001,10,0.0005,80,1,Adam,0.3429,0.361,0.2697,0.3577
CNCF,200,1,128,128,0.0001,10,0.0005,90,1,Adam,0.3497,0.3682,0.2744,0.365
CNCF,200,1,128,128,0.0001,10,0.0005,100,1,Adam,0.3478,0.3662,0.2732,0.3628
CNCF,200,1,128,128,0.0001,10,0.0005,110,1,Adam,0.35,0.3684,0.2748,0.3654
CNCF,200,1,128,128,0.0001,10,0.0005,120,1,Adam,0.3519,0.3702,0.2754,0.3665
CNCF,200,1,128,128,0.0001,10,0.0005,130,1,Adam,0.3522,0.37,0.2755,0.3658
CNCF,200,1,128,128,0.0001,10,0.0005,140,1,Adam,0.3595,0.3782,0.2816,0.3745
CNCF,200,1,128,128,0.0001,10,0.0005,150,1,Adam,0.3576,0.3758,0.2795,0.3717
CNCF,200,1,128,128,0.0001,10,0.0005,160,1,Adam,0.359,0.3773,0.2808,0.3731
CNCF,200,1,128,128,0.0001,10,0.0005,170,1,Adam,0.3668,0.3851,0.2869,0.3808
CNCF,200,1,128,128,0.0001,10,0.0005,180,1,Adam,0.3682,0.3862,0.2872,0.3808
CNCF,200,1,128,128,0.0001,10,0.0005,190,1,Adam,0.362,0.3803,0.2826,0.3758
CNCF,200,1,128,128,0.0001,10,0.0005,200,1,Adam,0.3621,0.3802,0.2825,0.3755
CNCF,200,1,128,128,0.0001,10,0.0005,210,1,Adam,0.3671,0.3852,0.2863,0.3802
CNCF,200,1,128,128,0.0001,10,0.0005,220,1,Adam,0.3745,0.3929,0.2922,0.3879
CNCF,200,1,128,128,0.0001,10,0.0005,230,1,Adam,0.3716,0.3893,0.289,0.3833
CNCF,200,1,128,128,0.0001,10,0.0005,240,1,Adam,0.3781,0.3962,0.2943,0.3906
CNCF,200,1,128,128,0.0001,10,0.0005,250,1,Adam,0.374,0.3918,0.2914,0.3867
CNCF,200,1,128,128,0.0001,10,0.0005,260,1,Adam,0.3751,0.3932,0.2927,0.388
CNCF,200,1,128,128,0.0001,10,0.0005,270,1,Adam,0.3764,0.3945,0.2937,0.3892
CNCF,200,1,128,128,0.0001,10,0.0005,280,1,Adam,0.3776,0.3953,0.2935,0.3894
CNCF,200,1,128,128,0.0001,10,0.0005,290,1,Adam,0.3761,0.3942,0.2936,0.3892
CNCF,200,1,128,128,0.0001,10,0.0005,300,1,Adam,0.3762,0.3939,0.2928,0.3879
INCF,200,1,128,128,0.0001,10,0.0005,10,1,Adam,0.4817,0.5143,0.3896,0.5212
INCF,200,1,128,128,0.0001,10,0.0005,20,1,Adam,0.476,0.5069,0.384,0.5131
INCF,200,1,128,128,0.0001,10,0.0005,30,1,Adam,0.4853,0.5163,0.39,0.5204
INCF,200,1,128,128,0.0001,10,0.0005,40,1,Adam,0.4887,0.5197,0.3935,0.5242
INCF,200,1,128,128,0.0001,10,0.0005,50,1,Adam,0.4885,0.5206,0.3944,0.5258
INCF,200,1,128,128,0.0001,10,0.0005,60,1,Adam,0.4946,0.5247,0.3967,0.5277
INCF,200,1,128,128,0.0001,10,0.0005,70,1,Adam,0.4931,0.5235,0.3953,0.5264
INCF,200,1,128,128,0.0001,10,0.0005,80,1,Adam,0.4895,0.5186,0.3918,0.5209
INCF,200,1,128,128,0.0001,10,0.0005,90,1,Adam,0.4974,0.5287,0.4002,0.5328
INCF,200,1,128,128,0.0001,10,0.0005,100,1,Adam,0.4937,0.5239,0.3964,0.5273
INCF,200,1,128,128,0.0001,10,0.0005,110,1,Adam,0.4956,0.5264,0.3987,0.5299
INCF,200,1,128,128,0.0001,10,0.0005,120,1,Adam,0.4961,0.5261,0.3981,0.5285
INCF,200,1,128,128,0.0001,10,0.0005,130,1,Adam,0.5004,0.5307,0.4022,0.5339
INCF,200,1,128,128,0.0001,10,0.0005,140,1,Adam,0.4956,0.5247,0.3974,0.527
INCF,200,1,128,128,0.0001,10,0.0005,150,1,Adam,0.4947,0.5249,0.3972,0.5275
INCF,200,1,128,128,0.0001,10,0.0005,160,1,Adam,0.4959,0.5237,0.3955,0.5243
INCF,200,1,128,128,0.0001,10,0.0005,170,1,Adam,0.4981,0.5284,0.4001,0.5306
INCF,200,1,128,128,0.0001,10,0.0005,180,1,Adam,0.4989,0.5283,0.4002,0.5305
INCF,200,1,128,128,0.0001,10,0.0005,190,1,Adam,0.4988,0.5278,0.3992,0.529
INCF,200,1,128,128,0.0001,10,0.0005,200,1,Adam,0.4983,0.5269,0.3983,0.5279
INCF,200,1,128,128,0.0001,10,0.0005,210,1,Adam,0.4962,0.5244,0.3959,0.524
INCF,200,1,128,128,0.0001,10,0.0005,220,1,Adam,0.4955,0.5247,0.3959,0.5252
INCF,200,1,128,128,0.0001,10,0.0005,230,1,Adam,0.4985,0.5281,0.3999,0.5294
INCF,200,1,128,128,0.0001,10,0.0005,240,1,Adam,0.4996,0.5283,0.4001,0.5291
INCF,200,1,128,128,0.0001,10,0.0005,250,1,Adam,0.5025,0.5317,0.4022,0.5317
