model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,200,1,128,128,0.0001,,0.0005,100,1,"[0.3458, 0.0022]","[0.3121, 0.0019]","[0.2871, 0.0016]","[0.3955, 0.0029]","[0.2093, 0.001]","[0.3657, 0.0021]","[0.4145, 0.0021]","[0.4498, 0.002]","[0.285, 0.002]","[0.5695, 0.0018]","[0.2709, 0.0016]","[0.2296, 0.0012]","[0.2021, 0.001]","[0.3434, 0.0023]","[0.1296, 0.0006]","[0.3616, 0.002]","[0.4561, 0.0021]","[0.5324, 0.0021]","[0.2332, 0.0017]","[0.8401, 0.0015]"
CNCF,200,1,128,128,0.0001,,0.001,100,1,"[0.3402, 0.0023]","[0.309, 0.0019]","[0.2851, 0.0017]","[0.384, 0.003]","[0.2086, 0.001]","[0.3621, 0.0021]","[0.4111, 0.0021]","[0.4461, 0.0021]","[0.2777, 0.002]","[0.5648, 0.0019]","[0.2731, 0.0017]","[0.2312, 0.0013]","[0.2031, 0.0011]","[0.3389, 0.0024]","[0.1294, 0.0006]","[0.3636, 0.0021]","[0.4581, 0.0022]","[0.5339, 0.0022]","[0.2289, 0.0017]","[0.8394, 0.0015]"
CNCF,200,1,128,128,5E-05,,0.001,100,1,"[0.3242, 0.0022]","[0.295, 0.0019]","[0.2729, 0.0016]","[0.366, 0.0029]","[0.202, 0.001]","[0.3467, 0.0021]","[0.3953, 0.0021]","[0.4308, 0.0021]","[0.2647, 0.0019]","[0.553, 0.0018]","[0.2611, 0.0016]","[0.2226, 0.0012]","[0.197, 0.001]","[0.3213, 0.0023]","[0.1285, 0.0006]","[0.3492, 0.0021]","[0.4434, 0.0022]","[0.5203, 0.0022]","[0.218, 0.0017]","[0.8346, 0.0015]"
CNCF,200,1,128,128,5E-05,,0.0005,100,1,"[0.3196, 0.0022]","[0.2895, 0.0018]","[0.2676, 0.0016]","[0.3655, 0.0028]","[0.1989, 0.001]","[0.3383, 0.002]","[0.3867, 0.002]","[0.4231, 0.002]","[0.2612, 0.0019]","[0.5476, 0.0018]","[0.2519, 0.0015]","[0.2165, 0.0012]","[0.1931, 0.001]","[0.3146, 0.0022]","[0.1279, 0.0006]","[0.3354, 0.0019]","[0.4291, 0.002]","[0.5079, 0.0021]","[0.2123, 0.0016]","[0.8286, 0.0015]"
CNCF,100,1,128,128,5E-05,,0.001,100,1,"[0.3134, 0.0022]","[0.284, 0.0018]","[0.2625, 0.0016]","[0.3577, 0.0029]","[0.1959, 0.001]","[0.3319, 0.002]","[0.3796, 0.002]","[0.4155, 0.002]","[0.2562, 0.0019]","[0.5419, 0.0018]","[0.2475, 0.0015]","[0.2126, 0.0012]","[0.1898, 0.001]","[0.3099, 0.0023]","[0.1273, 0.0006]","[0.3304, 0.002]","[0.4231, 0.0021]","[0.5008, 0.0021]","[0.2093, 0.0017]","[0.8269, 0.0015]"
CNCF,100,1,128,128,0.0001,,0.001,100,1,"[0.3118, 0.0022]","[0.2832, 0.0018]","[0.2621, 0.0016]","[0.354, 0.0029]","[0.1961, 0.001]","[0.3316, 0.002]","[0.3792, 0.002]","[0.4149, 0.002]","[0.2547, 0.0019]","[0.5419, 0.0018]","[0.2485, 0.0015]","[0.2133, 0.0012]","[0.1902, 0.001]","[0.3085, 0.0023]","[0.1276, 0.0006]","[0.3316, 0.002]","[0.4239, 0.0021]","[0.5012, 0.0021]","[0.2087, 0.0017]","[0.8285, 0.0015]"
CNCF,200,1,128,128,0.0001,,0.0001,100,1,"[0.3049, 0.0021]","[0.2768, 0.0018]","[0.2563, 0.0015]","[0.3488, 0.0028]","[0.1925, 0.001]","[0.3235, 0.002]","[0.3712, 0.002]","[0.4071, 0.0019]","[0.2491, 0.0019]","[0.5344, 0.0017]","[0.2413, 0.0015]","[0.2087, 0.0012]","[0.1867, 0.001]","[0.3, 0.0022]","[0.1265, 0.0006]","[0.322, 0.0019]","[0.4146, 0.002]","[0.4924, 0.0021]","[0.203, 0.0016]","[0.8206, 0.0015]"
CNCF,100,1,128,128,0.0001,,0.0005,100,1,"[0.294, 0.0021]","[0.2682, 0.0017]","[0.2491, 0.0015]","[0.3328, 0.0028]","[0.1892, 0.0009]","[0.314, 0.0019]","[0.3614, 0.0019]","[0.3974, 0.0019]","[0.2392, 0.0018]","[0.5276, 0.0017]","[0.2366, 0.0015]","[0.2053, 0.0012]","[0.1843, 0.001]","[0.2898, 0.0022]","[0.1266, 0.0006]","[0.3156, 0.0019]","[0.4076, 0.002]","[0.4855, 0.0021]","[0.1959, 0.0016]","[0.8215, 0.0015]"
CNCF,200,1,128,128,5E-05,,0.0001,100,1,"[0.2801, 0.0021]","[0.2569, 0.0017]","[0.2397, 0.0015]","[0.3148, 0.0027]","[0.1845, 0.0009]","[0.3001, 0.0019]","[0.3477, 0.0019]","[0.3846, 0.0019]","[0.2257, 0.0018]","[0.5161, 0.0017]","[0.2288, 0.0015]","[0.2001, 0.0011]","[0.181, 0.001]","[0.2759, 0.0021]","[0.1258, 0.0005]","[0.3043, 0.0019]","[0.3969, 0.002]","[0.477, 0.0021]","[0.1848, 0.0015]","[0.8164, 0.0015]"
CNCF,100,1,128,128,5E-05,,0.0005,100,1,"[0.279, 0.002]","[0.2557, 0.0017]","[0.2385, 0.0015]","[0.3153, 0.0027]","[0.1839, 0.0009]","[0.2989, 0.0019]","[0.3469, 0.0019]","[0.3836, 0.0019]","[0.2262, 0.0018]","[0.5167, 0.0017]","[0.2264, 0.0014]","[0.1989, 0.0011]","[0.18, 0.001]","[0.2742, 0.0021]","[0.1261, 0.0006]","[0.3012, 0.0019]","[0.3945, 0.002]","[0.4742, 0.002]","[0.185, 0.0015]","[0.8178, 0.0015]"
