model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,200,1,128,128,0.0001,,0.0001,100,1,"[0.4574, 0.0024]","[0.4129, 0.002]","[0.3772, 0.0018]","[0.5132, 0.003]","[0.2588, 0.0011]","[0.4886, 0.0021]","[0.5428, 0.0021]","[0.5765, 0.002]","[0.3761, 0.002]","[0.6626, 0.0018]","[0.3668, 0.0018]","[0.2991, 0.0014]","[0.2531, 0.0012]","[0.4592, 0.0026]","[0.1367, 0.0006]","[0.4928, 0.0022]","[0.5973, 0.0022]","[0.6697, 0.0021]","[0.3135, 0.0018]","[0.8868, 0.0014]"
CVNCF,200,1,128,128,0.0001,,0.001,100,1,"[0.4108, 0.0024]","[0.3742, 0.0021]","[0.344, 0.0019]","[0.4548, 0.003]","[0.2412, 0.0012]","[0.4399, 0.0022]","[0.4939, 0.0022]","[0.5274, 0.0022]","[0.3332, 0.002]","[0.6222, 0.0019]","[0.3379, 0.0019]","[0.2795, 0.0015]","[0.2382, 0.0012]","[0.4143, 0.0026]","[0.134, 0.0006]","[0.4503, 0.0023]","[0.5543, 0.0023]","[0.6264, 0.0023]","[0.2804, 0.0018]","[0.8679, 0.0015]"
CVNCF,200,1,128,128,5E-05,,0.0001,100,1,"[0.3953, 0.0023]","[0.3552, 0.002]","[0.3247, 0.0017]","[0.4499, 0.003]","[0.2291, 0.0011]","[0.4179, 0.0021]","[0.4673, 0.0021]","[0.5009, 0.0021]","[0.3273, 0.002]","[0.6096, 0.0018]","[0.309, 0.0017]","[0.2556, 0.0013]","[0.2202, 0.0011]","[0.3967, 0.0025]","[0.1325, 0.0006]","[0.4147, 0.0021]","[0.5105, 0.0022]","[0.5828, 0.0021]","[0.2706, 0.0018]","[0.8611, 0.0014]"
CVNCF,200,1,128,128,0.0001,,0.0005,100,1,"[0.3738, 0.0024]","[0.3422, 0.0021]","[0.3162, 0.0018]","[0.4126, 0.003]","[0.227, 0.0011]","[0.403, 0.0023]","[0.4555, 0.0023]","[0.4905, 0.0022]","[0.3026, 0.002]","[0.5959, 0.0019]","[0.3109, 0.0019]","[0.26, 0.0014]","[0.2248, 0.0012]","[0.3753, 0.0026]","[0.1329, 0.0006]","[0.414, 0.0023]","[0.5149, 0.0024]","[0.5904, 0.0023]","[0.2539, 0.0018]","[0.8597, 0.0015]"
CVNCF,200,1,128,128,5E-05,,0.001,100,1,"[0.3732, 0.0024]","[0.3413, 0.002]","[0.3151, 0.0018]","[0.4127, 0.003]","[0.2246, 0.0011]","[0.4021, 0.0022]","[0.4548, 0.0022]","[0.4883, 0.0022]","[0.3026, 0.002]","[0.5894, 0.0019]","[0.3093, 0.0018]","[0.2588, 0.0014]","[0.2225, 0.0011]","[0.3752, 0.0025]","[0.1304, 0.0006]","[0.4127, 0.0023]","[0.5148, 0.0023]","[0.587, 0.0023]","[0.2537, 0.0018]","[0.8461, 0.0015]"
CVNCF,100,1,128,128,0.0001,,0.0005,100,1,"[0.3693, 0.0024]","[0.3355, 0.002]","[0.3091, 0.0018]","[0.4144, 0.003]","[0.2224, 0.0011]","[0.395, 0.0022]","[0.4463, 0.0022]","[0.4818, 0.0021]","[0.302, 0.002]","[0.5929, 0.0019]","[0.2985, 0.0018]","[0.2504, 0.0013]","[0.2177, 0.0011]","[0.3693, 0.0025]","[0.1324, 0.0006]","[0.3995, 0.0022]","[0.4989, 0.0023]","[0.5759, 0.0022]","[0.251, 0.0018]","[0.8605, 0.0014]"
CVNCF,100,1,128,128,0.0001,,0.0001,100,1,"[0.367, 0.0023]","[0.3312, 0.0019]","[0.3044, 0.0017]","[0.4179, 0.0029]","[0.2193, 0.001]","[0.3899, 0.002]","[0.4402, 0.002]","[0.4761, 0.002]","[0.3027, 0.0019]","[0.5906, 0.0018]","[0.2888, 0.0016]","[0.243, 0.0012]","[0.2126, 0.001]","[0.3655, 0.0024]","[0.1317, 0.0006]","[0.3891, 0.0021]","[0.4865, 0.0021]","[0.5641, 0.0021]","[0.2495, 0.0017]","[0.8569, 0.0014]"
CVNCF,100,1,128,128,0.0001,,0.001,100,1,"[0.3508, 0.0024]","[0.3211, 0.002]","[0.2972, 0.0018]","[0.3864, 0.003]","[0.217, 0.0011]","[0.3766, 0.0022]","[0.4274, 0.0022]","[0.463, 0.0021]","[0.2833, 0.002]","[0.5786, 0.0018]","[0.2912, 0.0018]","[0.245, 0.0014]","[0.2138, 0.0011]","[0.3538, 0.0025]","[0.1324, 0.0006]","[0.3872, 0.0022]","[0.4853, 0.0023]","[0.5622, 0.0022]","[0.2386, 0.0018]","[0.8596, 0.0014]"
CVNCF,200,1,128,128,5E-05,,0.0005,100,1,"[0.3488, 0.0023]","[0.3195, 0.002]","[0.2957, 0.0018]","[0.3857, 0.0029]","[0.2148, 0.0011]","[0.3758, 0.0022]","[0.4269, 0.0022]","[0.4611, 0.0022]","[0.2815, 0.002]","[0.5722, 0.0019]","[0.2897, 0.0018]","[0.2442, 0.0014]","[0.2122, 0.0011]","[0.3484, 0.0024]","[0.1302, 0.0006]","[0.3856, 0.0022]","[0.4842, 0.0023]","[0.558, 0.0023]","[0.2348, 0.0017]","[0.8432, 0.0015]"
CVNCF,100,1,128,128,5E-05,,0.0005,100,1,"[0.3497, 0.0023]","[0.3179, 0.0019]","[0.2933, 0.0017]","[0.393, 0.0029]","[0.2137, 0.001]","[0.3739, 0.0021]","[0.424, 0.0021]","[0.4596, 0.0021]","[0.2862, 0.002]","[0.5766, 0.0018]","[0.2818, 0.0017]","[0.238, 0.0013]","[0.2086, 0.0011]","[0.3489, 0.0024]","[0.131, 0.0006]","[0.3772, 0.0021]","[0.4742, 0.0022]","[0.5512, 0.0022]","[0.2371, 0.0017]","[0.8516, 0.0014]"
