model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,200,1,128,128,5E-05,,0.0001,100,1,"[0.4828, 0.0024]","[0.4379, 0.002]","[0.4009, 0.0018]","[0.5377, 0.0029]","[0.2739, 0.0012]","[0.5195, 0.0021]","[0.5782, 0.002]","[0.613, 0.002]","[0.3952, 0.002]","[0.6909, 0.0018]","[0.3936, 0.0019]","[0.3216, 0.0015]","[0.271, 0.0012]","[0.4838, 0.0025]","[0.1406, 0.0006]","[0.5292, 0.0022]","[0.6419, 0.0021]","[0.7164, 0.002]","[0.3311, 0.0018]","[0.9105, 0.0013]"
IVNCF,200,1,128,128,0.0001,,0.0001,100,1,"[0.4807, 0.0024]","[0.4366, 0.002]","[0.4001, 0.0018]","[0.5339, 0.0029]","[0.2745, 0.0012]","[0.5174, 0.0021]","[0.5766, 0.002]","[0.6121, 0.002]","[0.3925, 0.0019]","[0.6927, 0.0018]","[0.3936, 0.0019]","[0.322, 0.0015]","[0.2718, 0.0012]","[0.4823, 0.0025]","[0.1419, 0.0006]","[0.5283, 0.0022]","[0.6422, 0.0021]","[0.7183, 0.002]","[0.3291, 0.0018]","[0.9191, 0.0012]"
IVNCF,100,1,128,128,5E-05,,0.0001,100,1,"[0.4696, 0.0024]","[0.428, 0.002]","[0.3933, 0.0018]","[0.5205, 0.0029]","[0.2726, 0.0011]","[0.5068, 0.0021]","[0.5678, 0.002]","[0.6055, 0.0019]","[0.3815, 0.0019]","[0.6905, 0.0017]","[0.3873, 0.0019]","[0.3192, 0.0014]","[0.2713, 0.0012]","[0.4699, 0.0025]","[0.1435, 0.0006]","[0.5201, 0.0021]","[0.6384, 0.0021]","[0.7193, 0.002]","[0.3195, 0.0018]","[0.9311, 0.0011]"
IVNCF,200,1,128,128,0.0001,,0.0005,100,1,"[0.4687, 0.0023]","[0.4282, 0.002]","[0.3938, 0.0018]","[0.515, 0.0029]","[0.273, 0.0011]","[0.5068, 0.002]","[0.5673, 0.002]","[0.6042, 0.0019]","[0.3792, 0.0019]","[0.6892, 0.0017]","[0.3907, 0.0019]","[0.321, 0.0014]","[0.2722, 0.0012]","[0.471, 0.0025]","[0.1438, 0.0006]","[0.5242, 0.0021]","[0.6409, 0.0021]","[0.7201, 0.002]","[0.3201, 0.0017]","[0.9321, 0.0011]"
IVNCF,100,1,128,128,0.0001,,0.0001,100,1,"[0.468, 0.0023]","[0.4267, 0.002]","[0.3924, 0.0018]","[0.5182, 0.0029]","[0.2726, 0.0011]","[0.5055, 0.002]","[0.5669, 0.002]","[0.605, 0.0019]","[0.3805, 0.0019]","[0.6912, 0.0017]","[0.3864, 0.0018]","[0.319, 0.0014]","[0.2717, 0.0012]","[0.469, 0.0025]","[0.1441, 0.0006]","[0.5198, 0.0021]","[0.6385, 0.0021]","[0.7204, 0.0019]","[0.3199, 0.0018]","[0.935, 0.0011]"
IVNCF,200,1,128,128,5E-05,,0.0005,100,1,"[0.4647, 0.0024]","[0.4237, 0.002]","[0.3893, 0.0018]","[0.5133, 0.003]","[0.2693, 0.0012]","[0.5015, 0.0021]","[0.5612, 0.002]","[0.597, 0.002]","[0.3771, 0.0019]","[0.681, 0.0018]","[0.3849, 0.0019]","[0.3162, 0.0014]","[0.2678, 0.0012]","[0.4668, 0.0025]","[0.1418, 0.0006]","[0.5163, 0.0022]","[0.6318, 0.0021]","[0.7087, 0.002]","[0.3172, 0.0018]","[0.9181, 0.0013]"
IVNCF,100,1,128,128,0.0001,,0.0005,100,1,"[0.4505, 0.0024]","[0.4121, 0.002]","[0.3796, 0.0018]","[0.4979, 0.0029]","[0.2656, 0.0011]","[0.4869, 0.0021]","[0.5486, 0.002]","[0.5867, 0.0019]","[0.3645, 0.0019]","[0.676, 0.0017]","[0.3745, 0.0019]","[0.3107, 0.0014]","[0.2653, 0.0012]","[0.4507, 0.0025]","[0.1429, 0.0006]","[0.5019, 0.0021]","[0.6219, 0.0021]","[0.704, 0.002]","[0.3059, 0.0017]","[0.9268, 0.0012]"
IVNCF,100,1,128,128,5E-05,,0.0005,100,1,"[0.4507, 0.0024]","[0.4114, 0.002]","[0.3786, 0.0018]","[0.4995, 0.003]","[0.2644, 0.0011]","[0.4856, 0.0021]","[0.5463, 0.002]","[0.5841, 0.002]","[0.3647, 0.0019]","[0.673, 0.0018]","[0.3723, 0.0019]","[0.3089, 0.0014]","[0.2636, 0.0012]","[0.4509, 0.0025]","[0.142, 0.0006]","[0.4993, 0.0022]","[0.617, 0.0022]","[0.6986, 0.0021]","[0.3054, 0.0018]","[0.9207, 0.0012]"
IVNCF,200,1,128,128,0.0001,,0.001,100,1,"[0.4461, 0.0024]","[0.4074, 0.002]","[0.3751, 0.0018]","[0.4946, 0.003]","[0.2627, 0.0011]","[0.4811, 0.0021]","[0.5414, 0.002]","[0.5788, 0.002]","[0.3607, 0.0019]","[0.6706, 0.0018]","[0.3693, 0.0018]","[0.3063, 0.0014]","[0.2616, 0.0012]","[0.4457, 0.0025]","[0.1423, 0.0006]","[0.495, 0.0021]","[0.6119, 0.0021]","[0.6923, 0.002]","[0.3018, 0.0018]","[0.9222, 0.0012]"
IVNCF,100,1,128,128,0.0001,,0.001,100,1,"[0.4438, 0.0024]","[0.4058, 0.002]","[0.3738, 0.0018]","[0.4906, 0.003]","[0.2618, 0.0011]","[0.4796, 0.0021]","[0.5395, 0.002]","[0.5777, 0.002]","[0.3574, 0.0019]","[0.6678, 0.0018]","[0.369, 0.0019]","[0.3058, 0.0014]","[0.2615, 0.0012]","[0.441, 0.0025]","[0.1416, 0.0006]","[0.4946, 0.0022]","[0.6103, 0.0021]","[0.6929, 0.002]","[0.2986, 0.0018]","[0.9185, 0.0012]"
