model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,200,1,128,128,5E-05,,0.0001,100,1,"[0.1035, 0.0012]","[0.103, 0.001]","[0.1025, 0.0009]","[0.1041, 0.0016]","[0.1014, 0.0006]","[0.1174, 0.0012]","[0.1507, 0.0012]","[0.1803, 0.0012]","[0.0772, 0.0011]","[0.3284, 0.0012]","[0.1023, 0.001]","[0.1016, 0.0008]","[0.1011, 0.0007]","[0.1042, 0.0013]","[0.1008, 0.0005]","[0.1314, 0.0013]","[0.1964, 0.0015]","[0.2605, 0.0017]","[0.067, 0.001]","[0.6491, 0.0018]"
NCF,200,1,128,128,5E-05,,0.0005,100,1,"[0.0944, 0.0012]","[0.0953, 0.001]","[0.0959, 0.0009]","[0.0928, 0.0015]","[0.0981, 0.0006]","[0.1091, 0.0011]","[0.1419, 0.0012]","[0.1716, 0.0012]","[0.0694, 0.001]","[0.3225, 0.0012]","[0.0967, 0.0009]","[0.0973, 0.0008]","[0.098, 0.0007]","[0.0944, 0.0013]","[0.1007, 0.0005]","[0.1241, 0.0012]","[0.188, 0.0015]","[0.2525, 0.0016]","[0.0606, 0.0009]","[0.6481, 0.0018]"
NCF,200,1,128,128,5E-05,,0.001,100,1,"[0.0933, 0.0012]","[0.0945, 0.001]","[0.0954, 0.0009]","[0.0912, 0.0015]","[0.0983, 0.0006]","[0.1077, 0.0011]","[0.1408, 0.0012]","[0.171, 0.0012]","[0.0684, 0.001]","[0.3238, 0.0012]","[0.0962, 0.0009]","[0.0973, 0.0008]","[0.0985, 0.0007]","[0.094, 0.0013]","[0.1015, 0.0005]","[0.1232, 0.0013]","[0.1876, 0.0015]","[0.253, 0.0017]","[0.0602, 0.0009]","[0.6544, 0.0018]"
NCF,200,1,128,128,0.0001,,0.0001,100,1,"[0.0969, 0.0012]","[0.0978, 0.001]","[0.0985, 0.0009]","[0.0947, 0.0016]","[0.1008, 0.0006]","[0.1116, 0.0011]","[0.1456, 0.0012]","[0.1764, 0.0012]","[0.0715, 0.001]","[0.33, 0.0012]","[0.099, 0.0009]","[0.1001, 0.0008]","[0.1009, 0.0007]","[0.0982, 0.0013]","[0.1029, 0.0005]","[0.1279, 0.0013]","[0.1943, 0.0015]","[0.2612, 0.0017]","[0.0635, 0.0009]","[0.6637, 0.0018]"
NCF,200,1,128,128,0.0001,,0.0005,100,1,"[0.1032, 0.0012]","[0.1032, 0.001]","[0.103, 0.0009]","[0.1033, 0.0016]","[0.1027, 0.0006]","[0.1179, 0.0012]","[0.1515, 0.0012]","[0.182, 0.0013]","[0.0763, 0.0011]","[0.3333, 0.0012]","[0.1034, 0.001]","[0.1027, 0.0008]","[0.1026, 0.0007]","[0.1034, 0.0013]","[0.1026, 0.0005]","[0.133, 0.0013]","[0.1984, 0.0015]","[0.2648, 0.0017]","[0.0662, 0.0009]","[0.6616, 0.0018]"
NCF,200,1,128,128,0.0001,,0.001,100,1,"[0.0888, 0.0011]","[0.0898, 0.001]","[0.0907, 0.0009]","[0.0875, 0.0015]","[0.0947, 0.0006]","[0.1022, 0.0011]","[0.1341, 0.0011]","[0.1633, 0.0012]","[0.0651, 0.001]","[0.3157, 0.0012]","[0.0908, 0.0009]","[0.0926, 0.0008]","[0.094, 0.0007]","[0.0889, 0.0012]","[0.0997, 0.0005]","[0.116, 0.0012]","[0.1779, 0.0014]","[0.2414, 0.0016]","[0.0566, 0.0009]","[0.6416, 0.0018]"
NCF,100,1,128,128,5E-05,,0.0001,100,1,"[0.1141, 0.0013]","[0.1128, 0.0011]","[0.1117, 0.0009]","[0.1157, 0.0017]","[0.1078, 0.0006]","[0.1296, 0.0012]","[0.1646, 0.0013]","[0.195, 0.0013]","[0.0863, 0.0011]","[0.3439, 0.0013]","[0.1113, 0.001]","[0.1095, 0.0008]","[0.1078, 0.0007]","[0.115, 0.0014]","[0.1038, 0.0005]","[0.1444, 0.0013]","[0.212, 0.0015]","[0.278, 0.0017]","[0.0748, 0.001]","[0.6676, 0.0018]"
NCF,100,1,128,128,5E-05,,0.0005,100,1,"[0.1021, 0.0012]","[0.1026, 0.001]","[0.103, 0.0009]","[0.1013, 0.0016]","[0.1042, 0.0006]","[0.1174, 0.0012]","[0.1524, 0.0012]","[0.1837, 0.0012]","[0.0755, 0.001]","[0.3397, 0.0012]","[0.1032, 0.0009]","[0.104, 0.0008]","[0.1043, 0.0007]","[0.102, 0.0013]","[0.105, 0.0005]","[0.1333, 0.0013]","[0.201, 0.0015]","[0.2694, 0.0017]","[0.0661, 0.0009]","[0.6786, 0.0018]"
NCF,100,1,128,128,5E-05,,0.001,100,1,"[0.1026, 0.0012]","[0.103, 0.001]","[0.1032, 0.0009]","[0.1019, 0.0016]","[0.1036, 0.0006]","[0.1183, 0.0012]","[0.153, 0.0012]","[0.1843, 0.0013]","[0.0763, 0.0011]","[0.3377, 0.0012]","[0.1034, 0.001]","[0.1037, 0.0008]","[0.1041, 0.0007]","[0.1027, 0.0013]","[0.104, 0.0005]","[0.1345, 0.0013]","[0.2022, 0.0015]","[0.2701, 0.0017]","[0.0668, 0.001]","[0.6726, 0.0018]"
NCF,100,1,128,128,0.0001,,0.0001,100,1,"[0.0937, 0.0012]","[0.0938, 0.001]","[0.0941, 0.0009]","[0.0936, 0.0016]","[0.0963, 0.0006]","[0.1073, 0.0011]","[0.1389, 0.0012]","[0.1677, 0.0012]","[0.0695, 0.001]","[0.3208, 0.0012]","[0.0938, 0.0009]","[0.0945, 0.0008]","[0.0951, 0.0007]","[0.0935, 0.0013]","[0.1003, 0.0005]","[0.1208, 0.0013]","[0.1823, 0.0015]","[0.2448, 0.0017]","[0.0603, 0.0009]","[0.6475, 0.0018]"
