model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,0.0001,,0.0001,100,1,"[0.1237, 0.0013]","[0.1216, 0.0011]","[0.12, 0.001]","[0.127, 0.0018]","[0.1144, 0.0007]","[0.1393, 0.0012]","[0.1766, 0.0013]","[0.2088, 0.0013]","[0.0933, 0.0012]","[0.3623, 0.0013]","[0.1187, 0.001]","[0.1164, 0.0008]","[0.1144, 0.0007]","[0.1237, 0.0014]","[0.108, 0.0005]","[0.154, 0.0013]","[0.2265, 0.0016]","[0.2966, 0.0017]","[0.0801, 0.001]","[0.6987, 0.0017]"
VNCF,100,1,128,128,0.0001,,0.0005,100,1,"[0.1148, 0.0013]","[0.112, 0.0011]","[0.1102, 0.001]","[0.1196, 0.0017]","[0.1074, 0.0006]","[0.1294, 0.0013]","[0.1628, 0.0013]","[0.1924, 0.0013]","[0.0883, 0.0012]","[0.3516, 0.0013]","[0.1081, 0.001]","[0.1055, 0.0008]","[0.1041, 0.0007]","[0.1144, 0.0014]","[0.1064, 0.0005]","[0.1415, 0.0014]","[0.2064, 0.0016]","[0.2707, 0.0017]","[0.0753, 0.001]","[0.6878, 0.0018]"
VNCF,100,1,128,128,5E-05,,0.001,100,1,"[0.1131, 0.0013]","[0.1119, 0.0011]","[0.111, 0.0009]","[0.1146, 0.0017]","[0.1084, 0.0006]","[0.1283, 0.0012]","[0.1631, 0.0013]","[0.1947, 0.0013]","[0.0849, 0.0011]","[0.3483, 0.0013]","[0.111, 0.001]","[0.1087, 0.0008]","[0.1081, 0.0007]","[0.1141, 0.0014]","[0.1058, 0.0005]","[0.1435, 0.0013]","[0.2111, 0.0015]","[0.2798, 0.0017]","[0.0736, 0.001]","[0.6821, 0.0018]"
VNCF,200,1,128,128,5E-05,,0.001,100,1,"[0.1104, 0.0013]","[0.108, 0.0011]","[0.1061, 0.0009]","[0.1153, 0.0017]","[0.1041, 0.0006]","[0.1232, 0.0012]","[0.1546, 0.0012]","[0.1818, 0.0013]","[0.0836, 0.0011]","[0.3408, 0.0013]","[0.1055, 0.001]","[0.102, 0.0008]","[0.0996, 0.0007]","[0.1114, 0.0013]","[0.1045, 0.0005]","[0.1351, 0.0013]","[0.1958, 0.0015]","[0.2546, 0.0016]","[0.0713, 0.0009]","[0.672, 0.0018]"
VNCF,100,1,128,128,5E-05,,0.0001,100,1,"[0.1053, 0.0012]","[0.1057, 0.001]","[0.1058, 0.0009]","[0.104, 0.0016]","[0.105, 0.0006]","[0.1217, 0.0012]","[0.1568, 0.0012]","[0.1875, 0.0012]","[0.0783, 0.0011]","[0.3382, 0.0012]","[0.1068, 0.001]","[0.1063, 0.0008]","[0.1056, 0.0007]","[0.106, 0.0013]","[0.1037, 0.0005]","[0.1387, 0.0013]","[0.2071, 0.0015]","[0.2739, 0.0017]","[0.069, 0.001]","[0.6683, 0.0018]"
VNCF,100,1,128,128,5E-05,,0.0005,100,1,"[0.0967, 0.0012]","[0.0977, 0.001]","[0.0985, 0.0009]","[0.0953, 0.0016]","[0.101, 0.0006]","[0.1115, 0.0011]","[0.1456, 0.0012]","[0.1767, 0.0012]","[0.0708, 0.001]","[0.3318, 0.0012]","[0.0988, 0.0009]","[0.1002, 0.0008]","[0.1012, 0.0007]","[0.0964, 0.0013]","[0.1033, 0.0005]","[0.1271, 0.0013]","[0.1935, 0.0015]","[0.2612, 0.0017]","[0.0618, 0.0009]","[0.6688, 0.0018]"
VNCF,200,1,128,128,5E-05,,0.0005,100,1,"[0.0955, 0.0012]","[0.0965, 0.001]","[0.0969, 0.0009]","[0.0929, 0.0015]","[0.0984, 0.0006]","[0.1102, 0.0011]","[0.1429, 0.0012]","[0.1715, 0.0012]","[0.0701, 0.001]","[0.3226, 0.0012]","[0.0982, 0.0009]","[0.0983, 0.0008]","[0.0978, 0.0007]","[0.0965, 0.0013]","[0.1007, 0.0005]","[0.1259, 0.0012]","[0.1894, 0.0015]","[0.2513, 0.0016]","[0.0618, 0.0009]","[0.6483, 0.0018]"
VNCF,200,1,128,128,5E-05,,0.0001,100,1,"[0.0945, 0.0012]","[0.0952, 0.001]","[0.0957, 0.0009]","[0.0931, 0.0015]","[0.0978, 0.0006]","[0.1085, 0.0011]","[0.1409, 0.0012]","[0.1701, 0.0012]","[0.0694, 0.001]","[0.3216, 0.0012]","[0.0963, 0.0009]","[0.0968, 0.0008]","[0.0973, 0.0007]","[0.095, 0.0013]","[0.1006, 0.0005]","[0.1229, 0.0012]","[0.186, 0.0015]","[0.2491, 0.0016]","[0.0605, 0.0009]","[0.6465, 0.0018]"
VNCF,200,1,128,128,0.0001,,0.0001,100,1,"[0.0937, 0.0012]","[0.0935, 0.001]","[0.0934, 0.0009]","[0.0942, 0.0016]","[0.0945, 0.0006]","[0.1069, 0.0011]","[0.1376, 0.0012]","[0.1655, 0.0012]","[0.0694, 0.001]","[0.3115, 0.0012]","[0.0933, 0.0009]","[0.0931, 0.0007]","[0.0934, 0.0007]","[0.0929, 0.0012]","[0.0969, 0.0005]","[0.1199, 0.0012]","[0.1795, 0.0014]","[0.2399, 0.0016]","[0.0597, 0.0009]","[0.6228, 0.0018]"
VNCF,200,1,128,128,0.0001,,0.001,100,1,"[0.0855, 0.0011]","[0.0914, 0.0009]","[0.0952, 0.0008]","[0.0782, 0.0014]","[0.1004, 0.0006]","[0.1059, 0.001]","[0.1436, 0.0011]","[0.1774, 0.0011]","[0.0608, 0.0009]","[0.3227, 0.0012]","[0.0999, 0.0009]","[0.1044, 0.0008]","[0.1067, 0.0007]","[0.0863, 0.0012]","[0.1017, 0.0005]","[0.1281, 0.0012]","[0.2011, 0.0015]","[0.2742, 0.0016]","[0.0548, 0.0008]","[0.6546, 0.0018]"
