model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,200,1,128,128,0.001,,0.005,100,5,"[3.1025, 0.052]","[0.0312, 0.0019]","[0.0286, 0.0015]","[0.0267, 0.0013]","[0.0353, 0.0026]","[0.021, 0.0008]","[0.1178, 0.0042]","[0.0252, 0.0012]","[0.0225, 0.001]","[0.0204, 0.0008]","[0.031, 0.0019]","[0.015, 0.0005]","[0.0354, 0.0032]","[0.1062, 0.0062]","[0.1387, 0.007]","[0.1618, 0.0074]","[0.0675, 0.0051]","[0.2883, 0.009]"
CNCF,200,1,128,128,0.0001,,0.005,100,5,"[3.1574, 0.0519]","[0.0262, 0.0017]","[0.0251, 0.0014]","[0.024, 0.0012]","[0.0274, 0.0022]","[0.0197, 0.0008]","[0.1059, 0.0037]","[0.0239, 0.0012]","[0.022, 0.001]","[0.0204, 0.0008]","[0.0267, 0.0018]","[0.0143, 0.0005]","[0.0256, 0.0025]","[0.096, 0.0059]","[0.131, 0.0067]","[0.1616, 0.0073]","[0.054, 0.0046]","[0.2729, 0.0088]"
CNCF,100,1,128,128,0.001,,0.005,100,5,"[3.2025, 0.051]","[0.025, 0.0017]","[0.0236, 0.0014]","[0.0226, 0.0012]","[0.0268, 0.0023]","[0.0188, 0.0008]","[0.1032, 0.0036]","[0.0217, 0.0012]","[0.0202, 0.0009]","[0.0189, 0.0008]","[0.0254, 0.0018]","[0.0142, 0.0005]","[0.0234, 0.0023]","[0.0878, 0.0057]","[0.1232, 0.0066]","[0.1532, 0.0073]","[0.0513, 0.0044]","[0.2695, 0.0088]"
CNCF,100,1,128,128,0.001,,0.001,100,5,"[3.2406, 0.0517]","[0.0231, 0.0016]","[0.0223, 0.0013]","[0.0215, 0.0012]","[0.0242, 0.0022]","[0.0178, 0.0007]","[0.0976, 0.0037]","[0.0215, 0.0011]","[0.02, 0.0009]","[0.0185, 0.0008]","[0.0234, 0.0017]","[0.0127, 0.0004]","[0.0237, 0.0026]","[0.0919, 0.0059]","[0.1267, 0.0068]","[0.1559, 0.0073]","[0.0497, 0.0044]","[0.2486, 0.0086]"
CNCF,200,1,128,128,0.001,,0.0005,100,5,"[3.3328, 0.0518]","[0.0267, 0.0017]","[0.0246, 0.0014]","[0.0231, 0.0012]","[0.0293, 0.0024]","[0.0178, 0.0007]","[0.0966, 0.0039]","[0.0223, 0.0012]","[0.0195, 0.0009]","[0.0178, 0.0008]","[0.0273, 0.0018]","[0.012, 0.0004]","[0.0283, 0.0028]","[0.093, 0.0059]","[0.1223, 0.0066]","[0.1454, 0.0071]","[0.061, 0.0049]","[0.2294, 0.0083]"
CNCF,200,1,128,128,5E-05,,0.005,100,5,"[3.3125, 0.0511]","[0.023, 0.0016]","[0.022, 0.0013]","[0.0211, 0.0012]","[0.0241, 0.0021]","[0.0174, 0.0007]","[0.0955, 0.0037]","[0.0213, 0.0012]","[0.0196, 0.0009]","[0.0178, 0.0008]","[0.0229, 0.0017]","[0.0128, 0.0005]","[0.0251, 0.0026]","[0.0888, 0.0058]","[0.1206, 0.0066]","[0.1448, 0.0071]","[0.0485, 0.0044]","[0.2436, 0.0086]"
CNCF,100,1,128,128,0.0001,,0.005,100,5,"[3.2966, 0.0508]","[0.0203, 0.0014]","[0.02, 0.0012]","[0.0196, 0.001]","[0.0195, 0.0018]","[0.0168, 0.0007]","[0.0945, 0.0035]","[0.0207, 0.0011]","[0.0189, 0.0009]","[0.0174, 0.0008]","[0.0211, 0.0016]","[0.013, 0.0004]","[0.0203, 0.0023]","[0.0908, 0.0059]","[0.1193, 0.0066]","[0.1438, 0.0071]","[0.0468, 0.0043]","[0.2529, 0.0087]"
CNCF,200,1,128,128,0.001,,0.001,100,5,"[3.3189, 0.0501]","[0.0193, 0.0014]","[0.0189, 0.0012]","[0.0185, 0.001]","[0.0192, 0.0019]","[0.0162, 0.0007]","[0.0926, 0.0034]","[0.0186, 0.0011]","[0.0177, 0.0008]","[0.0168, 0.0007]","[0.0196, 0.0016]","[0.0128, 0.0004]","[0.0191, 0.0022]","[0.0788, 0.0054]","[0.1116, 0.0063]","[0.1399, 0.007]","[0.0415, 0.004]","[0.2536, 0.0087]"
CNCF,100,1,128,128,5E-05,,0.005,100,5,"[3.3562, 0.0508]","[0.022, 0.0016]","[0.0209, 0.0013]","[0.02, 0.0011]","[0.0236, 0.0022]","[0.0166, 0.0007]","[0.0925, 0.0036]","[0.0197, 0.0011]","[0.0181, 0.0009]","[0.017, 0.0007]","[0.0207, 0.0016]","[0.0122, 0.0004]","[0.0229, 0.0025]","[0.0826, 0.0056]","[0.1146, 0.0065]","[0.1427, 0.0071]","[0.043, 0.0041]","[0.2381, 0.0086]"
CNCF,200,1,128,128,0.0001,,0.001,100,5,"[3.5575, 0.0499]","[0.0246, 0.0017]","[0.0224, 0.0014]","[0.0207, 0.0012]","[0.0286, 0.0024]","[0.0156, 0.0007]","[0.0855, 0.004]","[0.0194, 0.0011]","[0.0167, 0.0008]","[0.0151, 0.0007]","[0.0236, 0.0017]","[0.0102, 0.0004]","[0.0286, 0.003]","[0.0819, 0.0056]","[0.1021, 0.0061]","[0.1209, 0.0066]","[0.0519, 0.0046]","[0.1919, 0.0078]"
CNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.5904, 0.0494]","[0.0235, 0.0017]","[0.0211, 0.0014]","[0.0194, 0.0012]","[0.028, 0.0024]","[0.0147, 0.0007]","[0.0826, 0.004]","[0.0179, 0.001]","[0.0154, 0.0008]","[0.014, 0.0007]","[0.0216, 0.0016]","[0.0097, 0.0004]","[0.0299, 0.0032]","[0.0737, 0.0052]","[0.0921, 0.0057]","[0.113, 0.0063]","[0.0463, 0.0043]","[0.186, 0.0077]"
CNCF,200,1,128,128,5E-05,,0.001,100,5,"[3.5858, 0.0494]","[0.0231, 0.0017]","[0.0209, 0.0013]","[0.0194, 0.0012]","[0.0273, 0.0024]","[0.0149, 0.0007]","[0.0821, 0.0038]","[0.0177, 0.001]","[0.0157, 0.0008]","[0.0144, 0.0007]","[0.0221, 0.0016]","[0.0101, 0.0004]","[0.0282, 0.0029]","[0.0736, 0.0053]","[0.0951, 0.0059]","[0.1153, 0.0064]","[0.0475, 0.0043]","[0.1878, 0.0077]"
