model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,200,1,128,128,0.001,,0.005,100,5,"[3.2496, 0.0516]","[0.0301, 0.0019]","[0.027, 0.0015]","[0.0249, 0.0013]","[0.0345, 0.0026]","[0.0191, 0.0008]","[0.1075, 0.0043]","[0.0231, 0.0012]","[0.0197, 0.0009]","[0.0182, 0.0008]","[0.0285, 0.0018]","[0.013, 0.0004]","[0.0362, 0.0034]","[0.097, 0.006]","[0.1202, 0.0066]","[0.1473, 0.0072]","[0.0622, 0.0049]","[0.253, 0.0086]"
IVNCF,200,1,128,128,5E-05,,0.005,100,5,"[3.2545, 0.0516]","[0.0283, 0.0018]","[0.0261, 0.0015]","[0.0244, 0.0013]","[0.0321, 0.0025]","[0.0188, 0.0008]","[0.1043, 0.0039]","[0.0229, 0.0012]","[0.0207, 0.001]","[0.0185, 0.0008]","[0.0283, 0.0019]","[0.0132, 0.0004]","[0.0294, 0.0028]","[0.0929, 0.0058]","[0.1259, 0.0067]","[0.1486, 0.0072]","[0.0612, 0.0049]","[0.2569, 0.0087]"
IVNCF,200,1,128,128,0.0001,,0.005,100,5,"[3.2519, 0.0516]","[0.0265, 0.0018]","[0.0244, 0.0014]","[0.023, 0.0012]","[0.0298, 0.0026]","[0.0184, 0.0008]","[0.1039, 0.0041]","[0.0217, 0.0011]","[0.0198, 0.0009]","[0.0182, 0.0008]","[0.0233, 0.0017]","[0.013, 0.0004]","[0.0311, 0.0032]","[0.0932, 0.0059]","[0.1225, 0.0066]","[0.1517, 0.0072]","[0.0501, 0.0045]","[0.2526, 0.0086]"
IVNCF,100,1,128,128,0.001,,0.001,100,5,"[3.2657, 0.0507]","[0.0275, 0.0018]","[0.0247, 0.0015]","[0.0232, 0.0013]","[0.0325, 0.0025]","[0.0186, 0.0008]","[0.1033, 0.0039]","[0.0201, 0.0011]","[0.0192, 0.0009]","[0.018, 0.0008]","[0.027, 0.0018]","[0.0132, 0.0005]","[0.0304, 0.0029]","[0.0816, 0.0055]","[0.1166, 0.0064]","[0.1437, 0.007]","[0.0569, 0.0047]","[0.2545, 0.0087]"
IVNCF,100,1,128,128,0.001,,0.005,100,5,"[3.2634, 0.0507]","[0.0268, 0.0017]","[0.0244, 0.0014]","[0.0228, 0.0012]","[0.0307, 0.0024]","[0.0184, 0.0008]","[0.103, 0.0038]","[0.0209, 0.0011]","[0.019, 0.0009]","[0.0175, 0.0008]","[0.0276, 0.0018]","[0.0134, 0.0005]","[0.0277, 0.0027]","[0.0874, 0.0057]","[0.1144, 0.0064]","[0.1379, 0.0069]","[0.0581, 0.0047]","[0.2603, 0.0087]"
IVNCF,100,1,128,128,5E-05,,0.001,100,5,"[3.2504, 0.0507]","[0.0237, 0.0016]","[0.0221, 0.0013]","[0.0211, 0.0011]","[0.0261, 0.0023]","[0.0176, 0.0007]","[0.1025, 0.0039]","[0.0206, 0.0011]","[0.0185, 0.0009]","[0.0176, 0.0008]","[0.0229, 0.0017]","[0.0136, 0.0005]","[0.0279, 0.0029]","[0.0899, 0.0059]","[0.1161, 0.0065]","[0.1432, 0.007]","[0.0509, 0.0045]","[0.2631, 0.0087]"
IVNCF,100,1,128,128,0.001,,0.0005,100,5,"[3.2715, 0.0508]","[0.0248, 0.0017]","[0.0233, 0.0014]","[0.0221, 0.0012]","[0.0279, 0.0024]","[0.0179, 0.0008]","[0.1017, 0.004]","[0.021, 0.0011]","[0.0196, 0.0009]","[0.018, 0.0008]","[0.0236, 0.0017]","[0.0131, 0.0004]","[0.0274, 0.003]","[0.0879, 0.0058]","[0.1221, 0.0067]","[0.1478, 0.0072]","[0.0499, 0.0044]","[0.2562, 0.0086]"
IVNCF,100,1,128,128,5E-05,,0.0005,100,5,"[3.279, 0.0509]","[0.0242, 0.0016]","[0.0227, 0.0013]","[0.0215, 0.0012]","[0.0265, 0.0023]","[0.0176, 0.0007]","[0.1009, 0.0039]","[0.021, 0.0011]","[0.0188, 0.0009]","[0.0178, 0.0008]","[0.0243, 0.0017]","[0.0132, 0.0004]","[0.0267, 0.0028]","[0.0902, 0.0059]","[0.1175, 0.0065]","[0.1447, 0.0071]","[0.0533, 0.0046]","[0.2582, 0.0087]"
IVNCF,100,1,128,128,5E-05,,0.005,100,5,"[3.2244, 0.0512]","[0.0235, 0.0016]","[0.0226, 0.0013]","[0.0218, 0.0011]","[0.0238, 0.002]","[0.0184, 0.0007]","[0.1001, 0.0036]","[0.0217, 0.0012]","[0.0201, 0.0009]","[0.0192, 0.0008]","[0.0251, 0.0017]","[0.0138, 0.0005]","[0.0223, 0.0022]","[0.0909, 0.0059]","[0.1204, 0.0065]","[0.1518, 0.0072]","[0.0537, 0.0046]","[0.2627, 0.0087]"
IVNCF,200,1,128,128,5E-05,,0.0005,100,5,"[3.2756, 0.0507]","[0.0226, 0.0016]","[0.0216, 0.0013]","[0.0208, 0.0011]","[0.0244, 0.0021]","[0.0173, 0.0007]","[0.0997, 0.0038]","[0.0202, 0.0011]","[0.0193, 0.0009]","[0.018, 0.0008]","[0.0222, 0.0016]","[0.013, 0.0004]","[0.0239, 0.0027]","[0.0881, 0.0058]","[0.1252, 0.0067]","[0.1533, 0.0073]","[0.051, 0.0046]","[0.2589, 0.0088]"
IVNCF,200,1,128,128,0.001,,0.0005,100,5,"[3.2955, 0.0504]","[0.0235, 0.0016]","[0.0222, 0.0013]","[0.0212, 0.0012]","[0.0259, 0.0022]","[0.0176, 0.0007]","[0.0985, 0.0036]","[0.0206, 0.0011]","[0.0193, 0.0009]","[0.0176, 0.0008]","[0.0229, 0.0017]","[0.0135, 0.0005]","[0.0237, 0.0024]","[0.083, 0.0055]","[0.1145, 0.0064]","[0.135, 0.0068]","[0.0456, 0.0042]","[0.2608, 0.0087]"
IVNCF,200,1,128,128,0.0001,,0.0005,100,5,"[3.2484, 0.0509]","[0.0208, 0.0015]","[0.0204, 0.0012]","[0.0199, 0.0011]","[0.0213, 0.0019]","[0.0172, 0.0007]","[0.0976, 0.0035]","[0.0203, 0.0011]","[0.0188, 0.0009]","[0.0181, 0.0008]","[0.0216, 0.0016]","[0.0135, 0.0005]","[0.0214, 0.0024]","[0.0848, 0.0056]","[0.1182, 0.0065]","[0.1488, 0.0072]","[0.0441, 0.0041]","[0.2652, 0.0088]"
IVNCF,100,1,128,128,0.001,,0.0001,100,5,"[3.2891, 0.05]","[0.0214, 0.0015]","[0.0206, 0.0013]","[0.0199, 0.0011]","[0.0225, 0.0021]","[0.0169, 0.0007]","[0.0963, 0.0035]","[0.0192, 0.0011]","[0.0184, 0.0009]","[0.0172, 0.0007]","[0.022, 0.0016]","[0.0133, 0.0005]","[0.0219, 0.0024]","[0.0786, 0.0054]","[0.1103, 0.0063]","[0.1389, 0.0069]","[0.0445, 0.0041]","[0.2614, 0.0087]"
IVNCF,200,1,128,128,0.0001,,0.001,100,5,"[3.3226, 0.0499]","[0.021, 0.0015]","[0.0201, 0.0013]","[0.0193, 0.0011]","[0.0222, 0.002]","[0.0167, 0.0007]","[0.0961, 0.0037]","[0.0192, 0.0011]","[0.0178, 0.0009]","[0.0168, 0.0008]","[0.0213, 0.0016]","[0.0131, 0.0005]","[0.0243, 0.0028]","[0.0799, 0.0055]","[0.1057, 0.0062]","[0.1315, 0.0067]","[0.0479, 0.0044]","[0.2543, 0.0087]"
IVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[3.3553, 0.051]","[0.0243, 0.0016]","[0.0226, 0.0013]","[0.0213, 0.0012]","[0.0263, 0.0022]","[0.0169, 0.0007]","[0.0954, 0.0038]","[0.0211, 0.0011]","[0.0186, 0.0009]","[0.0169, 0.0007]","[0.0243, 0.0017]","[0.0121, 0.0004]","[0.026, 0.0027]","[0.0922, 0.0059]","[0.1177, 0.0066]","[0.1394, 0.007]","[0.0553, 0.0047]","[0.2365, 0.0085]"
IVNCF,100,1,128,128,0.0001,,0.005,100,5,"[3.2282, 0.0511]","[0.0194, 0.0013]","[0.0198, 0.0012]","[0.0196, 0.001]","[0.0171, 0.0017]","[0.0172, 0.0007]","[0.094, 0.0033]","[0.0215, 0.0011]","[0.02, 0.0009]","[0.0181, 0.0008]","[0.0179, 0.0015]","[0.0134, 0.0005]","[0.0163, 0.0018]","[0.0911, 0.0059]","[0.127, 0.0068]","[0.1502, 0.0073]","[0.0359, 0.0037]","[0.2589, 0.0087]"
IVNCF,200,1,128,128,0.001,,0.001,100,5,"[3.2871, 0.0504]","[0.0203, 0.0015]","[0.0199, 0.0012]","[0.0194, 0.0011]","[0.0204, 0.0019]","[0.0168, 0.0007]","[0.0928, 0.0032]","[0.0197, 0.0011]","[0.0186, 0.0009]","[0.0175, 0.0008]","[0.0211, 0.0016]","[0.0133, 0.0005]","[0.0171, 0.0018]","[0.0801, 0.0054]","[0.1116, 0.0063]","[0.141, 0.007]","[0.0403, 0.0039]","[0.2578, 0.0087]"
IVNCF,200,1,128,128,5E-05,,0.001,100,5,"[3.3255, 0.0497]","[0.0182, 0.0014]","[0.018, 0.0011]","[0.0176, 0.001]","[0.0181, 0.0018]","[0.0157, 0.0007]","[0.0923, 0.0034]","[0.0177, 0.001]","[0.017, 0.0008]","[0.0163, 0.0007]","[0.0195, 0.0016]","[0.0128, 0.0004]","[0.0179, 0.0021]","[0.0768, 0.0054]","[0.1107, 0.0064]","[0.1398, 0.0071]","[0.045, 0.0043]","[0.2558, 0.0088]"
IVNCF,200,1,128,128,0.001,,0.0001,100,5,"[3.3128, 0.0501]","[0.0195, 0.0014]","[0.0189, 0.0012]","[0.0183, 0.001]","[0.0196, 0.0019]","[0.0159, 0.0007]","[0.0916, 0.0033]","[0.0189, 0.0011]","[0.0171, 0.0008]","[0.0162, 0.0007]","[0.0192, 0.0015]","[0.0127, 0.0004]","[0.0177, 0.0021]","[0.0782, 0.0054]","[0.1068, 0.0062]","[0.1336, 0.0068]","[0.0394, 0.0039]","[0.2552, 0.0087]"
IVNCF,200,1,128,128,0.0001,,0.0001,100,5,"[3.4809, 0.0503]","[0.025, 0.0017]","[0.0228, 0.0014]","[0.0211, 0.0012]","[0.0288, 0.0024]","[0.016, 0.0007]","[0.0901, 0.004]","[0.0197, 0.0011]","[0.0173, 0.0009]","[0.0154, 0.0007]","[0.0243, 0.0017]","[0.0106, 0.0004]","[0.0315, 0.0032]","[0.0853, 0.0057]","[0.1083, 0.0063]","[0.1257, 0.0067]","[0.0558, 0.0047]","[0.2078, 0.0081]"
IVNCF,100,1,128,128,5E-05,,0.0001,100,5,"[3.5433, 0.0498]","[0.025, 0.0017]","[0.0224, 0.0014]","[0.0206, 0.0012]","[0.0296, 0.0024]","[0.0153, 0.0007]","[0.0893, 0.0041]","[0.0189, 0.0011]","[0.0162, 0.0008]","[0.0146, 0.0007]","[0.0239, 0.0017]","[0.0103, 0.0004]","[0.0307, 0.0032]","[0.0844, 0.0057]","[0.1072, 0.0064]","[0.1245, 0.0067]","[0.0568, 0.0049]","[0.2024, 0.0081]"
IVNCF,100,1,128,128,0.0001,,0.001,100,5,"[3.3628, 0.0495]","[0.0179, 0.0013]","[0.0178, 0.0011]","[0.0174, 0.001]","[0.0174, 0.0018]","[0.0156, 0.0007]","[0.0887, 0.0032]","[0.0183, 0.0011]","[0.0171, 0.0009]","[0.0161, 0.0007]","[0.0175, 0.0015]","[0.013, 0.0005]","[0.0159, 0.0019]","[0.0752, 0.0053]","[0.1044, 0.0062]","[0.1292, 0.0068]","[0.0335, 0.0036]","[0.2522, 0.0087]"
IVNCF,100,1,128,128,0.0001,,0.0005,100,5,"[3.3354, 0.0492]","[0.0165, 0.0013]","[0.0166, 0.0011]","[0.0165, 0.001]","[0.0164, 0.0018]","[0.0154, 0.0006]","[0.0884, 0.0031]","[0.0172, 0.001]","[0.0166, 0.0008]","[0.0161, 0.0007]","[0.0166, 0.0014]","[0.0131, 0.0004]","[0.0148, 0.0018]","[0.0665, 0.0049]","[0.0972, 0.0059]","[0.1268, 0.0066]","[0.031, 0.0034]","[0.2588, 0.0087]"
IVNCF,200,1,128,128,5E-05,,0.0001,100,5,"[3.6294, 0.0493]","[0.024, 0.0017]","[0.0214, 0.0014]","[0.0197, 0.0012]","[0.0283, 0.0024]","[0.0146, 0.0007]","[0.0817, 0.004]","[0.0181, 0.0011]","[0.0155, 0.0008]","[0.0139, 0.0007]","[0.023, 0.0016]","[0.0096, 0.0004]","[0.0312, 0.0032]","[0.0756, 0.0054]","[0.0952, 0.0059]","[0.113, 0.0064]","[0.0497, 0.0044]","[0.1837, 0.0077]"
