model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,150,1,128,128,5E-05,,0.005,300,5,"[3.016, 0.0529]","[0.0342, 0.002]","[0.0313, 0.0016]","[0.0293, 0.0014]","[0.0382, 0.0028]","[0.0232, 0.0009]","[0.1194, 0.0042]","[0.0281, 0.0013]","[0.0243, 0.0011]","[0.0226, 0.0009]","[0.0327, 0.002]","[0.0164, 0.0005]","[0.0379, 0.0032]","[0.1062, 0.0061]","[0.1326, 0.0066]","[0.1626, 0.0072]","[0.0598, 0.0046]","[0.2822, 0.0088]"
CVNCF,200,1,128,128,0.006667,,0.0006667,300,5,"[3.0796, 0.0527]","[0.035, 0.002]","[0.0314, 0.0017]","[0.0289, 0.0014]","[0.0405, 0.0029]","[0.0222, 0.0009]","[0.1193, 0.0045]","[0.0273, 0.0013]","[0.0228, 0.001]","[0.0208, 0.0008]","[0.0347, 0.002]","[0.0154, 0.0005]","[0.0417, 0.0036]","[0.1072, 0.0062]","[0.1304, 0.0067]","[0.1537, 0.0071]","[0.0711, 0.0052]","[0.2721, 0.0087]"
CVNCF,100,1,128,128,0.003333,,0.0006667,300,5,"[3.0809, 0.053]","[0.035, 0.0021]","[0.0315, 0.0017]","[0.0291, 0.0014]","[0.0408, 0.0029]","[0.0223, 0.0009]","[0.1189, 0.0045]","[0.0275, 0.0013]","[0.0232, 0.001]","[0.0213, 0.0009]","[0.0333, 0.002]","[0.0153, 0.0005]","[0.043, 0.0037]","[0.107, 0.0062]","[0.131, 0.0067]","[0.1578, 0.0072]","[0.0666, 0.005]","[0.2688, 0.0087]"
CNCF,200,1,128,128,0.001,,0.005,100,5,"[3.1025, 0.052]","[0.0312, 0.0019]","[0.0286, 0.0015]","[0.0267, 0.0013]","[0.0353, 0.0026]","[0.021, 0.0008]","[0.1178, 0.0042]","[0.0252, 0.0012]","[0.0225, 0.001]","[0.0204, 0.0008]","[0.031, 0.0019]","[0.015, 0.0005]","[0.0354, 0.0032]","[0.1062, 0.0062]","[0.1387, 0.007]","[0.1618, 0.0074]","[0.0675, 0.0051]","[0.2883, 0.009]"
NCF,200,1,128,128,0.001,,0.005,100,5,"[3.184, 0.0509]","[0.0277, 0.0019]","[0.0254, 0.0015]","[0.024, 0.0013]","[0.0327, 0.0027]","[0.0195, 0.0008]","[0.1121, 0.0042]","[0.0216, 0.0012]","[0.0204, 0.0009]","[0.0193, 0.0008]","[0.0255, 0.0018]","[0.0146, 0.0005]","[0.0351, 0.0034]","[0.0859, 0.0056]","[0.1213, 0.0065]","[0.1491, 0.0071]","[0.0527, 0.0045]","[0.2823, 0.009]"
NCF,100,1,128,128,0.001,,0.005,100,5,"[3.167, 0.0516]","[0.0285, 0.0018]","[0.0263, 0.0015]","[0.0248, 0.0013]","[0.032, 0.0025]","[0.0199, 0.0008]","[0.1108, 0.004]","[0.0235, 0.0012]","[0.0209, 0.001]","[0.0195, 0.0008]","[0.0277, 0.0019]","[0.0145, 0.0005]","[0.0315, 0.003]","[0.0947, 0.0058]","[0.1244, 0.0065]","[0.1541, 0.0072]","[0.0567, 0.0046]","[0.2769, 0.0089]"
VNCF,200,1,128,128,0.001,,0.005,100,5,"[3.2412, 0.0514]","[0.03, 0.0019]","[0.0271, 0.0015]","[0.0251, 0.0013]","[0.0345, 0.0027]","[0.0193, 0.0008]","[0.1092, 0.0043]","[0.0233, 0.0012]","[0.0203, 0.0009]","[0.0182, 0.0008]","[0.0276, 0.0018]","[0.0135, 0.0005]","[0.0346, 0.0033]","[0.0994, 0.0061]","[0.1244, 0.0067]","[0.1455, 0.0071]","[0.0586, 0.0048]","[0.2611, 0.0087]"
IVNCF,200,1,128,128,0.001,,0.005,100,5,"[3.2496, 0.0516]","[0.0301, 0.0019]","[0.027, 0.0015]","[0.0249, 0.0013]","[0.0345, 0.0026]","[0.0191, 0.0008]","[0.1075, 0.0043]","[0.0231, 0.0012]","[0.0197, 0.0009]","[0.0182, 0.0008]","[0.0285, 0.0018]","[0.013, 0.0004]","[0.0362, 0.0034]","[0.097, 0.006]","[0.1202, 0.0066]","[0.1473, 0.0072]","[0.0622, 0.0049]","[0.253, 0.0086]"
INCF,200,1,128,128,0.0001,,0.005,100,5,"[3.1635, 0.0517]","[0.0267, 0.0017]","[0.0252, 0.0014]","[0.024, 0.0012]","[0.0283, 0.0023]","[0.0194, 0.0008]","[0.1068, 0.0038]","[0.0235, 0.0012]","[0.0213, 0.001]","[0.0197, 0.0008]","[0.0273, 0.0018]","[0.0141, 0.0005]","[0.0281, 0.0027]","[0.0968, 0.006]","[0.1298, 0.0068]","[0.1574, 0.0073]","[0.0597, 0.0048]","[0.2712, 0.0088]"
INCF,200,1,128,128,0.001,,0.005,100,5,"[3.1378, 0.0516]","[0.025, 0.0016]","[0.0241, 0.0014]","[0.0233, 0.0012]","[0.0251, 0.0021]","[0.0195, 0.0008]","[0.1064, 0.0037]","[0.0237, 0.0012]","[0.0218, 0.001]","[0.02, 0.0008]","[0.0266, 0.0018]","[0.0147, 0.0005]","[0.0239, 0.0024]","[0.0976, 0.006]","[0.1331, 0.0069]","[0.1601, 0.0074]","[0.0554, 0.0047]","[0.2815, 0.0089]"
VNCF,100,1,128,128,0.0001,,0.005,100,5,"[3.249, 0.0515]","[0.028, 0.0018]","[0.0259, 0.0015]","[0.0241, 0.0013]","[0.0311, 0.0026]","[0.0186, 0.0008]","[0.1062, 0.0042]","[0.0233, 0.0012]","[0.0202, 0.0009]","[0.0179, 0.0008]","[0.0265, 0.0018]","[0.0133, 0.0004]","[0.0329, 0.0033]","[0.1001, 0.0062]","[0.1262, 0.0067]","[0.1483, 0.0072]","[0.0559, 0.0047]","[0.2573, 0.0087]"
CNCF,200,1,128,128,0.0001,,0.005,100,5,"[3.1574, 0.0519]","[0.0262, 0.0017]","[0.0251, 0.0014]","[0.024, 0.0012]","[0.0274, 0.0022]","[0.0197, 0.0008]","[0.1059, 0.0037]","[0.0239, 0.0012]","[0.022, 0.001]","[0.0204, 0.0008]","[0.0267, 0.0018]","[0.0143, 0.0005]","[0.0256, 0.0025]","[0.096, 0.0059]","[0.131, 0.0067]","[0.1616, 0.0073]","[0.054, 0.0046]","[0.2729, 0.0088]"
VNCF,100,1,128,128,0.001,,0.001,100,5,"[3.2085, 0.0512]","[0.025, 0.0017]","[0.0236, 0.0014]","[0.0225, 0.0012]","[0.0276, 0.0023]","[0.0185, 0.0008]","[0.1048, 0.0039]","[0.0215, 0.0012]","[0.02, 0.0009]","[0.0189, 0.0008]","[0.0241, 0.0017]","[0.0137, 0.0005]","[0.0271, 0.0028]","[0.0918, 0.0059]","[0.125, 0.0067]","[0.1544, 0.0073]","[0.0509, 0.0045]","[0.268, 0.0088]"
NCF,200,1,128,128,0.0001,,0.005,100,5,"[3.2143, 0.0517]","[0.0271, 0.0018]","[0.0252, 0.0015]","[0.0239, 0.0013]","[0.03, 0.0024]","[0.0192, 0.0008]","[0.1045, 0.0038]","[0.0228, 0.0012]","[0.0208, 0.001]","[0.0194, 0.0008]","[0.0274, 0.0019]","[0.0137, 0.0005]","[0.0273, 0.0026]","[0.091, 0.0058]","[0.1267, 0.0067]","[0.159, 0.0074]","[0.0554, 0.0046]","[0.2655, 0.0089]"
IVNCF,200,1,128,128,5E-05,,0.005,100,5,"[3.2545, 0.0516]","[0.0283, 0.0018]","[0.0261, 0.0015]","[0.0244, 0.0013]","[0.0321, 0.0025]","[0.0188, 0.0008]","[0.1043, 0.0039]","[0.0229, 0.0012]","[0.0207, 0.001]","[0.0185, 0.0008]","[0.0283, 0.0019]","[0.0132, 0.0004]","[0.0294, 0.0028]","[0.0929, 0.0058]","[0.1259, 0.0067]","[0.1486, 0.0072]","[0.0612, 0.0049]","[0.2569, 0.0087]"
IVNCF,200,1,128,128,0.0001,,0.005,100,5,"[3.2519, 0.0516]","[0.0265, 0.0018]","[0.0244, 0.0014]","[0.023, 0.0012]","[0.0298, 0.0026]","[0.0184, 0.0008]","[0.1039, 0.0041]","[0.0217, 0.0011]","[0.0198, 0.0009]","[0.0182, 0.0008]","[0.0233, 0.0017]","[0.013, 0.0004]","[0.0311, 0.0032]","[0.0932, 0.0059]","[0.1225, 0.0066]","[0.1517, 0.0072]","[0.0501, 0.0045]","[0.2526, 0.0086]"
CNCF,100,1,128,128,0.001,,0.005,100,5,"[3.2025, 0.051]","[0.025, 0.0017]","[0.0236, 0.0014]","[0.0226, 0.0012]","[0.0268, 0.0023]","[0.0188, 0.0008]","[0.1032, 0.0036]","[0.0217, 0.0012]","[0.0202, 0.0009]","[0.0189, 0.0008]","[0.0254, 0.0018]","[0.0142, 0.0005]","[0.0234, 0.0023]","[0.0878, 0.0057]","[0.1232, 0.0066]","[0.1532, 0.0073]","[0.0513, 0.0044]","[0.2695, 0.0088]"
INCF,200,1,128,128,0.001,,0.001,100,5,"[3.2207, 0.0511]","[0.0238, 0.0016]","[0.0226, 0.0013]","[0.0215, 0.0011]","[0.0253, 0.0022]","[0.0178, 0.0007]","[0.1013, 0.0037]","[0.0215, 0.0011]","[0.0193, 0.0009]","[0.0182, 0.0008]","[0.0243, 0.0017]","[0.0134, 0.0004]","[0.0228, 0.0024]","[0.0935, 0.0059]","[0.1214, 0.0066]","[0.1494, 0.0072]","[0.0536, 0.0046]","[0.2632, 0.0087]"
