model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,200,1,128,128,0.001,,0.005,100,5,"[3.2412, 0.0514]","[0.03, 0.0019]","[0.0271, 0.0015]","[0.0251, 0.0013]","[0.0345, 0.0027]","[0.0193, 0.0008]","[0.1092, 0.0043]","[0.0233, 0.0012]","[0.0203, 0.0009]","[0.0182, 0.0008]","[0.0276, 0.0018]","[0.0135, 0.0005]","[0.0346, 0.0033]","[0.0994, 0.0061]","[0.1244, 0.0067]","[0.1455, 0.0071]","[0.0586, 0.0048]","[0.2611, 0.0087]"
VNCF,100,1,128,128,0.0001,,0.005,100,5,"[3.249, 0.0515]","[0.028, 0.0018]","[0.0259, 0.0015]","[0.0241, 0.0013]","[0.0311, 0.0026]","[0.0186, 0.0008]","[0.1062, 0.0042]","[0.0233, 0.0012]","[0.0202, 0.0009]","[0.0179, 0.0008]","[0.0265, 0.0018]","[0.0133, 0.0004]","[0.0329, 0.0033]","[0.1001, 0.0062]","[0.1262, 0.0067]","[0.1483, 0.0072]","[0.0559, 0.0047]","[0.2573, 0.0087]"
VNCF,100,1,128,128,0.001,,0.001,100,5,"[3.2085, 0.0512]","[0.025, 0.0017]","[0.0236, 0.0014]","[0.0225, 0.0012]","[0.0276, 0.0023]","[0.0185, 0.0008]","[0.1048, 0.0039]","[0.0215, 0.0012]","[0.02, 0.0009]","[0.0189, 0.0008]","[0.0241, 0.0017]","[0.0137, 0.0005]","[0.0271, 0.0028]","[0.0918, 0.0059]","[0.125, 0.0067]","[0.1544, 0.0073]","[0.0509, 0.0045]","[0.268, 0.0088]"
VNCF,100,1,128,128,0.0001,,0.0001,100,5,"[3.3212, 0.0515]","[0.0264, 0.0017]","[0.0244, 0.0014]","[0.0228, 0.0012]","[0.0295, 0.0024]","[0.0178, 0.0007]","[0.1007, 0.0042]","[0.0217, 0.0012]","[0.0192, 0.0009]","[0.0176, 0.0007]","[0.0257, 0.0018]","[0.0123, 0.0004]","[0.0323, 0.0032]","[0.0963, 0.0061]","[0.1223, 0.0067]","[0.1481, 0.0072]","[0.0582, 0.0048]","[0.2387, 0.0085]"
VNCF,100,1,128,128,0.0001,,0.0005,100,5,"[3.2432, 0.0505]","[0.0213, 0.0015]","[0.0207, 0.0013]","[0.0201, 0.0011]","[0.0219, 0.002]","[0.0173, 0.0007]","[0.1001, 0.0036]","[0.0202, 0.0011]","[0.0191, 0.0009]","[0.0178, 0.0008]","[0.0218, 0.0016]","[0.0137, 0.0005]","[0.0216, 0.0024]","[0.0862, 0.0057]","[0.1197, 0.0066]","[0.145, 0.0071]","[0.0481, 0.0044]","[0.2713, 0.0089]"
VNCF,100,1,128,128,5E-05,,0.005,100,5,"[3.2022, 0.051]","[0.0209, 0.0015]","[0.0208, 0.0012]","[0.0204, 0.0011]","[0.0212, 0.002]","[0.0178, 0.0007]","[0.099, 0.0034]","[0.0214, 0.0012]","[0.0196, 0.0009]","[0.0191, 0.0008]","[0.0209, 0.0016]","[0.014, 0.0005]","[0.0205, 0.0022]","[0.0871, 0.0057]","[0.1203, 0.0066]","[0.1528, 0.0072]","[0.0424, 0.004]","[0.271, 0.0088]"
VNCF,200,1,128,128,0.0001,,0.0005,100,5,"[3.286, 0.0503]","[0.0227, 0.0016]","[0.0215, 0.0013]","[0.0206, 0.0011]","[0.0244, 0.0021]","[0.0173, 0.0007]","[0.098, 0.0037]","[0.0198, 0.0011]","[0.0185, 0.0009]","[0.0174, 0.0008]","[0.0232, 0.0017]","[0.0132, 0.0005]","[0.024, 0.0025]","[0.0828, 0.0056]","[0.1138, 0.0064]","[0.1417, 0.007]","[0.0496, 0.0044]","[0.2557, 0.0086]"
VNCF,100,1,128,128,5E-05,,0.0005,100,5,"[3.2935, 0.0509]","[0.0224, 0.0015]","[0.0214, 0.0013]","[0.0206, 0.0011]","[0.0232, 0.0021]","[0.0171, 0.0007]","[0.0978, 0.0037]","[0.0209, 0.0011]","[0.0186, 0.0009]","[0.0176, 0.0007]","[0.0238, 0.0017]","[0.013, 0.0004]","[0.0236, 0.0026]","[0.0887, 0.0058]","[0.1191, 0.0066]","[0.146, 0.0071]","[0.0549, 0.0047]","[0.2559, 0.0087]"
VNCF,200,1,128,128,5E-05,,0.0005,100,5,"[3.2634, 0.0512]","[0.0233, 0.0016]","[0.0221, 0.0013]","[0.0212, 0.0011]","[0.0247, 0.0022]","[0.0176, 0.0007]","[0.0968, 0.0036]","[0.0208, 0.0011]","[0.0193, 0.0009]","[0.0182, 0.0008]","[0.0223, 0.0016]","[0.0129, 0.0004]","[0.0227, 0.0024]","[0.0883, 0.0058]","[0.1199, 0.0066]","[0.1472, 0.0071]","[0.0458, 0.0042]","[0.2507, 0.0086]"
VNCF,200,1,128,128,0.001,,0.001,100,5,"[3.3642, 0.05]","[0.0235, 0.0017]","[0.0217, 0.0014]","[0.0205, 0.0012]","[0.0272, 0.0023]","[0.0166, 0.0007]","[0.096, 0.0039]","[0.0194, 0.0011]","[0.0174, 0.0009]","[0.0163, 0.0007]","[0.0228, 0.0017]","[0.0125, 0.0004]","[0.0291, 0.0031]","[0.0803, 0.0055]","[0.1047, 0.0061]","[0.1293, 0.0067]","[0.0503, 0.0045]","[0.2416, 0.0085]"
