model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.0001,,0.001,300,10,"[3.0451, 0.0526]","[0.0343, 0.002]","[0.0312, 0.0016]","[0.0291, 0.0014]","[0.0397, 0.0028]","[0.0228, 0.0009]","[0.1197, 0.0043]","[0.027, 0.0013]","[0.0242, 0.001]","[0.022, 0.0009]","[0.0331, 0.002]","[0.016, 0.0005]","[0.038, 0.0033]","[0.1046, 0.0061]","[0.1375, 0.0068]","[0.1623, 0.0073]","[0.0673, 0.005]","[0.2797, 0.0088]"
CVNCF,250,1,128,128,0.001,,0.001,300,10,"[3.0959, 0.0528]","[0.0345, 0.002]","[0.0312, 0.0016]","[0.0289, 0.0014]","[0.0395, 0.0028]","[0.0221, 0.0009]","[0.1178, 0.0045]","[0.027, 0.0013]","[0.0235, 0.001]","[0.0211, 0.0009]","[0.0337, 0.002]","[0.0153, 0.0005]","[0.0412, 0.0036]","[0.106, 0.0062]","[0.1332, 0.0067]","[0.1558, 0.0071]","[0.0671, 0.0051]","[0.2669, 0.0086]"
CVNCF,250,1,128,128,0.001,,0.0005,300,10,"[3.0777, 0.0529]","[0.0337, 0.002]","[0.0309, 0.0016]","[0.0287, 0.0014]","[0.0383, 0.0028]","[0.0221, 0.0009]","[0.1178, 0.0044]","[0.028, 0.0014]","[0.0237, 0.001]","[0.0213, 0.0009]","[0.0315, 0.002]","[0.0154, 0.0005]","[0.0409, 0.0036]","[0.1087, 0.0062]","[0.1328, 0.0067]","[0.1557, 0.0071]","[0.0611, 0.0048]","[0.2701, 0.0087]"
CVNCF,250,1,128,128,0.01,,0.005,300,10,"[3.1018, 0.0529]","[0.0347, 0.002]","[0.0313, 0.0017]","[0.029, 0.0014]","[0.04, 0.0029]","[0.0221, 0.0009]","[0.1172, 0.0045]","[0.0268, 0.0013]","[0.0236, 0.001]","[0.0212, 0.0008]","[0.0337, 0.002]","[0.0151, 0.0005]","[0.0416, 0.0036]","[0.1053, 0.0062]","[0.1335, 0.0068]","[0.1574, 0.0072]","[0.067, 0.0051]","[0.2641, 0.0086]"
CVNCF,250,1,128,128,0.01,,0.0005,300,10,"[3.0938, 0.0526]","[0.0337, 0.002]","[0.0305, 0.0016]","[0.0284, 0.0014]","[0.0393, 0.0028]","[0.022, 0.0009]","[0.1172, 0.0045]","[0.0259, 0.0013]","[0.0234, 0.001]","[0.0214, 0.0008]","[0.0329, 0.002]","[0.0153, 0.0005]","[0.0408, 0.0036]","[0.1009, 0.006]","[0.1327, 0.0067]","[0.1587, 0.0072]","[0.0669, 0.0051]","[0.2671, 0.0086]"
CVNCF,250,1,128,128,0.01,,0.001,300,10,"[3.1026, 0.0526]","[0.0331, 0.002]","[0.0302, 0.0016]","[0.0282, 0.0014]","[0.0382, 0.0028]","[0.0219, 0.0009]","[0.1158, 0.0044]","[0.0259, 0.0013]","[0.0235, 0.001]","[0.0215, 0.0009]","[0.0312, 0.002]","[0.0151, 0.0005]","[0.0409, 0.0036]","[0.0995, 0.006]","[0.1334, 0.0067]","[0.1567, 0.0071]","[0.0614, 0.0049]","[0.2637, 0.0086]"
CVNCF,250,1,128,128,0.01,,0.0001,300,10,"[3.1274, 0.0521]","[0.0311, 0.0019]","[0.0285, 0.0016]","[0.0267, 0.0014]","[0.0358, 0.0027]","[0.0212, 0.0008]","[0.1131, 0.0043]","[0.0249, 0.0013]","[0.0225, 0.001]","[0.0206, 0.0009]","[0.0295, 0.0019]","[0.0151, 0.0005]","[0.0375, 0.0034]","[0.0943, 0.0058]","[0.1251, 0.0066]","[0.1499, 0.007]","[0.0618, 0.0049]","[0.2645, 0.0086]"
CVNCF,250,1,128,128,0.001,,0.0001,300,10,"[3.054, 0.0524]","[0.0298, 0.0018]","[0.0281, 0.0015]","[0.0268, 0.0013]","[0.0325, 0.0025]","[0.0219, 0.0008]","[0.1131, 0.004]","[0.0258, 0.0013]","[0.0239, 0.0011]","[0.0222, 0.0009]","[0.0291, 0.0019]","[0.0161, 0.0005]","[0.0313, 0.0028]","[0.0973, 0.0058]","[0.1331, 0.0067]","[0.1612, 0.0072]","[0.0575, 0.0046]","[0.2767, 0.0086]"
CVNCF,250,1,128,128,0.0001,,0.0001,300,10,"[3.2198, 0.0521]","[0.0309, 0.0019]","[0.028, 0.0015]","[0.026, 0.0013]","[0.0358, 0.0026]","[0.0199, 0.0008]","[0.1065, 0.0042]","[0.0237, 0.0012]","[0.0212, 0.001]","[0.0193, 0.0008]","[0.0303, 0.0019]","[0.0136, 0.0005]","[0.0361, 0.0033]","[0.0947, 0.0059]","[0.1241, 0.0066]","[0.1471, 0.007]","[0.0641, 0.005]","[0.242, 0.0083]"
CVNCF,250,1,128,128,0.0001,,0.0005,300,10,"[3.1579, 0.0514]","[0.0267, 0.0018]","[0.0253, 0.0015]","[0.0243, 0.0013]","[0.0289, 0.0024]","[0.0203, 0.0008]","[0.1035, 0.0037]","[0.0232, 0.0013]","[0.0223, 0.001]","[0.0208, 0.0009]","[0.0267, 0.0018]","[0.0154, 0.0005]","[0.0269, 0.0025]","[0.0804, 0.0053]","[0.1137, 0.0061]","[0.1426, 0.0068]","[0.0483, 0.0042]","[0.2636, 0.0086]"
