model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,200,1,128,128,0.003333,,0.0001,300,10,"[2.9701, 0.0531]","[0.0346, 0.002]","[0.0321, 0.0016]","[0.0301, 0.0014]","[0.0379, 0.0028]","[0.0236, 0.0009]","[0.122, 0.0042]","[0.0295, 0.0014]","[0.0257, 0.0011]","[0.0232, 0.0009]","[0.0332, 0.002]","[0.0167, 0.0005]","[0.039, 0.0033]","[0.1121, 0.0063]","[0.1436, 0.0069]","[0.1683, 0.0073]","[0.0621, 0.0047]","[0.2894, 0.0088]"
CVNCF,200,1,128,128,0.01,,0.0001,300,10,"[3.0499, 0.0527]","[0.0329, 0.002]","[0.0301, 0.0016]","[0.0282, 0.0014]","[0.0379, 0.0028]","[0.0223, 0.0009]","[0.1196, 0.0045]","[0.0264, 0.0013]","[0.0238, 0.001]","[0.0217, 0.0009]","[0.0294, 0.0019]","[0.0159, 0.0005]","[0.0408, 0.0036]","[0.1043, 0.0061]","[0.1368, 0.0068]","[0.1616, 0.0072]","[0.0606, 0.0048]","[0.2759, 0.0087]"
CVNCF,250,1,128,128,0.003333,,0.0001,300,10,"[3.0243, 0.0528]","[0.0342, 0.002]","[0.0314, 0.0017]","[0.0293, 0.0014]","[0.0384, 0.0028]","[0.0229, 0.0009]","[0.1196, 0.0042]","[0.0276, 0.0013]","[0.0248, 0.0011]","[0.0223, 0.0009]","[0.0332, 0.002]","[0.0161, 0.0005]","[0.0368, 0.0032]","[0.1075, 0.0062]","[0.1383, 0.0068]","[0.1624, 0.0072]","[0.0669, 0.005]","[0.2827, 0.0088]"
CVNCF,100,1,128,128,0.0006667,,0.0006667,300,10,"[3.0246, 0.0529]","[0.0342, 0.002]","[0.0315, 0.0017]","[0.0296, 0.0014]","[0.0385, 0.0028]","[0.0232, 0.0009]","[0.1193, 0.0042]","[0.0283, 0.0014]","[0.0249, 0.0011]","[0.0229, 0.0009]","[0.0338, 0.002]","[0.0163, 0.0005]","[0.0357, 0.0032]","[0.1068, 0.0061]","[0.1367, 0.0068]","[0.1656, 0.0073]","[0.0647, 0.0049]","[0.2795, 0.0087]"
CVNCF,250,1,128,128,0.001,,0.0006667,300,10,"[3.0726, 0.0528]","[0.0345, 0.002]","[0.0313, 0.0016]","[0.029, 0.0014]","[0.0395, 0.0028]","[0.0223, 0.0009]","[0.1188, 0.0045]","[0.0271, 0.0013]","[0.0237, 0.001]","[0.0215, 0.0009]","[0.0339, 0.002]","[0.0154, 0.0005]","[0.0418, 0.0036]","[0.1052, 0.0062]","[0.1348, 0.0068]","[0.1583, 0.0072]","[0.0701, 0.0052]","[0.271, 0.0087]"
CVNCF,200,1,128,128,5E-05,,0.005,300,10,"[3.0962, 0.0528]","[0.0351, 0.0021]","[0.0316, 0.0017]","[0.0292, 0.0014]","[0.0411, 0.0029]","[0.0222, 0.0009]","[0.1187, 0.0045]","[0.0271, 0.0013]","[0.0231, 0.001]","[0.0214, 0.0009]","[0.0342, 0.002]","[0.0153, 0.0005]","[0.0426, 0.0037]","[0.1043, 0.0061]","[0.1296, 0.0066]","[0.1569, 0.0071]","[0.0707, 0.0052]","[0.2677, 0.0086]"
CVNCF,200,1,128,128,0.006667,,0.0005,300,10,"[3.0876, 0.0529]","[0.0349, 0.002]","[0.0315, 0.0017]","[0.0292, 0.0014]","[0.0401, 0.0029]","[0.0222, 0.0009]","[0.1184, 0.0045]","[0.0276, 0.0013]","[0.0237, 0.001]","[0.021, 0.0008]","[0.0329, 0.002]","[0.0153, 0.0005]","[0.0424, 0.0036]","[0.1081, 0.0062]","[0.134, 0.0068]","[0.1563, 0.0072]","[0.0644, 0.0049]","[0.2681, 0.0086]"
CVNCF,250,1,128,128,0.003333,,0.0006667,300,10,"[3.0844, 0.0529]","[0.0342, 0.002]","[0.0312, 0.0017]","[0.029, 0.0014]","[0.0395, 0.0028]","[0.0222, 0.0009]","[0.1183, 0.0045]","[0.0275, 0.0013]","[0.0239, 0.001]","[0.0214, 0.0009]","[0.0331, 0.002]","[0.0154, 0.0005]","[0.0419, 0.0036]","[0.1075, 0.0062]","[0.1342, 0.0068]","[0.1578, 0.0072]","[0.0659, 0.005]","[0.2708, 0.0087]"
CVNCF,100,1,128,128,0.003333,,0.0001,300,10,"[2.9997, 0.0527]","[0.0326, 0.0019]","[0.0302, 0.0016]","[0.0285, 0.0014]","[0.0358, 0.0027]","[0.0227, 0.0009]","[0.1183, 0.0041]","[0.0275, 0.0013]","[0.0246, 0.001]","[0.0226, 0.0009]","[0.0319, 0.002]","[0.0163, 0.0005]","[0.0343, 0.0031]","[0.1057, 0.0061]","[0.1377, 0.0068]","[0.1671, 0.0073]","[0.0625, 0.0048]","[0.2855, 0.0088]"
CVNCF,250,1,128,128,0.0006667,,0.001,300,10,"[3.0887, 0.0528]","[0.0342, 0.002]","[0.0311, 0.0016]","[0.0288, 0.0014]","[0.0389, 0.0028]","[0.0221, 0.0009]","[0.1182, 0.0045]","[0.0273, 0.0013]","[0.0235, 0.001]","[0.0212, 0.0008]","[0.0337, 0.002]","[0.0153, 0.0005]","[0.0429, 0.0037]","[0.107, 0.0062]","[0.1324, 0.0067]","[0.1571, 0.0072]","[0.0695, 0.0052]","[0.2686, 0.0087]"
CVNCF,100,1,128,128,0.0001,,0.005,300,10,"[3.0761, 0.0529]","[0.0347, 0.002]","[0.0315, 0.0017]","[0.0292, 0.0014]","[0.0404, 0.0029]","[0.0223, 0.0009]","[0.1182, 0.0045]","[0.0267, 0.0013]","[0.0237, 0.001]","[0.0217, 0.0009]","[0.0332, 0.002]","[0.0152, 0.0005]","[0.0422, 0.0036]","[0.1048, 0.0061]","[0.1355, 0.0068]","[0.1595, 0.0072]","[0.0665, 0.0051]","[0.2669, 0.0087]"
CVNCF,100,1,128,128,0.01,,0.005,300,10,"[3.0791, 0.0529]","[0.0343, 0.002]","[0.0311, 0.0016]","[0.0289, 0.0014]","[0.0394, 0.0028]","[0.0222, 0.0009]","[0.1181, 0.0045]","[0.0272, 0.0013]","[0.0234, 0.001]","[0.0214, 0.0009]","[0.0331, 0.002]","[0.0153, 0.0005]","[0.0416, 0.0036]","[0.1065, 0.0062]","[0.1332, 0.0068]","[0.1589, 0.0072]","[0.0672, 0.0051]","[0.2678, 0.0086]"
CVNCF,250,1,128,128,0.0006667,,0.005,300,10,"[3.07, 0.0529]","[0.034, 0.002]","[0.031, 0.0017]","[0.0289, 0.0014]","[0.0394, 0.0029]","[0.0223, 0.0009]","[0.1181, 0.0045]","[0.0269, 0.0013]","[0.0237, 0.001]","[0.0216, 0.0009]","[0.0311, 0.002]","[0.0153, 0.0005]","[0.0411, 0.0036]","[0.1058, 0.0062]","[0.1339, 0.0067]","[0.1594, 0.0072]","[0.0615, 0.0049]","[0.2696, 0.0087]"
CVNCF,200,1,128,128,0.0006667,,0.005,300,10,"[3.0983, 0.0527]","[0.0348, 0.002]","[0.0315, 0.0017]","[0.0291, 0.0014]","[0.0403, 0.0029]","[0.0222, 0.0009]","[0.1181, 0.0045]","[0.0268, 0.0013]","[0.0236, 0.001]","[0.0214, 0.0009]","[0.0345, 0.002]","[0.0153, 0.0005]","[0.042, 0.0036]","[0.1039, 0.0061]","[0.1333, 0.0068]","[0.157, 0.0072]","[0.0707, 0.0052]","[0.267, 0.0086]"
CVNCF,150,1,128,128,0.003333,,0.0006667,300,10,"[3.0689, 0.053]","[0.0341, 0.0021]","[0.0311, 0.0017]","[0.0288, 0.0014]","[0.0394, 0.0029]","[0.0223, 0.0009]","[0.1181, 0.0045]","[0.0278, 0.0013]","[0.0235, 0.001]","[0.0214, 0.0009]","[0.0314, 0.002]","[0.0153, 0.0005]","[0.0416, 0.0036]","[0.1082, 0.0062]","[0.1334, 0.0067]","[0.1565, 0.0071]","[0.0605, 0.0048]","[0.2698, 0.0087]"
CVNCF,100,1,128,128,0.0003333,,0.005,300,10,"[3.0927, 0.0528]","[0.0347, 0.002]","[0.0314, 0.0017]","[0.0291, 0.0014]","[0.0404, 0.0029]","[0.0222, 0.0009]","[0.1181, 0.0045]","[0.0265, 0.0013]","[0.024, 0.001]","[0.0213, 0.0009]","[0.0335, 0.002]","[0.0153, 0.0005]","[0.0421, 0.0036]","[0.1029, 0.0061]","[0.1353, 0.0068]","[0.1581, 0.0072]","[0.0667, 0.0051]","[0.2661, 0.0087]"
CVNCF,250,1,128,128,0.006667,,0.0006667,300,10,"[3.1012, 0.0525]","[0.0338, 0.002]","[0.0308, 0.0016]","[0.0286, 0.0014]","[0.0392, 0.0028]","[0.022, 0.0009]","[0.118, 0.0045]","[0.0265, 0.0013]","[0.0234, 0.001]","[0.021, 0.0009]","[0.0327, 0.002]","[0.0154, 0.0005]","[0.0413, 0.0036]","[0.103, 0.0061]","[0.1321, 0.0067]","[0.1545, 0.0071]","[0.0673, 0.0051]","[0.2701, 0.0087]"
CVNCF,150,1,128,128,0.001,,0.0006667,300,10,"[3.0836, 0.0528]","[0.0343, 0.002]","[0.0311, 0.0017]","[0.0288, 0.0014]","[0.0396, 0.0028]","[0.0221, 0.0009]","[0.118, 0.0045]","[0.0274, 0.0013]","[0.0233, 0.001]","[0.021, 0.0008]","[0.0334, 0.002]","[0.0154, 0.0005]","[0.0419, 0.0036]","[0.1077, 0.0062]","[0.1326, 0.0067]","[0.1564, 0.0072]","[0.067, 0.0051]","[0.2693, 0.0087]"
CVNCF,150,1,128,128,0.003333,,0.003333,300,10,"[3.0865, 0.0527]","[0.0341, 0.002]","[0.031, 0.0016]","[0.0288, 0.0014]","[0.0395, 0.0028]","[0.0221, 0.0009]","[0.118, 0.0045]","[0.0265, 0.0013]","[0.0237, 0.001]","[0.0212, 0.0009]","[0.0334, 0.002]","[0.0153, 0.0005]","[0.0413, 0.0036]","[0.1045, 0.0061]","[0.1338, 0.0067]","[0.156, 0.0071]","[0.0664, 0.005]","[0.27, 0.0087]"
CVNCF,250,1,128,128,0.0003333,,0.005,300,10,"[3.0807, 0.0526]","[0.0337, 0.002]","[0.0305, 0.0016]","[0.0283, 0.0014]","[0.0384, 0.0028]","[0.0219, 0.0009]","[0.118, 0.0044]","[0.0264, 0.0013]","[0.023, 0.001]","[0.021, 0.0008]","[0.0327, 0.002]","[0.0155, 0.0005]","[0.0416, 0.0036]","[0.1047, 0.0061]","[0.1305, 0.0066]","[0.1549, 0.0071]","[0.065, 0.005]","[0.2718, 0.0087]"
CVNCF,200,1,128,128,0.01,,0.005,300,10,"[3.0855, 0.0529]","[0.0345, 0.002]","[0.0314, 0.0017]","[0.0291, 0.0014]","[0.0394, 0.0028]","[0.0223, 0.0009]","[0.1179, 0.0045]","[0.0272, 0.0013]","[0.0238, 0.001]","[0.0213, 0.0009]","[0.0331, 0.002]","[0.0152, 0.0005]","[0.0413, 0.0036]","[0.1068, 0.0062]","[0.1341, 0.0068]","[0.1585, 0.0072]","[0.0669, 0.0051]","[0.2677, 0.0086]"
CVNCF,250,1,128,128,0.001,,0.0005,300,10,"[3.0676, 0.0529]","[0.0337, 0.002]","[0.0307, 0.0016]","[0.0286, 0.0014]","[0.0381, 0.0028]","[0.0222, 0.0009]","[0.1179, 0.0044]","[0.0274, 0.0013]","[0.0236, 0.001]","[0.0216, 0.0009]","[0.0323, 0.002]","[0.0154, 0.0005]","[0.0416, 0.0036]","[0.1079, 0.0062]","[0.134, 0.0068]","[0.1596, 0.0072]","[0.0658, 0.005]","[0.2703, 0.0087]"
CVNCF,200,1,128,128,0.006667,,0.0001,300,10,"[3.0216, 0.0524]","[0.0323, 0.002]","[0.0297, 0.0016]","[0.028, 0.0014]","[0.0363, 0.0027]","[0.0225, 0.0009]","[0.1179, 0.0041]","[0.0263, 0.0013]","[0.0237, 0.001]","[0.0221, 0.0009]","[0.0315, 0.002]","[0.0163, 0.0005]","[0.0354, 0.0031]","[0.1006, 0.0059]","[0.1325, 0.0067]","[0.1615, 0.0072]","[0.0607, 0.0047]","[0.2851, 0.0088]"
CVNCF,200,1,128,128,0.0006667,,0.001,300,10,"[3.012, 0.0525]","[0.0319, 0.0019]","[0.0297, 0.0016]","[0.0282, 0.0014]","[0.0355, 0.0027]","[0.0228, 0.0009]","[0.1179, 0.0041]","[0.0269, 0.0013]","[0.0245, 0.0011]","[0.0227, 0.0009]","[0.0303, 0.0019]","[0.0166, 0.0005]","[0.0353, 0.0031]","[0.0997, 0.0059]","[0.133, 0.0067]","[0.1639, 0.0073]","[0.0539, 0.0044]","[0.2883, 0.0088]"
CVNCF,100,1,128,128,0.006667,,0.0006667,300,10,"[3.0836, 0.0526]","[0.034, 0.002]","[0.0308, 0.0016]","[0.0286, 0.0014]","[0.0391, 0.0028]","[0.0221, 0.0009]","[0.1178, 0.0045]","[0.0263, 0.0013]","[0.0232, 0.001]","[0.0214, 0.0009]","[0.0334, 0.002]","[0.0153, 0.0005]","[0.041, 0.0036]","[0.1024, 0.0061]","[0.1321, 0.0067]","[0.1585, 0.0072]","[0.067, 0.0051]","[0.2694, 0.0087]"
CVNCF,200,1,128,128,0.003333,,0.001,300,10,"[3.0956, 0.0529]","[0.0345, 0.002]","[0.0312, 0.0017]","[0.0289, 0.0014]","[0.04, 0.0029]","[0.0221, 0.0009]","[0.1178, 0.0045]","[0.0269, 0.0013]","[0.0235, 0.001]","[0.0214, 0.0008]","[0.033, 0.002]","[0.0152, 0.0005]","[0.0416, 0.0036]","[0.1064, 0.0062]","[0.1342, 0.0068]","[0.1595, 0.0072]","[0.0672, 0.0051]","[0.2663, 0.0086]"
CVNCF,250,1,128,128,0.006667,,0.003333,300,10,"[3.086, 0.0529]","[0.0343, 0.002]","[0.0311, 0.0017]","[0.0289, 0.0014]","[0.0398, 0.0029]","[0.0221, 0.0009]","[0.1178, 0.0045]","[0.0269, 0.0013]","[0.0234, 0.001]","[0.0215, 0.0009]","[0.0322, 0.002]","[0.0153, 0.0005]","[0.042, 0.0036]","[0.1057, 0.0062]","[0.1323, 0.0067]","[0.1582, 0.0072]","[0.0647, 0.005]","[0.2678, 0.0086]"
CVNCF,100,1,128,128,0.006667,,0.003333,300,10,"[3.0788, 0.0529]","[0.0339, 0.002]","[0.0309, 0.0017]","[0.0287, 0.0014]","[0.039, 0.0028]","[0.0221, 0.0009]","[0.1178, 0.0045]","[0.0272, 0.0013]","[0.0235, 0.001]","[0.0214, 0.0009]","[0.0316, 0.002]","[0.0153, 0.0005]","[0.0413, 0.0036]","[0.1066, 0.0062]","[0.1334, 0.0068]","[0.1585, 0.0072]","[0.0617, 0.0049]","[0.2703, 0.0087]"
CVNCF,250,1,128,128,0.01,,0.0005,300,10,"[3.0775, 0.053]","[0.0337, 0.002]","[0.0308, 0.0016]","[0.0287, 0.0014]","[0.0384, 0.0028]","[0.0221, 0.0009]","[0.1178, 0.0044]","[0.0277, 0.0013]","[0.0235, 0.001]","[0.0214, 0.0009]","[0.0325, 0.002]","[0.0154, 0.0005]","[0.0413, 0.0036]","[0.1079, 0.0062]","[0.1329, 0.0067]","[0.1586, 0.0072]","[0.0647, 0.0049]","[0.2704, 0.0087]"
CVNCF,100,1,128,128,0.003333,,0.001,300,10,"[3.0825, 0.0528]","[0.0339, 0.002]","[0.0309, 0.0016]","[0.0286, 0.0014]","[0.0389, 0.0028]","[0.0221, 0.0009]","[0.1176, 0.0045]","[0.0273, 0.0013]","[0.0236, 0.001]","[0.0211, 0.0008]","[0.0312, 0.002]","[0.0153, 0.0005]","[0.041, 0.0036]","[0.1072, 0.0062]","[0.1317, 0.0067]","[0.1553, 0.0071]","[0.0613, 0.0048]","[0.2686, 0.0086]"
