model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,200,1,128,128,5E-05,,0.001,300,5,"[2.4498, 0.0536]",0.0507,0.0485,0.0467,0.0538,0.0397,0.1084,0.0464,0.043,0.0402,0.0501,0.0315,0.0441,0.0651,0.0899,0.1108,0.0358,0.2102
CVNCF,200,1,128,128,0.0001,,0.0006667,300,5,"[2.4817, 0.0533]",0.0501,0.0476,0.0458,0.0534,0.0389,0.1066,0.0449,0.0415,0.0394,0.0496,0.031,0.0418,0.0637,0.0872,0.1106,0.0356,0.2094
CVNCF,200,1,128,128,5E-05,,0.0005,300,5,"[2.4593, 0.0535]",0.0484,0.0466,0.0452,0.0505,0.0389,0.1065,0.0447,0.0421,0.04,0.0491,0.0311,0.0441,0.0643,0.0911,0.1134,0.0367,0.2055
CVNCF,200,1,128,128,0.0003333,,0.0001,300,5,"[2.4897, 0.0532]",0.0483,0.0461,0.0443,0.052,0.0379,0.1056,0.0434,0.0404,0.0379,0.048,0.0305,0.0431,0.0626,0.0852,0.1071,0.036,0.206
CVNCF,200,1,128,128,0.0001,,0.0005,300,5,"[2.4902, 0.0534]",0.0481,0.046,0.0445,0.0508,0.0383,0.1043,0.0436,0.0408,0.0391,0.0486,0.0305,0.0413,0.0607,0.0856,0.1094,0.0348,0.2047
CVNCF,200,1,128,128,0.0006667,,0.0001,300,5,"[2.5363, 0.0534]",0.0453,0.0438,0.0425,0.0467,0.0369,0.1018,0.0422,0.0399,0.0376,0.0462,0.0301,0.0399,0.0602,0.0835,0.1052,0.0325,0.2023
CVNCF,200,1,128,128,0.0001,,0.001,300,5,"[2.5302, 0.0537]",0.0495,0.0472,0.0453,0.0524,0.0383,0.1017,0.0449,0.0413,0.0387,0.0498,0.03,0.0413,0.0617,0.0844,0.1065,0.0336,0.1978
CVNCF,200,1,128,128,0.001,,0.0001,300,5,"[2.6531, 0.0532]",0.0426,0.0408,0.0395,0.0453,0.0341,0.0936,0.0384,0.0365,0.0349,0.0422,0.0276,0.0377,0.0538,0.0753,0.0958,0.0302,0.1861
CVNCF,200,1,128,128,0.0003333,,0.0005,300,5,"[2.7088, 0.0533]",0.0427,0.0405,0.0388,0.0452,0.0331,0.0912,0.0383,0.0351,0.0329,0.0424,0.0268,0.0372,0.055,0.0736,0.0887,0.0317,0.177
CVNCF,200,1,128,128,0.003333,,0.0001,300,5,"[2.7105, 0.053]",0.0406,0.0389,0.0376,0.0427,0.0329,0.0897,0.0374,0.0346,0.0331,0.0405,0.0271,0.035,0.0506,0.069,0.0876,0.0269,0.1806
