model,rank,lambda,epoch,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,5e-05,5,RMSProp,4.7824,0.0054,0.0068,0.0052,0.004,0.0091
CNCF,100,5e-05,10,RMSProp,4.5723,0.0105,0.0151,0.0108,0.0088,0.0221
CNCF,100,5e-05,15,RMSProp,4.2765,0.0224,0.0324,0.0194,0.0209,0.0428
CNCF,100,5e-05,20,RMSProp,4.0516,0.0308,0.0453,0.0262,0.0278,0.0595
CNCF,100,5e-05,25,RMSProp,3.8734,0.0393,0.0582,0.0319,0.0368,0.0744
CNCF,100,5e-05,30,RMSProp,3.8338,0.0379,0.0567,0.0333,0.0328,0.0774
CNCF,100,5e-05,35,RMSProp,3.7089,0.0458,0.0681,0.0371,0.0427,0.0868
CNCF,100,5e-05,40,RMSProp,3.7444,0.0425,0.0632,0.037,0.0383,0.0844
CNCF,100,5e-05,45,RMSProp,3.6355,0.0462,0.0694,0.0401,0.0423,0.0935
CNCF,100,5e-05,50,RMSProp,3.6195,0.0492,0.0738,0.0405,0.0452,0.0958
CNCF,100,5e-05,55,RMSProp,3.5877,0.0508,0.0763,0.0413,0.0471,0.0985
CNCF,100,5e-05,60,RMSProp,3.5857,0.05,0.0743,0.0419,0.0459,0.0988
CNCF,100,5e-05,65,RMSProp,3.5929,0.0478,0.0718,0.0413,0.043,0.0979
CNCF,100,5e-05,70,RMSProp,3.574,0.0524,0.0777,0.0417,0.0485,0.0992
CNCF,100,5e-05,75,RMSProp,3.5275,0.0542,0.081,0.0429,0.0511,0.1032
CNCF,100,5e-05,80,RMSProp,3.5468,0.0531,0.079,0.0425,0.0497,0.1014
CNCF,100,5e-05,85,RMSProp,3.5488,0.0537,0.0798,0.0424,0.051,0.1016
CNCF,100,5e-05,90,RMSProp,3.5839,0.0472,0.0705,0.0415,0.0425,0.0991
CNCF,100,5e-05,95,RMSProp,3.5418,0.0539,0.08,0.0427,0.0499,0.1021
CNCF,100,5e-05,100,RMSProp,3.531,0.0547,0.0815,0.0429,0.0513,0.1037
CNCF,100,5e-05,105,RMSProp,3.5469,0.0533,0.0795,0.0427,0.0502,0.1031
CNCF,100,5e-05,110,RMSProp,3.5269,0.0542,0.0812,0.0431,0.0509,0.1043
CNCF,100,5e-05,115,RMSProp,3.514,0.055,0.0822,0.0433,0.0525,0.1042
CNCF,100,5e-05,120,RMSProp,3.5145,0.0554,0.0828,0.0435,0.0522,0.1058
CNCF,100,5e-05,125,RMSProp,3.5331,0.0531,0.0796,0.0432,0.0494,0.1037
CNCF,100,5e-05,130,RMSProp,3.539,0.0535,0.0801,0.0428,0.0502,0.1032
CNCF,100,5e-05,135,RMSProp,3.5184,0.0559,0.0834,0.0436,0.0535,0.1053
CNCF,100,5e-05,140,RMSProp,3.5069,0.0548,0.0828,0.044,0.052,0.107
CNCF,100,5e-05,145,RMSProp,3.5219,0.0548,0.0818,0.0435,0.0523,0.105
CNCF,100,5e-05,150,RMSProp,3.5091,0.0558,0.0842,0.044,0.0535,0.1067
CNCF,100,5e-05,5,RMSProp,4.7972,0.0052,0.0068,0.0049,0.0038,0.0091
CNCF,100,5e-05,10,RMSProp,4.604,0.0117,0.0164,0.0102,0.0106,0.0212
CNCF,100,5e-05,15,RMSProp,4.3063,0.0204,0.0304,0.0185,0.0182,0.0409
CNCF,100,5e-05,20,RMSProp,4.05,0.0289,0.0428,0.0264,0.026,0.0603
CNCF,100,5e-05,25,RMSProp,3.8702,0.0396,0.0587,0.0318,0.0379,0.0742
CNCF,100,5e-05,30,RMSProp,3.7407,0.0442,0.0659,0.0357,0.0439,0.0831
CNCF,100,5e-05,35,RMSProp,3.76,0.0396,0.0593,0.0354,0.037,0.0827
CNCF,100,5e-05,40,RMSProp,3.6447,0.0496,0.0738,0.0393,0.047,0.0927
CNCF,100,5e-05,45,RMSProp,3.6328,0.0457,0.0685,0.0398,0.0433,0.0942
CNCF,100,5e-05,50,RMSProp,3.5858,0.0527,0.0777,0.0415,0.0503,0.0974
CNCF,100,5e-05,55,RMSProp,3.5602,0.0539,0.0802,0.0421,0.0516,0.1
CNCF,100,5e-05,60,RMSProp,3.5963,0.0522,0.0765,0.0412,0.0494,0.096
CNCF,100,5e-05,65,RMSProp,3.568,0.0535,0.079,0.0421,0.0513,0.0993
CNCF,100,5e-05,70,RMSProp,3.5553,0.0522,0.0774,0.0428,0.0488,0.1009
CNCF,100,5e-05,75,RMSProp,3.5188,0.0554,0.0825,0.0438,0.0532,0.1036
CNCF,100,5e-05,80,RMSProp,3.5239,0.0554,0.0824,0.0434,0.0528,0.1037
CNCF,100,5e-05,85,RMSProp,3.5122,0.0562,0.0838,0.0443,0.0543,0.1053
CNCF,100,5e-05,90,RMSProp,3.5218,0.0553,0.0823,0.0436,0.0521,0.1036
CNCF,100,5e-05,95,RMSProp,3.5144,0.0544,0.0815,0.0435,0.0509,0.1045
CNCF,100,5e-05,100,RMSProp,3.515,0.0555,0.0829,0.0438,0.053,0.1046
CNCF,100,5e-05,105,RMSProp,3.5234,0.0548,0.0815,0.0435,0.0508,0.1029
CNCF,100,5e-05,110,RMSProp,3.5554,0.0537,0.0799,0.0427,0.0509,0.1017
CNCF,100,5e-05,115,RMSProp,3.4995,0.0565,0.0842,0.0443,0.0534,0.1055
CNCF,100,5e-05,120,RMSProp,3.5076,0.0556,0.0836,0.0441,0.0536,0.1058
CNCF,100,5e-05,125,RMSProp,3.5009,0.0566,0.0851,0.0444,0.0535,0.1073
CNCF,100,5e-05,130,RMSProp,3.5168,0.056,0.0834,0.0435,0.0525,0.1041
CNCF,100,5e-05,135,RMSProp,3.5248,0.0527,0.0791,0.0434,0.0485,0.103
CNCF,100,5e-05,140,RMSProp,3.5323,0.0548,0.082,0.0434,0.0514,0.104
CNCF,100,5e-05,145,RMSProp,3.5347,0.0554,0.0819,0.0434,0.0516,0.1037
CNCF,100,5e-05,150,RMSProp,3.5574,0.0539,0.0795,0.0428,0.0497,0.1003
CNCF,100,5e-05,5,RMSProp,4.786,0.0053,0.0068,0.0052,0.0041,0.009
CNCF,100,5e-05,10,RMSProp,4.5817,0.0116,0.016,0.0105,0.0098,0.0213
CNCF,100,5e-05,15,RMSProp,4.2937,0.021,0.031,0.0187,0.0194,0.0406
CNCF,100,5e-05,20,RMSProp,4.0394,0.0309,0.0452,0.0266,0.0284,0.0596
CNCF,100,5e-05,25,RMSProp,3.921,0.0376,0.0552,0.0304,0.0357,0.0693
