model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,1,128,128,0.001,10,0.0005,5,5,Adam,3.7486,0.0371,0.0521,0.0348,0.0292,0.0717
CNCF,100,1,128,128,0.001,10,0.0005,10,5,Adam,3.5766,0.0454,0.0661,0.0394,0.0403,0.0862
CNCF,100,1,128,128,0.001,10,0.0005,15,5,Adam,3.6014,0.0456,0.0654,0.0394,0.0393,0.0857
CNCF,100,1,128,128,0.001,10,0.0005,20,5,Adam,3.6593,0.0391,0.0561,0.0372,0.0308,0.079
CNCF,100,1,128,128,0.001,10,0.0005,25,5,Adam,3.5245,0.0479,0.0689,0.0421,0.0417,0.0924
CNCF,100,1,128,128,0.001,10,0.0005,30,5,Adam,3.5394,0.0496,0.0717,0.0412,0.0441,0.0924
CNCF,100,1,128,128,0.001,10,0.0005,35,5,Adam,3.6461,0.0418,0.0601,0.0386,0.0347,0.0826
CNCF,100,1,128,128,0.001,10,0.0005,40,5,Adam,3.6262,0.042,0.0612,0.0384,0.0368,0.084
CNCF,100,1,128,128,0.001,10,0.0005,45,5,Adam,3.5642,0.047,0.0681,0.0401,0.0411,0.0887
CNCF,100,1,128,128,0.001,10,0.0005,50,5,Adam,3.6204,0.0413,0.0597,0.0386,0.0344,0.0833
CNCF,100,1,128,128,0.001,10,0.0005,55,5,Adam,3.5031,0.0481,0.0705,0.0416,0.0429,0.0925
CNCF,100,1,128,128,0.001,10,0.0005,60,5,Adam,3.4675,0.0512,0.0737,0.043,0.0479,0.0953
CNCF,100,1,128,128,0.001,10,0.0005,65,5,Adam,3.6444,0.0421,0.0596,0.0384,0.0365,0.081
CNCF,100,1,128,128,0.001,10,0.0005,70,5,Adam,3.4791,0.0512,0.074,0.0424,0.0459,0.0949
CNCF,100,1,128,128,0.001,10,0.0005,75,5,Adam,3.6733,0.0379,0.0551,0.037,0.0299,0.0805
